"NAME:","Stour at Hammoon"
"NUMBER:","43009"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
29/06/1968 00:00,1.970,44.44,"1c","CEH files","",""
17/12/1968 00:00,2.300,56.80,"1d","CEH files","",""
22/12/1968 00:00,2.400,65.16,"1d","CEH files","",""
25/12/1968 00:00,2.740,100.15,"1d","CEH files","",""
15/01/1969 00:00,1.980,44.59,"1c","CEH files","",""
18/01/1969 00:00,2.180,47.63,"1c","CEH files","",""
22/02/1969 00:00,2.750,101.34,"1d","CEH files","",""
13/03/1969 00:00,2.720,97.79,"1d","CEH files","",""
15/12/1969 00:00,1.980,44.59,"1c","CEH files","",""
23/01/1970 00:00,2.030,45.36,"1c","CEH files","",""
30/01/1970 00:00,2.230,51.43,"1d","CEH files","",""
12/02/1970 00:00,2.160,47.33,"1c","CEH files","",""
19/11/1970 00:00,2.650,89.83,"1d","CEH files","",""
08/01/1971 00:00,2.180,47.63,"1c","CEH files","",""
21/01/1971 00:00,2.730,98.96,"1d","CEH files","",""
23/01/1971 00:00,2.700,95.46,"1d","CEH files","",""
26/01/1971 00:00,2.200,47.92,"1c","CEH files","",""
18/03/1971 00:00,2.380,63.42,"1d","CEH files","",""
12/01/1972 00:00,2.250,52.93,"1d","CEH files","",""
13/01/1972 00:00,2.280,55.23,"1d","CEH files","",""
17/01/1972 00:00,2.150,47.18,"1c","CEH files","",""
03/02/1972 00:00,2.900,120.53,"1d","CEH files","",""
05/02/1972 00:00,2.240,52.18,"1d","CEH files","",""
07/02/1972 00:00,2.730,98.96,"1d","CEH files","",""
01/11/1972 00:00,2.650,89.83,"1d","CEH files","",""
05/12/1972 00:00,2.160,47.33,"1c","CEH files","",""
06/12/1972 00:00,2.980,131.75,"1d","CEH files","",""
13/12/1972 00:00,2.350,60.88,"1d","CEH files","",""
09/01/1974 00:00,2.310,57.60,"1d","CEH files","",""
11/01/1974 00:00,2.250,52.93,"1d","CEH files","",""
09/02/1974 00:00,2.490,73.40,"1d","CEH files","",""
11/02/1974 00:00,3.000,134.67,"1d","CEH files","",""
15/02/1974 00:00,2.800,107.48,"1d","CEH files","",""
05/09/1974 00:00,2.750,101.34,"1d","CEH files","",""
27/09/1974 00:00,2.960,128.88,"1d","CEH files","",""
