"NAME:","Exe at Stoodleigh"
"NUMBER:","45002"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
03/04/1960 12:00,2.798,97.20,"01 [migrated]3","CEH files","",""
01/10/1960 09:00,3.060,122.63,"01 [migrated]3","CEH files","",""
02/10/1960 00:00,2.830,100.11,"01 [migrated]3","CEH files","",""
06/10/1960 00:00,2.880,104.77,"01 [migrated]3","CEH files","",""
08/10/1960 00:00,3.540,185.64,"01 [migrated]4","CEH files","",""
26/10/1960 00:00,3.370,157.54,"01 [migrated]3","CEH files","",""
04/12/1960 00:00,4.600,400.00,"01 [migrated]5","CEH files","Best estimate of peak, reasonable compared with Thorverton. Some uncertainty of peak stage, and there was bypass flow through breach in road embankment.",""
06/12/1960 00:00,2.960,112.49,"01 [migrated]3","CEH files","",""
02/01/1961 00:00,3.120,128.97,"01 [migrated]3","CEH files","",""
29/01/1961 00:00,3.090,125.77,"01 [migrated]3","CEH files","",""
03/02/1961 00:00,2.860,102.89,"01 [migrated]3","CEH files","",""
10/12/1961 00:00,2.810,98.28,"01 [migrated]3","CEH files","",""
11/12/1961 00:00,2.830,100.11,"01 [migrated]3","CEH files","",""
17/11/1963 20:00,2.979,114.37,"01 [migrated]3","Digital Archive","",""
19/11/1963 16:00,3.413,162.82,"01 [migrated]3","Digital Archive","",""
17/11/1964 20:00,2.956,112.10,"01 [migrated]3","Digital Archive","Non-independent peak removed B",""
13/12/1964 12:00,3.449,167.57,"01 [migrated]4","Digital Archive","Non-independent peak removed B",""
16/01/1965 15:00,3.355,155.73,"01 [migrated]3","Digital Archive","",""
29/11/1965 08:00,2.872,104.01,"01 [migrated]3","Digital Archive","",""
05/12/1965 12:00,2.820,99.19,"01 [migrated]3","Digital Archive","",""
09/12/1965 20:00,3.586,195.26,"01 [migrated]4","Digital Archive","",""
19/12/1965 01:00,3.864,290.54,"01 [migrated]5","Digital Archive","",""
01/01/1966 05:00,2.833,100.38,"01 [migrated]3","Digital Archive","Non-independent peak removed A",""
19/04/1966 18:00,2.733,91.44,"01 [migrated]3","Digital Archive","",""
10/12/1966 13:00,2.939,110.43,"01 [migrated]3","Digital Archive","",""
13/12/1966 11:00,3.163,133.63,"01 [migrated]3","Digital Archive","",""
29/12/1966 13:00,3.105,127.36,"01 [migrated]3","Digital Archive","",""
31/12/1966 11:00,3.354,155.61,"01 [migrated]3","Digital Archive","",""
21/02/1967 00:00,3.309,150.25,"01 [migrated]3","Digital Archive","",""
28/02/1967 02:00,3.175,134.95,"01 [migrated]3","Digital Archive","",""
31/10/1967 13:00,3.105,127.36,"01 [migrated]3","Digital Archive","Non-independent peak removed A",""
04/11/1967 21:00,2.962,112.69,"01 [migrated]3","Digital Archive","",""
23/12/1967 08:00,3.093,126.09,"01 [migrated]3","Digital Archive","",""
09/01/1968 13:00,3.462,170.08,"01 [migrated]4","Digital Archive","",""
11/07/1968 04:00,3.486,174.76,"01 [migrated]4","Digital Archive","",""
19/09/1969 01:00,2.754,93.28,"01 [migrated]3","Digital Archive","",""
21/02/1970 09:00,3.120,128.97,"01 [migrated]3","Digital Archive","Non-independent peak removed",""
02/11/1970 14:00,3.488,175.16,"01 [migrated]4","Digital Archive","",""
23/11/1970 09:00,2.734,91.53,"01 [migrated]3","Digital Archive","",""
26/01/1971 04:00,3.154,132.65,"01 [migrated]3","Digital Archive","",""
19/10/1971 16:00,2.849,101.86,"01 [migrated]3","Digital Archive","",""
21/11/1971 05:00,3.228,140.88,"01 [migrated]3","Digital Archive","",""
13/11/1972 00:00,3.025,119.02,"01 [migrated]3","Digital Archive","",""
06/12/1972 21:00,3.080,124.72,"01 [migrated]3","Digital Archive","",""
12/02/1973 15:00,2.749,92.84,"01 [migrated]3","Digital Archive","",""
09/02/1974 09:00,3.251,143.50,"01 [migrated]3","Digital Archive","",""
11/02/1974 06:00,2.804,97.74,"01 [migrated]3","Digital Archive","Non-independent peak removed A",""
05/09/1974 12:00,2.809,98.19,"01 [migrated]3","Digital Archive","",""
27/09/1974 12:00,3.543,186.25,"01 [migrated]4","Digital Archive","",""
27/12/1974 07:00,3.044,120.97,"01 [migrated]3","Digital Archive","Non-independent peak removed A",""
20/01/1975 09:00,3.059,122.52,"02 [migrated]4","Digital Archive","",""
22/01/1975 19:00,3.156,132.87,"02 [migrated]4","Digital Archive","",""
28/01/1975 17:00,3.396,160.72,"02 [migrated]4","Digital Archive","",""
02/12/1975 00:00,3.148,131.99,"02 [migrated]4","Digital Archive","",""
12/02/1976 22:00,2.808,98.10,"02 [migrated]4","Digital Archive","",""
15/10/1976 11:00,3.077,124.40,"02 [migrated]4","Digital Archive","",""
02/12/1976 04:00,2.825,99.65,"02 [migrated]4","Digital Archive","Non-independent peak removed B",""
11/01/1978 02:00,2.952,111.70,"02 [migrated]4","Digital Archive","",""
11/03/1979 18:00,2.751,92.49,"03 [migrated]3","Digital Archive","",""
10/12/1979 00:00,3.164,132.82,"03 [migrated]3","Digital Archive","",""
27/12/1979 21:00,3.509,179.34,"03 [migrated]4","Digital Archive","",""
08/02/1980 17:00,2.806,97.43,"03 [migrated]3","Digital Archive","",""
16/10/1980 12:45,2.838,100.37,"03 [migrated]3","Digital Archive","",""
15/11/1980 15:45,3.112,127.33,"03 [migrated]3","Digital Archive","",""
17/11/1980 15:15,2.896,105.80,"03 [migrated]3","Digital Archive","",""
09/03/1981 22:00,3.709,222.66,"03 [migrated]4","Digital Archive","",""
14/12/1981 03:15,2.815,96.87,"04 [migrated]2","Digital Archive","Non-independent peak removed A",""
10/03/1982 05:00,3.009,114.40,"04 [migrated]2","Digital Archive","",""
12/11/1982 09:15,3.068,120.00,"04 [migrated]2","Digital Archive","",""
10/12/1982 00:45,2.843,99.31,"04 [migrated]2","Digital Archive","",""
19/12/1982 18:00,3.681,216.21,"04 [migrated]3","Digital Archive","",""
04/01/1983 08:15,3.318,145.13,"04 [migrated]2","Digital Archive","Non-independent peak removed",""
08/01/1983 02:00,2.909,105.19,"04 [migrated]2","Digital Archive","",""
31/01/1983 19:15,3.469,171.43,"04 [migrated]3","Digital Archive","",""
20/12/1983 12:45,2.975,111.23,"04 [migrated]2","Digital Archive","",""
03/01/1984 00:15,2.784,94.19,"04 [migrated]2","Digital Archive","",""
13/01/1984 08:00,3.275,140.65,"04 [migrated]2","Digital Archive","",""
16/01/1984 20:00,3.239,136.95,"04 [migrated]2","Digital Archive","",""
27/01/1984 09:00,3.112,124.26,"04 [migrated]2","Digital Archive","",""
07/02/1984 04:00,3.096,122.71,"04 [migrated]2","Digital Archive","",""
23/11/1984 21:15,2.758,91.98,"04 [migrated]2","Digital Archive","",""
24/12/1985 06:15,3.516,180.75,"04 [migrated]3","Digital Archive","",""
26/12/1985 12:00,3.467,171.04,"04 [migrated]3","Digital Archive","",""
10/01/1986 12:15,2.967,110.49,"04 [migrated]2","Digital Archive","",""
14/11/1986 13:45,2.966,110.40,"04 [migrated]2","Digital Archive","",""
19/11/1986 09:45,3.312,144.50,"04 [migrated]2","Digital Archive","",""
15/12/1986 14:30,2.792,94.88,"04 [migrated]2","Digital Archive","",""
01/01/1987 07:45,2.906,104.92,"04 [migrated]2","Digital Archive","",""
04/04/1987 01:45,2.827,97.91,"04 [migrated]2","Digital Archive","",""
02/01/1988 14:15,2.787,94.45,"04 [migrated]2","Digital Archive","",""
24/01/1988 05:45,2.729,89.54,"04 [migrated]2","Digital Archive","",""
01/02/1988 04:00,2.759,92.06,"04 [migrated]2","Digital Archive","",""
06/10/1988 10:45,2.949,108.85,"04 [migrated]2","Digital Archive","",""
09/10/1988 10:00,2.900,104.35,"04 [migrated]2","Digital Archive","",""
18/02/1989 09:30,2.779,93.77,"04 [migrated]2","Digital Archive","Non-independent peak removed A",""
14/03/1989 23:00,2.909,105.19,"04 [migrated]2","Digital Archive","",""
28/01/1990 03:00,2.756,91.81,"04 [migrated]2","Digital Archive","",""
11/02/1990 19:45,2.770,93.00,"04 [migrated]2","Digital Archive","",""
13/02/1990 23:15,2.842,99.23,"04 [migrated]2","Digital Archive","",""
26/12/1990 15:15,2.815,96.87,"04 [migrated]2","Digital Archive","Non-independent peak removed B",""
02/01/1991 03:15,3.203,133.30,"04 [migrated]2","Digital Archive","",""
