"NAME:","Otter at Fenny Bridges"
"NUMBER:","45008"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
11/11/1974 15:00,0.912,19.71,"3 V2","Digital Archive","",""
13/11/1974 20:00,1.562,64.75,"3 V2","Digital Archive","",""
20/11/1974 07:00,0.903,19.31,"3 V2","Digital Archive","",""
22/11/1974 02:00,0.913,19.75,"3 V2","Digital Archive","",""
25/12/1974 11:00,0.952,21.51,"3 V2","Digital Archive","",""
27/12/1974 03:00,1.156,33.04,"3 V2","Digital Archive","",""
18/01/1975 12:00,1.325,45.82,"3 V2","Digital Archive","",""
20/01/1975 07:00,1.870,79.95,"3 V2","Digital Archive","",""
28/01/1975 14:00,1.082,28.40,"3 V2","Digital Archive","",""
09/03/1975 06:00,0.978,22.74,"3 V2","Digital Archive","",""
13/03/1976 04:00,1.000,23.86,"3 V2","Digital Archive","",""
02/10/1976 00:00,1.095,29.18,"3 V2","Digital Archive","",""
14/10/1976 11:00,1.309,44.47,"3 V2","Digital Archive","",""
17/10/1976 23:00,1.029,25.40,"3 V2","Digital Archive","",""
23/10/1976 09:00,1.009,24.33,"3 V2","Digital Archive","",""
25/10/1976 23:00,1.001,23.91,"3 V2","Digital Archive","",""
30/11/1976 16:00,1.365,49.33,"3 V2","Digital Archive","",""
02/12/1976 01:00,1.103,29.66,"3 V2","Digital Archive","",""
06/12/1976 04:00,1.166,33.71,"3 V2","Digital Archive","",""
18/12/1976 13:00,0.978,22.74,"3 V2","Digital Archive","",""
01/01/1977 01:00,0.967,22.21,"3 V2","Digital Archive","",""
13/01/1977 13:00,1.373,50.05,"3 V2","Digital Archive","",""
22/01/1977 22:00,0.990,23.34,"3 V2","Digital Archive","",""
05/02/1977 21:00,0.986,23.14,"3 V2","Digital Archive","",""
10/02/1977 02:00,0.968,22.26,"3 V2","Digital Archive","",""
18/02/1977 18:00,1.049,26.50,"3 V2","Digital Archive","",""
22/02/1977 04:00,1.019,24.86,"3 V2","Digital Archive","Non-independent peak removed A",""
15/03/1977 17:00,1.151,32.71,"3 V2","Digital Archive","",""
10/12/1977 23:00,1.340,47.11,"3 V2","Digital Archive","",""
28/01/1978 04:00,2.096,90.77,"3 V2","Digital Archive","Possible dual peak.",""
23/02/1978 21:00,1.434,55.86,"3 V2","Digital Archive","",""
25/02/1978 14:00,1.302,43.89,"3 V2","Digital Archive","",""
23/12/1978 21:00,1.407,53.23,"3 V2","Digital Archive","",""
28/12/1978 21:00,1.100,29.48,"3 V2","Digital Archive","",""
20/01/1979 02:00,1.343,47.37,"3 V2","Digital Archive","",""
01/02/1979 21:00,0.943,21.10,"3 V2","Digital Archive","",""
07/02/1979 02:00,0.921,20.11,"3 V2","Digital Archive","",""
25/03/1979 15:00,1.042,26.11,"3 V2","Digital Archive","Non-independent peak removed",""
10/04/1979 14:00,1.031,25.50,"3 V2","Digital Archive","",""
30/05/1979 14:00,1.179,34.60,"3 V2","Digital Archive","",""
25/10/1979 05:30,1.027,25.29,"3 V2","Digital Archive","",""
14/11/1979 02:30,0.931,20.56,"3 V2","Digital Archive","",""
27/12/1979 21:30,1.932,82.94,"3 V2","Digital Archive","Genuine peak.",""
21/01/1980 06:15,1.521,62.68,"3 V2","Digital Archive","",""
04/02/1980 15:30,0.998,23.75,"3 V2","Digital Archive","Non-independent peak removed B",""
06/02/1980 15:45,0.981,22.89,"3 V2","Digital Archive","",""
31/03/1980 19:00,1.110,30.09,"3 V2","Digital Archive","",""
16/10/1980 10:30,0.945,21.19,"3 V2","Digital Archive","",""
17/11/1980 13:45,1.159,33.24,"3 V2","Digital Archive","",""
23/02/1981 09:15,1.037,25.83,"3 V2","Digital Archive","",""
27/02/1981 22:15,1.399,52.47,"3 V2","Digital Archive","",""
09/03/1981 15:30,1.475,60.04,"3 V2","Digital Archive","",""
11/03/1981 06:15,0.912,19.71,"3 V2","Digital Archive","",""
22/03/1981 00:15,1.381,50.79,"3 V2","Digital Archive","",""
31/05/1981 04:45,2.367,104.09,"3 V2","Digital Archive","Genuine peak.",""
02/06/1981 03:30,0.921,20.11,"3 V2","Digital Archive","",""
14/12/1981 00:15,1.276,41.78,"3 V2","Digital Archive","Non-independent peak removed",""
20/12/1981 10:00,1.432,55.66,"3 V2","Digital Archive","",""
27/12/1981 06:30,0.906,19.44,"3 V2","Digital Archive","",""
30/12/1981 12:45,1.855,79.22,"3 V2","Digital Archive","Non-independent peak removed Genuine peak.",""
13/02/1982 00:45,1.004,24.07,"3 V2","Digital Archive","",""
07/03/1982 00:00,0.919,20.02,"3 V2","Digital Archive","",""
