"NAME:","Exe at Pixton"
"NUMBER:","45009"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
09/05/1966 05:00,0.723,14.70,"012","Digital Archive","","AMAX ONLY"
13/12/1966 07:00,1.422,42.05,"013","Digital Archive","",""
29/12/1966 12:00,1.108,28.35,"012","Digital Archive","",""
31/12/1966 09:00,1.480,45.27,"013","Digital Archive","",""
20/02/1967 19:00,1.631,54.24,"013","Digital Archive","",""
27/02/1967 23:00,1.311,36.34,"012","Digital Archive","",""
17/10/1967 04:00,1.142,29.66,"012","Digital Archive","",""
01/11/1967 12:00,1.282,35.17,"012","Digital Archive","",""
04/11/1967 18:00,1.524,47.79,"013","Digital Archive","",""
23/12/1967 07:00,1.223,32.82,"012","Digital Archive","",""
09/01/1968 11:00,1.559,49.85,"013","Digital Archive","",""
10/07/1968 23:00,1.495,46.12,"023","Digital Archive","",""
17/01/1969 17:00,1.006,24.50,"022","Digital Archive","","AMAX ONLY"
22/02/1970 18:00,1.357,38.58,"023","Digital Archive","",""
02/11/1970 14:00,1.419,41.88,"023","Digital Archive","",""
26/01/1971 03:00,1.517,47.39,"023","Digital Archive","",""
19/10/1971 13:00,1.126,29.04,"022","Digital Archive","",""
13/11/1972 02:00,1.253,34.01,"022","Digital Archive","",""
06/12/1972 21:00,1.600,52.32,"023","Digital Archive","",""
10/02/1974 16:00,1.418,41.83,"023","Digital Archive","",""
27/09/1974 11:00,1.659,55.99,"023","Digital Archive","",""
28/09/1974 13:00,1.168,30.66,"022","Digital Archive","",""
27/12/1974 07:00,1.539,48.67,"023","Digital Archive","",""
20/01/1975 07:00,1.267,34.57,"022","Digital Archive","",""
22/01/1975 16:00,1.520,47.56,"023","Digital Archive","",""
28/01/1975 13:00,1.538,48.61,"023","Digital Archive","",""
31/01/1975 08:00,1.273,34.81,"022","Digital Archive","",""
02/12/1975 02:00,1.591,51.78,"023","Digital Archive","",""
15/10/1976 11:00,1.513,47.15,"033","Digital Archive","",""
02/12/1976 01:00,1.089,27.63,"032","Digital Archive","",""
25/02/1978 23:00,1.042,25.90,"032","Digital Archive","","AMAX ONLY"
11/03/1979 18:00,0.845,19.30,"052","Digital Archive","","AMAX ONLY"
10/12/1979 00:00,1.296,35.48,"053","Digital Archive","",""
27/12/1979 21:00,1.533,48.32,"053","Digital Archive","",""
05/02/1980 09:00,1.126,29.02,"052","Digital Archive","",""
16/10/1980 17:00,1.489,45.78,"053","Digital Archive","",""
15/11/1980 16:00,1.213,32.24,"052","Digital Archive","",""
17/11/1980 15:00,1.203,31.86,"052","Digital Archive","",""
09/03/1981 20:00,1.735,60.91,"053","Digital Archive","",""
11/03/1981 13:00,1.649,55.36,"053","Digital Archive","",""
07/03/1982 11:00,1.134,29.31,"052","Digital Archive","",""
10/03/1982 03:00,1.247,33.52,"052","Digital Archive","",""
19/12/1982 16:00,1.996,79.45,"053","Digital Archive","",""
04/01/1983 07:00,1.521,47.62,"053","Digital Archive","",""
08/01/1983 00:00,1.266,34.24,"052","Digital Archive","",""
31/01/1983 18:00,1.348,38.12,"053","Digital Archive","",""
21/12/1983 19:00,1.228,32.80,"052","Digital Archive","",""
02/01/1984 23:00,1.169,30.60,"052","Digital Archive","",""
13/01/1984 09:00,1.373,39.42,"053","Digital Archive","",""
16/01/1984 18:00,1.606,52.69,"053","Digital Archive","",""
27/01/1984 08:00,1.206,31.97,"052","Digital Archive","",""
07/02/1984 21:00,1.248,33.56,"052","Digital Archive","",""
23/10/1984 00:00,1.076,27.21,"052","Digital Archive","",""
23/11/1984 20:00,1.234,33.03,"052","Digital Archive","",""
24/12/1985 04:00,1.475,44.98,"053","Digital Archive","",""
26/12/1985 13:00,1.864,69.75,"053","Digital Archive","",""
10/01/1986 11:00,1.262,34.09,"052","Digital Archive","",""
19/11/1986 06:00,1.667,56.50,"053","Digital Archive","",""
21/11/1986 02:00,1.096,27.93,"052","Digital Archive","",""
26/11/1986 01:00,1.108,28.36,"052","Digital Archive","",""
15/12/1986 12:00,1.140,29.53,"052","Digital Archive","",""
01/01/1987 06:00,1.092,27.79,"052","Digital Archive","",""
27/03/1987 07:00,1.124,28.94,"052","Digital Archive","",""
01/02/1988 03:30,1.125,28.98,"062","Digital Archive","",""
14/03/1989 20:30,1.244,33.41,"062","Digital Archive","",""
28/01/1990 02:30,1.093,27.82,"062","Digital Archive","",""
08/02/1990 03:30,1.157,30.15,"062","Digital Archive","",""
11/02/1990 18:00,1.096,27.93,"062","Digital Archive","",""
02/01/1991 01:30,1.410,41.39,"063","Digital Archive","",""
23/02/1991 00:30,1.151,29.56,"072","Digital Archive","",""
21/12/1991 18:30,0.964,22.30,"082","Digital Archive","","AMAX ONLY"
30/11/1992 14:00,1.399,40.80,"083","Digital Archive","",""
02/12/1992 19:30,1.373,39.42,"093","Digital Archive","",""
10/01/1993 16:00,1.158,29.84,"092","Digital Archive","",""
13/01/1993 16:00,1.094,27.26,"092","Digital Archive","",""
21/01/1993 21:00,1.277,34.86,"092","Digital Archive","",""
08/12/1993 18:00,1.092,27.19,"092","Digital Archive","",""
12/12/1993 17:30,1.147,29.39,"092","Digital Archive","",""
15/12/1993 05:00,1.129,28.66,"092","Digital Archive","",""
19/12/1993 07:30,1.933,74.73,"093","Digital Archive","Genuine peak.",""
20/12/1993 11:30,1.455,43.86,"093","Digital Archive","",""
22/12/1993 13:30,1.206,31.83,"092","Digital Archive","",""
05/01/1994 09:00,1.275,34.78,"092","Digital Archive","",""
04/04/1994 03:30,1.093,27.23,"092","Digital Archive","",""
08/04/1994 18:00,1.215,32.21,"092","Digital Archive","",""
31/10/1994 02:00,1.956,76.44,"093","Digital Archive","Genuine peak.",""
08/12/1994 10:30,1.145,29.31,"092","Digital Archive","",""
28/12/1994 22:00,1.932,74.66,"093","Digital Archive","Genuine peak, part of rising limb missing.",""
27/01/1995 19:00,1.794,64.87,"093","Digital Archive","Genuine peak.",""
29/01/1995 10:30,1.502,46.52,"093","Digital Archive","",""
01/02/1995 05:30,1.222,32.51,"092","Digital Archive","",""
23/12/1995 01:00,1.259,34.09,"092","Digital Archive","",""
13/02/1997 06:30,1.330,37.19,"092","Digital Archive","",""
17/02/1997 23:30,1.136,28.95,"102","Digital Archive","",""
27/06/1997 11:00,1.536,48.49,"103","Digital Archive","",""
03/01/1998 06:00,1.240,33.27,"102","Digital Archive","",""
05/01/1998 17:00,1.427,42.32,"103","Digital Archive","",""
07/03/1998 08:00,1.534,48.38,"103","Digital Archive","",""
23/10/1998 08:00,1.301,35.91,"102","Digital Archive","Non-independent peak removed B",""
24/10/1998 17:30,1.885,71.25,"103","Digital Archive","Genuine peak.",""
26/10/1998 06:00,1.138,29.03,"112","Digital Archive","",""
28/10/1998 08:30,1.391,40.38,"113","Digital Archive","",""
01/11/1998 00:00,1.791,64.67,"113","Digital Archive","",""
26/12/1998 14:30,1.582,51.23,"113","Digital Archive","",""
04/01/1999 07:30,1.392,40.43,"113","Digital Archive","Non-independent peak removed B",""
16/01/1999 04:30,1.431,42.54,"113","Digital Archive","",""
19/01/1999 20:30,1.501,46.46,"113","Digital Archive","",""
02/03/1999 18:30,1.341,37.76,"113","Digital Archive","",""
11/12/1999 14:00,1.237,33.14,"112","Digital Archive","",""
19/12/1999 01:30,1.458,44.03,"113","Digital Archive","",""
24/12/1999 06:00,1.233,32.97,"112","Digital Archive","",""
