"NAME:","East Dart at Bellever"
"NUMBER:","46005"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
09/10/1964 00:00,1.150,9.55,"3d","CEH files","",""
13/11/1964 00:00,1.580,25.48,"3d","CEH files","",""
16/11/1964 02:00,1.432,18.81,"3d","Digital Archive","",""
09/12/1964 11:00,1.476,20.65,"3d","Digital Archive","",""
13/12/1964 08:00,1.618,27.42,"3d","Digital Archive","",""
29/12/1964 16:00,1.327,14.86,"3d","Digital Archive","",""
30/12/1964 14:00,1.327,14.86,"3d","Digital Archive","",""
13/01/1965 17:00,1.896,44.76,"3d","Digital Archive","",""
16/01/1965 10:00,1.539,23.50,"3d","Digital Archive","",""
02/08/1965 16:00,1.480,20.82,"3d","Digital Archive","",""
17/11/1965 05:00,1.804,38.38,"3d","Digital Archive","Non-independent peak removed B",""
29/11/1965 04:00,1.812,38.91,"3d","Digital Archive","",""
05/12/1965 08:00,1.429,18.69,"3d","Digital Archive","",""
09/12/1965 15:00,1.582,25.58,"3d","Digital Archive","",""
18/12/1965 16:00,1.629,28.00,"3d","Digital Archive","",""
29/12/1965 17:00,1.552,24.11,"3d","Digital Archive","",""
01/01/1966 02:00,1.445,19.34,"3d","Digital Archive","",""
10/01/1966 19:00,1.541,23.59,"3d","Digital Archive","",""
25/01/1966 11:00,1.509,22.11,"3d","Digital Archive","",""
04/02/1966 13:00,1.434,18.89,"3d","Digital Archive","",""
25/02/1966 08:00,1.817,39.24,"3d","Digital Archive","",""
02/03/1966 21:00,1.646,28.92,"3d","Digital Archive","",""
06/08/1966 16:00,1.417,18.21,"3d","Digital Archive","",""
11/08/1966 09:00,1.509,22.11,"3d","Digital Archive","",""
04/09/1966 14:00,1.491,21.31,"3d","Digital Archive","",""
14/10/1966 23:00,1.628,27.95,"3d","Digital Archive","",""
18/10/1966 02:00,1.332,15.04,"3d","Digital Archive","",""
22/10/1966 22:00,1.409,17.89,"3d","Digital Archive","",""
01/12/1966 14:00,1.570,24.99,"3d","Digital Archive","",""
10/12/1966 10:00,1.649,29.08,"3d","Digital Archive","",""
16/12/1966 08:00,1.335,15.14,"3d","Digital Archive","",""
29/12/1966 09:00,1.746,34.70,"3d","Digital Archive","",""
31/12/1966 08:00,1.345,15.50,"3d","Digital Archive","",""
19/01/1967 01:00,1.557,24.36,"3d","Digital Archive","",""
26/01/1967 00:00,1.817,39.24,"3d","Digital Archive","",""
19/02/1967 10:00,1.577,25.33,"3d","Digital Archive","",""
20/02/1967 18:00,1.628,27.95,"3d","Digital Archive","",""
27/02/1967 18:00,1.792,37.60,"3d","Digital Archive","",""
02/04/1967 14:00,1.472,20.48,"3d","Digital Archive","",""
04/05/1967 03:00,1.363,16.15,"3d","Digital Archive","",""
21/05/1967 18:00,1.384,16.93,"3d","Digital Archive","",""
23/07/1967 02:00,2.081,59.67,"3d","Digital Archive","",""
05/09/1967 04:00,1.603,26.65,"3d","Digital Archive","",""
26/09/1967 05:00,1.386,17.00,"3d","Digital Archive","",""
03/10/1967 20:00,1.447,19.42,"3d","Digital Archive","",""
11/10/1967 05:00,1.600,26.49,"3d","Digital Archive","",""
14/10/1967 17:00,1.488,21.17,"3d","Digital Archive","",""
17/10/1967 00:00,1.652,29.24,"3d","Digital Archive","",""
31/10/1967 02:00,1.713,32.71,"3d","Digital Archive","Non-independent peak removed A",""
02/11/1967 15:00,1.516,22.43,"3d","Digital Archive","",""
19/12/1967 01:00,1.373,16.52,"3d","Digital Archive","",""
23/12/1967 06:00,1.537,23.40,"3d","Digital Archive","",""
01/01/1968 08:00,1.421,18.36,"3d","Digital Archive","",""
09/01/1968 00:00,1.616,27.32,"3d","Digital Archive","",""
04/02/1968 19:00,1.378,16.70,"3d","Digital Archive","",""
22/06/1968 16:00,1.585,25.73,"3d","Digital Archive","",""
25/06/1968 08:00,1.855,41.83,"3d","Digital Archive","",""
28/06/1968 08:00,1.832,40.25,"3d","Digital Archive","",""
10/10/1968 04:00,1.343,15.43,"3d","Digital Archive","",""
28/10/1968 13:00,1.685,31.09,"3d","Digital Archive","",""
26/11/1968 20:00,1.376,16.63,"3d","Digital Archive","",""
22/12/1968 02:00,1.705,32.24,"3d","Digital Archive","",""
25/12/1968 01:00,1.569,24.94,"3d","Digital Archive","",""
17/01/1969 15:00,1.595,26.24,"3d","Digital Archive","",""
22/02/1969 18:00,1.396,17.38,"3d","Digital Archive","",""
26/04/1969 09:00,1.559,24.45,"3d","Digital Archive","",""
29/07/1969 00:00,2.066,58.35,"3d","Digital Archive","",""
11/11/1969 17:00,1.399,17.50,"3d","Digital Archive","",""
03/12/1969 01:00,1.407,17.81,"3d","Digital Archive","",""
14/12/1969 12:00,1.720,33.12,"3d","Digital Archive","",""
21/12/1969 21:00,1.402,17.62,"3d","Digital Archive","",""
18/01/1970 07:00,1.386,17.00,"3d","Digital Archive","",""
21/01/1970 19:00,1.555,24.26,"3d","Digital Archive","",""
29/01/1970 20:00,1.583,25.63,"3d","Digital Archive","",""
19/02/1970 00:00,1.478,20.74,"3d","Digital Archive","",""
19/02/1970 22:00,1.348,15.60,"3d","Digital Archive","",""
21/02/1970 04:00,1.440,19.13,"3d","Digital Archive","",""
18/03/1970 01:00,1.419,18.28,"3d","Digital Archive","",""
21/04/1970 10:00,1.588,25.88,"3d","Digital Archive","",""
09/09/1970 05:00,1.830,40.12,"3d","Digital Archive","",""
02/11/1970 09:00,1.593,26.14,"3d","Digital Archive","",""
16/11/1970 14:00,1.445,19.34,"3d","Digital Archive","",""
17/11/1970 19:00,1.375,16.59,"3d","Digital Archive","",""
03/12/1970 02:00,1.411,17.97,"3d","Digital Archive","",""
07/01/1971 14:00,1.911,45.86,"3d","Digital Archive","Non-independent peak removed B",""
21/01/1971 18:00,1.527,22.93,"3d","Digital Archive","Non-independent peak removed B",""
25/01/1971 23:00,1.360,16.04,"3d","Digital Archive","",""
17/03/1971 23:00,1.529,23.03,"3d","Digital Archive","Non-independent peak removed A",""
18/06/1971 20:00,1.937,47.81,"3d","Digital Archive","",""
21/11/1971 04:00,1.424,18.48,"3d","Digital Archive","",""
02/12/1971 08:00,1.381,16.81,"3d","Digital Archive","",""
19/12/1971 11:00,1.740,34.33,"3d","Digital Archive","",""
11/01/1972 12:00,1.567,24.84,"3d","Digital Archive","",""
12/01/1972 19:00,1.549,23.97,"3d","Digital Archive","",""
02/02/1972 11:00,1.483,20.95,"3d","Digital Archive","",""
07/06/1972 02:00,1.325,14.80,"3d","Digital Archive","",""
12/11/1972 19:00,1.730,33.72,"3d","Digital Archive","",""
01/12/1972 22:00,1.639,28.54,"3d","Digital Archive","",""
04/12/1972 10:00,1.608,26.90,"3d","Digital Archive","",""
06/12/1972 07:00,1.774,36.44,"3d","Digital Archive","Non-independent peak removed B",""
12/12/1972 04:00,1.447,19.42,"3d","Digital Archive","",""
13/12/1972 05:00,1.605,26.75,"3d","Digital Archive","",""
02/04/1973 07:00,1.605,26.75,"3d","Digital Archive","",""
27/06/1973 16:00,1.434,18.89,"3d","Digital Archive","",""
06/08/1973 07:00,2.015,54.01,"3d","Digital Archive","Non-independent peak removed B",""
28/11/1973 22:00,1.430,18.73,"3d","Digital Archive","",""
04/01/1974 17:00,1.902,45.19,"3d","Digital Archive","",""
08/01/1974 14:00,1.675,30.52,"3d","Digital Archive","",""
16/01/1974 07:00,1.442,19.22,"3d","Digital Archive","",""
26/01/1974 14:00,1.559,24.45,"3d","Digital Archive","",""
27/01/1974 23:00,1.478,20.74,"3d","Digital Archive","",""
30/01/1974 16:00,1.447,19.42,"3d","Digital Archive","Non-independent peak removed B",""
09/02/1974 05:00,1.723,33.30,"3d","Digital Archive","",""
11/02/1974 05:00,1.907,45.56,"3d","Digital Archive","Non-independent peak removed B",""
15/02/1974 00:00,1.705,32.24,"3d","Digital Archive","",""
11/05/1974 14:00,1.434,18.89,"3d","Digital Archive","",""
14/08/1974 19:00,1.440,19.13,"3d","Digital Archive","",""
02/09/1974 08:00,1.574,25.19,"3d","Digital Archive","Non-independent peak removed A",""
05/09/1974 07:00,1.513,22.29,"3d","Digital Archive","",""
23/09/1974 07:00,1.472,20.48,"3d","Digital Archive","Non-independent peak removed A",""
27/09/1974 11:00,2.006,53.27,"3d","Digital Archive","",""
18/10/1974 18:00,1.565,24.74,"3d","Digital Archive","",""
11/11/1974 10:00,1.886,44.03,"3d","Digital Archive","",""
13/11/1974 14:00,1.774,36.44,"3d","Digital Archive","",""
22/12/1974 07:00,1.671,30.30,"3d","Digital Archive","",""
20/01/1975 03:00,1.929,47.21,"3d","Digital Archive","",""
22/01/1975 14:00,1.481,20.87,"3d","Digital Archive","",""
25/01/1975 08:00,1.603,26.65,"3d","Digital Archive","",""
31/01/1975 06:00,1.578,25.38,"3d","Digital Archive","",""
13/09/1975 23:00,1.597,26.34,"3d","Digital Archive","",""
01/12/1975 21:00,1.605,26.75,"3d","Digital Archive","",""
12/02/1976 15:00,1.536,23.35,"3d","Digital Archive","",""
06/10/1976 00:00,1.396,17.38,"3d","Digital Archive","",""
15/10/1976 02:00,1.404,17.69,"3d","Digital Archive","",""
03/02/1977 07:00,1.340,15.32,"3d","Digital Archive","",""
18/02/1977 14:00,1.396,17.38,"3d","Digital Archive","",""
15/03/1977 20:00,1.536,23.35,"3d","Digital Archive","",""
24/08/1977 14:00,1.330,14.97,"3d","Digital Archive","",""
31/10/1977 06:00,1.366,16.26,"3d","Digital Archive","",""
02/11/1977 02:00,1.457,19.84,"3d","Digital Archive","",""
23/01/1978 12:00,1.460,19.97,"3d","Digital Archive","",""
23/02/1978 23:00,1.434,18.89,"3d","Digital Archive","",""
28/03/1978 15:00,1.712,32.65,"3d","Digital Archive","",""
19/11/1978 10:00,1.764,35.81,"3d","Digital Archive","",""
23/12/1978 17:00,1.411,17.97,"3d","Digital Archive","",""
10/01/1979 06:00,1.411,17.97,"3d","Digital Archive","",""
01/02/1979 12:00,1.705,32.24,"3d","Digital Archive","",""
