"NAME:","Tamar at Gunnislake"
"NUMBER:","47001"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
29/07/1956 00:00,1.060,22.97,"1b","CEH files","",""
01/08/1956 00:00,1.390,43.89,"1b","CEH files","",""
28/09/1956 00:00,2.470,173.27,"1b","CEH files","",""
28/09/1956 13:00,2.497,177.82,"1b","Digital Archive","",""
16/12/1956 19:00,2.285,143.86,"1b","Digital Archive","",""
28/12/1956 10:00,2.773,228.43,"1b","Digital Archive","",""
01/02/1957 15:00,2.616,198.74,"1b","Digital Archive","",""
08/02/1957 02:00,2.968,268.69,"1b","Digital Archive","",""
11/12/1957 02:00,2.474,173.94,"1b","Digital Archive","",""
10/01/1958 22:00,2.450,169.93,"1b","Digital Archive","",""
10/02/1958 07:00,2.641,203.31,"1b","Digital Archive","",""
20/08/1958 01:00,2.500,178.33,"1b","Digital Archive","",""
25/08/1958 12:00,2.744,222.76,"1b","Digital Archive","",""
15/09/1958 08:00,2.635,202.21,"1b","Digital Archive","",""
24/09/1958 05:00,2.385,159.36,"1b","Digital Archive","",""
03/10/1958 08:00,2.894,252.96,"1b","Digital Archive","",""
05/11/1958 14:00,2.370,156.98,"1b","Digital Archive","",""
20/12/1958 07:00,2.511,180.21,"1b","Digital Archive","",""
06/01/1959 08:00,3.137,306.68,"1b","Digital Archive","",""
22/01/1959 14:00,2.786,230.99,"1b","Digital Archive","",""
15/11/1959 15:00,3.363,362.12,"1b","Digital Archive","",""
26/11/1959 11:00,3.945,530.20,"1b","Digital Archive","",""
07/12/1959 06:00,2.979,271.07,"1b","Digital Archive","",""
26/12/1959 11:00,2.551,187.15,"1b","Digital Archive","",""
24/01/1960 18:00,2.805,234.77,"1b","Digital Archive","",""
27/02/1960 00:00,2.598,195.49,"1b","Digital Archive","",""
04/04/1960 05:00,2.965,268.04,"1b","Digital Archive","",""
03/10/1960 06:00,3.117,302.03,"1b","Digital Archive","",""
06/10/1960 18:00,2.351,153.99,"1b","Digital Archive","",""
09/10/1960 02:00,2.558,188.38,"1b","Digital Archive","",""
26/10/1960 22:00,3.407,373.54,"1b","Digital Archive","",""
17/11/1960 17:00,2.542,185.57,"1b","Digital Archive","",""
04/12/1960 16:00,3.524,404.92,"1b","Digital Archive","",""
02/01/1961 03:00,2.397,161.28,"1b","Digital Archive","",""
27/01/1961 18:00,2.520,181.76,"1b","Digital Archive","",""
30/01/1961 09:00,3.054,287.66,"1b","Digital Archive","",""
10/10/1961 22:00,2.294,145.22,"1b","Digital Archive","",""
12/01/1962 05:00,2.637,202.57,"1b","Digital Archive","",""
16/01/1962 10:00,2.720,218.14,"1b","Digital Archive","",""
21/01/1962 15:00,2.335,151.50,"1b","Digital Archive","",""
06/02/1963 23:00,2.825,238.79,"1b","Digital Archive","",""
04/11/1963 06:00,2.323,149.64,"1b","Digital Archive","",""
17/11/1963 20:00,2.723,218.71,"1b","Digital Archive","",""
20/11/1963 10:00,2.526,182.80,"1b","Digital Archive","",""
13/12/1964 18:00,2.282,143.41,"1b","Digital Archive","",""
14/01/1965 02:00,2.843,242.44,"1b","Digital Archive","",""
17/01/1965 00:00,2.831,240.00,"1b","Digital Archive","",""
20/01/1965 10:00,2.608,197.29,"1b","Digital Archive","",""
25/01/1965 02:00,2.595,194.95,"1b","Digital Archive","",""
03/08/1965 00:00,2.667,208.12,"1b","Digital Archive","",""
17/11/1965 15:00,2.817,237.18,"1b","Digital Archive","",""
29/11/1965 09:00,2.848,243.46,"1b","Digital Archive","",""
05/12/1965 15:00,2.457,171.09,"1b","Digital Archive","",""
09/12/1965 20:00,2.745,222.96,"1b","Digital Archive","",""
19/12/1965 02:00,3.214,324.97,"1b","Digital Archive","",""
23/12/1965 09:00,2.421,165.17,"1b","Digital Archive","",""
01/01/1966 05:00,2.483,175.45,"1b","Digital Archive","",""
11/01/1966 02:00,2.527,182.97,"1b","Digital Archive","",""
25/02/1966 18:00,3.079,293.31,"1b","Digital Archive","",""
11/08/1966 14:00,2.289,144.47,"1b","Digital Archive","",""
23/10/1966 04:15,2.694,213.19,"1b","Digital Archive","",""
29/12/1966 19:00,2.917,257.79,"1b","Digital Archive","",""
23/01/1967 09:10,2.707,215.65,"1b","Digital Archive","",""
20/02/1967 23:30,2.603,196.39,"1b","Digital Archive","",""
28/02/1967 06:00,2.707,215.65,"1b","Digital Archive","",""
17/10/1967 11:30,3.335,354.96,"1b","Digital Archive","",""
05/11/1967 01:30,3.475,391.60,"1b","Digital Archive","",""
19/12/1967 02:30,2.429,166.47,"1b","Digital Archive","",""
23/12/1967 11:15,2.469,173.10,"1b","Digital Archive","",""
07/01/1968 00:45,2.307,147.19,"1b","Digital Archive","",""
09/01/1968 15:15,3.018,279.62,"1b","Digital Archive","",""
28/06/1968 16:15,2.505,179.19,"1b","Digital Archive","",""
03/07/1968 00:30,2.475,174.10,"1b","Digital Archive","",""
11/07/1968 06:00,2.493,177.14,"1b","Digital Archive","",""
28/10/1968 16:00,2.377,158.09,"1b","Digital Archive","",""
27/11/1968 00:45,2.359,155.24,"1b","Digital Archive","",""
17/12/1968 11:45,2.432,166.97,"1b","Digital Archive","",""
22/12/1968 09:30,2.606,196.93,"1b","Digital Archive","",""
25/12/1968 15:30,3.749,469.43,"1b","Digital Archive","",""
07/01/1969 19:00,2.302,146.43,"1b","Digital Archive","",""
17/01/1969 21:00,2.809,235.57,"1b","Digital Archive","",""
16/05/1969 08:45,2.332,151.03,"1b","Digital Archive","",""
29/07/1969 14:00,3.295,344.88,"1b","Digital Archive","",""
12/11/1969 01:45,2.344,152.90,"1b","Digital Archive","",""
15/11/1969 17:00,2.724,218.90,"1b","Digital Archive","",""
03/12/1969 11:30,2.659,206.63,"1b","Digital Archive","",""
14/12/1969 18:15,2.408,163.06,"1b","Digital Archive","",""
15/01/1970 17:00,2.693,213.00,"1b","Digital Archive","",""
18/01/1970 12:30,2.520,181.76,"1b","Digital Archive","",""
22/01/1970 01:30,2.481,175.11,"1b","Digital Archive","",""
09/02/1970 05:30,2.307,147.19,"1b","Digital Archive","",""
02/11/1970 20:14,2.568,190.14,"1b","Digital Archive","",""
22/01/1971 08:14,3.307,347.89,"1b","Digital Archive","",""
26/01/1971 05:48,2.707,215.65,"1b","Digital Archive","",""
19/06/1971 03:15,2.496,177.65,"1b","Digital Archive","",""
30/11/1971 21:15,3.015,278.96,"1b","Digital Archive","",""
13/01/1972 02:00,2.709,216.03,"1b","Digital Archive","",""
26/01/1972 07:15,2.427,166.15,"1b","Digital Archive","",""
02/02/1972 19:15,3.008,277.42,"1b","Digital Archive","",""
15/02/1972 16:19,2.419,164.84,"1b","Digital Archive","",""
13/06/1972 18:00,2.495,177.48,"1b","Digital Archive","",""
13/11/1972 01:15,2.291,144.77,"1b","Digital Archive","",""
02/12/1972 06:45,2.654,205.71,"1b","Digital Archive","",""
06/12/1972 23:15,2.774,228.62,"1b","Digital Archive","",""
12/12/1972 10:00,2.489,176.47,"1b","Digital Archive","",""
06/08/1973 14:00,2.332,151.03,"1b","Digital Archive","",""
29/11/1973 08:03,2.815,236.78,"1b","Digital Archive","",""
08/12/1973 09:30,2.330,150.72,"1b","Digital Archive","",""
05/01/1974 11:45,3.174,315.40,"1b","Digital Archive","",""
08/01/1974 21:30,2.837,241.22,"1b","Digital Archive","",""
11/01/1974 08:30,2.525,182.62,"1b","Digital Archive","",""
16/01/1974 13:45,2.285,143.86,"1b","Digital Archive","",""
26/01/1974 20:45,2.631,201.47,"1b","Digital Archive","",""
31/01/1974 00:30,3.291,343.88,"1b","Digital Archive","",""
06/02/1974 21:30,2.385,159.36,"1b","Digital Archive","",""
09/02/1974 17:30,3.137,306.68,"1b","Digital Archive","",""
15/02/1974 03:30,2.870,247.98,"1b","Digital Archive","",""
05/09/1974 15:45,2.701,214.51,"1b","Digital Archive","",""
24/09/1974 06:45,2.487,176.13,"1b","Digital Archive","",""
27/09/1974 22:15,3.511,401.36,"1b","Digital Archive","",""
19/10/1974 00:30,2.502,178.68,"1b","Digital Archive","",""
14/11/1974 01:45,3.235,330.07,"1b","Digital Archive","",""
27/12/1974 10:45,2.860,245.92,"1b","Digital Archive","",""
20/01/1975 12:23,3.030,282.29,"1b","Digital Archive","",""
22/01/1975 20:24,2.694,213.19,"1b","Digital Archive","",""
25/01/1975 13:40,2.324,149.80,"1b","Digital Archive","",""
28/01/1975 22:26,2.810,235.77,"1b","Digital Archive","",""
31/01/1975 13:27,2.672,209.05,"1b","Digital Archive","",""
02/12/1975 04:45,2.581,192.45,"1b","Digital Archive","",""
13/02/1976 04:30,2.865,246.95,"1b","Digital Archive","",""
22/03/1976 10:45,2.344,152.90,"1b","Digital Archive","",""
15/10/1976 09:45,3.018,279.62,"1b","Digital Archive","",""
01/12/1976 02:00,2.830,239.80,"1b","Digital Archive","",""
06/12/1976 07:45,2.388,159.84,"1b","Digital Archive","",""
14/01/1977 08:15,2.412,163.70,"1b","Digital Archive","",""
18/02/1977 19:22,2.372,157.29,"1b","Digital Archive","",""
16/03/1977 00:06,2.560,188.73,"1b","Digital Archive","",""
10/12/1977 06:15,2.380,158.56,"1b","Digital Archive","",""
11/01/1978 13:15,2.312,147.96,"1b","Digital Archive","",""
23/01/1978 18:45,2.571,190.67,"1b","Digital Archive","",""
23/02/1978 22:15,2.315,148.42,"1b","Digital Archive","",""
28/03/1978 19:30,2.340,152.27,"1b","Digital Archive","",""
01/04/1978 02:15,2.285,143.86,"1b","Digital Archive","",""
24/12/1978 00:15,2.411,163.54,"1b","Digital Archive","",""
01/02/1979 17:30,2.442,168.61,"1b","Digital Archive","",""
11/03/1979 02:30,2.416,164.35,"1b","Digital Archive","",""
10/12/1979 02:45,2.524,182.45,"1b","Digital Archive","",""
15/12/1979 17:30,2.650,204.97,"1b","Digital Archive","",""
28/12/1979 02:30,4.470,714.57,"1b","Digital Archive","",""
21/01/1980 12:00,2.547,176.07,"2a","Digital Archive","",""
03/02/1980 23:00,2.990,255.03,"2a","Digital Archive","",""
08/02/1980 19:00,2.725,205.84,"2a","Digital Archive","",""
01/04/1980 01:30,2.697,200.98,"2a","Digital Archive","",""
21/09/1980 18:45,2.925,242.42,"2a","Digital Archive","",""
16/10/1980 15:00,2.678,197.73,"2a","Digital Archive","",""
17/11/1980 19:30,2.732,207.06,"2a","Digital Archive","",""
10/03/1981 03:30,3.681,453.94,"3a","Digital Archive","",""
22/03/1981 08:00,3.000,270.99,"3a","Digital Archive","",""
20/09/1981 03:15,2.513,173.95,"3a","Digital Archive","",""
02/10/1981 14:45,2.861,240.57,"3a","Digital Archive","",""
25/10/1981 06:45,2.434,160.65,"3a","Digital Archive","",""
14/12/1981 10:30,3.117,298.35,"3a","Digital Archive","",""
20/12/1981 17:15,3.444,383.65,"3a","Digital Archive","",""
30/12/1981 12:45,2.461,165.12,"3a","Digital Archive","",""
03/03/1982 07:30,2.293,138.50,"3a","Digital Archive","",""
07/03/1982 10:45,2.610,191.19,"3a","Digital Archive","",""
10/03/1982 09:45,2.733,214.51,"3a","Digital Archive","",""
15/03/1982 21:00,2.487,169.50,"3a","Digital Archive","",""
17/10/1982 02:15,2.447,162.79,"3a","Digital Archive","",""
08/11/1982 03:45,2.616,192.29,"3a","Digital Archive","",""
12/11/1982 13:30,2.886,245.88,"3a","Digital Archive","",""
21/11/1982 21:15,2.551,180.58,"3a","Digital Archive","",""
10/12/1982 05:30,2.637,196.17,"3a","Digital Archive","",""
15/12/1982 05:45,2.510,173.43,"3a","Digital Archive","",""
19/12/1982 19:00,2.682,204.64,"3a","Digital Archive","",""
04/01/1983 12:30,3.157,308.08,"3a","Digital Archive","",""
06/01/1983 19:15,2.508,173.09,"3a","Digital Archive","",""
14/01/1983 15:45,2.443,162.13,"3a","Digital Archive","",""
31/01/1983 19:00,2.561,182.35,"3a","Digital Archive","",""
15/12/1983 07:45,2.949,259.57,"3a","Digital Archive","",""
20/12/1983 17:45,2.950,259.79,"3a","Digital Archive","",""
13/01/1984 11:30,2.485,169.16,"3a","Digital Archive","",""
16/01/1984 22:15,2.862,240.78,"3a","Digital Archive","",""
27/01/1984 13:30,2.968,263.79,"3a","Digital Archive","",""
23/11/1984 06:45,2.698,207.71,"3a","Digital Archive","",""
02/12/1984 10:30,2.285,137.31,"3a","Digital Archive","",""
21/01/1985 12:45,2.404,155.77,"3a","Digital Archive","",""
28/01/1985 03:45,2.492,170.35,"3a","Digital Archive","",""
07/04/1985 23:00,2.450,163.29,"3a","Digital Archive","",""
