"NAME:","Lynher at Pillaton Mill"
"NUMBER:","47004"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
07/11/1961 00:00,0.620,6.06,"14a","CEH files","",""
10/12/1961 00:00,1.120,19.88,"14b","CEH files","",""
15/01/1962 00:00,1.340,25.75,"14b","CEH files","",""
12/02/1962 00:00,0.600,5.61,"14a","CEH files","",""
16/03/1962 00:00,0.670,7.26,"14a","CEH files","",""
21/04/1962 00:00,0.660,7.02,"14a","CEH files","",""
20/05/1962 00:00,0.600,5.61,"14a","CEH files","",""
01/06/1962 00:00,0.370,1.72,"14a","CEH files","",""
18/07/1962 00:00,0.330,1.28,"14a","CEH files","",""
23/08/1962 00:00,0.390,1.97,"14a","CEH files","",""
29/09/1962 00:00,1.430,28.41,"14b","CEH files","",""
01/10/1962 00:00,0.570,4.97,"14a","CEH files","",""
04/11/1962 00:00,1.080,18.91,"14b","CEH files","",""
31/12/1962 00:00,1.080,18.91,"14b","CEH files","",""
01/01/1963 00:00,0.660,7.02,"14a","CEH files","",""
07/02/1963 00:00,1.430,28.41,"14b","CEH files","",""
18/03/1963 00:00,1.250,23.24,"14b","CEH files","",""
20/04/1963 00:00,1.180,21.40,"14b","CEH files","",""
01/05/1963 00:00,0.530,4.18,"14a","CEH files","",""
20/06/1963 00:00,0.370,1.72,"14a","CEH files","",""
04/07/1963 00:00,0.540,4.37,"14a","CEH files","",""
16/08/1963 00:00,0.690,7.78,"14a","CEH files","",""
04/09/1963 00:00,0.790,10.61,"14a","CEH files","",""
03/10/1963 00:00,0.520,3.99,"14a","CEH files","",""
17/11/1963 00:00,1.520,31.23,"14b","CEH files","",""
25/12/1963 00:00,0.740,9.14,"14a","CEH files","",""
01/01/1964 00:00,0.460,2.97,"14a","CEH files","",""
23/02/1964 00:00,0.700,8.04,"14a","CEH files","",""
19/03/1964 00:00,1.040,17.97,"14b","CEH files","",""
28/04/1964 00:00,0.630,6.29,"14a","CEH files","",""
03/05/1964 00:00,0.540,4.37,"14a","CEH files","",""
06/06/1964 00:00,0.540,4.37,"14a","CEH files","",""
14/07/1964 00:00,0.820,11.56,"14a","CEH files","",""
18/08/1964 00:00,0.320,1.18,"14a","CEH files","",""
17/09/1964 00:00,0.310,1.08,"14a","CEH files","",""
09/10/1964 00:00,0.660,7.02,"14a","CEH files","",""
13/11/1964 00:00,0.870,13.22,"14a","CEH files","",""
13/12/1964 00:00,1.110,19.64,"14b","CEH files","",""
20/01/1965 00:00,1.430,28.41,"14b","CEH files","",""
01/02/1965 00:00,0.550,4.57,"14a","CEH files","",""
17/03/1965 00:00,0.720,8.58,"14a","CEH files","",""
01/04/1965 00:00,0.480,3.29,"14a","CEH files","",""
16/05/1965 00:00,0.690,7.78,"14a","CEH files","",""
16/06/1965 00:00,0.470,3.13,"14a","CEH files","",""
12/07/1965 00:00,0.790,10.61,"14a","CEH files","",""
02/08/1965 00:00,1.130,20.13,"14b","CEH files","",""
24/09/1965 00:00,0.880,13.56,"14a","CEH files","",""
01/10/1965 00:00,0.660,7.02,"14a","CEH files","",""
28/11/1965 00:00,1.710,37.70,"14b","CEH files","",""
09/12/1965 00:00,1.520,31.23,"14b","CEH files","",""
10/01/1966 00:00,1.550,32.20,"14b","CEH files","",""
25/02/1966 00:00,1.940,46.49,"14b","CEH files","",""
02/03/1966 00:00,1.220,22.44,"14b","CEH files","",""
02/03/1966 19:15,1.234,22.81,"14b","Digital Archive","",""
06/08/1966 18:30,1.309,24.87,"14b","Digital Archive","",""
22/10/1966 23:00,1.309,24.87,"14b","Digital Archive","",""
29/12/1966 13:15,1.503,30.69,"14b","Digital Archive","",""
23/01/1967 06:00,1.673,36.38,"14b","Digital Archive","",""
20/02/1967 20:30,1.405,27.66,"14b","Digital Archive","",""
28/02/1967 01:15,1.469,29.62,"14b","Digital Archive","",""
17/10/1967 04:45,1.722,38.13,"14b","Digital Archive","",""
01/11/1967 15:30,1.765,39.70,"14b","Digital Archive","",""
04/11/1967 23:15,2.167,56.26,"14b","Digital Archive","",""
06/01/1968 22:15,1.332,25.52,"14b","Digital Archive","",""
09/01/1968 11:15,1.646,35.44,"14b","Digital Archive","",""
28/06/1968 12:15,1.615,34.37,"14b","Digital Archive","",""
28/10/1968 06:15,1.265,23.65,"14b","Digital Archive","",""
22/12/1968 05:30,1.664,36.07,"14b","Digital Archive","",""
25/12/1968 08:00,1.469,29.62,"14b","Digital Archive","",""
12/01/1969 14:30,1.506,30.78,"14b","Digital Archive","",""
17/01/1969 20:00,1.878,44.02,"14b","Digital Archive","",""
29/07/1969 08:30,1.996,48.80,"14b","Digital Archive","",""
14/01/1970 12:30,1.361,26.36,"14b","Digital Archive","",""
18/01/1970 11:45,1.871,43.74,"14b","Digital Archive","",""
21/01/1970 22:15,1.709,37.66,"14b","Digital Archive","",""
29/01/1970 22:15,1.257,23.43,"14b","Digital Archive","",""
01/02/1970 10:30,1.365,26.48,"14b","Digital Archive","",""
12/02/1970 13:15,1.325,25.32,"14b","Digital Archive","",""
22/08/1970 13:45,1.421,28.14,"14b","Digital Archive","",""
19/11/1970 09:45,1.296,24.51,"14b","Digital Archive","",""
22/01/1971 03:15,1.639,35.20,"14b","Digital Archive","",""
30/11/1971 17:15,2.054,51.26,"14b","Digital Archive","",""
12/01/1972 21:45,1.330,25.47,"14b","Digital Archive","",""
15/01/1972 20:45,1.251,23.27,"14b","Digital Archive","",""
02/02/1972 16:30,1.821,41.81,"14b","Digital Archive","",""
13/06/1972 14:30,1.222,22.49,"14b","Digital Archive","",""
20/11/1972 05:45,1.258,23.46,"14b","Digital Archive","",""
02/12/1972 02:00,1.316,25.07,"14b","Digital Archive","",""
06/12/1972 08:15,1.763,39.63,"14b","Digital Archive","",""
13/12/1972 09:00,1.421,28.14,"14b","Digital Archive","",""
06/08/1973 11:00,1.257,23.43,"14b","Digital Archive","",""
29/11/1973 03:15,1.226,22.60,"14b","Digital Archive","",""
20/12/1973 00:00,1.301,24.65,"14b","Digital Archive","",""
04/01/1974 23:00,1.757,39.41,"14b","Digital Archive","",""
08/01/1974 17:15,1.712,37.77,"14b","Digital Archive","",""
10/01/1974 15:45,1.582,33.26,"14b","Digital Archive","",""
16/01/1974 10:45,1.276,23.95,"14b","Digital Archive","",""
26/01/1974 16:00,1.355,26.19,"14b","Digital Archive","",""
30/01/1974 21:15,1.953,47.02,"14b","Digital Archive","",""
09/02/1974 15:45,2.169,56.35,"14b","Digital Archive","",""
11/02/1974 13:15,2.210,58.23,"14b","Digital Archive","",""
15/02/1974 00:45,2.077,52.26,"14b","Digital Archive","",""
05/09/1974 11:45,1.505,30.75,"14b","Digital Archive","",""
24/09/1974 04:15,1.351,26.07,"14b","Digital Archive","",""
27/09/1974 18:45,2.024,49.98,"14b","Digital Archive","",""
18/10/1974 21:45,1.270,23.79,"14b","Digital Archive","",""
13/11/1974 21:00,1.842,42.61,"14b","Digital Archive","",""
25/12/1974 13:15,1.403,27.60,"14b","Digital Archive","",""
20/01/1975 05:15,1.820,41.77,"14b","Digital Archive","",""
