"NAME:","Thrushel at Tinhay"
"NUMBER:","47008"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
15/11/1969 12:30,0.987,20.43,"1[migrated]5","Digital Archive","",""
15/01/1970 12:30,1.216,31.19,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
21/01/1970 20:30,1.183,29.60,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
21/01/1971 23:45,1.622,53.95,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
26/01/1971 02:15,1.278,34.29,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
18/06/1971 23:45,1.683,57.87,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
21/11/1971 07:15,1.162,28.61,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
27/11/1971 20:00,1.316,36.25,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
30/11/1971 14:30,1.336,37.31,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
11/01/1972 16:45,1.159,28.47,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
12/01/1972 23:00,1.471,44.80,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
26/01/1972 02:30,1.211,30.95,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
02/02/1972 13:45,1.554,49.73,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
15/02/1972 12:37,1.216,31.19,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
13/06/1972 15:00,1.342,37.63,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
02/12/1972 02:30,1.361,38.65,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
04/12/1972 10:45,1.356,38.38,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
06/12/1972 19:15,1.233,32.03,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
12/12/1972 05:30,1.193,30.08,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
06/08/1973 09:30,1.144,27.75,"1[migrated]5","TINHAYGS.SG.HiUKPOT","",""
28/11/1973 22:00,1.311,35.99,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
05/01/1974 00:15,1.527,48.10,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
08/01/1974 15:15,1.345,37.79,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
11/01/1974 03:45,1.179,29.41,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
26/01/1974 15:45,1.411,41.39,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
27/01/1974 23:30,1.227,31.73,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
30/01/1974 19:45,1.596,52.32,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
09/02/1974 11:45,1.754,62.60,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
11/02/1974 07:30,1.528,48.16,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
14/02/1974 23:00,1.262,33.48,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
05/09/1974 12:15,1.396,40.56,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
27/09/1974 13:15,1.949,76.50,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
18/10/1974 19:00,1.206,30.71,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
13/11/1974 18:45,1.681,57.74,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
25/12/1974 19:30,1.168,28.89,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
27/12/1974 06:15,1.363,38.75,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
20/01/1975 07:15,1.575,51.02,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
22/01/1975 16:30,1.168,28.89,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
28/01/1975 16:45,1.305,35.68,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
31/01/1975 09:15,1.286,34.70,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
28/11/1975 18:00,1.217,31.24,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
01/12/1975 23:45,1.198,30.32,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
12/02/1976 19:00,1.341,37.57,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
15/10/1976 02:45,1.651,55.80,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
30/11/1976 18:45,1.360,38.59,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
02/12/1976 00:45,1.223,31.54,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
06/12/1976 03:30,1.169,28.94,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
13/01/1977 18:15,1.246,32.67,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
18/02/1977 14:45,1.159,28.47,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
15/03/1977 19:30,1.303,35.57,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
22/01/1978 03:00,1.162,28.61,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
23/01/1978 13:00,1.201,30.47,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
01/02/1979 12:45,1.104,25.78,"1[migrated]5","TINHAYGS.SG.AMAX","","AMAX ONLY"
09/12/1979 21:30,1.224,31.59,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
15/12/1979 11:00,1.201,30.47,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
27/12/1979 18:30,2.527,125.36,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
21/01/1980 06:15,1.295,35.16,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
03/02/1980 16:15,1.469,44.69,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
08/02/1980 14:15,1.212,31.00,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
31/03/1980 21:00,1.423,42.06,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
21/09/1980 12:15,1.490,45.91,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
16/10/1980 10:30,1.468,44.63,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
15/11/1980 14:00,1.296,35.21,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
17/11/1980 14:45,1.333,37.15,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
14/01/1981 22:15,1.216,31.19,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
09/03/1981 20:00,1.737,61.46,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
13/03/1981 18:45,1.137,27.40,"1[migrated]5","TINHAYGS.SG.HiUKPOT","",""
22/03/1981 03:15,1.321,36.52,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
26/03/1981 05:30,1.265,33.63,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
19/09/1981 21:00,1.255,33.12,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
03/10/1981 06:30,1.187,29.79,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
24/10/1981 16:30,1.144,27.75,"1[migrated]5","TINHAYGS.SG.HiUKPOT","",""
14/12/1981 00:30,1.563,50.28,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
20/12/1981 09:45,1.844,68.85,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
10/03/1982 03:30,1.185,29.70,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
15/03/1982 17:15,1.243,32.52,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
16/10/1982 22:30,1.198,30.32,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
08/11/1982 01:15,1.156,28.33,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
12/11/1982 09:45,1.504,46.73,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
21/11/1982 18:15,1.282,34.49,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
24/11/1982 20:45,1.150,28.05,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
09/12/1982 23:30,1.260,33.38,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
15/12/1982 00:00,1.188,29.84,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
19/12/1982 12:30,1.269,33.83,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
04/01/1983 05:00,1.408,41.22,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
06/01/1983 14:15,1.175,29.22,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
14/01/1983 12:00,1.167,28.85,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
31/01/1983 15:15,1.309,35.89,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
15/12/1983 02:30,1.514,47.32,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
19/12/1983 04:00,1.240,32.38,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
20/12/1983 12:00,1.560,50.10,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
13/01/1984 06:45,1.154,28.24,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
16/01/1984 15:45,1.318,36.36,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
27/01/1984 09:00,1.378,39.57,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
23/03/1984 20:45,1.145,27.80,"1[migrated]5","TINHAYGS.SG.HiUKPOT","",""
23/11/1984 01:15,1.176,29.27,"1[migrated]6","TINHAYGS.SG.HiUKPOT","",""
