"NAME:","Walkham at Horrabridge"
"NUMBER:","47014"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
18/04/1974 09:00,0.178,0.15,"4","Digital Archive","","AMAX ONLY"
14/08/1974 00:00,0.930,22.29,"4","CEH files","",""
14/08/1974 18:45,0.933,22.48,"4","Digital Archive","",""
05/09/1974 06:15,0.979,25.46,"4","Digital Archive","",""
27/09/1974 11:45,1.144,35.70,"4","Digital Archive","",""
13/11/1974 14:30,0.931,22.35,"4","Digital Archive","",""
20/01/1975 05:00,0.980,25.53,"4","Digital Archive","",""
01/12/1975 21:30,0.823,16.29,"4","Digital Archive","","AMAX ONLY"
10/02/1977 01:30,0.928,22.17,"4","Digital Archive","",""
02/11/1977 01:15,0.906,20.84,"4","Digital Archive","",""
10/12/1977 00:45,0.900,20.49,"4","Digital Archive","",""
28/03/1978 15:15,0.936,22.67,"4","Digital Archive","",""
19/11/1978 07:08,1.041,29.23,"4","Digital Archive","",""
01/02/1979 10:15,1.135,35.10,"4","Digital Archive","",""
25/03/1979 00:45,0.904,20.72,"4","Digital Archive","",""
27/12/1979 17:45,1.766,94.74,"4","Digital Archive","",""
08/02/1980 11:30,1.041,29.23,"4","Digital Archive","",""
17/11/1980 12:30,1.195,39.23,"4","Digital Archive","",""
09/03/1981 15:15,1.026,28.35,"4","Digital Archive","",""
11/03/1981 04:15,0.992,26.35,"4","Digital Archive","",""
21/03/1981 23:00,1.040,29.17,"4","Digital Archive","",""
19/09/1981 19:15,1.275,45.19,"4","Digital Archive","",""
20/12/1981 10:15,1.191,38.94,"4","Digital Archive","",""
30/12/1981 14:00,0.890,19.91,"4","Digital Archive","",""
06/03/1982 21:15,1.002,26.99,"4","Digital Archive","",""
10/03/1982 02:00,0.884,19.56,"4","Digital Archive","",""
02/10/1982 00:00,1.066,30.72,"4","Digital Archive","",""
16/10/1982 19:30,1.022,28.12,"4","Digital Archive","",""
07/11/1982 21:15,1.091,32.27,"4","Digital Archive","",""
12/11/1982 05:15,1.343,50.69,"4","Digital Archive","",""
21/11/1982 14:15,0.941,22.98,"4","Digital Archive","",""
09/12/1982 22:15,0.895,20.19,"4","Digital Archive","",""
19/12/1982 09:45,1.012,27.55,"4","Digital Archive","",""
04/01/1983 03:15,1.011,27.50,"4","Digital Archive","",""
14/12/1983 23:45,1.153,36.31,"4","Digital Archive","",""
16/01/1984 13:15,1.177,37.96,"4","Digital Archive","",""
21/01/1985 08:00,1.093,32.39,"4","Digital Archive","",""
06/10/1985 17:15,0.904,20.72,"4","Digital Archive","",""
10/01/1986 09:15,0.929,22.23,"4","Digital Archive","",""
10/06/1986 02:15,0.985,25.87,"4","Digital Archive","",""
25/08/1986 19:15,1.107,33.28,"4","Digital Archive","",""
09/11/1986 19:00,0.923,21.86,"4","Digital Archive","",""
19/11/1986 00:00,1.089,32.14,"4","Digital Archive","",""
11/12/1986 08:30,1.113,33.67,"4","Digital Archive","",""
13/12/1986 02:45,1.087,32.02,"4","Digital Archive","",""
15/12/1986 10:15,1.001,26.93,"4","Digital Archive","",""
27/03/1987 03:15,1.133,34.97,"4","Digital Archive","",""
03/04/1987 03:45,0.947,23.36,"4","Digital Archive","",""
05/06/1987 19:45,1.118,33.99,"4","Digital Archive","",""
07/10/1987 11:45,1.095,32.52,"4","Digital Archive","",""
18/10/1987 18:00,0.965,24.53,"4","Digital Archive","",""
31/01/1988 23:30,0.997,26.70,"4","Digital Archive","",""
