"NAME:","Tamar at Tamarstone Bridge"
"NUMBER:","47023"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
26/08/2010 00:00,,8.01,"RC21","T_STONE BR.FQ.AMAX","","AMAX ONLY"
13/01/2011 01:00,1.998,13.16,"RC21","Digital Archive","",""
24/10/2011 22:15,2.000,10.06,"RC21","Digital Archive","",""
01/11/2011 03:30,2.011,10.94,"RC21","Digital Archive","",""
03/12/2011 07:45,2.018,13.69,"RC21","Digital Archive","",""
03/01/2012 17:00,2.084,16.06,"RC21","Digital Archive","",""
29/04/2012 19:30,2.051,10.73,"RC21","Digital Archive","",""
07/05/2012 21:00,2.079,10.87,"RC21","Digital Archive","",""
24/06/2012 07:15,2.080,11.78,"RC21","Digital Archive","",""
07/07/2012 05:30,2.231,18.59,"RC21","Digital Archive","",""
12/07/2012 21:15,2.140,13.78,"RC21","Digital Archive","",""
11/10/2012 18:30,2.255,20.35,"RC21","Digital Archive","",""
22/11/2012 23:15,2.060,11.89,"RC21","Digital Archive","",""
25/11/2012 01:30,2.227,17.96,"RC21","Digital Archive","",""
20/12/2012 11:30,2.189,20.57,"RC21","Digital Archive","",""
22/12/2012 09:00,2.328,34.01,"RC21","Digital Archive","",""
30/01/2013 06:30,1.997,10.77,"RC21","Digital Archive","",""
14/02/2013 09:00,1.901,10.00,"RC21","Digital Archive","",""
15/05/2013 05:30,2.015,11.03,"RC21","Digital Archive","",""
28/10/2013 09:15,2.241,16.17,"RC21","Digital Archive","",""
04/11/2013 03:45,1.998,9.80,"RC21","Digital Archive","",""
11/11/2013 15:00,2.108,13.05,"RC21","Digital Archive","",""
18/01/2014 12:00,2.056,12.92,"RC21","Digital Archive","",""
25/01/2014 00:30,2.036,11.88,"RC21","Digital Archive","",""
05/02/2014 04:15,1.921,9.62,"RC21","Digital Archive","",""
12/12/2014 09:15,2.085,13.72,"RC21","Digital Archive","",""
03/01/2015 12:15,2.195,17.41,"RC21","Digital Archive","",""
26/02/2015 16:00,2.015,10.50,"RC21","Digital Archive","",""
23/08/2015 11:45,2.034,10.55,"RC21","Digital Archive","",""
26/08/2015 07:45,2.253,18.59,"RC21","Digital Archive","",""
15/09/2015 10:15,2.134,15.75,"RC21","Digital Archive","",""
07/11/2015 15:15,2.005,9.91,"RC21","Digital Archive","",""
06/02/2016 18:30,2.049,12.38,"RC21","Digital Archive","",""
09/03/2016 08:30,2.069,11.74,"RC21","Digital Archive","",""
15/06/2016 12:00,2.153,13.54,"RC21","Digital Archive","",""
20/06/2016 12:00,2.263,19.33,"RC21","Digital Archive","",""
02/08/2016 14:30,2.138,14.57,"RC21","Digital Archive","",""
