"NAME:","Fowey at Restormel"
"NUMBER:","48011"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
25/04/1961 17:00,1.043,29.96,"5f","REST'MLGS.SG.HiUKPOT","",""
06/10/1961 20:00,1.045,30.06,"5f","REST'MLGS.SG.HiUKPOT","",""
10/10/1961 20:00,1.219,38.99,"5f","REST'MLGS.SG.HiUKPOT","",""
10/12/1961 09:00,1.132,34.45,"5f","REST'MLGS.SG.HiUKPOT","",""
10/01/1962 04:00,1.054,30.50,"5f","REST'MLGS.SG.HiUKPOT","",""
11/01/1962 02:00,1.136,34.66,"5f","REST'MLGS.SG.HiUKPOT","",""
16/01/1962 07:00,1.343,45.68,"5f","REST'MLGS.SG.HiUKPOT","",""
23/01/1962 22:00,1.112,33.43,"5f","REST'MLGS.SG.HiUKPOT","",""
30/09/1962 08:00,1.538,56.69,"5f","REST'MLGS.SG.HiUKPOT","",""
04/11/1962 23:00,1.055,30.55,"5f","REST'MLGS.SG.HiUKPOT","",""
31/12/1962 17:00,1.770,70.50,"5f","REST'MLGS.SG.HiUKPOT","",""
07/02/1963 22:00,1.153,35.53,"5f","REST'MLGS.SG.HiUKPOT","",""
10/02/1963 03:00,1.092,32.41,"5f","REST'MLGS.SG.HiUKPOT","",""
14/02/1963 20:00,1.100,32.82,"5f","REST'MLGS.SG.HiUKPOT","",""
09/03/1963 18:00,0.983,27.02,"5f","REST'MLGS.SG.HiUKPOT","",""
18/03/1963 11:00,1.123,33.99,"5f","REST'MLGS.SG.HiUKPOT","",""
20/04/1963 12:00,1.216,38.83,"5f","REST'MLGS.SG.HiUKPOT","",""
17/08/1963 13:00,0.964,26.10,"5f","REST'MLGS.SG.HiUKPOT","",""
01/11/1963 16:00,1.087,32.16,"5f","REST'MLGS.SG.HiUKPOT","",""
17/11/1963 21:00,1.589,59.66,"5f","REST'MLGS.SG.HiUKPOT","",""
19/11/1963 07:00,1.303,43.49,"5f","REST'MLGS.SG.HiUKPOT","",""
28/11/1963 16:00,0.986,27.16,"5f","REST'MLGS.SG.HiUKPOT","",""
19/03/1964 11:00,1.083,31.96,"5f","REST'MLGS.SG.HiUKPOT","",""
15/07/1964 03:00,0.954,25.62,"5f","REST'MLGS.SG.HiUKPOT","",""
13/12/1964 12:00,1.018,28.72,"5f","REST'MLGS.SG.HiUKPOT","",""
13/01/1965 21:00,1.388,48.17,"5f","REST'MLGS.SG.HiUKPOT","",""
16/01/1965 14:00,1.558,57.85,"5f","REST'MLGS.SG.HiUKPOT","",""
20/01/1965 07:00,1.815,73.26,"5f","REST'MLGS.SG.HiUKPOT","",""
24/01/1965 22:00,1.219,38.99,"5f","REST'MLGS.SG.HiUKPOT","",""
12/07/1965 17:00,0.994,27.55,"5f","REST'MLGS.SG.HiUKPOT","",""
02/08/1965 20:00,1.195,37.72,"5f","REST'MLGS.SG.HiUKPOT","",""
25/09/1965 07:00,1.019,28.77,"5f","REST'MLGS.SG.HiUKPOT","",""
17/11/1965 13:00,1.291,42.84,"5f","REST'MLGS.SG.HiUKPOT","",""
29/11/1965 08:00,1.842,74.93,"5f","REST'MLGS.SG.HiUKPOT","",""
05/12/1965 12:00,1.306,43.65,"5f","REST'MLGS.SG.HiUKPOT","",""
09/12/1965 18:00,1.338,45.40,"5f","REST'MLGS.SG.HiUKPOT","",""
15/12/1965 16:00,1.443,51.25,"5f","REST'MLGS.SG.HiUKPOT","",""
18/12/1965 17:00,1.532,56.34,"5f","REST'MLGS.SG.HiUKPOT","",""
23/12/1965 04:00,1.584,59.37,"5f","REST'MLGS.SG.HiUKPOT","",""
24/12/1965 15:00,1.272,41.82,"5f","REST'MLGS.SG.HiUKPOT","",""
29/12/1965 20:00,1.231,39.62,"5f","REST'MLGS.SG.HiUKPOT","",""
10/01/1966 20:00,1.604,60.54,"5f","REST'MLGS.SG.HiUKPOT","",""
25/01/1966 14:00,1.561,58.03,"5f","REST'MLGS.SG.HiUKPOT","",""
08/02/1966 01:00,1.078,31.71,"5f","REST'MLGS.SG.HiUKPOT","",""
20/02/1966 15:00,1.297,43.17,"5f","REST'MLGS.SG.HiUKPOT","",""
25/02/1966 12:00,1.806,72.70,"5f","REST'MLGS.SG.HiUKPOT","",""
02/03/1966 18:00,1.187,37.30,"5f","REST'MLGS.SG.HiUKPOT","",""
05/04/1966 18:00,1.129,34.30,"5f","REST'MLGS.SG.HiUKPOT","",""
09/04/1966 09:00,1.023,28.97,"5f","REST'MLGS.SG.HiUKPOT","",""
22/04/1966 22:00,0.952,25.52,"5f","REST'MLGS.SG.HiUKPOT","",""
04/08/1966 01:00,0.973,26.53,"5f","REST'MLGS.SG.HiUKPOT","",""
06/08/1966 19:00,1.003,27.99,"5f","REST'MLGS.SG.HiUKPOT","",""
11/08/1966 12:00,1.062,30.90,"5f","REST'MLGS.SG.HiUKPOT","",""
15/10/1966 03:00,1.024,29.02,"5f","REST'MLGS.SG.HiUKPOT","",""
22/10/1966 10:00,1.120,33.84,"5f","REST'MLGS.SG.HiUKPOT","",""
10/12/1966 13:00,1.129,34.30,"5f","REST'MLGS.SG.HiUKPOT","",""
16/12/1966 08:00,0.982,26.97,"5f","REST'MLGS.SG.HiUKPOT","",""
29/12/1966 12:00,1.353,46.23,"5f","REST'MLGS.SG.HiUKPOT","",""
23/01/1967 05:00,1.666,64.22,"5f","REST'MLGS.SG.HiUKPOT","",""
26/01/1967 03:00,0.982,26.97,"5f","REST'MLGS.SG.HiUKPOT","",""
20/02/1967 21:00,1.172,36.52,"5f","REST'MLGS.SG.HiUKPOT","",""
28/02/1967 02:00,1.496,54.27,"5f","REST'MLGS.SG.HiUKPOT","",""
13/03/1967 19:00,0.983,27.02,"5f","REST'MLGS.SG.HiUKPOT","",""
02/04/1967 18:00,0.960,25.91,"5f","REST'MLGS.SG.HiUKPOT","",""
26/09/1967 08:00,1.128,34.25,"5f","REST'MLGS.SG.HiUKPOT","",""
18/10/1967 01:00,1.314,44.09,"5f","REST'MLGS.SG.HiUKPOT","",""
04/11/1967 18:00,1.747,69.10,"5f","REST'MLGS.SG.HiUKPOT","",""
09/01/1968 04:00,1.083,31.96,"5f","REST'MLGS.SG.HiUKPOT","",""
08/05/1968 13:00,1.189,37.41,"5f","REST'MLGS.SG.HiUKPOT","",""
25/06/1968 16:00,1.021,28.87,"5f","REST'MLGS.SG.HiUKPOT","",""
28/06/1968 14:00,1.452,51.76,"5f","REST'MLGS.SG.HiUKPOT","",""
11/07/1968 03:00,1.053,30.45,"5f","REST'MLGS.SG.HiUKPOT","",""
27/10/1968 09:00,1.195,37.72,"5f","REST'MLGS.SG.HiUKPOT","",""
26/11/1968 23:00,1.062,30.90,"5f","REST'MLGS.SG.HiUKPOT","",""
17/12/1968 08:00,1.110,33.33,"5f","REST'MLGS.SG.HiUKPOT","",""
22/12/1968 02:00,1.386,48.06,"5f","REST'MLGS.SG.HiUKPOT","",""
25/12/1968 13:00,2.015,85.83,"5f","REST'MLGS.SG.HiUKPOT","",""
12/01/1969 13:00,1.356,46.39,"5f","REST'MLGS.SG.HiUKPOT","",""
17/01/1969 18:00,1.622,61.60,"5f","REST'MLGS.SG.HiUKPOT","",""
22/02/1969 18:00,1.049,30.26,"5f","REST'MLGS.SG.HiUKPOT","",""
13/03/1969 05:00,1.103,32.97,"5f","REST'MLGS.SG.HiUKPOT","",""
29/07/1969 04:00,1.294,43.00,"5f","REST'MLGS.SG.HiUKPOT","",""
10/11/1969 16:00,1.087,32.16,"5f","REST'MLGS.SG.HiUKPOT","",""
03/12/1969 08:00,1.436,50.86,"5f","REST'MLGS.SG.HiUKPOT","",""
22/12/1969 08:00,1.037,29.66,"5f","REST'MLGS.SG.HiUKPOT","",""
18/01/1970 10:00,1.950,81.69,"5f","REST'MLGS.SG.HiUKPOT","",""
21/01/1970 22:00,1.453,51.82,"5f","REST'MLGS.SG.HiUKPOT","",""
23/01/1970 07:00,1.214,38.72,"5f","REST'MLGS.SG.HiUKPOT","",""
29/01/1970 20:00,1.197,37.83,"5f","REST'MLGS.SG.HiUKPOT","",""
01/02/1970 10:00,1.291,42.84,"5f","REST'MLGS.SG.HiUKPOT","",""
12/02/1970 11:00,1.398,48.72,"5f","REST'MLGS.SG.HiUKPOT","",""
17/02/1970 10:00,0.947,25.29,"5f","REST'MLGS.SG.HiUKPOT","",""
21/04/1970 15:00,1.077,31.66,"5f","REST'MLGS.SG.HiUKPOT","",""
26/04/1970 00:00,0.957,25.76,"5f","REST'MLGS.SG.HiUKPOT","",""
22/08/1970 13:00,1.497,54.33,"5f","REST'MLGS.SG.HiUKPOT","",""
02/11/1970 14:00,1.079,31.76,"5f","REST'MLGS.SG.HiUKPOT","",""
19/11/1970 10:00,1.291,42.84,"5f","REST'MLGS.SG.HiUKPOT","",""
23/11/1970 05:00,1.090,32.31,"5f","REST'MLGS.SG.HiUKPOT","",""
03/12/1970 14:00,1.122,33.94,"5f","REST'MLGS.SG.HiUKPOT","",""
07/01/1971 15:00,1.082,31.91,"5f","REST'MLGS.SG.HiUKPOT","",""
22/01/1971 05:00,1.279,42.19,"5f","REST'MLGS.SG.HiUKPOT","",""
