"NAME:","De Lank at De Lank"
"NUMBER:","49003"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
29/12/1966 00:00,0.980,13.95,"1f","CEH files","",""
22/01/1967 00:00,1.000,14.45,"1f","CEH files","",""
27/02/1967 00:00,1.020,14.96,"1f","CEH files","",""
27/09/1967 00:00,0.750,8.70,"1f","CEH files","",""
16/10/1967 00:00,1.020,14.96,"1f","CEH files","",""
28/10/1967 00:00,0.750,8.70,"1f","CEH files","",""
01/11/1967 00:00,0.810,9.97,"1f","CEH files","",""
04/11/1967 00:00,0.890,11.77,"1f","CEH files","",""
05/11/1967 00:00,0.870,11.31,"1f","CEH files","",""
18/12/1967 00:00,0.970,13.70,"1f","CEH files","",""
23/12/1967 00:00,0.820,10.19,"1f","CEH files","",""
06/01/1968 00:00,0.780,9.33,"1f","CEH files","",""
08/01/1968 00:00,0.760,8.91,"1f","CEH files","",""
22/12/1968 00:00,0.820,10.19,"1f","CEH files","",""
25/12/1968 00:00,1.160,18.77,"1f","CEH files","",""
12/01/1969 00:00,0.760,8.91,"1f","CEH files","",""
17/01/1969 00:00,0.820,10.19,"1f","CEH files","",""
28/07/1969 00:00,0.870,11.31,"1f","CEH files","",""
11/11/1969 22:45,0.703,7.76,"1f","Digital Archive","",""
03/12/1969 05:15,0.824,10.27,"1f","Digital Archive","Non-independent peak removed A",""
14/12/1969 14:15,0.533,4.77,"1f","Digital Archive","",""
14/01/1970 12:15,0.732,8.34,"1f","Digital Archive","",""
15/01/1970 09:30,0.779,9.31,"1f","Digital Archive","",""
18/01/1970 06:30,1.136,18.09,"1f","Digital Archive","",""
21/01/1970 20:45,0.730,8.30,"1f","Digital Archive","",""
23/01/1970 14:30,0.569,5.35,"1f","Digital Archive","",""
29/01/1970 22:45,0.619,6.20,"1f","Digital Archive","",""
01/02/1970 11:00,0.705,7.80,"1f","Digital Archive","Non-independent peak removed A",""
12/02/1970 11:15,0.740,8.50,"1f","Digital Archive","",""
22/08/1970 11:00,0.971,13.72,"1f","Digital Archive","",""
14/09/1970 05:00,0.674,7.21,"1f","Digital Archive","",""
