"NAME:","Taw at Umberleigh"
"NUMBER:","50001"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
04/10/1958 12:00,2.671,188.06,"3d","Digital Archive","",""
02/11/1958 16:00,1.855,104.18,"3d","Digital Archive","",""
02/01/1959 06:00,2.023,120.30,"3d","Digital Archive","",""
06/01/1959 02:00,2.526,172.18,"3d","Digital Archive","",""
17/04/1959 03:00,1.884,106.91,"3d","Digital Archive","",""
14/11/1959 20:00,2.398,158.50,"3d","Digital Archive","",""
26/11/1959 12:00,2.257,143.79,"3d","Digital Archive","",""
01/12/1959 05:00,2.578,177.83,"3d","Digital Archive","",""
07/12/1959 12:00,2.328,151.15,"3d","Digital Archive","",""
20/12/1959 16:00,2.062,124.13,"3d","Digital Archive","",""
26/12/1959 13:00,1.935,111.77,"3d","Digital Archive","",""
29/12/1959 20:00,2.408,159.55,"3d","Digital Archive","",""
21/01/1960 11:00,2.473,166.48,"3d","Digital Archive","",""
24/01/1960 19:00,2.658,186.62,"3d","Digital Archive","",""
04/04/1960 00:00,1.860,104.65,"3d","Digital Archive","",""
28/09/1960 16:00,1.870,105.59,"3d","Digital Archive","",""
30/09/1960 23:00,3.457,280.42,"3d","Digital Archive","Non-independent peak removed A",""
07/10/1960 00:00,3.782,321.45,"3d","Digital Archive","",""
09/10/1960 06:00,3.519,288.13,"3d","Digital Archive","",""
24/10/1960 09:00,2.263,144.41,"3d","Digital Archive","",""
27/10/1960 14:00,4.177,383.05,"3f","Digital Archive","Genuine peak, flat topped.",""
26/11/1960 21:00,1.868,105.40,"3d","Digital Archive","",""
04/12/1960 13:00,4.697,523.11,"3f","Digital Archive","Genuine peak.",""
06/12/1960 13:00,2.270,145.13,"3d","Digital Archive","",""
28/12/1960 19:00,2.115,129.40,"3d","Digital Archive","",""
02/01/1961 02:00,2.256,143.69,"3d","Digital Archive","",""
30/01/1961 11:00,3.171,245.64,"3d","Digital Archive","",""
04/02/1961 09:00,1.848,103.52,"3d","Digital Archive","",""
25/04/1961 21:00,2.026,120.59,"3d","Digital Archive","",""
10/12/1961 09:00,2.066,124.53,"3d","Digital Archive","",""
10/01/1962 09:00,1.899,108.34,"3d","Digital Archive","",""
12/01/1962 13:00,1.955,113.70,"3d","Digital Archive","",""
16/01/1962 16:00,2.042,122.16,"3d","Digital Archive","",""
21/01/1962 19:00,1.940,112.25,"3d","Digital Archive","",""
24/01/1962 02:00,1.817,100.62,"3d","Digital Archive","",""
07/02/1963 18:00,1.967,114.85,"3d","Digital Archive","",""
09/02/1963 22:00,1.786,97.74,"3d","Digital Archive","",""
15/02/1963 01:00,2.111,129.00,"3d","Digital Archive","",""
02/11/1963 00:00,1.847,103.42,"3d","Digital Archive","",""
05/11/1963 03:00,2.308,149.07,"3d","Digital Archive","",""
11/11/1963 13:00,1.970,115.14,"3d","Digital Archive","",""
19/11/1963 14:00,2.688,189.94,"3d","Digital Archive","",""
18/11/1964 04:00,2.538,173.48,"3d","Digital Archive","",""
13/12/1964 15:00,2.322,150.52,"3d","Digital Archive","",""
08/01/1965 13:00,1.814,100.34,"3d","Digital Archive","",""
14/01/1965 00:00,2.063,124.23,"3d","Digital Archive","",""
16/01/1965 20:00,2.974,222.45,"3d","Digital Archive","",""
20/01/1965 13:00,1.881,106.63,"3d","Digital Archive","",""
02/08/1965 21:00,2.644,185.07,"3d","Digital Archive","",""
