"NAME:","Torridge at Torrington"
"NUMBER:","50002"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
06/10/1960 16:00,2.456,110.90,"1b","Digital Archive","",""
09/10/1960 04:00,3.038,170.35,"1b","Digital Archive","",""
24/10/1960 10:00,3.357,208.38,"1b","Digital Archive","",""
27/10/1960 18:00,4.032,301.60,"1b","Digital Archive","",""
03/04/1962 12:00,2.118,82.26,"1b","Digital Archive","","AMAX ONLY"
07/02/1963 20:00,2.517,116.53,"1b","Digital Archive","",""
09/03/1963 21:00,2.526,117.37,"1b","Digital Archive","",""
04/11/1963 10:00,2.417,107.38,"1b","Digital Archive","",""
11/11/1963 13:00,2.436,109.09,"1b","Digital Archive","",""
18/11/1963 03:00,3.207,190.01,"1b","Digital Archive","",""
18/11/1964 02:00,2.624,126.74,"1b","Digital Archive","",""
09/12/1964 17:00,2.756,139.94,"1b","Digital Archive","",""
13/12/1964 15:00,2.970,162.74,"1b","Digital Archive","",""
14/01/1965 02:00,3.355,208.13,"1b","Digital Archive","",""
16/01/1965 19:00,3.313,202.90,"1b","Digital Archive","",""
25/01/1965 03:00,2.529,117.65,"1b","Digital Archive","",""
12/07/1965 14:00,2.424,108.00,"1b","Digital Archive","Non-independent peak removed A",""
03/08/1965 02:00,3.532,230.88,"1b","Digital Archive","",""
17/11/1965 11:00,2.736,137.90,"1b","Digital Archive","",""
29/11/1965 12:00,3.002,166.30,"1b","Digital Archive","",""
05/12/1965 15:00,2.802,144.70,"1b","Digital Archive","",""
10/12/1965 02:00,3.551,233.40,"1b","Digital Archive","",""
19/12/1965 01:00,4.149,319.53,"1b","Digital Archive","Genuine peak, part of rising limb missing.",""
29/12/1965 21:00,2.686,132.86,"1b","Digital Archive","",""
01/01/1966 07:00,2.934,158.78,"1b","Digital Archive","Non-independent peak removed A",""
11/01/1966 01:00,2.921,157.37,"1b","Digital Archive","",""
06/02/1966 05:00,2.371,103.29,"1b","Digital Archive","",""
25/02/1966 19:00,3.137,181.74,"1b","Digital Archive","",""
03/03/1966 03:00,2.427,108.27,"1b","Digital Archive","",""
16/04/1966 11:00,2.684,132.66,"1b","Digital Archive","",""
19/04/1966 17:00,2.592,123.64,"1b","Digital Archive","",""
23/10/1966 05:00,3.048,171.48,"1b","Digital Archive","",""
01/12/1966 21:00,2.421,107.73,"1b","Digital Archive","",""
10/12/1966 16:00,2.720,136.28,"1b","Digital Archive","",""
29/12/1966 19:00,3.394,213.04,"1b","Digital Archive","",""
21/02/1967 01:00,3.006,166.75,"1b","Digital Archive","Non-independent peak removed B",""
28/02/1967 06:00,3.263,196.77,"1b","Digital Archive","",""
02/04/1967 20:00,2.496,114.58,"1b","Digital Archive","",""
17/10/1967 15:00,3.469,222.65,"1b","Digital Archive","",""
28/10/1967 19:00,2.503,115.23,"1b","Digital Archive","",""
31/10/1967 23:00,3.388,212.28,"1b","Digital Archive","",""
05/11/1967 02:00,3.756,261.39,"1b","Digital Archive","",""
19/12/1967 10:00,2.733,137.60,"1b","Digital Archive","",""
23/12/1967 12:00,2.970,162.74,"1b","Digital Archive","",""
09/01/1968 18:00,3.854,275.34,"1b","Digital Archive","",""
24/03/1968 21:00,2.805,145.01,"1b","Digital Archive","",""
25/06/1968 15:00,2.384,104.44,"1b","Digital Archive","",""
28/06/1968 17:00,3.095,176.86,"1b","Digital Archive","",""
02/07/1968 23:00,3.151,183.38,"1b","Digital Archive","",""
11/07/1968 07:00,3.290,200.07,"1b","Digital Archive","",""
28/10/1968 18:00,2.443,109.72,"1b","Digital Archive","",""
27/11/1968 02:00,2.473,112.46,"1b","Digital Archive","",""
17/12/1968 13:00,2.605,124.90,"1b","Digital Archive","",""
22/12/1968 10:00,2.684,132.66,"1b","Digital Archive","",""
25/12/1968 19:00,3.609,241.15,"1b","Digital Archive","",""
17/01/1969 23:00,2.783,142.72,"1b","Digital Archive","",""
22/02/1969 22:00,2.767,141.07,"1b","Digital Archive","",""
26/04/1969 16:00,2.598,124.22,"1b","Digital Archive","",""
16/05/1969 08:00,2.414,107.11,"1b","Digital Archive","",""
29/07/1969 13:00,4.091,310.58,"1b","Digital Archive","",""
12/11/1969 02:00,2.571,121.63,"1b","Digital Archive","",""
15/11/1969 18:00,3.378,211.02,"1b","Digital Archive","",""
03/12/1969 08:00,2.526,117.37,"1b","Digital Archive","",""
14/12/1969 17:00,2.779,142.31,"1b","Digital Archive","",""
15/01/1970 20:00,2.565,121.06,"1b","Digital Archive","",""
09/02/1970 05:00,3.150,183.26,"1b","Digital Archive","",""
21/02/1970 10:00,2.852,149.95,"1b","Digital Archive","",""
21/04/1970 16:00,2.476,112.73,"1b","Digital Archive","",""
02/11/1970 20:00,4.107,313.03,"1b","Digital Archive","Genuine peak.",""
16/11/1970 21:00,2.572,121.73,"1b","Digital Archive","",""
03/12/1970 08:00,2.700,134.26,"1b","Digital Archive","Non-independent peak removed A",""
07/01/1971 19:00,2.634,127.72,"1b","Digital Archive","",""
22/01/1971 11:00,3.479,223.94,"1b","Digital Archive","Non-independent peak removed",""
26/01/1971 09:00,3.272,197.87,"1b","Digital Archive","",""
18/03/1971 14:00,2.496,114.58,"1b","Digital Archive","",""
19/06/1971 04:00,3.132,181.15,"1b","Digital Archive","",""
21/11/1971 11:00,2.782,142.62,"1b","Digital Archive","",""
28/11/1971 01:00,2.411,106.84,"1b","Digital Archive","",""
30/11/1971 20:00,2.678,132.06,"1b","Digital Archive","",""
13/01/1972 03:00,2.947,160.21,"1b","Digital Archive","",""
02/02/1972 16:00,2.759,140.25,"1b","Digital Archive","",""
13/06/1972 20:00,2.680,132.26,"1b","Digital Archive","",""
13/11/1972 01:00,2.464,111.63,"1b","Digital Archive","",""
02/12/1972 08:00,3.147,182.91,"1b","Digital Archive","",""
07/12/1972 01:00,3.183,187.16,"1b","Digital Archive","",""
12/12/1972 09:00,2.793,143.76,"1b","Digital Archive","Non-independent peak removed",""
12/02/1973 20:00,2.559,120.49,"1b","Digital Archive","",""
06/08/1973 14:00,2.796,144.07,"1b","Digital Archive","",""
29/11/1973 05:00,2.667,130.97,"1b","Digital Archive","",""
05/01/1974 03:00,2.713,135.57,"1b","Digital Archive","",""
08/01/1974 20:00,2.788,143.24,"1b","Digital Archive","",""
11/01/1974 06:00,2.470,112.18,"1b","Digital Archive","",""
26/01/1974 20:00,2.683,132.56,"1b","Digital Archive","",""
31/01/1974 01:00,2.838,148.47,"1b","Digital Archive","",""
09/02/1974 17:00,3.983,294.25,"1b","Digital Archive","",""
15/02/1974 06:00,2.701,134.36,"1b","Digital Archive","",""
05/09/1974 17:00,3.236,193.50,"1b","Digital Archive","",""
23/09/1974 22:00,2.584,122.88,"1b","Digital Archive","",""
27/09/1974 21:00,4.723,415.03,"1b","Digital Archive","Genuine peak, flat topped",""
19/10/1974 01:00,2.917,156.93,"1b","Digital Archive","",""
14/11/1974 03:00,3.473,223.17,"1b","Digital Archive","",""
27/12/1974 11:00,3.180,186.80,"1b","Digital Archive","",""
20/01/1975 11:00,3.444,219.42,"1b","Digital Archive","",""
25/01/1975 11:00,2.453,110.63,"1b","Digital Archive","",""
28/01/1975 21:00,2.961,161.75,"1b","Digital Archive","",""
31/01/1975 15:00,2.926,157.91,"1b","Digital Archive","",""
28/11/1975 21:00,2.632,127.53,"1b","Digital Archive","",""
02/12/1975 03:00,3.167,185.26,"1b","Digital Archive","",""
13/02/1976 06:00,2.946,160.10,"1b","Digital Archive","",""
22/03/1976 10:00,2.392,105.15,"1b","Digital Archive","",""
15/10/1976 08:00,3.101,164.72,"2c","Digital Archive","",""
01/12/1976 01:00,3.565,211.49,"2c","Digital Archive","Non-independent peak removed A",""
28/01/1977 19:00,2.450,107.98,"2c","Digital Archive","",""
03/02/1977 15:00,2.456,108.45,"2c","Digital Archive","",""
18/02/1977 20:00,2.734,131.43,"2c","Digital Archive","",""
11/01/1978 09:00,2.862,138.56,"17b","Digital Archive","",""
23/01/1978 18:00,2.569,111.85,"17b","Digital Archive","",""
23/02/1978 04:00,3.413,194.93,"17b","Digital Archive","",""
28/03/1978 20:00,2.822,134.77,"17b","Digital Archive","",""
01/02/1979 16:00,2.892,141.42,"17b","Digital Archive","",""
09/03/1979 16:00,2.551,110.28,"17b","Digital Archive","",""
13/03/1979 19:00,2.502,106.07,"17b","Digital Archive","",""
10/12/1979 02:00,3.322,185.08,"17b","Digital Archive","",""
15/12/1979 16:00,2.907,142.86,"17b","Digital Archive","",""
28/12/1979 01:00,5.762,516.58,"17b","Digital Archive","Genuine sharp peak.",""
21/01/1980 10:45,2.516,107.27,"17b","Digital Archive","",""
03/02/1980 21:15,3.158,167.86,"17b","Digital Archive","Non-independent peak removed A",""
08/02/1980 19:45,3.023,154.21,"17b","Digital Archive","",""
01/04/1980 01:15,2.973,149.28,"17b","Digital Archive","",""
28/06/1980 14:00,2.459,102.43,"17b","Digital Archive","",""
21/09/1980 17:00,2.581,112.90,"17b","Digital Archive","",""
07/10/1980 04:30,2.536,108.99,"17b","Digital Archive","",""
16/10/1980 17:30,3.630,219.25,"17b","Digital Archive","",""
15/11/1980 20:00,3.648,221.32,"17b","Digital Archive","",""
21/12/1980 03:45,2.456,102.18,"17b","Digital Archive","",""
15/01/1981 03:00,2.931,145.18,"17b","Digital Archive","",""
10/03/1981 00:30,5.261,437.62,"17b","Digital Archive","Genuine peak.",""
12/03/1981 23:15,2.661,119.98,"17b","Digital Archive","Non-independent peak removed A",""
22/03/1981 06:00,3.194,171.59,"17b","Digital Archive","",""
20/09/1981 02:15,2.746,127.70,"17b","Digital Archive","",""
03/10/1981 14:15,2.802,132.90,"17b","Digital Archive","",""
20/10/1981 13:00,2.948,146.83,"17b","Digital Archive","",""
25/10/1981 00:00,3.009,152.82,"17b","Digital Archive","",""
20/11/1981 08:00,2.631,117.30,"17b","Digital Archive","",""
08/12/1981 13:30,2.714,124.77,"17b","Digital Archive","",""
14/12/1981 07:00,3.565,211.84,"17b","Digital Archive","",""
20/12/1981 15:45,2.964,148.40,"17b","Digital Archive","",""
30/12/1981 14:30,2.618,116.15,"17b","Digital Archive","",""
09/01/1982 01:00,3.246,177.02,"17b","Digital Archive","",""
05/02/1982 21:00,2.519,107.53,"17b","Digital Archive","",""
03/03/1982 08:15,2.880,140.27,"17b","Digital Archive","",""
07/03/1982 03:45,3.076,159.52,"17b","Digital Archive","",""
10/03/1982 09:15,3.272,179.76,"17b","Digital Archive","",""
15/03/1982 22:00,3.161,168.17,"17b","Digital Archive","",""
17/10/1982 02:15,2.536,108.99,"17b","Digital Archive","",""
21/10/1982 11:15,2.486,104.71,"17b","Digital Archive","",""
08/11/1982 06:00,3.477,201.98,"17b","Digital Archive","",""
12/11/1982 15:45,3.852,245.32,"17b","Digital Archive","",""
21/11/1982 23:00,3.413,194.93,"17b","Digital Archive","",""
25/11/1982 00:15,2.671,120.88,"17b","Digital Archive","",""
10/12/1982 06:00,3.490,203.42,"17b","Digital Archive","",""
19/12/1982 21:30,3.658,222.47,"17b","Digital Archive","",""
04/01/1983 10:30,4.209,289.74,"17b","Digital Archive","Non-independent peak removed A",""
14/01/1983 15:00,2.852,137.61,"17b","Digital Archive","",""
31/01/1983 21:30,3.568,212.18,"17b","Digital Archive","",""
01/05/1983 18:15,3.095,161.43,"17b","Digital Archive","",""
27/11/1983 07:00,2.793,132.06,"17b","Digital Archive","",""
09/12/1983 20:30,2.786,131.40,"17b","Digital Archive","",""
15/12/1983 09:00,3.309,183.69,"17b","Digital Archive","",""
20/12/1983 16:30,3.272,179.76,"17b","Digital Archive","Non-independent peak removed B",""
03/01/1984 04:15,2.756,128.62,"17b","Digital Archive","",""
13/01/1984 12:15,3.371,190.36,"17b","Digital Archive","",""
16/01/1984 23:15,3.572,212.63,"17b","Digital Archive","",""
27/01/1984 12:15,3.164,168.48,"17b","Digital Archive","",""
07/02/1984 07:30,2.908,142.96,"17b","Digital Archive","",""
23/10/1984 02:00,2.667,120.52,"17b","Digital Archive","",""
12/11/1984 13:30,2.625,116.77,"17b","Digital Archive","",""
23/11/1984 06:30,3.357,188.84,"17b","Digital Archive","",""
16/12/1984 16:45,2.493,105.31,"17b","Digital Archive","",""
21/01/1985 15:45,3.148,166.84,"17b","Digital Archive","",""
30/01/1985 02:00,2.552,110.37,"17b","Digital Archive","",""
08/04/1985 15:00,2.788,131.59,"17b","Digital Archive","",""
07/10/1985 00:15,2.611,115.53,"17b","Digital Archive","",""
07/12/1985 01:15,2.726,125.87,"17b","Digital Archive","",""
24/12/1985 12:30,4.295,300.88,"17b","Digital Archive","",""
10/01/1986 15:45,3.012,153.12,"17b","Digital Archive","",""
22/01/1986 19:45,2.674,121.15,"17b","Digital Archive","",""
15/05/1986 02:30,2.926,144.70,"17b","Digital Archive","",""
26/08/1986 01:15,2.732,126.42,"17b","Digital Archive","",""
22/10/1986 04:45,2.621,116.42,"17b","Digital Archive","",""
14/11/1986 17:45,2.714,124.77,"17b","Digital Archive","",""
19/11/1986 09:45,4.098,275.60,"17b","Digital Archive","",""
26/11/1986 04:45,2.961,148.10,"17b","Digital Archive","",""
08/12/1986 12:30,2.739,127.06,"17b","Digital Archive","",""
11/12/1986 15:15,3.035,155.41,"17b","Digital Archive","",""
15/12/1986 17:15,3.036,155.51,"17b","Digital Archive","",""
25/12/1986 17:30,2.637,117.84,"17b","Digital Archive","",""
01/01/1987 08:00,2.980,149.96,"17b","Digital Archive","Non-independent peak removed B",""
23/03/1987 22:45,3.484,202.76,"17b","Digital Archive","",""
27/03/1987 11:00,3.280,180.61,"17b","Digital Archive","",""
03/04/1987 23:45,2.683,121.96,"17b","Digital Archive","",""
10/10/1987 05:45,2.608,115.27,"17b","Digital Archive","",""
16/10/1987 12:15,3.013,153.22,"17b","Digital Archive","",""
19/10/1987 00:00,2.635,117.66,"17b","Digital Archive","",""
12/11/1987 00:00,3.480,202.31,"17b","Digital Archive","",""
15/11/1987 16:45,2.648,118.82,"17b","Digital Archive","",""
19/11/1987 22:00,2.479,104.12,"17b","Digital Archive","",""
29/12/1987 22:00,2.676,121.33,"17b","Digital Archive","",""
02/01/1988 15:15,3.072,159.11,"17b","Digital Archive","",""
24/01/1988 09:15,2.634,117.57,"17b","Digital Archive","Non-independent peak removed A",""
29/01/1988 12:45,3.069,158.81,"17b","Digital Archive","",""
01/02/1988 06:15,2.848,137.23,"17b","Digital Archive","",""
10/02/1988 22:15,2.650,119.00,"17b","Digital Archive","",""
18/03/1988 06:00,2.701,123.59,"17b","Digital Archive","",""
20/03/1988 23:00,2.869,139.22,"17b","Digital Archive","",""
01/09/1988 12:45,2.605,115.00,"17b","Digital Archive","",""
06/10/1988 18:00,3.582,213.77,"17b","Digital Archive","",""
09/10/1988 15:30,4.149,282.06,"17b","Digital Archive","",""
12/10/1988 01:15,3.099,161.84,"17b","Digital Archive","",""
04/12/1988 19:15,3.082,160.12,"17b","Digital Archive","Non-independent peak removed A",""
18/02/1989 10:30,3.020,153.91,"17b","Digital Archive","",""
25/02/1989 19:00,2.585,113.25,"17b","Digital Archive","Non-independent peak removed B",""
15/03/1989 01:45,3.293,181.99,"17b","Digital Archive","",""
21/03/1989 00:00,2.714,124.77,"17b","Digital Archive","",""
30/10/1989 03:30,3.043,156.21,"17b","Digital Archive","",""
08/11/1989 17:45,3.427,196.46,"17b","Digital Archive","",""
