"NAME:","Doniford Stream at Swill Bridge"
"NUMBER:","51001"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
20/02/1967 00:00,1.130,15.01,"4d","CEH files","","AMAX ONLY"
10/07/1968 00:00,2.290,56.90,"4d","CEH files","","AMAX ONLY"
07/01/1969 00:00,1.040,12.80,"4d","CEH files","","AMAX ONLY"
14/01/1970 00:00,0.930,9.77,"4c","CEH files","","AMAX ONLY"
31/01/1971 00:00,1.140,15.27,"4d","CEH files","","AMAX ONLY"
18/02/1972 00:00,0.880,8.46,"4c","CEH files","","AMAX ONLY"
06/12/1972 00:00,0.950,10.33,"4c","CEH files","","AMAX ONLY"
10/02/1974 00:00,1.110,14.51,"4d","CEH files","","AMAX ONLY"
26/12/1974 00:00,0.920,9.50,"4c","CEH files","","AMAX ONLY"
21/03/1976 00:00,0.670,4.25,"4c","CEH files","","AMAX ONLY"
14/10/1976 00:00,1.100,14.26,"4d","CEH files","","AMAX ONLY"
23/02/1978 00:00,1.320,20.20,"4d","CEH files","","AMAX ONLY"
14/02/1979 00:00,0.850,7.74,"4c","CEH files","","AMAX ONLY"
27/12/1979 00:00,1.730,33.69,"4d","CEH files","","AMAX ONLY"
16/10/1980 00:00,1.180,16.31,"4d","CEH files","","AMAX ONLY"
30/12/1981 00:00,1.230,17.66,"4d","CEH files","","AMAX ONLY"
15/05/1983 00:00,0.950,10.33,"4c","CEH files","",""
17/07/1983 12:00,0.448,1.84,"SWL22","Digital Archive","",""
12/01/1984 15:30,0.777,7.14,"SWL23","Digital Archive","",""
16/01/1984 02:00,0.757,6.78,"SWL23","Digital Archive","",""
22/01/1984 09:00,0.648,4.93,"SWL23","Digital Archive","",""
22/11/1984 03:15,0.577,3.83,"SWL22","Digital Archive","",""
23/11/1984 19:45,0.678,5.41,"SWL23","Digital Archive","",""
02/12/1984 10:30,0.599,4.16,"SWL22","Digital Archive","",""
09/02/1985 07:45,0.624,4.55,"SWL22","Digital Archive","",""
08/04/1985 02:15,0.568,3.70,"SWL22","Digital Archive","",""
26/12/1985 09:00,0.889,9.36,"SWL23","Digital Archive","",""
01/01/1986 09:00,0.550,3.45,"SWL22","Digital Archive","",""
10/01/1986 09:00,0.583,3.92,"SWL22","Digital Archive","",""
19/11/1986 05:00,0.688,5.58,"SWL23","Digital Archive","",""
21/11/1986 05:15,0.581,3.89,"SWL22","Digital Archive","",""
13/12/1986 08:15,0.592,4.05,"SWL22","Digital Archive","",""
15/12/1986 15:45,0.647,4.92,"SWL23","Digital Archive","",""
18/12/1986 00:45,0.576,3.82,"SWL22","Digital Archive","",""
27/03/1987 08:15,0.858,8.72,"SWL23","Digital Archive","",""
04/04/1987 04:00,0.971,11.16,"SWL23","Digital Archive","",""
07/04/1987 12:30,0.663,5.17,"SWL23","Digital Archive","",""
29/01/1988 12:15,0.777,7.14,"SWL23","Digital Archive","",""
01/02/1988 02:30,0.908,9.77,"SWL23","Digital Archive","",""
04/02/1988 05:30,0.677,5.40,"SWL23","Digital Archive","",""
08/02/1988 08:00,0.700,5.78,"SWL23","Digital Archive","",""
10/02/1988 18:30,0.705,5.86,"SWL23","Digital Archive","",""
13/02/1988 18:30,0.629,4.63,"SWL22","Digital Archive","",""
25/02/1989 23:45,0.891,9.40,"SWL23","Digital Archive","",""
02/03/1989 23:00,0.571,3.75,"SWL22","Digital Archive","",""
14/03/1989 20:00,0.795,7.48,"SWL23","Digital Archive","",""
08/11/1989 13:45,0.549,3.43,"SWL22","Digital Archive","",""
14/12/1989 17:30,0.559,3.57,"SWL22","Digital Archive","",""
16/12/1989 11:15,0.593,4.07,"SWL22","Digital Archive","",""
19/12/1989 04:45,0.828,8.12,"SWL23","Digital Archive","",""
21/12/1989 04:00,0.933,10.31,"SWL23","Digital Archive","",""
25/12/1989 05:15,0.871,8.99,"SWL23","Digital Archive","",""
23/01/1990 17:30,0.561,3.60,"SWL22","Digital Archive","",""
28/01/1990 03:30,0.793,7.44,"SWL23","Digital Archive","",""
31/01/1990 01:45,0.760,6.83,"SWL23","Digital Archive","",""
02/02/1990 00:15,1.087,13.94,"SWL23","Digital Archive","",""
