"NAME:","Brue at Lovington"
"NUMBER:","52010"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
29/12/1964 09:00,0.865,8.37,"1b","Digital Archive","","AMAX ONLY"
24/07/1965 01:00,2.164,24.49,"1b","Digital Archive","",""
26/07/1965 02:15,1.608,16.59,"1b","Digital Archive","",""
30/07/1965 15:45,1.608,16.59,"1b","Digital Archive","",""
03/08/1965 00:15,4.019,93.19,"1c","Digital Archive","",""
07/11/1965 20:30,1.401,14.03,"1b","Digital Archive","",""
29/11/1965 14:15,2.265,26.09,"1b","Digital Archive","",""
05/12/1965 15:30,1.560,15.98,"1b","Digital Archive","",""
12/12/1965 20:45,1.965,21.50,"1b","Digital Archive","",""
17/12/1965 15:30,1.957,21.38,"1b","Digital Archive","Non-independent peak removed B",""
23/12/1965 10:00,1.383,13.82,"1b","Digital Archive","",""
02/01/1966 12:45,2.082,23.23,"1b","Digital Archive","",""
06/02/1966 08:15,1.503,15.27,"1b","Digital Archive","",""
10/02/1966 12:15,2.142,24.15,"1b","Digital Archive","",""
25/02/1966 19:00,1.340,13.32,"1b","Digital Archive","",""
16/04/1966 14:30,1.503,15.27,"1b","Digital Archive","",""
19/04/1966 17:15,1.957,21.38,"1b","Digital Archive","",""
22/04/1966 15:15,1.822,19.46,"1b","Digital Archive","",""
04/08/1966 02:30,1.621,16.76,"1b","Digital Archive","",""
07/08/1966 01:00,1.422,14.28,"1b","Digital Archive","",""
22/08/1966 02:30,1.338,13.29,"1b","Digital Archive","",""
15/10/1966 07:30,1.875,20.20,"1b","Digital Archive","",""
23/10/1966 04:45,2.591,31.56,"1b","Digital Archive","",""
05/11/1966 12:00,3.812,75.05,"1c","Digital Archive","Non-independent peak removed A",""
29/12/1966 17:00,2.157,24.38,"1b","Digital Archive","",""
26/01/1967 07:30,1.669,17.39,"1b","Digital Archive","",""
17/02/1967 12:30,1.697,17.76,"1b","Digital Archive","",""
21/02/1967 00:00,1.838,19.68,"1b","Digital Archive","",""
28/02/1967 05:15,1.508,15.33,"1b","Digital Archive","",""
09/03/1967 21:00,1.746,18.42,"1b","Digital Archive","",""
28/05/1967 11:00,1.536,15.68,"1b","Digital Archive","",""
17/10/1967 05:30,1.817,19.39,"1b","Digital Archive","",""
28/10/1967 20:45,1.603,16.53,"1b","Digital Archive","Non-independent peak removed B",""
31/10/1967 10:30,1.840,19.71,"1b","Digital Archive","",""
19/12/1967 06:30,1.358,13.53,"1b","Digital Archive","",""
01/01/1968 04:15,3.048,40.08,"1b","Digital Archive","",""
09/01/1968 10:30,2.605,31.81,"1b","Digital Archive","",""
14/01/1968 01:00,1.378,13.76,"1b","Digital Archive","",""
28/06/1968 16:00,2.401,28.31,"1b","Digital Archive","",""
11/07/1968 07:30,3.868,79.66,"1c","Digital Archive","",""
08/10/1968 22:30,1.547,15.82,"1b","Digital Archive","",""
02/11/1968 09:45,1.347,13.40,"1b","Digital Archive","",""
17/12/1968 17:45,1.697,17.76,"1b","Digital Archive","",""
22/12/1968 10:30,1.794,19.07,"1b","Digital Archive","",""
25/12/1968 14:45,2.088,23.33,"1b","Digital Archive","",""
22/02/1969 15:30,1.567,16.07,"1b","Digital Archive","",""
15/11/1969 04:00,1.539,15.72,"1b","Digital Archive","",""
