"NAME:","Chew at Compton Dando"
"NUMBER:","53004"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
20/12/1958 00:00,0.000,16.44,"2a","EA AMAX only","","AMAX ONLY"
24/01/1960 00:00,0.000,13.84,"2a","EA AMAX only","","AMAX ONLY"
04/12/1960 00:00,0.000,26.76,"2a","EA AMAX only","","AMAX ONLY"
10/01/1962 00:00,0.000,8.31,"2a","EA AMAX only","","AMAX ONLY"
13/03/1963 00:00,0.000,7.87,"2a","EA AMAX only","","AMAX ONLY"
18/11/1963 00:00,0.000,19.11,"2a","EA AMAX only","","AMAX ONLY"
13/01/1965 00:00,0.000,10.41,"2a","EA AMAX only","","AMAX ONLY"
09/12/1965 00:00,0.000,24.71,"2a","EA AMAX only","","AMAX ONLY"
27/02/1967 00:00,0.000,24.52,"2a","EA AMAX only","","AMAX ONLY"
01/07/1968 00:00,0.000,12.13,"2a","EA AMAX only","","AMAX ONLY"
10/07/1968 00:00,5.400,100.00,"2c","EA AMAX only","Rough estimate - see Station description","AMAX ONLY"
21/12/1968 00:00,0.000,10.19,"2a","EA AMAX only","","AMAX ONLY"
16/06/1970 00:00,0.000,21.28,"2a","EA AMAX only","","AMAX ONLY"
12/01/1972 00:00,0.000,13.32,"2a","EA AMAX only","","AMAX ONLY"
02/12/1972 00:00,0.000,17.66,"2a","EA AMAX only","","AMAX ONLY"
27/09/1974 00:00,0.000,27.51,"2a","EA AMAX only","","AMAX ONLY"
20/01/1975 00:00,0.000,14.59,"2a","EA AMAX only","","AMAX ONLY"
01/12/1975 00:00,0.000,8.28,"2a","EA AMAX only","","AMAX ONLY"
01/12/1976 00:00,0.000,13.97,"2a","EA AMAX only","","AMAX ONLY"
24/01/1978 00:00,0.000,13.30,"2a","EA AMAX only","","AMAX ONLY"
30/05/1979 00:00,0.000,29.75,"2a","EA AMAX only","","AMAX ONLY"
27/12/1979 00:00,0.000,28.04,"2a","EA AMAX only","","AMAX ONLY"
10/03/1981 00:00,0.000,14.58,"2a","EA AMAX only","","AMAX ONLY"
29/12/1981 00:00,0.000,28.75,"2a","EA AMAX only","","AMAX ONLY"
09/12/1982 00:00,2.960,18.21,"2c","EA AMAX only","Stage from NRFA p92 & 93","AMAX ONLY"
01/01/1984 00:00,3.060,19.11,"2c","EA AMAX only","Stage from NRFA p92 & 93","AMAX ONLY"
22/11/1984 00:00,2.300,12.37,"2c","EA AMAX only","Stage from NRFA p92 & 93","AMAX ONLY"
24/12/1985 00:00,3.890,27.44,"2c","EA AMAX only","Stage from NRFA p92 & 93","AMAX ONLY"
18/11/1986 00:00,3.010,18.65,"2c","EA AMAX only","Stage from NRFA p92 & 93","AMAX ONLY"
31/01/1988 00:00,2.470,13.37,"2c","EA AMAX only","Stage from NRFA p92 & 93","AMAX ONLY"
25/02/1989 00:00,0.000,18.32,"2a","EA AMAX only","","AMAX ONLY"
20/12/1989 00:00,0.000,19.19,"2a","EA AMAX only","","AMAX ONLY"
09/01/1991 00:00,0.000,13.99,"2a","EA AMAX only","","AMAX ONLY"
01/10/1991 09:00,0.000,16.72,"2a","EA AMAX only","Original value given as 4.04 m3/s, later revised (and confirmed) by Gauging Authority as 16.717 m3/s.","AMAX ONLY"
19/12/1991 15:30,1.042,2.34,"COM32","Digital Archive","","AMAX ONLY"
09/01/1992 04:15,1.108,2.70,"COM32","Digital Archive","","AMAX ONLY"
30/11/1992 17:30,3.874,30.11,"COM34","Digital Archive","Genuine peak.",""
02/12/1992 19:00,2.814,16.75,"COM33","531450.SG.HiUKPOT","",""
18/12/1992 14:00,3.262,21.03,"COM33","531450.SG.HiUKPOT","",""
13/10/1993 11:30,3.391,22.32,"COM33","531450.SG.HiUKPOT","",""
