"NAME:","Frome (Bristol) at Frenchay"
"NUMBER:","53006"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
10/01/1962 00:00,0.000,19.82,"2a","CEH","",""
11/01/1962 00:00,0.000,24.07,"2a","CEH","",""
21/01/1962 00:00,0.000,14.72,"2a","CEH","",""
08/04/1962 00:00,0.000,13.87,"2a","CEH","",""
17/03/1963 00:00,0.000,12.88,"2a","CEH","",""
18/11/1963 00:00,0.000,22.65,"2a","CEH","",""
19/11/1963 00:00,0.000,36.81,"2a","CEH","",""
19/03/1964 00:00,0.000,15.57,"2a","CEH","",""
13/12/1964 00:00,0.000,15.57,"2a","CEH","",""
31/12/1964 00:00,0.000,15.57,"2a","CEH","",""
13/01/1965 00:00,0.000,13.45,"2a","CEH","",""
14/01/1965 00:00,0.000,14.87,"2a","CEH","",""
23/07/1965 00:00,0.000,16.28,"2a","CEH","",""
29/11/1965 00:00,0.000,16.56,"2a","CEH","",""
09/12/1965 00:00,0.000,31.86,"2a","CEH","",""
19/12/1965 00:00,0.000,56.60,"2a","CEH","",""
22/12/1965 00:00,0.000,16.28,"2a","CEH","",""
01/01/1966 00:00,0.000,13.59,"2a","CEH","",""
10/02/1966 00:00,0.000,14.16,"2a","CEH","",""
25/02/1966 00:00,0.000,15.57,"2a","CEH","",""
22/04/1966 00:00,0.000,13.45,"2a","CEH","",""
05/11/1966 00:00,0.000,39.64,"2a","CEH","",""
29/12/1966 00:00,0.000,19.11,"2a","CEH","",""
31/12/1966 00:00,0.000,19.82,"2a","CEH","",""
17/02/1967 00:00,0.000,19.82,"2a","CEH","",""
19/02/1967 00:00,0.000,19.82,"2a","CEH","",""
20/02/1967 00:00,0.000,41.06,"2a","CEH","",""
27/02/1967 00:00,0.000,31.15,"2a","CEH","",""
28/05/1967 00:00,0.000,14.53,"2a","CEH","",""
17/10/1967 00:00,0.000,26.90,"2a","CEH","",""
28/10/1967 00:00,0.000,16.99,"2a","CEH","",""
31/10/1967 00:00,0.000,15.57,"2a","CEH","",""
04/11/1967 00:00,0.000,14.16,"2a","CEH","",""
23/11/1967 00:00,0.000,16.71,"2a","CEH","",""
09/01/1968 00:00,0.000,19.11,"2a","CEH","",""
10/07/1968 00:00,0.000,70.00,"2a","CEH","",""
26/11/1968 00:00,0.000,18.12,"2a","CEH","",""
30/11/1968 00:00,0.000,16.28,"2a","CEH","",""
21/12/1968 00:00,0.000,19.11,"2a","CEH","",""
22/12/1968 00:00,0.000,20.95,"2a","CEH","",""
25/12/1968 00:00,0.000,16.28,"2a","CEH","",""
17/01/1969 00:00,0.000,16.28,"2a","CEH","",""
22/02/1969 00:00,0.000,17.56,"2a","CEH","",""
23/02/1969 00:00,0.000,14.16,"2a","CEH","",""
12/03/1969 00:00,0.000,20.10,"2a","CEH","",""
26/05/1969 00:00,0.000,16.99,"2a","CEH","",""
29/07/1969 00:00,0.000,14.02,"2a","CEH","",""
16/01/1970 00:00,0.000,14.44,"2a","CEH","",""
29/11/1970 00:00,0.000,32.56,"2a","CEH","",""
23/01/1971 00:00,0.000,20.53,"2a","CEH","",""
31/01/1971 00:00,0.000,29.45,"2a","CEH","",""
26/04/1971 00:00,0.000,29.73,"2a","CEH","",""
11/06/1971 00:00,0.000,28.88,"2a","CEH","",""
18/06/1971 00:00,0.000,14.44,"2a","CEH","",""
19/10/1971 00:00,0.000,42.47,"2a","CEH","",""
13/01/1972 00:00,0.000,33.98,"2a","CEH","",""
04/02/1972 00:00,0.000,28.32,"2a","CEH","",""
04/03/1972 00:00,0.000,20.10,"2a","CEH","",""
07/03/1972 00:00,0.000,21.10,"2a","CEH","",""
02/12/1972 00:00,0.000,17.70,"2a","CEH","",""
07/12/1972 00:00,0.000,44.17,"2a","CEH","",""
09/02/1974 00:00,0.000,30.28,"2a","CEH","",""
10/02/1974 00:00,0.000,20.52,"2a","CEH","",""
15/02/1974 00:00,0.000,18.39,"2a","CEH","",""
03/08/1974 00:00,0.000,15.00,"2a","CEH","",""
