"NAME:","Frome (Somerset) at Tellisford"
"NUMBER:","53007"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
25/04/1961 00:00,0.000,35.39,"1a","CEH","",""
30/12/1961 00:00,0.000,35.39,"1a","CEH","",""
21/01/1962 00:00,0.000,36.10,"1a","CEH","",""
13/03/1963 00:00,0.000,31.14,"1a","CEH","",""
17/03/1963 00:00,0.000,36.80,"1a","CEH","",""
18/03/1963 00:00,0.000,31.14,"1a","CEH","",""
17/04/1963 00:00,0.000,31.00,"1a","CEH","",""
24/04/1963 00:00,0.000,36.80,"1a","CEH","",""
11/11/1963 00:00,0.000,36.10,"1a","CEH","",""
17/11/1963 00:00,0.000,32.56,"1a","CEH","",""
19/11/1963 00:00,0.000,66.25,"1a","CEH","",""
19/03/1964 00:00,0.000,36.80,"1a","CEH","",""
01/06/1964 00:00,0.000,36.80,"1a","CEH","",""
16/01/1965 00:00,0.000,31.41,"1a","CEH","",""
02/08/1965 00:00,0.000,83.51,"1a","CEH","",""
29/11/1965 00:00,0.000,43.60,"1a","CEH","",""
05/12/1965 00:00,0.000,33.26,"1a","CEH","",""
09/12/1965 00:00,0.000,66.25,"1a","CEH","",""
17/12/1965 00:00,0.000,49.26,"1a","CEH","",""
22/12/1965 00:00,0.000,33.97,"1a","CEH","",""
29/12/1965 00:00,0.000,34.54,"1a","CEH","",""
02/01/1966 00:00,0.000,42.46,"1a","CEH","",""
10/02/1966 00:00,0.000,45.01,"1a","CEH","",""
16/04/1966 00:00,0.000,35.39,"1a","CEH","",""
19/04/1966 00:00,0.000,56.20,"1a","CEH","",""
22/04/1966 00:00,0.000,39.63,"1a","CEH","",""
22/10/1966 00:00,0.000,33.17,"1a","CEH","",""
05/11/1966 00:00,0.000,86.35,"1a","CEH","",""
29/12/1966 00:00,0.000,45.30,"1a","CEH","",""
31/12/1966 00:00,0.000,38.22,"1a","CEH","",""
17/02/1967 00:00,0.000,32.27,"1a","CEH","",""
26/02/1967 00:00,0.000,45.30,"1a","CEH","",""
27/02/1967 00:00,0.000,33.12,"1a","CEH","",""
09/03/1967 00:00,0.000,36.52,"1a","CEH","",""
16/09/1967 00:00,0.000,31.14,"1a","CEH","",""
27/09/1967 00:00,0.000,31.14,"1a","CEH","",""
09/01/1968 00:00,0.000,48.98,"1a","CEH","",""
11/07/1968 00:00,0.000,113.24,"1a","CEH","",""
22/12/1968 00:00,0.000,36.52,"1a","CEH","",""
25/12/1968 00:00,0.000,37.65,"1a","CEH","",""
22/02/1969 00:00,0.000,39.63,"1a","CEH","",""
13/03/1969 00:00,0.000,37.37,"1a","CEH","",""
14/12/1969 00:00,0.000,31.85,"1a","CEH","",""
19/01/1971 00:00,0.000,37.51,"1a","CEH","",""
23/01/1971 00:00,0.000,33.26,"1a","CEH","",""
11/06/1971 00:00,0.000,33.69,"1a","CEH","",""
19/06/1971 00:00,0.000,33.41,"1a","CEH","",""
20/11/1971 00:00,0.000,45.01,"1a","CEH","",""
13/01/1972 00:00,0.000,31.71,"1a","CEH","",""
03/02/1972 00:00,0.000,57.75,"1a","CEH","",""
07/03/1972 00:00,0.000,36.52,"1a","CEH","",""
02/12/1972 00:00,0.000,48.13,"1a","CEH","",""
06/12/1972 00:00,0.000,76.15,"1a","CEH","",""
12/02/1973 00:00,0.000,39.63,"1a","CEH","",""
07/01/1974 00:00,0.000,45.47,"1a","CEH","",""
09/02/1974 00:00,0.000,63.67,"1a","CEH","",""
