"NAME:","Avon at Great Somerford"
"NUMBER:","53008"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
31/12/1963 18:30,0.514,4.84,"1b","Digital Archive","","AMAX ONLY"
01/01/1964 00:00,0.490,4.27,"1b","CEH files","",""
28/02/1964 00:00,0.530,5.23,"1b","CEH files","",""
19/03/1964 00:00,1.260,33.35,"1c","CEH files","",""
24/03/1964 15:15,0.952,19.32,"1c","Digital Archive","",""
15/01/1965 10:15,0.876,16.32,"1c","Digital Archive","",""
21/07/1965 10:00,0.953,19.36,"1c","Digital Archive","",""
29/11/1965 17:30,1.018,22.08,"1c","Digital Archive","",""
05/12/1965 20:15,0.940,18.84,"1c","Digital Archive","",""
10/12/1965 03:00,1.258,33.25,"1c","Digital Archive","",""
16/12/1965 10:00,0.907,17.52,"1c","Digital Archive","",""
19/12/1965 12:15,1.807,64.59,"1d","Digital Archive","",""
23/12/1965 16:45,1.197,30.25,"1c","Digital Archive","",""
01/01/1966 10:45,1.019,22.13,"1c","Digital Archive","",""
26/01/1966 01:15,0.939,18.80,"1c","Digital Archive","",""
10/02/1966 14:00,1.037,22.91,"1c","Digital Archive","",""
20/02/1966 14:00,0.866,15.94,"1c","Digital Archive","",""
26/02/1966 00:30,1.082,24.89,"1c","Digital Archive","",""
16/04/1966 19:30,0.846,15.19,"1c","Digital Archive","",""
20/04/1966 02:00,1.101,25.75,"1c","Digital Archive","",""
09/05/1966 00:15,0.823,14.34,"1c","Digital Archive","",""
20/10/1966 09:00,0.823,14.34,"1c","Digital Archive","",""
23/10/1966 08:00,0.958,19.57,"1c","Digital Archive","",""
06/11/1966 17:30,0.882,16.55,"1c","Digital Archive","",""
31/12/1966 13:45,0.972,20.15,"1c","Digital Archive","",""
21/02/1967 03:00,1.424,41.94,"1c","Digital Archive","Non-independent peak removed B",""
28/02/1967 07:00,1.455,43.64,"1c","Digital Archive","",""
09/03/1967 11:30,1.082,24.89,"1c","Digital Archive","",""
28/05/1967 14:30,1.034,22.77,"1c","Digital Archive","",""
17/10/1967 08:30,1.116,26.44,"1c","Digital Archive","",""
21/10/1967 15:45,0.824,14.38,"1c","Digital Archive","",""
28/10/1967 09:45,1.070,24.36,"1c","Digital Archive","",""
31/10/1967 12:15,0.838,14.89,"1c","Digital Archive","",""
06/11/1967 09:00,1.075,24.58,"1c","Digital Archive","",""
19/12/1967 08:00,0.869,16.05,"1c","Digital Archive","",""
23/12/1967 13:30,0.837,14.85,"1c","Digital Archive","",""
05/01/1968 16:30,0.867,15.98,"1c","Digital Archive","",""
