"NAME:","Sherston Avon at Fosseway"
"NUMBER:","53023"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
07/12/1976 22:00,0.501,2.73,"FOS[migrated]4","Digital Archive","",""
21/12/1976 06:15,0.639,4.66,"FOS[migrated]4","Digital Archive","",""
01/01/1977 11:30,0.638,4.64,"FOS[migrated]4","Digital Archive","",""
11/02/1977 10:45,0.740,6.33,"FOS[migrated]4","Digital Archive","",""
03/03/1977 08:30,0.585,3.85,"FOS[migrated]4","Digital Archive","",""
16/03/1977 03:00,0.416,1.76,"FOS[migrated]3","Digital Archive","",""
03/05/1977 21:15,0.305,0.80,"FOS[migrated]3","Digital Archive","",""
14/06/1977 18:15,0.331,0.99,"FOS[migrated]3","Digital Archive","",""
02/11/1977 10:45,0.485,2.53,"FOS[migrated]4","Digital Archive","",""
12/11/1977 11:45,0.481,2.49,"FOS[migrated]4","Digital Archive","",""
28/11/1977 06:00,0.393,1.52,"FOS[migrated]3","Digital Archive","",""
11/12/1977 05:15,0.676,5.24,"FOS[migrated]4","Digital Archive","",""
11/01/1978 05:45,0.574,3.69,"FOS[migrated]4","Digital Archive","",""
28/01/1978 11:45,0.708,5.77,"FOS[migrated]4","Digital Archive","",""
11/04/1978 10:15,0.545,3.30,"FOS[migrated]4","Digital Archive","",""
14/04/1978 10:00,0.351,1.15,"FOS[migrated]3","Digital Archive","",""
02/05/1978 14:45,0.354,1.17,"FOS[migrated]3","Digital Archive","",""
02/08/1978 18:30,0.261,0.54,"FOS[migrated]3","Digital Archive","",""
09/08/1978 22:15,0.254,0.51,"FOS[migrated]3","Digital Archive","",""
13/08/1978 15:15,0.250,0.49,"FOS[migrated]3","Digital Archive","",""
14/11/1978 11:00,0.328,0.97,"FOS[migrated]3","Digital Archive","",""
25/11/1978 13:30,0.349,1.13,"FOS[migrated]3","Digital Archive","",""
29/03/1979 20:15,0.610,4.22,"FOS[migrated]4","Digital Archive","",""
12/04/1979 06:30,0.391,1.50,"FOS[migrated]3","Digital Archive","",""
30/05/1979 18:15,1.011,11.77,"FOS[migrated]6","Digital Archive","",""
07/06/1979 12:00,0.446,2.08,"FOS[migrated]4","Digital Archive","",""
11/07/1979 12:15,0.279,0.64,"FOS[migrated]3","Digital Archive","",""
13/11/1979 13:30,0.340,1.06,"FOS[migrated]3","Digital Archive","",""
14/12/1979 12:30,0.620,4.37,"FOS[migrated]4","Digital Archive","",""
28/12/1979 01:15,0.815,7.69,"FOS[migrated]6","Digital Archive","",""
05/02/1980 09:30,0.637,4.62,"FOS[migrated]4","Digital Archive","",""
18/03/1980 21:30,0.523,3.01,"FOS[migrated]4","Digital Archive","",""
01/04/1980 20:00,0.568,3.61,"FOS[migrated]4","Digital Archive","",""
16/10/1980 17:15,0.469,2.34,"FOS[migrated]4","Digital Archive","",""
18/11/1980 13:45,0.458,2.22,"FOS[migrated]4","Digital Archive","",""
20/12/1980 14:30,0.439,2.01,"FOS[migrated]4","Digital Archive","",""
03/02/1981 13:45,0.354,1.17,"FOS[migrated]3","Digital Archive","",""
11/03/1981 17:00,0.809,7.57,"FOS[migrated]6","Digital Archive","",""
22/03/1981 14:45,0.656,4.92,"FOS[migrated]4","Digital Archive","",""
27/03/1981 18:30,0.465,2.30,"FOS[migrated]4","Digital Archive","",""
16/04/1981 01:30,0.310,0.84,"FOS[migrated]3","Digital Archive","",""
21/04/1981 10:00,0.342,1.07,"FOS[migrated]3","Digital Archive","",""
27/04/1981 12:15,0.360,1.22,"FOS[migrated]3","Digital Archive","",""
05/05/1981 08:30,0.416,1.76,"FOS[migrated]3","Digital Archive","",""
