"NAME:","Biss at Trowbridge"
"NUMBER:","53029"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
27/01/1984 16:45,1.229,12.72,"4e","531050.SG.HiUKPOT","",""
07/02/1984 01:00,0.914,8.63,"4e","531050.SG.HiUKPOT","",""
22/11/1984 17:45,0.850,7.90,"4e","531050.SG.HiUKPOT","",""
22/01/1985 01:45,1.177,11.99,"4e","531050.SG.HiUKPOT","",""
08/02/1985 19:45,0.832,7.70,"4e","531050.SG.HiUKPOT","",""
26/12/1985 13:00,1.331,14.21,"4e","531050.SG.HiUKPOT","",""
10/01/1986 20:30,0.802,7.37,"4e","531050.SG.HiUKPOT","",""
29/01/1986 12:45,1.364,14.71,"4e","531050.SG.HiUKPOT","",""
31/01/1986 12:30,0.801,7.36,"4e","531050.SG.HiUKPOT","",""
19/11/1986 14:45,0.835,7.73,"4e","531050.SG.HiUKPOT","",""
11/12/1986 20:45,0.790,7.24,"4e","531050.SG.HiUKPOT","",""
15/12/1986 22:30,0.815,7.51,"4e","531050.SG.HiUKPOT","",""
04/04/1987 20:15,0.969,9.29,"4e","531050.SG.HiUKPOT","",""
12/11/1987 12:00,0.817,7.53,"4e","531050.SG.HiUKPOT","",""
01/02/1988 10:30,0.834,7.72,"4e","531050.SG.HiUKPOT","",""
26/02/1989 02:45,0.803,7.38,"4e","531050.SG.HiUKPOT","",""
15/03/1989 02:45,0.896,8.42,"4e","531050.SG.HiUKPOT","",""
19/12/1989 02:00,1.046,10.25,"4e","531050.SG.HiUKPOT","",""
21/12/1989 06:00,2.025,26.44,"4e","531050.SG.HiUKPOT","",""
25/12/1989 07:45,0.915,8.65,"4e","531050.SG.HiUKPOT","",""
10/01/1991 05:45,0.835,7.73,"4e","531050.SG.HiUKPOT","",""
19/09/1992 00:45,1.749,21.14,"4e","531050.SG.HiUKPOT","",""
26/11/1992 02:30,0.976,9.38,"4e","531050.SG.HiUKPOT","",""
29/11/1992 06:45,0.838,7.76,"4e","531050.SG.HiUKPOT","",""
30/11/1992 21:45,1.041,10.19,"4e","531050.SG.HiUKPOT","",""
02/12/1992 20:00,0.910,8.59,"4e","531050.SG.HiUKPOT","",""
07/12/1992 02:00,0.987,9.51,"4e","531050.SG.HiUKPOT","",""
18/12/1992 16:15,0.976,9.38,"4e","531050.SG.HiUKPOT","",""
10/01/1993 23:45,1.358,14.62,"4e","531050.SG.HiUKPOT","",""
13/01/1993 18:00,0.935,8.88,"4e","531050.SG.HiUKPOT","",""
13/10/1993 17:15,1.602,18.55,"4e","531050.SG.HiUKPOT","",""
19/12/1993 07:00,0.948,9.04,"4e","531050.SG.HiUKPOT","",""
20/12/1993 18:30,1.080,10.69,"4e","531050.SG.HiUKPOT","",""
30/12/1993 21:00,0.979,9.41,"4e","531050.SG.HiUKPOT","",""
05/01/1994 12:45,1.402,15.29,"4e","531050.SG.HiUKPOT","",""
12/01/1994 23:00,0.829,7.66,"4e","531050.SG.HiUKPOT","",""
01/04/1994 04:15,0.800,7.35,"4e","531050.SG.HiUKPOT","",""
09/04/1994 19:15,1.153,11.66,"4e","531050.SG.HiUKPOT","",""
08/12/1994 15:15,0.821,7.58,"4e","531050.SG.HiUKPOT","",""
20/01/1995 04:30,0.799,7.34,"4e","531050.SG.HiUKPOT","",""
22/01/1995 05:15,1.183,12.08,"4e","531050.SG.HiUKPOT","",""
28/01/1995 03:45,1.223,12.64,"4e","531050.SG.HiUKPOT","",""
30/01/1995 04:30,1.507,16.96,"4e","531050.SG.HiUKPOT","",""
01/02/1995 13:15,0.946,9.01,"4e","531050.SG.HiUKPOT","",""
22/02/1995 23:00,0.828,7.65,"4e","531050.SG.HiUKPOT","",""
20/12/1995 09:15,0.936,8.90,"4e","531050.SG.HiUKPOT","",""
23/12/1995 01:45,1.251,13.03,"4e","531050.SG.HiUKPOT","",""
18/02/1997 06:30,1.053,10.34,"4e","531050.SG.HiUKPOT","",""
03/01/1998 19:00,1.239,12.86,"4e","531050.SG.HiUKPOT","",""
05/01/1998 15:00,1.116,11.17,"4e","531050.SG.HiUKPOT","",""
05/04/1998 22:15,0.842,7.81,"4e","531050.SG.HiUKPOT","",""
09/04/1998 11:45,0.913,8.62,"4e","531050.SG.HiUKPOT","",""
24/10/1998 23:00,1.072,10.59,"4e","531050.SG.HiUKPOT","",""
01/11/1998 08:30,1.356,14.59,"4e","531050.SG.HiUKPOT","",""
26/12/1998 20:30,1.133,11.39,"4e","531050.SG.HiUKPOT","",""
12/01/1999 17:15,1.010,9.80,"4e","531050.SG.HiUKPOT","",""
16/01/1999 09:45,1.186,12.12,"4e","531050.SG.HiUKPOT","",""
20/01/1999 10:30,1.236,12.82,"4e","531050.SG.HiUKPOT","",""
09/08/1999 23:00,0.913,8.62,"4e","531050.SG.HiUKPOT","",""
25/12/1999 02:00,1.150,11.62,"4e","531050.SG.HiUKPOT","",""
29/02/2000 14:15,0.945,9.00,"4e","531050.SG.HiUKPOT","",""
04/04/2000 04:00,1.213,12.49,"4e","531050.SG.HiUKPOT","",""
15/04/2000 13:30,0.796,7.30,"4e","531050.SG.HiUKPOT","",""
19/04/2000 03:30,1.143,11.53,"4e","531050.SG.HiUKPOT","",""
30/10/2000 11:30,2.097,27.92,"4e","531050.SG.HiUKPOT","",""
06/11/2000 02:00,1.181,12.05,"4e","531050.SG.HiUKPOT","",""
06/12/2000 00:00,0.910,8.59,"4e","531050.SG.HiUKPOT","",""
08/12/2000 02:15,1.228,12.71,"4e","531050.SG.HiUKPOT","",""
12/12/2000 23:30,1.039,10.16,"4e","531050.SG.HiUKPOT","",""
02/01/2001 14:00,0.896,8.42,"4e","531050.SG.HiUKPOT","",""
04/01/2001 12:30,0.866,8.08,"4e","531050.SG.HiUKPOT","",""
26/01/2001 23:15,0.867,8.09,"4e","531050.SG.HiUKPOT","",""
05/02/2001 02:00,1.005,9.74,"4e","531050.SG.HiUKPOT","",""
12/02/2001 17:45,1.022,9.95,"4e","531050.SG.HiUKPOT","",""
18/03/2001 03:30,0.807,7.42,"4e","531050.SG.HiUKPOT","",""
21/03/2001 09:30,1.287,13.56,"4e","531050.SG.HiUKPOT","",""
27/01/2002 04:45,0.915,8.65,"4e","531050.SG.HiUKPOT","",""
01/02/2002 23:59,0.894,8.40,"4e","531050.SG.HiUKPOT","",""
04/02/2002 20:45,0.805,7.40,"4e","531050.SG.HiUKPOT","",""
14/11/2002 15:15,1.511,17.03,"4e","531050.SG.HiUKPOT","",""
24/11/2002 02:45,0.972,9.33,"4e","531050.SG.HiUKPOT","",""
22/12/2002 09:15,0.823,7.60,"4e","531050.SG.HiUKPOT","",""
01/01/2003 23:30,1.694,20.15,"4e","531050.SG.HiUKPOT","",""
20/01/2003 19:15,0.992,9.57,"4e","531050.SG.HiUKPOT","",""
12/01/2004 16:30,0.973,9.34,"4e","531050.SG.HiUKPOT","",""
