"NAME:","Severn at Montford"
"NUMBER:","54005"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
29/01/1952 00:00,4.660,179.40,"8a","CEH POTs","",""
05/11/1952 00:00,3.930,139.16,"8a","CEH POTs","",""
17/12/1952 00:00,4.830,189.23,"8a","CEH POTs","",""
31/01/1953 00:00,3.530,118.55,"8a","CEH POTs","",""
18/02/1953 00:00,3.610,122.59,"8a","CEH POTs","",""
30/03/1953 00:00,4.920,195.33,"8b","CEH POTs","",""
30/04/1953 00:00,4.240,155.85,"8a","CEH POTs","",""
22/09/1953 00:00,4.480,169.17,"8a","CEH POTs","",""
15/11/1953 00:00,4.660,179.40,"8a","CEH POTs","",""
22/01/1954 00:00,4.170,152.03,"8a","CEH POTs","",""
11/02/1954 00:00,4.720,182.85,"8a","CEH POTs","",""
07/03/1954 00:00,4.630,177.68,"8a","CEH POTs","",""
04/04/1954 00:00,1.790,42.68,"8a","CEH POTs","",""
06/06/1954 00:00,4.540,172.56,"8a","CEH POTs","",""
16/09/1954 00:00,3.570,120.56,"8a","CEH POTs","",""
27/10/1954 00:00,5.230,225.18,"8b","CEH POTs","",""
28/11/1954 00:00,5.520,256.55,"8b","CEH POTs","",""
03/12/1954 00:00,5.450,248.66,"8b","CEH POTs","",""
11/01/1955 00:00,4.590,175.40,"8a","CEH POTs","",""
27/03/1955 00:00,5.610,267.01,"8b","CEH POTs","",""
18/05/1955 00:00,3.790,131.83,"8a","CEH POTs","",""
08/06/1955 00:00,4.690,181.12,"8a","CEH POTs","",""
14/12/1955 00:00,4.210,154.21,"8a","CEH POTs","",""
27/01/1956 00:00,5.820,292.84,"8b","CEH POTs","",""
01/02/1956 00:00,3.720,128.21,"8a","CEH POTs","",""
04/03/1956 00:00,4.020,143.94,"8a","CEH POTs","",""
29/12/1956 00:00,4.680,180.54,"8a","CEH POTs","",""
06/01/1957 00:00,4.810,188.06,"8a","CEH POTs","",""
08/02/1957 00:00,4.210,154.21,"8a","CEH POTs","",""
18/03/1957 00:00,4.710,182.27,"8a","CEH POTs","",""
13/08/1957 00:00,4.850,190.39,"8a","CEH POTs","",""
26/09/1957 00:00,6.260,353.93,"8b","CEH POTs","",""
30/10/1957 00:00,4.490,169.74,"8a","CEH POTs","",""
07/11/1957 00:00,5.090,211.25,"8b","CEH POTs","",""
08/12/1957 00:00,4.510,170.86,"8a","CEH POTs","",""
11/01/1958 00:00,4.750,184.58,"8a","CEH POTs","",""
11/02/1958 00:00,5.850,296.69,"8b","CEH POTs","",""
03/06/1958 00:00,3.700,127.18,"8a","CEH POTs","",""
28/07/1958 00:00,3.600,122.08,"8a","CEH POTs","",""
24/09/1958 00:00,4.880,192.15,"8a","CEH POTs","",""
04/10/1958 00:00,4.390,164.13,"8a","CEH POTs","",""
31/12/1958 00:00,3.900,137.58,"8a","CEH POTs","",""
03/01/1959 00:00,5.380,240.97,"8b","CEH POTs","",""
17/04/1959 00:00,4.460,168.05,"8a","CEH POTs","",""
27/10/1959 00:00,4.540,172.56,"8a","CEH POTs","",""
26/11/1959 00:00,4.530,171.99,"8a","CEH POTs","",""
28/12/1959 00:00,5.090,211.25,"8b","CEH POTs","",""
25/01/1960 00:00,5.680,275.39,"8b","CEH POTs","",""
01/02/1960 00:00,4.970,199.90,"8b","CEH POTs","",""
25/08/1960 00:00,3.890,137.05,"8a","CEH POTs","",""
23/09/1960 00:00,3.850,134.95,"8a","CEH POTs","",""
28/10/1960 00:00,4.540,172.56,"8a","CEH POTs","",""
27/11/1960 00:00,5.390,242.06,"8b","CEH POTs","",""
05/12/1960 00:00,,467.23,"8a","CEH POTs","",""
29/01/1961 00:00,4.590,175.40,"8a","CEH POTs","",""
01/02/1961 00:00,4.540,172.56,"8a","CEH POTs","",""
05/05/1961 00:00,3.920,138.63,"8a","CEH POTs","",""
27/10/1961 00:00,3.520,118.05,"8a","CEH POTs","",""
30/11/1961 00:00,4.720,182.85,"8a","CEH POTs","",""
05/12/1961 00:00,4.810,188.06,"8a","CEH POTs","",""
17/01/1962 00:00,4.240,155.85,"8a","CEH POTs","",""
05/02/1962 00:00,4.560,173.69,"8a","CEH POTs","",""
03/04/1962 00:00,4.920,195.33,"8b","CEH POTs","",""
01/08/1962 00:00,3.930,139.16,"8a","CEH POTs","",""
16/12/1962 00:00,4.680,180.54,"8a","CEH POTs","",""
07/03/1963 00:00,,300.16,"8a","CEH POTs","",""
15/04/1963 00:00,3.730,128.72,"8a","CEH POTs","",""
26/09/1963 00:00,4.050,145.55,"8a","CEH POTs","",""
27/11/1963 00:00,,308.66,"8a","CEH POTs","",""
24/03/1964 00:00,3.950,140.22,"8a","CEH POTs","",""
13/12/1964 00:00,,441.75,"8a","CEH POTs","",""
17/01/1965 00:00,5.470,250.89,"8b","CEH POTs","",""
26/03/1965 00:00,4.390,164.13,"8a","CEH POTs","",""
09/05/1965 00:00,4.690,181.12,"8a","CEH POTs","",""
09/09/1965 00:00,4.360,162.47,"8a","CEH POTs","",""
25/11/1965 00:00,4.330,160.80,"8a","CEH POTs","",""
10/12/1965 00:00,,436.08,"8a","CEH POTs","",""
26/01/1966 00:00,4.660,179.40,"8a","CEH POTs","",""
09/02/1966 00:00,4.810,188.06,"8a","CEH POTs","",""
22/04/1966 00:00,4.140,150.40,"8a","CEH POTs","",""
28/06/1966 00:00,4.020,143.94,"8a","CEH POTs","",""
19/10/1966 00:00,3.780,131.31,"8a","CEH POTs","",""
30/11/1966 00:00,4.420,165.81,"8a","CEH POTs","",""
11/12/1966 00:00,,308.65,"8a","CEH POTs","",""
01/01/1967 00:00,3.600,122.08,"8a","CEH POTs","",""
28/02/1967 00:00,5.730,281.52,"8b","CEH POTs","",""
01/03/1967 00:00,5.670,274.18,"8b","CEH POTs","",""
30/08/1967 00:00,3.630,123.60,"8a","CEH POTs","",""
02/11/1967 00:00,4.330,160.80,"8a","CEH POTs","",""
23/12/1967 00:00,4.810,188.06,"8a","CEH POTs","",""
15/01/1968 00:00,6.490,389.96,"8b","CEH POTs","",""
25/03/1968 00:00,5.320,234.55,"8b","CEH POTs","",""
26/05/1968 00:00,3.900,137.58,"8a","CEH POTs","",""
03/07/1968 00:00,4.810,188.06,"8a","CEH POTs","",""
21/09/1968 00:00,4.190,153.11,"8a","CEH POTs","",""
02/11/1968 00:00,4.510,170.86,"8a","CEH POTs","",""
23/12/1968 00:00,4.140,150.40,"8a","CEH POTs","",""
22/01/1969 00:00,4.720,182.85,"8a","CEH POTs","",""
24/02/1969 00:00,4.400,164.69,"8a","CEH POTs","",""
14/03/1969 00:00,4.450,167.49,"8a","CEH POTs","",""
26/04/1969 00:00,3.920,138.63,"8a","CEH POTs","",""
26/05/1969 00:00,4.850,190.39,"8a","CEH POTs","",""
12/11/1969 00:00,4.780,186.32,"8a","CEH POTs","",""
22/12/1969 00:00,4.810,188.06,"8a","CEH POTs","",""
03/11/1970 00:00,4.730,183.42,"8a","CEH POTs","",""
07/11/1970 00:00,4.700,181.69,"8a","CEH POTs","",""
23/11/1970 00:00,4.750,184.58,"8a","CEH POTs","",""
24/01/1971 13:15,4.451,167.54,"8a","Digital Archive","",""
13/02/1971 17:00,4.181,152.62,"8a","Digital Archive","",""
18/02/1971 22:45,3.742,129.34,"8a","Digital Archive","",""
06/12/1979 06:15,4.779,207.11,"63","Digital Archive","",""
15/12/1979 17:00,5.297,265.54,"63","Digital Archive","",""
28/12/1979 23:00,5.387,276.59,"63","Digital Archive","",""
23/01/1980 11:45,4.150,167.39,"62","Digital Archive","",""
09/02/1980 10:45,5.339,270.66,"63","Digital Archive","",""
29/03/1980 16:00,4.354,179.16,"62","Digital Archive","",""
07/10/1980 16:00,4.162,168.08,"71","Digital Archive","",""
28/10/1980 20:00,4.747,203.78,"72","Digital Archive","",""
23/11/1980 01:00,4.736,202.65,"72","Digital Archive","",""
21/12/1980 04:15,4.738,202.85,"72","Digital Archive","",""
15/01/1981 12:00,4.748,203.89,"72","Digital Archive","",""
04/02/1981 00:15,4.730,202.03,"72","Digital Archive","",""
12/03/1981 15:45,5.582,301.46,"72","Digital Archive","",""
23/03/1981 07:30,5.760,325.30,"72","Digital Archive","",""
02/10/1981 09:15,4.190,169.68,"71","Digital Archive","",""
10/10/1981 18:30,4.794,208.68,"72","Digital Archive","",""
20/10/1981 22:15,4.076,163.18,"71","Digital Archive","",""
19/11/1981 05:30,4.113,165.28,"71","Digital Archive","",""
28/11/1981 00:30,4.016,159.78,"71","Digital Archive","",""
15/12/1981 17:30,4.416,182.78,"71","Digital Archive","",""
04/01/1982 11:30,5.438,282.97,"72","Digital Archive","",""
19/01/1982 17:30,4.222,171.52,"71","Digital Archive","",""
16/03/1982 08:45,5.465,286.38,"72","Digital Archive","",""
13/11/1982 03:15,4.314,176.84,"71","Digital Archive","",""
23/11/1982 00:30,4.878,217.61,"72","Digital Archive","",""
10/12/1982 17:15,4.807,210.05,"72","Digital Archive","",""
22/12/1982 02:30,5.505,291.49,"72","Digital Archive","",""
05/01/1983 08:30,5.670,313.11,"72","Digital Archive","",""
15/01/1983 03:00,4.256,173.48,"71","Digital Archive","",""
02/02/1983 01:30,5.665,312.44,"72","Digital Archive","",""
26/04/1983 00:15,4.531,189.53,"71","Digital Archive","",""
08/06/1983 13:15,4.210,170.83,"71","Digital Archive","",""
17/10/1983 03:00,4.794,208.68,"72","Digital Archive","",""
15/12/1983 20:45,4.555,190.95,"71","Digital Archive","",""
25/12/1983 06:00,4.741,203.16,"72","Digital Archive","",""
03/01/1984 22:00,4.822,211.63,"72","Digital Archive","",""
14/01/1984 13:30,5.599,303.69,"72","Digital Archive","",""
02/02/1984 16:15,4.461,185.41,"71","Digital Archive","",""
23/10/1984 12:45,4.300,176.02,"8.11","Digital Archive","",""
