"NAME:","Teme at Tenbury"
"NUMBER:","54008"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
02/09/1956 00:00,3.210,116.08,"3b","CEH POTs","",""
28/12/1956 00:00,3.570,133.22,"3b","CEH POTs","",""
08/02/1957 00:00,2.510,84.86,"3b","CEH POTs","",""
13/08/1957 00:00,4.110,160.20,"3b","CEH POTs","",""
25/09/1957 00:00,4.670,189.68,"3b","CEH POTs","",""
05/11/1957 00:00,3.630,136.14,"3b","CEH POTs","",""
11/02/1958 00:00,4.090,159.17,"3b","CEH POTs","",""
24/02/1958 00:00,3.250,117.95,"3b","CEH POTs","",""
15/09/1958 00:00,3.500,129.83,"3b","CEH POTs","",""
23/09/1958 00:00,3.070,109.60,"3b","CEH POTs","",""
30/09/1958 00:00,3.510,130.31,"3b","CEH POTs","",""
04/10/1958 00:00,5.170,217.22,"3b","CEH POTs","",""
19/12/1958 00:00,2.760,95.67,"3b","CEH POTs","",""
18/01/1959 00:00,2.540,86.14,"3b","CEH POTs","",""
19/01/1959 00:00,2.540,86.14,"3b","CEH POTs","",""
22/01/1959 00:00,3.600,134.68,"3b","CEH POTs","",""
17/04/1959 00:00,3.510,130.31,"3b","CEH POTs","",""
08/12/1959 00:00,3.850,147.02,"3b","CEH POTs","",""
03/01/1960 00:00,2.750,95.23,"3b","CEH POTs","",""
21/01/1960 00:00,3.790,144.03,"3b","CEH POTs","",""
24/01/1960 00:00,5.460,233.68,"3b","CEH POTs","",""
28/01/1960 00:00,3.590,134.19,"3b","CEH POTs","",""
03/02/1960 00:00,2.520,85.28,"3b","CEH POTs","",""
26/02/1960 00:00,3.400,125.04,"3b","CEH POTs","",""
25/10/1960 00:00,3.720,140.56,"3b","CEH POTs","",""
27/10/1960 00:00,3.970,153.06,"3b","CEH POTs","",""
01/11/1960 00:00,2.890,101.45,"3b","CEH POTs","",""
04/11/1960 00:00,4.240,166.91,"3b","CEH POTs","",""
11/11/1960 00:00,2.750,95.23,"3b","CEH POTs","",""
17/11/1960 00:00,2.440,81.90,"3b","CEH POTs","",""
26/11/1960 00:00,2.660,91.30,"3b","CEH POTs","",""
01/12/1960 00:00,2.470,83.16,"3b","CEH POTs","",""
03/12/1960 00:00,5.580,240.60,"3b","CEH POTs","",""
26/04/1961 00:00,2.670,91.74,"3b","CEH POTs","",""
16/01/1962 00:00,2.750,95.23,"3b","CEH POTs","",""
06/03/1963 00:00,3.950,152.05,"3b","CEH POTs","",""
08/03/1963 00:00,3.110,111.44,"3b","CEH POTs","",""
19/11/1963 00:00,2.440,81.90,"3b","CEH POTs","",""
24/03/1964 00:00,2.610,89.14,"3b","CEH POTs","",""
13/12/1964 00:00,2.660,91.30,"3b","CEH POTs","",""
29/11/1965 00:00,2.930,103.24,"3b","CEH POTs","",""
19/12/1965 00:00,3.110,111.44,"3b","CEH POTs","",""
20/02/1966 00:00,2.710,93.48,"3b","CEH POTs","",""
25/02/1966 00:00,2.690,92.61,"3b","CEH POTs","",""
02/03/1966 00:00,2.760,95.67,"3b","CEH POTs","",""
19/04/1966 00:00,2.570,87.42,"3b","CEH POTs","",""
09/05/1966 00:00,3.690,139.08,"3b","CEH POTs","",""
06/11/1966 00:00,3.470,128.39,"3b","CEH POTs","",""
10/12/1966 00:00,2.610,89.14,"3b","CEH POTs","",""
02/02/1967 00:00,2.690,92.61,"3b","CEH POTs","",""
27/02/1967 00:00,3.480,128.87,"3b","CEH POTs","",""
17/10/1967 00:00,3.720,140.56,"3b","CEH POTs","",""
05/11/1967 00:00,2.600,88.71,"3b","CEH POTs","",""
02/01/1968 00:00,2.470,83.16,"3b","CEH POTs","",""
14/01/1968 00:00,4.940,204.41,"3b","CEH POTs","",""
24/03/1968 00:00,2.570,87.42,"3b","CEH POTs","",""
02/07/1968 00:00,3.220,116.54,"3b","CEH POTs","",""
11/07/1968 00:00,2.790,97.00,"3b","CEH POTs","",""
02/11/1968 00:00,2.600,88.71,"3b","CEH POTs","",""
22/12/1968 00:00,2.440,81.90,"3b","CEH POTs","",""
17/01/1969 00:00,2.580,87.85,"3b","CEH POTs","",""
24/02/1969 00:00,3.050,108.69,"3b","CEH POTs","",""
13/03/1969 00:00,3.450,127.43,"3b","CEH POTs","",""
18/03/1969 00:00,2.780,96.55,"3b","CEH POTs","",""
06/05/1969 00:00,2.840,99.21,"3b","CEH POTs","",""
26/05/1969 00:00,4.610,186.45,"3b","CEH POTs","",""
30/05/1969 00:00,2.890,101.45,"3b","CEH POTs","",""
21/12/1969 00:00,2.760,95.67,"3b","CEH POTs","",""
30/12/1969 14:45,0.959,16.06,"3a","Digital Archive","","AMAX ONLY"
14/01/1970 23:45,2.694,92.78,"3b","Digital Archive","",""
24/01/1970 00:15,2.142,69.66,"3b","Digital Archive","",""
30/01/1970 14:30,2.276,75.09,"3b","Digital Archive","",""
03/02/1970 06:00,2.193,71.71,"3b","Digital Archive","",""
09/02/1970 09:30,1.845,58.07,"3b","Digital Archive","",""
20/02/1970 08:30,2.572,87.50,"3b","Digital Archive","",""
13/03/1970 20:45,1.694,50.63,"3a","Digital Archive","",""
26/04/1970 07:30,1.656,48.50,"3a","Digital Archive","",""
21/08/1970 02:00,2.075,66.99,"3b","Digital Archive","",""
07/11/1970 16:45,2.335,77.52,"3b","Digital Archive","",""
12/11/1970 09:45,1.536,41.99,"3a","Digital Archive","",""
19/11/1970 09:45,2.227,73.09,"3b","Digital Archive","",""
24/11/1970 00:30,2.039,65.57,"3b","Digital Archive","",""
29/11/1970 23:30,2.051,66.05,"3b","Digital Archive","",""
04/12/1970 12:15,1.564,43.48,"3a","Digital Archive","",""
08/01/1971 00:00,2.125,68.98,"3b","Digital Archive","",""
23/01/1971 23:15,3.045,108.46,"3b","Digital Archive","",""
02/03/1971 22:45,1.582,44.44,"3a","Digital Archive","",""
18/03/1971 21:00,1.753,54.01,"3a","Digital Archive","",""
24/04/1971 17:30,1.774,55.24,"3a","Digital Archive","",""
23/11/1971 18:45,1.633,47.22,"3a","Digital Archive","",""
13/01/1972 07:45,2.496,84.26,"3b","Digital Archive","",""
18/01/1972 05:00,2.519,85.24,"3b","Digital Archive","",""
24/01/1972 15:00,2.055,66.20,"3b","Digital Archive","",""
27/01/1972 08:30,2.204,72.16,"3b","Digital Archive","",""
04/02/1972 01:45,2.687,92.48,"3b","Digital Archive","",""
16/02/1972 06:15,2.322,76.98,"3b","Digital Archive","",""
07/03/1972 15:30,2.799,97.39,"3b","Digital Archive","",""
10/06/1972 04:45,1.700,50.97,"3a","Digital Archive","",""
13/11/1972 09:30,1.544,42.42,"3a","Digital Archive","",""
03/12/1972 04:30,1.904,60.32,"3b","Digital Archive","",""
07/12/1972 02:45,4.170,163.28,"3b","Digital Archive","",""
12/12/1972 13:15,2.700,93.04,"3b","Digital Archive","",""
13/02/1973 00:15,2.033,65.34,"3b","Digital Archive","",""
06/08/1973 21:15,2.193,71.71,"3b","Digital Archive","",""
11/01/1974 11:30,2.816,98.15,"3b","Digital Archive","",""
16/01/1974 23:15,3.092,110.61,"3b","Digital Archive","",""
31/01/1974 09:30,2.052,66.08,"3b","Digital Archive","",""
12/02/1974 07:30,4.441,177.44,"3b","Digital Archive","",""
14/11/1974 06:30,2.423,81.19,"3b","Digital Archive","",""
21/11/1974 13:30,1.674,49.50,"3a","Digital Archive","",""
27/12/1974 14:45,2.115,68.58,"3b","Digital Archive","",""
25/01/1975 17:15,2.381,79.43,"3b","Digital Archive","",""
29/01/1975 01:45,2.119,68.74,"3b","Digital Archive","",""
31/01/1975 18:30,2.138,69.50,"3b","Digital Archive","",""
14/03/1975 19:15,1.784,55.77,"3b","Digital Archive","",""
26/09/1976 16:30,1.708,51.43,"3a","Digital Archive","",""
29/09/1976 09:30,2.079,67.15,"3b","Digital Archive","",""
07/10/1976 19:30,1.529,41.62,"3a","Digital Archive","",""
11/10/1976 20:00,2.642,90.52,"3b","Digital Archive","",""
15/10/1976 13:15,2.398,80.14,"3b","Digital Archive","",""
18/10/1976 14:00,2.114,68.54,"3b","Digital Archive","",""
23/10/1976 23:30,1.554,42.95,"3a","Digital Archive","",""
02/12/1976 10:00,1.764,54.65,"3a","Digital Archive","",""
07/12/1976 17:45,2.441,81.94,"3b","Digital Archive","",""
01/01/1977 23:30,1.876,59.25,"3b","Digital Archive","",""
06/01/1977 04:00,1.848,58.19,"3b","Digital Archive","",""
15/01/1977 18:15,1.705,51.26,"3a","Digital Archive","",""
22/01/1977 10:15,2.657,91.17,"3b","Digital Archive","",""
28/01/1977 08:15,3.180,114.68,"3b","Digital Archive","",""
10/02/1977 11:00,3.085,110.29,"3b","Digital Archive","",""
20/02/1977 18:45,2.368,78.89,"3b","Digital Archive","",""
20/03/1977 02:15,1.815,56.94,"3b","Digital Archive","",""
03/05/1977 20:30,2.131,69.22,"3b","Digital Archive","",""
15/06/1977 06:30,2.191,71.63,"3b","Digital Archive","",""
02/11/1977 16:30,1.574,44.01,"3a","Digital Archive","",""
12/12/1977 13:30,2.644,90.61,"3b","Digital Archive","",""
24/01/1978 00:30,1.761,54.48,"3a","Digital Archive","",""
28/01/1978 13:30,2.108,68.30,"3b","Digital Archive","",""
04/02/1978 21:00,2.793,97.13,"3b","Digital Archive","",""
26/02/1978 07:45,1.675,49.56,"3a","Digital Archive","",""
01/03/1978 19:30,1.776,55.35,"3a","Digital Archive","",""
02/04/1978 05:45,1.777,55.41,"3a","Digital Archive","",""
05/05/1978 05:15,1.652,48.28,"3a","Digital Archive","",""
14/12/1978 19:45,2.607,89.01,"3b","Digital Archive","",""
25/12/1978 05:30,1.759,54.36,"3a","Digital Archive","",""
28/12/1978 01:00,2.617,89.44,"3b","Digital Archive","",""
02/02/1979 04:45,3.684,138.79,"3b","Digital Archive","",""
24/02/1979 01:45,1.657,48.55,"3a","Digital Archive","",""
28/02/1979 12:15,2.338,77.64,"3b","Digital Archive","",""
09/03/1979 19:00,2.117,68.66,"3b","Digital Archive","",""
21/03/1979 02:45,1.825,57.31,"3b","Digital Archive","",""
26/03/1979 03:30,2.819,98.28,"3b","Digital Archive","",""
29/03/1979 12:45,2.786,96.82,"3b","Digital Archive","",""
09/04/1979 03:00,2.035,65.42,"3b","Digital Archive","",""
31/05/1979 07:15,1.559,43.21,"3a","Digital Archive","",""
11/12/1979 15:30,1.634,47.28,"3a","Digital Archive","",""
15/12/1979 09:30,2.582,87.93,"3b","Digital Archive","",""
28/12/1979 03:15,5.249,221.67,"3b","Digital Archive","Highest on record",""
22/01/1980 02:00,2.661,91.34,"3b","Digital Archive","",""
07/02/1980 10:15,2.476,83.42,"3b","Digital Archive","",""
23/02/1980 14:15,1.725,52.40,"3a","Digital Archive","",""
26/02/1980 10:15,1.930,61.33,"3b","Digital Archive","",""
19/03/1980 07:15,2.967,104.91,"3b","Digital Archive","",""
24/03/1980 20:15,3.684,138.79,"3b","Digital Archive","",""
10/02/1981 02:30,1.646,47.94,"3a","Digital Archive","",""
02/03/1981 10:00,2.173,70.90,"3b","Digital Archive","",""
12/03/1981 04:30,2.729,94.30,"3b","Digital Archive","",""
22/03/1981 15:45,3.456,127.70,"3b","Digital Archive","",""
28/04/1981 02:00,2.378,79.31,"3b","Digital Archive","",""
02/06/1981 17:30,2.296,75.91,"3b","Digital Archive","",""
11/10/1981 13:00,1.616,46.29,"3a","Digital Archive","",""
20/10/1981 18:00,1.544,42.42,"3a","Digital Archive","",""
15/12/1981 12:00,1.840,57.88,"3b","Digital Archive","",""
30/12/1981 23:45,4.560,183.77,"3b","Digital Archive","",""
03/01/1982 22:30,3.293,119.97,"3b","Digital Archive","",""
19/01/1982 03:45,2.858,100.02,"3b","Digital Archive","",""
07/03/1982 09:45,2.082,67.27,"3b","Digital Archive","",""
11/03/1982 04:00,1.965,62.68,"3b","Digital Archive","",""
15/03/1982 13:00,3.543,131.91,"3b","Digital Archive","",""
29/09/1982 08:00,1.684,50.07,"3a","Digital Archive","",""
20/10/1982 22:30,1.695,50.69,"3a","Digital Archive","",""
12/11/1982 16:45,2.111,68.42,"3b","Digital Archive","",""
22/11/1982 05:00,2.118,68.70,"3b","Digital Archive","",""
25/11/1982 07:30,1.773,55.18,"3a","Digital Archive","",""
10/12/1982 07:45,2.723,94.05,"3b","Digital Archive","",""
21/12/1982 20:00,2.132,69.26,"3b","Digital Archive","",""
05/01/1983 16:15,1.623,46.67,"3a","Digital Archive","",""
13/01/1983 13:30,1.537,42.05,"3a","Digital Archive","",""
01/02/1983 04:15,2.220,72.81,"3b","Digital Archive","",""
06/02/1983 12:30,1.687,50.24,"3a","Digital Archive","",""
11/04/1983 08:45,2.372,79.06,"3b","Digital Archive","",""
21/04/1983 06:15,1.581,44.39,"3a","Digital Archive","",""
25/04/1983 18:15,2.989,105.91,"3b","Digital Archive","",""
02/05/1983 13:00,2.767,95.98,"3b","Digital Archive","",""
06/05/1983 11:15,1.707,51.37,"3a","Digital Archive","",""
18/05/1983 09:15,1.846,58.11,"3b","Digital Archive","",""
15/12/1983 16:30,1.994,63.81,"3b","Digital Archive","",""
20/12/1983 22:30,2.968,104.96,"3b","Digital Archive","",""
03/01/1984 06:15,2.022,64.90,"3b","Digital Archive","",""
13/01/1984 18:45,2.134,69.34,"3b","Digital Archive","",""
17/01/1984 01:15,2.690,92.61,"3b","Digital Archive","",""
03/11/1984 19:30,1.630,47.06,"3a","Digital Archive","",""
10/11/1984 07:00,2.413,80.77,"3b","Digital Archive","",""
13/11/1984 06:00,1.970,62.87,"3b","Digital Archive","",""
24/11/1984 07:45,3.440,126.95,"3b","Digital Archive","",""
02/12/1984 10:00,2.363,78.68,"3b","Digital Archive","",""
24/12/1984 19:45,1.684,50.07,"3a","Digital Archive","",""
30/01/1985 06:45,1.805,56.56,"3b","Digital Archive","",""
08/02/1985 00:45,2.272,74.93,"3b","Digital Archive","",""
08/04/1985 10:00,2.924,102.97,"3b","Digital Archive","",""
07/06/1985 09:00,1.728,52.57,"3a","Digital Archive","",""
07/10/1985 05:00,2.049,65.97,"3b","Digital Archive","",""
09/11/1985 17:30,1.689,50.35,"3a","Digital Archive","",""
07/12/1985 07:00,1.950,62.10,"3b","Digital Archive","",""
22/12/1985 12:00,3.072,109.70,"3b","Digital Archive","",""
03/01/1986 05:45,1.940,61.71,"3b","Digital Archive","",""
10/01/1986 23:00,3.892,149.13,"3b","Digital Archive","",""
23/01/1986 14:00,2.002,64.12,"3b","Digital Archive","",""
30/01/1986 20:45,2.594,88.45,"3b","Digital Archive","",""
05/03/1986 13:45,1.569,43.75,"3a","Digital Archive","",""
17/04/1986 15:15,2.209,72.36,"3b","Digital Archive","",""
22/04/1986 02:00,1.769,54.94,"3a","Digital Archive","",""
15/11/1986 06:00,1.644,47.83,"3a","Digital Archive","",""
19/11/1986 10:45,2.645,90.65,"3b","Digital Archive","",""
26/11/1986 10:00,2.163,70.51,"3b","Digital Archive","",""
09/12/1986 01:30,1.953,62.21,"3b","Digital Archive","",""
13/12/1986 15:30,2.243,73.74,"3b","Digital Archive","",""
01/01/1987 16:45,2.450,82.32,"3b","Digital Archive","",""
27/03/1987 16:45,3.048,108.60,"3b","Digital Archive","",""
01/04/1987 21:45,1.832,57.58,"3b","Digital Archive","",""
05/04/1987 05:15,4.112,160.30,"3b","Digital Archive","",""
16/10/1987 16:45,2.134,69.34,"3b","Digital Archive","",""
21/10/1987 18:15,1.661,48.78,"3a","Digital Archive","",""
28/10/1987 05:00,1.717,51.94,"3a","Digital Archive","",""
