"NAME:","Severn at Abermule"
"NUMBER:","54014"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
27/11/1960 06:00,2.946,148.24,"20b","2014.SG.HiUKPOT","",""
04/12/1960 10:15,5.257,610.08,"20c","2014.SG.HiUKPOT","",""
26/12/1960 12:15,2.722,129.40,"20b","2014.SG.HiUKPOT","",""
29/01/1961 18:00,2.799,135.76,"20b","2014.SG.HiUKPOT","",""
01/12/1961 02:45,3.424,191.87,"20b","2014.SG.HiUKPOT","",""
13/02/1962 00:15,3.100,161.79,"20b","2014.SG.HiUKPOT","",""
03/04/1962 08:45,3.390,188.62,"20b","2014.SG.HiUKPOT","",""
08/04/1962 08:00,3.000,152.94,"20b","2014.SG.HiUKPOT","",""
24/08/1962 05:30,2.947,148.33,"20b","2014.SG.HiUKPOT","",""
12/09/1962 04:15,2.871,141.82,"20b","2014.SG.HiUKPOT","",""
15/12/1962 20:30,3.005,153.38,"20b","2014.SG.HiUKPOT","",""
06/03/1963 04:45,3.259,176.29,"20b","2014.SG.HiUKPOT","",""
26/09/1963 16:45,2.737,130.63,"20b","2014.SG.HiUKPOT","",""
21/11/1963 20:30,2.875,142.16,"20b","2014.SG.HiUKPOT","",""
26/11/1963 10:00,3.753,224.53,"20b","2014.SG.HiUKPOT","",""
09/12/1964 15:15,2.973,150.58,"20b","2014.SG.HiUKPOT","",""
13/12/1964 09:45,5.259,610.84,"20c","2014.SG.HiUKPOT","",""
30/12/1964 19:00,3.295,179.65,"20b","2014.SG.HiUKPOT","",""
16/01/1965 19:15,3.160,167.21,"20b","2014.SG.HiUKPOT","",""
09/05/1965 11:45,2.882,142.75,"20b","2014.SG.HiUKPOT","",""
03/12/1965 22:30,3.209,171.68,"20b","2014.SG.HiUKPOT","",""
09/12/1965 20:45,4.755,440.22,"20c","2014.SG.HiUKPOT","",""
18/12/1965 08:15,4.228,301.44,"20c","2014.SG.HiUKPOT","",""
08/02/1966 18:00,2.826,138.02,"20b","2014.SG.HiUKPOT","",""
02/12/1966 15:15,3.106,162.33,"20b","2014.SG.HiUKPOT","",""
10/12/1966 12:30,3.805,229.88,"20b","2014.SG.HiUKPOT","",""
28/02/1967 02:45,3.458,195.15,"20b","2014.SG.HiUKPOT","",""
17/10/1967 01:15,3.307,180.77,"20b","2014.SG.HiUKPOT","",""
24/03/1968 08:15,2.754,132.03,"20b","2014.SG.HiUKPOT","",""
13/05/1968 08:45,2.739,130.79,"20b","2014.SG.HiUKPOT","",""
26/05/1969 11:00,3.326,182.55,"20b","2014.SG.HiUKPOT","",""
22/02/1970 03:00,2.744,131.21,"20b","2014.SG.HiUKPOT","",""
02/11/1970 11:00,2.847,139.79,"20b","2014.SG.HiUKPOT","",""
07/11/1970 07:30,2.731,130.14,"20b","2014.SG.HiUKPOT","",""
19/10/1971 15:15,2.675,125.58,"20b","2014.SG.WYearMax","","AMAX ONLY"
13/11/1972 05:30,2.767,133.10,"20b","2014.SG.HiUKPOT","",""
12/02/1973 15:00,3.018,154.52,"20b","2014.SG.HiUKPOT","",""
06/08/1973 14:30,3.818,231.22,"20b","2014.SG.HiUKPOT","",""
11/02/1974 18:30,3.006,153.46,"20b","2014.SG.HiUKPOT","",""
08/09/1974 00:30,2.959,149.37,"20b","2014.SG.HiUKPOT","",""
13/11/1974 19:30,2.772,133.52,"20b","2014.SG.HiUKPOT","",""
22/01/1975 19:00,3.420,191.49,"20b","2014.SG.HiUKPOT","",""
02/12/1975 02:15,2.961,149.54,"20b","2014.SG.HiUKPOT","",""
11/02/1977 02:15,2.236,92.21,"20b","2014.SG.WYearMax","","AMAX ONLY"
02/11/1977 10:30,3.369,186.62,"20b","2014.SG.WYearMax","","AMAX ONLY"
14/12/1978 14:45,2.759,132.44,"20b","2014.SG.HiUKPOT","",""
01/02/1979 19:45,2.791,135.09,"20b","2014.SG.HiUKPOT","",""
09/03/1979 07:30,2.706,128.10,"20b","2014.SG.HiUKPOT","",""
11/03/1979 19:30,3.276,177.87,"20b","2014.SG.HiUKPOT","",""
05/12/1979 15:00,3.301,180.21,"20b","2014.SG.HiUKPOT","",""
27/12/1979 18:45,3.363,186.05,"20b","2014.SG.HiUKPOT","",""
08/02/1980 10:30,2.816,137.18,"20b","2014.SG.HiUKPOT","",""
07/10/1980 02:00,2.751,131.78,"20b","2014.SG.HiUKPOT","",""
22/11/1980 09:04,2.899,144.20,"20b","2014.SG.HiUKPOT","",""
14/01/1981 20:19,3.393,188.90,"20b","2014.SG.HiUKPOT","",""
03/02/1981 08:26,3.476,196.89,"20b","2014.SG.HiUKPOT","",""
11/03/1981 23:13,2.946,148.24,"20b","2014.SG.HiUKPOT","",""
21/03/1981 23:37,2.835,138.77,"20b","2014.SG.HiUKPOT","",""
10/10/1981 03:30,3.282,178.43,"20b","2014.SG.HiUKPOT","",""
15/03/1982 08:15,2.820,137.52,"20b","2014.SG.HiUKPOT","",""
21/11/1982 19:00,2.821,137.60,"20b","2014.SG.HiUKPOT","",""
19/12/1982 20:00,2.915,145.57,"20b","2014.SG.HiUKPOT","",""
04/01/1983 11:15,2.820,137.52,"20b","2014.SG.HiUKPOT","",""
31/01/1983 21:45,3.548,203.93,"20b","2014.SG.HiUKPOT","",""
03/01/1984 00:41,3.155,166.75,"20b","2014.SG.HiUKPOT","",""
13/01/1984 08:34,3.422,191.68,"20b","2014.SG.HiUKPOT","",""
16/01/1984 18:25,2.898,144.12,"20b","2014.SG.HiUKPOT","",""
07/02/1984 00:03,3.197,170.58,"20b","2014.SG.HiUKPOT","",""
23/11/1984 22:08,3.017,154.43,"20b","2014.SG.HiUKPOT","",""
22/12/1985 01:45,3.124,163.95,"20b","2014.SG.HiUKPOT","",""
10/01/1986 13:15,3.438,193.22,"20b","2014.SG.HiUKPOT","",""
19/11/1986 06:15,3.708,219.94,"20b","2014.SG.HiUKPOT","",""
23/11/1986 13:30,3.394,189.00,"20b","2014.SG.HiUKPOT","",""
26/11/1986 01:45,2.804,136.18,"20b","2014.SG.HiUKPOT","",""
30/12/1986 13:00,3.359,185.67,"20b","2014.SG.HiUKPOT","",""
27/03/1987 18:00,2.723,129.48,"20b","2014.SG.HiUKPOT","",""
04/04/1987 22:30,2.970,150.32,"20b","2014.SG.HiUKPOT","",""
16/10/1987 10:00,2.767,133.10,"20b","2014.SG.HiUKPOT","",""
19/10/1987 04:00,3.814,230.81,"20b","2014.SG.HiUKPOT","",""
02/01/1988 15:30,3.221,172.78,"20b","2014.SG.HiUKPOT","",""
23/01/1988 22:00,3.293,179.46,"20b","2014.SG.HiUKPOT","",""
26/09/1988 09:45,3.102,161.97,"20b","2014.SG.HiUKPOT","",""
18/02/1989 13:00,3.030,155.57,"20b","2014.SG.HiUKPOT","",""
