"NAME:","Roden at Rodington"
"NUMBER:","54016"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
27/04/1961 13:00,1.027,9.59,"23","Digital Archive","",""
05/05/1961 13:30,0.826,7.70,"23","Digital Archive","",""
02/12/1961 23:15,0.887,8.35,"23","Digital Archive","",""
11/12/1961 16:30,0.900,8.47,"23","Digital Archive","",""
07/01/1962 11:00,0.954,8.98,"23","Digital Archive","",""
22/01/1962 21:45,1.020,9.54,"23","Digital Archive","",""
22/04/1962 13:00,0.996,9.34,"23","Digital Archive","",""
30/03/1963 20:30,0.853,7.99,"23","Digital Archive","",""
27/11/1963 06:00,1.057,9.83,"23","Digital Archive","",""
25/03/1964 23:30,1.185,10.75,"23","Digital Archive","",""
13/12/1964 23:00,0.812,7.54,"23","Digital Archive","",""
11/01/1965 01:15,1.020,9.54,"23","Digital Archive","",""
24/01/1965 19:45,0.849,7.95,"23","Digital Archive","",""
24/03/1965 09:00,0.994,9.32,"23","Digital Archive","",""
09/09/1965 23:15,0.858,8.05,"23","Digital Archive","",""
01/12/1965 21:30,1.091,10.09,"23","Digital Archive","",""
10/12/1965 18:30,1.170,10.65,"23","Digital Archive","",""
19/12/1965 14:45,1.358,12.13,"24","Digital Archive","",""
03/01/1966 13:00,1.137,10.42,"23","Digital Archive","",""
26/01/1966 11:45,0.813,7.55,"23","Digital Archive","",""
08/02/1966 21:00,0.958,9.01,"23","Digital Archive","",""
20/02/1966 01:00,0.948,8.92,"23","Digital Archive","",""
27/02/1966 11:00,0.907,8.54,"23","Digital Archive","",""
20/04/1966 21:30,0.944,8.89,"23","Digital Archive","",""
13/05/1966 15:15,0.920,8.67,"23","Digital Archive","",""
16/10/1966 04:15,0.819,7.62,"23","Digital Archive","",""
07/11/1966 09:30,1.007,9.43,"23","Digital Archive","",""
03/12/1966 16:45,1.298,11.46,"23","Digital Archive","",""
11/12/1966 08:30,1.198,10.83,"23","Digital Archive","",""
25/12/1966 01:30,0.926,8.72,"23","Digital Archive","",""
01/03/1967 03:15,1.250,11.17,"23","Digital Archive","",""
10/03/1967 19:30,0.991,9.30,"23","Digital Archive","",""
18/05/1967 05:00,1.022,9.55,"23","Digital Archive","",""
28/05/1967 21:30,0.800,7.39,"23","Digital Archive","",""
17/10/1967 23:30,1.006,9.42,"23","Digital Archive","",""
07/11/1967 02:00,1.237,11.09,"23","Digital Archive","",""
26/12/1967 01:30,0.907,8.54,"23","Digital Archive","",""
03/01/1968 05:15,1.194,10.81,"23","Digital Archive","",""
15/01/1968 13:30,1.308,11.52,"23","Digital Archive","",""
28/05/1968 20:00,1.048,9.76,"23","Digital Archive","",""
03/07/1968 11:00,1.770,35.10,"24","Digital Archive","",""
16/07/1968 04:30,1.176,10.69,"23","Digital Archive","",""
26/08/1968 04:45,0.982,9.22,"23","Digital Archive","",""
03/11/1968 19:15,1.262,11.24,"23","Digital Archive","",""
27/11/1968 16:45,0.842,7.88,"23","Digital Archive","",""
18/12/1968 08:30,0.890,8.38,"23","Digital Archive","",""
02/01/1969 13:45,0.815,7.57,"23","Digital Archive","",""
14/01/1969 20:30,0.969,9.11,"23","Digital Archive","",""
22/01/1969 07:30,0.916,8.63,"23","Digital Archive","",""
12/02/1969 12:15,1.497,18.23,"24","Digital Archive","",""
24/02/1969 17:45,1.173,10.67,"23","Digital Archive","",""
14/03/1969 08:45,1.472,17.01,"24","Digital Archive","",""
27/04/1969 05:00,0.828,7.72,"23","Digital Archive","",""
07/05/1969 02:30,1.581,22.69,"24","Digital Archive","",""
27/05/1969 03:00,1.582,22.75,"24","Digital Archive","",""
13/03/1970 00:00,1.267,11.27,"23","FEH","","AMAX ONLY"
01/12/1970 00:00,1.280,11.35,"23","EA POT series","","AMAX ONLY"
12/02/1972 00:00,1.320,11.60,"23","EA POT series","","AMAX ONLY"
07/08/1973 00:00,1.450,15.99,"24","EA POT series","","AMAX ONLY"
22/01/1975 04:45,0.879,8.27,"23","EA POT series","","AMAX ONLY"
22/03/1976 00:00,1.042,9.71,"23","FEH","","AMAX ONLY"
04/05/1977 00:45,0.859,8.06,"23","Digital Archive","",""
05/02/1978 10:15,1.021,9.55,"23","Digital Archive","",""
05/05/1978 18:30,0.973,9.15,"23","Digital Archive","",""
30/12/1978 04:45,1.276,11.34,"23","Digital Archive","",""
02/02/1979 20:15,1.159,10.58,"23","Digital Archive","",""
23/02/1979 05:45,0.847,7.93,"23","Digital Archive","",""
21/03/1979 15:45,1.024,9.57,"23","Digital Archive","",""
30/03/1979 06:45,1.203,10.87,"23","Digital Archive","",""
10/04/1979 20:45,0.990,9.30,"23","Digital Archive","",""
27/05/1979 12:15,0.806,7.48,"23","Digital Archive","",""
06/12/1979 05:45,0.829,7.74,"23","Digital Archive","",""
15/12/1979 08:45,1.253,11.19,"23","Digital Archive","",""
28/12/1979 17:15,1.264,11.26,"23","Digital Archive","",""
22/01/1980 09:00,0.913,8.61,"23","Digital Archive","",""
08/02/1980 08:00,1.241,11.12,"23","Digital Archive","",""
27/02/1980 00:30,1.121,10.31,"23","Digital Archive","",""
25/03/1980 18:45,1.083,10.03,"23","Digital Archive","",""
28/10/1980 21:00,0.869,8.16,"23","Digital Archive","",""
21/12/1980 21:00,1.024,9.57,"23","Digital Archive","",""
17/01/1981 08:45,0.907,8.54,"23","Digital Archive","",""
10/02/1981 17:15,1.147,10.49,"23","Digital Archive","",""
12/03/1981 05:00,1.073,9.96,"23","Digital Archive","",""
23/03/1981 07:15,1.100,10.16,"23","Digital Archive","",""
25/10/1981 17:30,0.888,8.36,"23","Digital Archive","",""
19/11/1981 08:00,0.825,7.70,"23","Digital Archive","",""
31/12/1981 10:00,1.350,11.82,"24","Digital Archive","",""
07/01/1982 17:45,0.798,7.37,"23","Digital Archive","",""
18/01/1982 17:15,1.030,9.62,"23","Digital Archive","",""
07/03/1982 15:00,0.871,8.19,"23","Digital Archive","",""
16/03/1982 02:00,1.065,9.90,"23","Digital Archive","",""
21/10/1982 06:45,0.818,7.61,"23","Digital Archive","",""
15/11/1982 09:00,0.864,8.11,"23","Digital Archive","",""
22/11/1982 09:15,0.904,8.52,"23","Digital Archive","",""
10/12/1982 20:00,1.052,9.79,"23","Digital Archive","",""
