"NAME:","Perry at Yeaton"
"NUMBER:","54020"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
26/11/1963 00:00,0.810,10.17,"1b","CEH POTs","",""
24/03/1964 00:00,0.870,11.45,"1b","CEH POTs","",""
13/12/1964 00:00,0.690,7.81,"1b","CEH POTs","",""
10/01/1965 00:00,0.650,7.08,"1b","CEH POTs","",""
23/03/1965 00:00,0.700,8.00,"1b","CEH POTs","",""
09/09/1965 00:00,0.460,4.07,"1a","CEH POTs","",""
01/10/1965 00:00,0.450,3.93,"1a","CEH POTs","",""
30/11/1965 00:00,0.760,9.15,"1b","CEH POTs","",""
19/12/1965 00:00,0.870,11.45,"1b","CEH POTs","",""
25/01/1966 00:00,0.570,5.72,"1b","CEH POTs","",""
19/02/1966 00:00,0.710,8.18,"1b","CEH POTs","",""
02/03/1966 00:00,0.490,4.49,"1b","CEH POTs","",""
20/04/1966 00:00,0.640,6.91,"1b","CEH POTs","",""
12/05/1966 00:00,0.500,4.64,"1b","CEH POTs","",""
15/10/1966 00:00,0.620,6.56,"1b","CEH POTs","",""
06/11/1966 00:00,0.640,6.91,"1b","CEH POTs","",""
03/12/1966 00:00,0.940,13.03,"1b","CEH POTs","",""
28/02/1967 00:00,0.920,12.57,"1b","CEH POTs","",""
01/03/1967 00:00,0.910,12.34,"1b","CEH POTs","",""
17/05/1967 00:00,0.770,9.35,"1b","CEH POTs","",""
17/10/1967 00:00,0.700,8.00,"1b","CEH POTs","",""
05/11/1967 00:00,0.740,8.76,"1b","CEH POTs","",""
23/12/1967 00:00,0.700,8.00,"1b","CEH POTs","",""
15/01/1968 00:00,0.940,13.03,"1b","CEH POTs","",""
26/05/1968 00:00,0.750,8.96,"1b","CEH POTs","",""
02/07/1968 00:00,0.730,8.57,"1b","CEH POTs","",""
25/08/1968 00:00,0.580,5.89,"1b","CEH POTs","",""
29/09/1968 00:00,0.370,2.88,"1a","CEH POTs","",""
29/10/1968 00:00,0.490,4.49,"1b","CEH POTs","",""
03/11/1968 00:00,0.670,7.44,"1b","CEH POTs","",""
31/12/1968 00:00,0.530,5.09,"1b","CEH POTs","",""
21/01/1969 00:00,0.640,6.91,"1b","CEH POTs","",""
25/02/1969 00:00,0.860,11.23,"1b","CEH POTs","",""
14/03/1969 00:00,0.940,13.03,"1b","CEH POTs","",""
26/04/1969 00:00,0.640,6.91,"1b","CEH POTs","",""
06/05/1969 00:00,0.890,11.89,"1b","CEH POTs","",""
01/06/1969 00:00,0.760,9.15,"1b","CEH POTs","",""
29/07/1969 00:00,0.230,1.36,"1a","CEH POTs","",""
13/08/1969 00:00,0.250,1.55,"1a","CEH POTs","",""
11/09/1969 00:00,0.250,1.55,"1a","CEH POTs","",""
08/10/1969 00:00,0.180,0.93,"1a","CEH POTs","",""
17/11/1969 00:00,0.740,8.76,"1b","CEH POTs","",""
