"NAME:","Worfe at Burcote"
"NUMBER:","54024"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
15/01/1970 12:30,0.564,4.87,"4b","Digital Archive","",""
24/01/1970 09:00,0.493,3.97,"4b","Digital Archive","",""
03/02/1970 20:45,0.578,5.05,"4b","Digital Archive","",""
11/02/1970 04:15,0.465,3.62,"4b","Digital Archive","",""
21/02/1970 00:00,0.646,5.93,"4b","Digital Archive","",""
12/03/1970 19:00,0.685,6.44,"4b","Digital Archive","",""
13/04/1970 05:00,0.504,4.11,"4b","Digital Archive","",""
26/04/1970 13:45,0.442,3.33,"4b","Digital Archive","",""
21/08/1970 01:45,0.522,4.34,"4b","Digital Archive","",""
07/11/1970 21:00,0.361,2.37,"4a","Digital Archive","",""
12/11/1970 15:45,0.377,2.54,"4b","Digital Archive","",""
19/11/1970 20:45,0.474,3.73,"4b","Digital Archive","",""
26/11/1970 16:00,0.361,2.37,"4a","Digital Archive","",""
01/12/1970 09:45,0.588,5.18,"4b","Digital Archive","",""
08/01/1971 13:30,0.379,2.56,"4b","Digital Archive","",""
25/01/1971 00:30,0.704,6.69,"4b","Digital Archive","",""
27/01/1971 18:15,0.616,5.54,"4b","Digital Archive","",""
31/01/1971 10:30,0.546,4.64,"4b","Digital Archive","",""
03/03/1971 05:45,0.504,4.11,"4b","Digital Archive","",""
21/03/1971 07:15,0.612,5.49,"4b","Digital Archive","",""
26/04/1971 11:15,0.739,7.15,"4b","Digital Archive","",""
07/05/1971 11:45,0.527,4.40,"4b","Digital Archive","",""
11/08/1971 01:30,0.368,2.44,"4a","Digital Archive","",""
14/08/1971 20:00,0.486,3.88,"4b","Digital Archive","",""
20/10/1971 02:45,0.490,3.93,"4b","Digital Archive","",""
21/11/1971 16:30,0.508,4.16,"4b","Digital Archive","",""
24/11/1971 02:00,0.542,4.59,"4b","Digital Archive","",""
28/11/1971 13:30,0.541,4.58,"4b","Digital Archive","",""
14/01/1972 08:45,0.669,6.23,"4b","Digital Archive","",""
18/01/1972 09:30,0.689,6.49,"4b","Digital Archive","",""
27/01/1972 12:45,0.546,4.64,"4b","Digital Archive","",""
05/02/1972 00:45,0.741,7.18,"4b","Digital Archive","",""
16/02/1972 11:00,0.555,4.76,"4b","Digital Archive","",""
07/03/1972 22:15,0.592,5.23,"4b","Digital Archive","",""
01/04/1972 21:30,0.432,3.21,"4b","Digital Archive","",""
10/06/1972 00:00,0.370,2.46,"4a","Digital Archive","",""
09/09/1972 15:30,0.446,3.38,"4b","Digital Archive","",""
07/12/1972 18:45,0.816,8.18,"4b","Digital Archive","",""
23/01/1973 21:15,0.370,2.46,"4a","Digital Archive","",""
13/02/1973 03:15,0.418,3.04,"4b","Digital Archive","",""
06/03/1973 20:45,0.368,2.44,"4a","Digital Archive","",""
04/05/1973 23:00,0.389,2.68,"4b","Digital Archive","",""
17/07/1973 17:15,0.467,3.65,"4b","Digital Archive","",""
22/07/1973 14:30,0.499,4.05,"4b","Digital Archive","",""
09/01/1974 12:30,0.503,4.10,"4b","Digital Archive","",""
11/01/1974 18:30,0.518,4.29,"4b","Digital Archive","",""
17/01/1974 10:45,0.568,4.92,"4b","Digital Archive","",""
12/02/1974 21:15,0.648,5.96,"4b","Digital Archive","",""
15/02/1974 16:15,0.550,4.69,"4b","Digital Archive","",""
15/03/1974 23:15,0.400,2.82,"4b","Digital Archive","",""
21/11/1974 17:15,0.472,3.71,"4b","Digital Archive","",""
29/01/1975 07:45,0.419,3.05,"4b","Digital Archive","",""
20/04/1975 03:30,0.532,4.46,"4b","Digital Archive","",""
23/03/1976 05:30,0.356,2.32,"4a","Digital Archive","",""
26/09/1976 14:00,0.509,4.17,"4b","Digital Archive","",""
29/09/1976 20:30,0.580,5.08,"4b","Digital Archive","",""
12/10/1976 02:30,0.375,2.51,"4b","Digital Archive","",""
15/10/1976 04:30,0.439,3.30,"4b","Digital Archive","",""
07/12/1976 22:45,0.397,2.78,"4b","Digital Archive","",""
21/12/1976 23:15,0.368,2.44,"4a","Digital Archive","",""
02/01/1977 06:15,0.437,3.27,"4b","Digital Archive","",""
06/01/1977 07:00,0.418,3.04,"4b","Digital Archive","",""
26/01/1977 08:45,0.499,4.05,"4b","Digital Archive","",""
29/01/1977 01:45,0.737,7.13,"4b","Digital Archive","",""
11/02/1977 11:00,0.674,6.30,"4b","Digital Archive","",""
21/02/1977 11:45,0.649,5.97,"4b","Digital Archive","",""
25/02/1977 11:00,0.648,5.96,"4b","Digital Archive","",""
17/03/1977 07:15,0.360,2.36,"4a","Digital Archive","",""
04/05/1977 01:15,0.391,2.71,"4b","Digital Archive","",""
15/06/1977 04:45,0.472,3.71,"4b","Digital Archive","",""
