"NAME:","Teme at Knightsford Bridge"
"NUMBER:","54029"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
07/11/1970 21:15,3.298,87.22,"5b","Digital Archive","",""
19/11/1970 16:00,3.412,91.36,"5b","Digital Archive","",""
24/01/1971 04:30,4.861,147.20,"5b","Digital Archive","",""
13/01/1972 17:30,4.036,114.70,"5b","Digital Archive","",""
27/01/1972 12:00,3.221,84.45,"5b","Digital Archive","",""
04/02/1972 08:30,4.381,128.10,"5b","Digital Archive","",""
16/02/1972 11:15,3.553,96.54,"5b","Digital Archive","",""
07/03/1972 21:00,4.197,120.90,"5b","Digital Archive","",""
07/12/1972 03:15,5.413,169.90,"5b","Digital Archive","",""
12/12/1972 17:45,3.696,101.90,"5b","Digital Archive","",""
11/01/1974 15:45,4.189,120.60,"5b","Digital Archive","Non-independent peak removed",""
17/01/1974 04:30,4.197,120.90,"5b","Digital Archive","",""
12/02/1974 13:30,5.379,168.50,"5b","Digital Archive","",""
14/11/1974 11:00,3.194,83.48,"5b","Digital Archive","",""
25/01/1975 23:30,3.183,83.09,"5b","Digital Archive","Non-independent peak removed",""
29/09/1976 15:00,3.594,98.06,"5b","Digital Archive","",""
12/10/1976 02:00,3.747,103.80,"5b","Digital Archive","",""
18/10/1976 19:45,3.213,84.16,"5b","Digital Archive","Non-independent peak removed A",""
07/12/1976 23:30,3.822,106.60,"5b","Digital Archive","",""
28/01/1977 11:30,5.004,153.00,"5b","Digital Archive","",""
10/02/1977 16:30,5.023,153.80,"5b","Digital Archive","",""
24/02/1977 23:30,3.577,97.43,"5b","Digital Archive","",""
12/12/1977 19:45,3.848,107.60,"5b","Digital Archive","",""
28/01/1978 19:30,3.259,85.81,"5b","Digital Archive","",""
05/02/1978 02:00,4.219,121.80,"5b","Digital Archive","",""
15/12/1978 01:15,3.832,107.00,"5b","Digital Archive","",""
28/12/1978 06:45,4.048,115.20,"5b","Digital Archive","",""
02/02/1979 08:00,5.593,177.40,"5b","Digital Archive","",""
28/02/1979 17:30,3.716,102.60,"5b","Digital Archive","",""
29/03/1979 17:30,4.683,140.10,"5b","Digital Archive","",""
15/12/1979 14:30,3.882,108.90,"5b","Digital Archive","",""
28/12/1979 13:30,6.103,247.00,"5c","Digital Archive","",""
22/01/1980 06:30,3.963,111.90,"5b","Digital Archive","",""
07/02/1980 15:30,3.682,101.30,"5b","Digital Archive","",""
19/03/1980 12:45,4.410,129.20,"5b","Digital Archive","",""
25/03/1980 02:15,5.326,166.30,"5b","Digital Archive","",""
02/03/1981 10:00,3.660,100.50,"5b","Digital Archive","",""
12/03/1981 02:00,4.918,149.50,"5b","Digital Archive","",""
22/03/1981 05:15,5.664,180.40,"5b","Digital Archive","",""
28/04/1981 04:45,3.588,97.83,"5b","Digital Archive","",""
02/06/1981 20:30,3.478,93.78,"5b","Digital Archive","",""
31/12/1981 11:30,5.914,206.90,"5c","Digital Archive","",""
05/01/1982 13:30,3.603,98.39,"5b","Digital Archive","",""
19/01/1982 05:00,4.329,126.10,"5b","Digital Archive","",""
15/03/1982 18:00,5.613,178.30,"5b","Digital Archive","",""
10/12/1982 12:30,4.024,114.30,"5b","Digital Archive","",""
11/04/1983 12:15,3.854,107.80,"5b","Digital Archive","",""
25/04/1983 21:45,4.364,127.40,"5b","Digital Archive","",""
02/05/1983 14:30,4.302,125.00,"5b","Digital Archive","",""
21/12/1983 05:00,4.436,130.30,"5b","Digital Archive","",""
17/01/1984 06:30,3.811,106.20,"5b","Digital Archive","",""
27/01/1984 18:45,4.278,124.10,"5b","Digital Archive","",""
07/02/1984 14:00,4.159,119.50,"5b","Digital Archive","",""
24/11/1984 10:15,5.072,155.80,"5b","Digital Archive","",""
08/04/1985 15:15,4.463,131.30,"5b","Digital Archive","",""
22/12/1985 17:45,4.540,134.40,"5b","Digital Archive","",""
11/01/1986 00:30,5.730,183.20,"5b","Digital Archive","",""
31/01/1986 03:15,4.030,114.50,"5b","Digital Archive","",""
19/11/1986 13:15,4.225,122.00,"5b","Digital Archive","",""
01/01/1987 22:00,3.826,106.70,"5b","Digital Archive","",""
27/03/1987 23:00,4.624,137.70,"5b","Digital Archive","",""
05/04/1987 14:15,5.880,200.00,"5c","Digital Archive","Non-independent peak removed",""
02/01/1988 23:00,4.298,124.90,"5b","Digital Archive","",""
24/01/1988 21:00,5.690,181.50,"5b","Digital Archive","",""
05/02/1988 11:00,3.711,102.40,"5b","Digital Archive","",""
25/02/1989 07:45,4.133,118.50,"5b","Digital Archive","",""
25/12/1989 10:45,5.368,168.00,"5b","Digital Archive","",""
28/01/1990 22:45,6.090,244.19,"5c","Digital Archive","",""
08/02/1990 05:30,5.934,211.02,"5c","Digital Archive","",""
10/01/1991 12:00,5.528,174.71,"5b","Digital Archive","",""
08/03/1991 02:00,5.669,180.64,"5b","Digital Archive","",""
10/01/1992 08:00,5.902,204.47,"5c","Digital Archive","",""
25/11/1992 18:00,3.598,98.20,"5b","Digital Archive","",""
03/12/1992 03:15,5.917,207.53,"5c","Digital Archive","",""
19/12/1992 02:30,4.371,127.71,"5b","Digital Archive","",""
14/01/1993 07:00,4.807,145.04,"5b","Digital Archive","",""
14/11/1993 07:15,4.686,140.19,"5b","Digital Archive","",""
15/12/1993 14:15,4.608,137.07,"5b","Digital Archive","",""
24/12/1993 08:00,4.745,142.55,"5b","Digital Archive","",""
04/01/1994 05:45,4.651,138.79,"5b","Digital Archive","",""
13/01/1994 07:45,4.663,139.27,"5b","Digital Archive","",""
11/02/1994 22:00,4.062,115.72,"5b","Digital Archive","",""
26/02/1994 18:15,3.973,112.31,"5b","Digital Archive","",""
08/12/1994 22:30,5.208,161.39,"5b","Digital Archive","",""
27/12/1994 19:30,4.318,125.64,"5b","Digital Archive","",""
22/01/1995 06:30,5.015,153.48,"5b","Digital Archive","",""
28/01/1995 17:00,5.481,172.73,"5b","Digital Archive","",""
17/02/1995 08:15,4.176,120.11,"5b","Digital Archive","",""
06/03/1995 05:15,3.567,97.06,"5b","Digital Archive","",""
23/12/1995 07:00,4.433,130.15,"5b","Digital Archive","",""
09/01/1996 15:15,4.523,133.70,"5b","Digital Archive","",""
13/02/1996 05:30,4.471,131.64,"5b","Digital Archive","",""
25/02/1997 11:30,3.800,105.75,"5b","Digital Archive","",""
27/06/1997 03:15,3.653,100.25,"5b","Digital Archive","",""
29/11/1997 09:30,4.120,117.95,"5b","Digital Archive","",""
05/01/1998 08:00,4.776,143.80,"5b","Digital Archive","",""
10/04/1998 10:45,3.582,97.61,"5b","Digital Archive","",""
29/10/1998 00:15,5.274,164.12,"5b","Digital Archive","",""
07/01/1999 08:45,3.606,119.91,"6d","Digital Archive","",""
16/01/1999 15:30,4.343,147.25,"6e","Digital Archive","",""
21/09/1999 02:15,3.209,109.55,"6d","Digital Archive","",""
02/10/1999 17:15,4.079,132.65,"6e","Digital Archive","",""
13/12/1999 07:30,4.238,141.29,"6e","Digital Archive","",""
25/12/1999 18:15,4.916,183.55,"6e","Digital Archive","",""
28/02/2000 12:30,3.045,105.10,"6d","Digital Archive","",""
04/04/2000 03:30,2.817,98.73,"6d","Digital Archive","",""
22/04/2000 17:45,3.497,117.12,"6d","Digital Archive","Non-independent peak removed",""
31/10/2000 16:45,5.243,207.38,"6e","Digital Archive","",""
06/11/2000 21:30,5.169,201.78,"6e","Digital Archive","",""
22/11/2000 20:00,3.118,107.09,"6d","Digital Archive","",""
28/11/2000 17:00,3.199,109.28,"6d","Digital Archive","",""
09/12/2000 00:15,5.271,209.53,"6e","Digital Archive","Non-independent peak removed",""
24/01/2001 11:00,3.638,120.73,"6d","Digital Archive","",""
05/02/2001 03:00,3.059,105.48,"6d","Digital Archive","",""
12/02/2001 22:45,4.639,165.18,"6e","Digital Archive","",""
09/04/2001 09:30,3.155,108.09,"6d","Digital Archive","",""
21/10/2001 04:15,3.038,104.91,"6d","Digital Archive","",""
27/10/2001 05:30,3.403,114.68,"6d","Digital Archive","",""
27/01/2002 01:45,4.708,169.60,"6e","Digital Archive","",""
03/02/2002 05:15,5.416,220.99,"6e","Digital Archive","",""
26/02/2002 18:00,2.997,103.78,"6d","Digital Archive","",""
15/11/2002 02:30,3.823,125.37,"6d","Digital Archive","",""
22/12/2002 18:45,3.385,114.21,"6d","Digital Archive","",""
30/12/2002 03:15,3.578,119.20,"6d","Digital Archive","Non-independent peak removed",""
09/01/2004 04:15,3.438,115.59,"6d","Digital Archive","Series used : 2029SG,2029SG,",""
05/02/2004 09:00,3.714,122.65,"6d","Digital Archive","Series used : 2029SG,2029SG,",""
24/10/2004 10:15,4.384,149.63,"6e","Digital Archive","Series used : 2029SG,2029SG,",""
31/03/2005 08:00,4.290,144.22,"6e","Digital Archive","Series used : 2029SG,2029SG,",""
09/11/2005 18:00,4.419,151.69,"6e","Digital Archive","Series used : 2029SG,2029SG,",""
03/12/2005 11:30,3.697,122.22,"6d","Digital Archive","Series used : 2029SG,2029SG,",""
25/11/2006 22:00,2.933,102.00,"6d","Digital Archive","",""
31/12/2006 09:45,2.986,103.47,"6d","Digital Archive","",""
12/01/2007 05:45,2.915,101.50,"6d","Digital Archive","",""
