"NAME:","Meese at Tibberton"
"NUMBER:","54040"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
17/01/1974 00:00,0.520,4.68,"1b","EA POT Series","","AMAX ONLY"
20/04/1975 00:00,0.550,5.12,"1b","EA POT Series","","AMAX ONLY"
22/03/1976 00:00,,2.49,"1a","CEH POTs","","AMAX ONLY"
16/10/1976 18:00,0.360,2.62,"1b","EA POT Series","","AMAX ONLY"
12/02/1977 04:00,0.580,5.57,"1b","EA POT Series","","AMAX ONLY"
05/02/1978 10:30,0.577,5.52,"1b","Digital Archive","",""
28/02/1978 13:30,0.298,1.96,"1b","Digital Archive","",""
02/04/1978 15:45,0.268,1.66,"1b","Digital Archive","",""
03/05/1978 11:45,0.347,2.48,"1b","Digital Archive","",""
15/12/1978 10:00,0.319,2.17,"1b","Digital Archive","",""
29/12/1978 22:45,0.572,5.45,"1b","Digital Archive","",""
08/01/1979 07:00,0.340,2.40,"1b","Digital Archive","",""
02/02/1979 10:00,0.549,5.10,"1b","Digital Archive","",""
23/02/1979 06:45,0.379,2.84,"1b","Digital Archive","",""
21/03/1979 05:45,0.418,3.31,"1b","Digital Archive","",""
29/03/1979 20:30,0.503,4.44,"1b","Digital Archive","",""
12/04/1979 03:30,0.397,3.06,"1b","Digital Archive","",""
11/05/1979 14:30,0.307,2.05,"1b","Digital Archive","",""
27/05/1979 09:45,0.414,3.26,"1b","Digital Archive","",""
31/05/1979 09:00,0.483,4.16,"1b","Digital Archive","",""
16/11/1979 14:15,0.236,1.37,"1b","Digital Archive","",""
14/12/1979 23:45,0.566,5.35,"1b","Digital Archive","",""
28/12/1979 09:00,0.572,5.45,"1b","Digital Archive","",""
04/01/1980 14:00,0.453,3.76,"1b","Digital Archive","",""
22/01/1980 05:45,0.416,3.29,"1b","Digital Archive","",""
01/02/1980 03:45,0.465,3.92,"1b","Digital Archive","",""
09/02/1980 00:15,0.661,6.86,"1b","Digital Archive","",""
23/02/1980 15:15,0.444,3.64,"1b","Digital Archive","",""
26/02/1980 16:30,0.519,4.67,"1b","Digital Archive","",""
13/03/1980 05:15,0.435,3.53,"1b","Digital Archive","",""
19/03/1980 09:00,0.505,4.47,"1b","Digital Archive","",""
11/06/1980 23:45,0.280,1.78,"1b","Digital Archive","",""
31/08/1980 00:45,0.255,1.54,"1b","Digital Archive","",""
22/09/1980 03:15,0.271,1.69,"1b","Digital Archive","",""
07/10/1980 18:15,0.277,1.75,"1b","Digital Archive","",""
29/10/1980 06:45,0.421,3.35,"1b","Digital Archive","",""
16/11/1980 17:45,0.369,2.73,"1b","Digital Archive","",""
21/12/1980 16:45,0.477,4.08,"1b","Digital Archive","",""
15/01/1981 18:00,0.419,3.32,"1b","Digital Archive","",""
10/02/1981 03:15,0.491,4.27,"1b","Digital Archive","",""
12/03/1981 04:15,0.628,6.32,"1b","Digital Archive","",""
22/03/1981 18:45,0.514,4.59,"1b","Digital Archive","",""
02/06/1981 22:45,0.442,3.62,"1b","Digital Archive","",""
30/09/1981 18:15,0.291,1.89,"1b","Digital Archive","",""
25/10/1981 19:00,0.375,2.80,"1b","Digital Archive","",""
19/11/1981 02:15,0.310,2.08,"1b","Digital Archive","",""
16/12/1981 02:15,0.268,1.66,"1b","Digital Archive","",""
31/12/1981 12:30,0.740,8.22,"1b","Digital Archive","",""
19/01/1982 02:15,0.453,3.76,"1b","Digital Archive","",""
07/03/1982 18:00,0.391,2.98,"1b","Digital Archive","",""
15/03/1982 21:45,0.486,4.20,"1b","Digital Archive","",""
08/04/1982 00:15,0.358,2.60,"1b","Digital Archive","",""
26/06/1982 20:15,0.252,1.51,"1b","Digital Archive","",""
29/09/1982 20:45,0.264,1.62,"1b","Digital Archive","",""
21/10/1982 12:15,0.342,2.42,"1b","Digital Archive","",""
02/11/1982 15:15,0.286,1.84,"1b","Digital Archive","",""
22/11/1982 13:45,0.317,2.15,"1b","Digital Archive","",""
10/12/1982 14:15,0.439,3.58,"1b","Digital Archive","",""
20/12/1982 12:45,0.356,2.58,"1b","Digital Archive","",""
04/01/1983 22:30,0.411,3.23,"1b","Digital Archive","",""
14/01/1983 03:15,0.370,2.74,"1b","Digital Archive","",""
02/02/1983 14:30,0.291,1.89,"1b","Digital Archive","",""
24/03/1983 13:45,0.333,2.32,"1b","Digital Archive","",""
11/04/1983 22:15,0.441,3.60,"1b","Digital Archive","",""
21/04/1983 16:00,0.444,3.64,"1b","Digital Archive","",""
28/04/1983 03:00,0.476,4.07,"1b","Digital Archive","",""
03/05/1983 02:30,0.548,5.08,"1b","Digital Archive","",""
23/05/1983 07:15,0.282,1.80,"1b","Digital Archive","",""
