"NAME:","Irfon at Abernant"
"NUMBER:","55004"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
14/01/1938 12:00,1.620,37.62,"1a","CEH POTS 5-10-72","Threshold 1.577 applied",""
01/06/1938 00:00,1.650,39.45,"1a","CEH POTS 5-10-72","Threshold 1.577 applied",""
03/10/1938 00:00,1.650,39.45,"1a","CEH POTS 5-10-72","Threshold 1.577 applied",""
06/10/1938 00:00,1.740,44.89,"1a","CEH POTS 5-10-72","Threshold 1.577 applied",""
08/10/1938 00:00,1.720,43.68,"1a","CEH POTS 5-10-72","Threshold 1.577 applied",""
25/11/1938 00:00,1.770,46.69,"1a","CEH POTS 5-10-72","Threshold 1.577 applied",""
14/01/1939 00:00,2.040,62.60,"1a","CEH POTS 5-10-72","Threshold 1.577 applied",""
06/07/1939 00:00,1.620,37.62,"1a","CEH POTS 5-10-72","Threshold 1.577 applied",""
08/07/1939 00:00,1.590,35.78,"1a","CEH POTS 5-10-72","Threshold 1.577 applied",""
28/07/1939 00:00,1.740,44.89,"1a","CEH POTS 5-10-72","Threshold 1.577 applied",""
29/07/1939 00:00,2.130,67.81,"1a","CEH POTS 5-10-72","Threshold 1.577 applied",""
16/11/1939 00:00,1.680,41.27,"1a","CEH POTS 5-10-72","Threshold 1.577 applied",""
18/11/1939 00:00,1.620,37.62,"1a","CEH POTS 5-10-72","Threshold 1.577 applied",""
25/11/1939 00:00,1.810,49.07,"1a","CEH POTS 5-10-72","Threshold 1.577 applied",""
07/02/1940 00:00,1.600,36.39,"1a","CEH POTS 5-10-72","Threshold 1.577 applied",""
31/10/1940 00:00,1.650,39.45,"1a","CEH POTS 5-10-72","Threshold 1.577 applied",""
02/11/1940 09:00,1.830,50.26,"1a","CEH POTS 5-10-72","Threshold 1.577 applied",""
02/11/1940 12:00,1.810,49.07,"1a","CEH POTS 5-10-72","Threshold 1.577 applied",""
11/11/1940 00:00,1.650,39.45,"1a","CEH POTS 5-10-72","Threshold 1.577 applied",""
21/11/1940 00:00,1.650,39.45,"1a","CEH POTS 5-10-72","Threshold 1.577 applied",""
17/10/1941 00:00,1.660,40.06,"1a","CEH POTS 5-10-72","Threshold 1.577 applied",""
23/01/1942 00:00,1.620,37.62,"1a","CEH POTS 5-10-72","Threshold 1.577 applied",""
26/05/1942 00:00,1.580,35.16,"1a","CEH POTS 5-10-72","Threshold 1.577 applied",""
11/12/1942 00:00,1.620,37.62,"1a","CEH POTS 5-10-72","Threshold 1.577 applied",""
31/01/1943 00:00,1.750,45.49,"1a","CEH POTS 5-10-72","Threshold 1.577 applied",""
