"NAME:","Wye at Erwood"
"NUMBER:","55007"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
12/01/1938 00:00,,307.07,"","FEH POTs","Fill CEH POTs gap",""
15/01/1938 00:00,,355.75,"","FEH POTs","Fill CEH POTs gap",""
16/01/1938 00:00,,274.81,"","FEH POTs","Fill CEH POTs gap",""
09/10/1938 00:00,,340.01,"","FEH POTs","Fill CEH POTs gap",""
13/11/1938 00:00,,313.78,"","FEH POTs","Fill CEH POTs gap",""
26/11/1938 00:00,,444.79,"","FEH POTs","Fill CEH POTs gap",""
09/12/1938 00:00,,281.09,"","FEH POTs","Fill CEH POTs gap",""
07/01/1939 00:00,,287.47,"","FEH POTs","Fill CEH POTs gap",""
14/01/1939 00:00,,509.11,"","FEH POTs","Fill CEH POTs gap",""
30/07/1939 00:00,,559.47,"","FEH POTs","Fill CEH POTs gap",""
16/11/1939 00:00,,268.60,"","FEH POTs","Fill CEH POTs gap",""
18/11/1939 00:00,,344.97,"","FEH POTs","Fill CEH POTs gap",""
23/11/1939 00:00,,297.18,"","FEH POTs","Fill CEH POTs gap",""
26/11/1939 00:00,,705.54,"","FEH POTs","Fill CEH POTs gap",""
30/11/1939 00:00,,334.38,"","FEH POTs","Fill CEH POTs gap",""
03/11/1940 00:00,,700.17,"","FEH POTs","Fill CEH POTs gap",""
04/11/1940 00:00,,381.64,"","FEH POTs","Fill CEH POTs gap",""
11/11/1940 00:00,,469.92,"","FEH POTs","Fill CEH POTs gap",""
21/11/1940 00:00,,491.47,"","FEH POTs","Fill CEH POTs gap",""
07/02/1941 00:00,,374.14,"","FEH POTs","Fill CEH POTs gap",""
02/03/1941 00:00,,268.60,"","FEH POTs","Fill CEH POTs gap",""
17/10/1941 00:00,,330.90,"","FEH POTs","Fill CEH POTs gap",""
23/01/1942 00:00,,469.92,"","FEH POTs","Fill CEH POTs gap",""
11/12/1942 00:00,,334.38,"","FEH POTs","Fill CEH POTs gap",""
31/01/1943 00:00,,497.60,"","FEH POTs","Fill CEH POTs gap",""
06/02/1943 00:00,,265.53,"","FEH POTs","Fill CEH POTs gap",""
09/02/1943 00:00,,370.42,"","FEH POTs","Fill CEH POTs gap",""
10/05/1943 00:00,,300.46,"","FEH POTs","Fill CEH POTs gap",""
14/09/1943 00:00,,396.91,"","FEH POTs","Fill CEH POTs gap",""
