"NAME:","Arrow at Titley Mill"
"NUMBER:","55013"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
05/11/1966 00:00,1.430,26.50,"7a","CEH POTS 16-5-77","Peaks over 13cumecs",""
21/02/1967 00:00,1.250,21.69,"7a","CEH POTS 16-5-77","Peaks over 13cumecs",""
24/02/1967 00:00,1.180,19.91,"7a","CEH POTS 16-5-77","Peaks over 13cumecs",""
28/02/1967 00:00,1.430,26.50,"7a","CEH POTS 16-5-77","Peaks over 13cumecs",""
02/10/1967 00:00,0.990,15.37,"7a","CEH POTS 16-5-77","Peaks over 13cumecs",""
17/10/1967 00:00,1.890,40.26,"7a","CEH POTS 16-5-77","Peaks over 13cumecs. Rating limit exceeded as well as bankful, so flow unreliable",""
03/11/1967 00:00,1.190,20.17,"7a","CEH POTS 16-5-77","Peaks over 13cumecs",""
23/12/1967 00:00,1.160,19.42,"7a","CEH POTS 16-5-77","Peaks over 13cumecs",""
13/01/1968 00:00,2.160,49.23,"7a","CEH POTS 16-5-77","Peaks over 13cumecs. Rating limit exceeded as well as bankful, so flow unreliable",""
16/01/1968 00:00,1.160,19.42,"7a","CEH POTS 16-5-77","Peaks over 13cumecs",""
02/07/1968 00:00,1.680,33.73,"7a","CEH POTS 16-5-77","Peaks over 13cumecs",""
11/07/1968 00:00,1.070,17.23,"7a","CEH POTS 16-5-77","Peaks over 13cumecs",""
28/10/1968 00:00,1.160,19.42,"7a","CEH POTS 16-5-77","Peaks over 13cumecs",""
02/11/1968 00:00,1.340,24.06,"7a","CEH POTS 16-5-77","Peaks over 13cumecs",""
22/12/1968 00:00,1.100,17.95,"7a","CEH POTS 16-5-77","Peaks over 13cumecs",""
08/01/1969 00:00,1.220,20.92,"7a","CEH POTS 16-5-77","Peaks over 13cumecs",""
17/01/1969 00:00,1.310,23.26,"7a","CEH POTS 16-5-77","Peaks over 13cumecs",""
20/01/1969 00:00,1.020,16.06,"7a","CEH POTS 16-5-77","Peaks over 13cumecs",""
24/02/1969 00:00,1.490,28.18,"7a","CEH POTS 16-5-77","Peaks over 13cumecs",""
13/03/1969 00:00,1.030,16.29,"7a","CEH POTS 16-5-77","Peaks over 13cumecs",""
26/05/1969 00:00,1.710,34.64,"7a","CEH POTS 16-5-77","Peaks over 13cumecs",""
22/12/1969 00:00,1.400,25.68,"7a","CEH POTS 16-5-77","Peaks over 13cumecs",""
30/01/1970 00:00,1.070,17.23,"7a","CEH POTS 16-5-77","Peaks over 13cumecs",""
19/02/1970 00:00,1.200,20.42,"7a","CEH POTS 16-5-77","Peaks over 13cumecs",""
21/02/1970 00:00,1.070,17.23,"7a","CEH POTS 16-5-77","Peaks over 13cumecs",""
07/11/1970 00:00,1.550,29.89,"7a","CEH POTS 16-5-77","Peaks over 13cumecs",""
23/01/1971 00:00,1.020,16.06,"7a","CEH POTS 16-5-77","Peaks over 13cumecs",""
26/01/1971 00:00,1.300,22.99,"7a","CEH POTS 16-5-77","Peaks over 13cumecs",""
16/01/1972 00:00,1.010,15.83,"7a","CEH POTS 16-5-77","Peaks over 13cumecs",""
06/12/1972 00:00,1.160,19.42,"7a","CEH POTS 16-5-77","Peaks over 13cumecs",""
12/12/1972 00:00,1.230,21.18,"7a","CEH POTS 16-5-77","Peaks over 13cumecs",""
08/01/1974 00:00,0.920,13.80,"7a","CEH POTS 7-3-86","Threshold 0.858 applied",""
10/01/1974 00:00,1.100,17.95,"7a","CEH POTS 7-3-86","Threshold 0.858 applied",""
13/01/1974 00:00,1.000,15.60,"7a","CEH POTS 7-3-86","Threshold 0.858 applied",""
16/01/1974 00:00,1.060,16.99,"7a","CEH POTS 7-3-86","Threshold 0.858 applied",""
11/02/1974 09:00,1.620,31.94,"7a","CEH POTS 7-3-86","Threshold 0.858 applied",""
13/11/1974 00:00,1.020,16.06,"7a","CEH POTS 7-3-86","Threshold 0.858 applied",""
26/12/1974 00:00,0.980,15.14,"7a","CEH POTS 7-3-86","Threshold 0.858 applied",""
19/01/1975 00:00,0.960,14.69,"7a","CEH POTS 7-3-86","Threshold 0.858 applied",""
24/01/1975 00:00,1.050,16.76,"7a","CEH POTS 7-3-86","Threshold 0.858 applied",""
31/01/1975 00:00,0.960,14.69,"7a","CEH POTS 7-3-86","Threshold 0.858 applied",""
25/09/1976 00:00,0.780,10.85,"7a","CEH POTS 7-3-86","Threshold 0.858 applied",""
11/10/1976 00:00,1.010,15.83,"7a","CEH POTS 7-3-86","Threshold 0.858 applied",""
14/10/1976 00:00,1.130,18.68,"7a","CEH POTS 7-3-86","Threshold 0.858 applied",""
07/12/1976 00:00,0.900,13.36,"7a","CEH POTS 7-3-86","Threshold 0.858 applied",""
21/01/1977 00:00,1.170,19.67,"7a","CEH POTS 7-3-86","Threshold 0.858 applied",""
25/01/1977 00:00,1.040,16.52,"7a","CEH POTS 7-3-86","Threshold 0.858 applied",""
27/01/1977 00:00,1.190,20.17,"7a","CEH POTS 7-3-86","Threshold 0.858 applied",""
09/02/1977 00:00,0.920,13.80,"7a","CEH POTS 7-3-86","Threshold 0.858 applied",""
23/02/1977 00:00,0.920,13.80,"7a","CEH POTS 7-3-86","Threshold 0.858 applied",""
10/12/1977 00:00,0.960,14.69,"7a","CEH POTS 7-3-86","Threshold 0.858 applied",""
11/12/1977 00:00,1.450,27.06,"7a","CEH POTS 7-3-86","Threshold 0.858 applied",""
04/02/1978 00:00,0.880,12.93,"7a","CEH POTS 7-3-86","Threshold 0.858 applied",""
13/12/1978 12:00,1.510,28.75,"7a","CEH POTS 7-3-86","Threshold 0.858 applied",""
27/12/1978 09:00,1.050,16.76,"7a","CEH POTS 7-3-86","Threshold 0.858 applied",""
01/02/1979 00:00,0.960,14.69,"7a","CEH POTS 7-3-86","Threshold 0.858 applied",""
27/02/1979 00:00,1.420,26.23,"7a","CEH POTS 7-3-86","Threshold 0.858 applied",""
02/03/1979 00:00,1.050,16.76,"7a","CEH POTS 7-3-86","Threshold 0.858 applied",""
13/12/1979 00:00,0.960,14.69,"7a","CEH POTS 7-3-86","Threshold 0.858 applied",""
14/12/1979 00:00,1.100,17.95,"7a","CEH POTS 7-3-86","Threshold 0.858 applied",""
27/12/1979 00:00,2.110,47.52,"7a","CEH POTS 7-3-86","Threshold 0.858 applied. Rating limit exceeded as well as bankful, so flow unreliable",""
05/02/1980 00:00,0.910,13.58,"7a","CEH POTS 7-3-86","Threshold 0.858 applied",""
07/02/1980 00:00,0.930,14.02,"7a","CEH POTS 7-3-86","Threshold 0.858 applied",""
23/03/1980 00:00,1.190,20.17,"7a","CEH POTS 7-3-86","Threshold 0.858 applied",""
28/03/1980 00:00,0.980,15.14,"7a","CEH POTS 7-3-86","Threshold 0.858 applied",""
01/03/1981 00:00,1.030,16.29,"7a","CEH POTS 7-3-86","Threshold 0.858 applied",""
01/03/1981 18:45,1.024,16.15,"7a","Digital Archive","Threshold 0.858 applied",""
11/03/1981 19:45,1.154,19.27,"7a","Digital Archive","",""
21/03/1981 23:30,1.547,29.81,"7a","Digital Archive","",""
23/03/1981 17:45,1.008,15.78,"7a","Digital Archive","",""
15/12/1981 03:30,0.924,13.89,"7a","Digital Archive","",""
30/12/1981 19:15,1.110,18.19,"7a","Digital Archive","",""
03/01/1982 01:15,1.777,36.69,"7a","Digital Archive","",""
05/01/1982 15:00,1.404,25.79,"7a","Digital Archive","",""
22/01/1982 01:00,1.371,24.89,"7a","Digital Archive","",""
10/03/1982 02:30,0.975,15.03,"7a","Digital Archive","",""
