"NAME:","Wye at Ddol Farm"
"NUMBER:","55026"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
11/11/1969 00:00,1.940,83.61,"4b","CEH POTS 19-9-75","Threshold 1.663 applied",""
20/12/1969 00:00,1.850,75.71,"4b","CEH POTS 19-9-75","Threshold 1.663 applied",""
19/02/1970 00:00,2.000,89.07,"4b","CEH POTS 19-9-75","Threshold 1.663 applied",""
21/02/1970 00:00,2.500,140.45,"4b","CEH POTS 19-9-75","Threshold 1.663 applied",""
21/04/1970 00:00,1.820,73.15,"4b","CEH POTS 19-9-75","Threshold 1.663 applied",""
27/10/1970 00:00,1.980,87.23,"4b","CEH POTS 19-9-75","Threshold 1.663 applied",""
02/11/1970 00:00,2.290,117.60,"4b","CEH POTS 19-9-75","Threshold 1.663 applied",""
05/11/1970 00:00,1.750,67.35,"4b","CEH POTS 19-9-75","Threshold 1.663 applied",""
07/11/1970 00:00,1.800,71.47,"4b","CEH POTS 19-9-75","Threshold 1.663 applied",""
11/02/1971 00:00,1.720,64.92,"4b","CEH POTS 19-9-75","Threshold 1.663 applied",""
19/10/1971 00:00,2.160,104.37,"4b","CEH POTS 19-9-75","Threshold 1.663 applied",""
20/11/1971 00:00,2.340,122.88,"4b","CEH POTS 19-9-75","Thereshold 1.646 applied",""
26/01/1972 00:00,1.720,64.92,"4b","CEH POTS 19-9-75","Thereshold 1.646 applied",""
01/04/1972 00:00,1.800,71.47,"4b","CEH POTS 19-9-75","Thereshold 1.646 applied",""
08/04/1972 00:00,1.840,74.85,"4b","CEH POTS 19-9-75","Thereshold 1.646 applied",""
12/11/1972 00:00,1.950,84.51,"4b","CEH POTS 19-9-75","Thereshold 1.646 applied",""
01/12/1972 00:00,1.730,65.73,"4b","CEH POTS 19-9-75","Thereshold 1.646 applied",""
05/12/1972 00:00,1.710,64.12,"4b","CEH POTS 19-9-75","Thereshold 1.646 applied",""
26/01/1973 09:00,1.770,68.98,"4b","CEH POTS 19-9-75","Thereshold 1.646 applied",""
12/02/1973 00:00,2.250,113.46,"4b","CEH POTS 19-9-75","Thereshold 1.646 applied",""
01/04/1973 00:00,2.210,109.38,"4b","CEH POTS 19-9-75","Thereshold 1.646 applied",""
06/08/1973 00:00,3.100,215.52,"4b","CEH POTS 19-9-75","Thereshold 1.646 appliedExtrapolated flow from the CEH POTs series, peak just above bankfull.",""
19/10/1973 00:00,2.000,89.07,"4b","CEH POTS 26-2-86","Threshold 1.583m applied",""
09/11/1973 00:00,1.600,55.63,"4b","CEH POTS 26-2-86","Threshold 1.583m applied",""
14/11/1973 00:00,1.820,73.15,"4b","CEH POTS 26-2-86","Threshold 1.583m applied",""
07/12/1973 00:00,1.600,55.63,"4b","CEH POTS 26-2-86","Threshold 1.583m applied",""
15/12/1973 00:00,1.670,60.97,"4b","CEH POTS 26-2-86","Threshold 1.583m applied",""
14/01/1974 00:00,1.800,71.47,"4b","CEH POTS 26-2-86","Threshold 1.583m applied",""
16/01/1974 00:00,1.690,62.54,"4b","CEH POTS 26-2-86","Threshold 1.583m applied",""
08/02/1974 00:00,1.790,70.64,"4b","CEH POTS 26-2-86","Threshold 1.583m applied",""
11/02/1974 00:00,1.700,63.33,"4b","CEH POTS 26-2-86","Threshold 1.583m applied",""
07/09/1974 09:00,1.790,70.64,"4b","CEH POTS 26-2-86","Threshold 1.583m applied",""
18/10/1974 00:00,1.630,57.89,"4b","CEH POTS 26-2-86","Threshold 1.583m applied",""
10/11/1974 00:00,1.780,69.81,"4b","CEH POTS 26-2-86","Threshold 1.583m applied",""
13/11/1974 00:00,1.840,74.85,"4b","CEH POTS 26-2-86","Threshold 1.583m applied",""
22/12/1974 00:00,1.690,62.54,"4b","CEH POTS 26-2-86","Threshold 1.583m applied",""
27/12/1974 00:00,1.750,67.35,"4b","CEH POTS 26-2-86","Threshold 1.583m applied",""
06/01/1975 00:00,1.610,56.38,"4b","CEH POTS 26-2-86","Threshold 1.583m applied",""
22/01/1975 00:00,2.480,138.20,"4b","CEH POTS 26-2-86","Threshold 1.583m applied",""
25/01/1975 00:00,1.610,56.38,"4b","CEH POTS 26-2-86","Threshold 1.583m applied",""
01/12/1975 00:00,2.180,106.36,"4b","CEH POTS 26-2-86","Threshold 1.583m applied",""
31/12/1975 00:00,1.740,66.53,"4b","CEH POTS 26-2-86","Threshold 1.583m applied",""
04/01/1976 00:00,1.620,57.13,"4b","CEH POTS 26-2-86","Threshold 1.583m applied",""
12/02/1976 00:00,2.150,103.38,"4b","CEH POTS 26-2-86","Threshold 1.583m applied",""
10/02/1977 00:00,1.750,67.35,"4b","CEH POTS 26-2-86","Threshold 1.583m applied",""
30/09/1977 00:00,1.660,60.20,"4b","CEH POTS 26-2-86","Threshold 1.583m applied",""
31/10/1977 00:00,1.610,56.38,"4b","CEH POTS 26-2-86","Threshold 1.583m applied",""
01/11/1977 00:00,2.010,89.99,"4b","CEH POTS 26-2-86","Threshold 1.583m applied",""
19/11/1977 00:00,1.930,82.71,"4b","CEH POTS 26-2-86","Threshold 1.583m applied",""
01/02/1978 00:00,1.730,65.73,"4b","CEH POTS 26-2-86","Threshold 1.583m applied",""
18/11/1978 00:00,1.810,72.31,"4b","CEH POTS 26-2-86","Threshold 1.583m applied",""
14/12/1978 00:00,1.910,80.93,"4b","CEH POTS 26-2-86","Threshold 1.583m applied",""
03/03/1979 00:00,1.840,74.85,"4b","CEH POTS 26-2-86","Threshold 1.583m applied",""
08/03/1979 00:00,1.820,73.15,"4b","CEH POTS 26-2-86","Threshold 1.583m applied",""
11/03/1979 00:00,2.250,113.46,"4b","CEH POTS 26-2-86","Threshold 1.583m applied",""
11/05/1979 00:00,1.750,67.35,"4b","CEH POTS 26-2-86","Threshold 1.583m applied",""
05/11/1979 00:00,1.680,61.75,"4b","CEH POTS 26-2-86","Threshold 1.583m applied",""
07/11/1979 00:00,1.900,80.05,"4b","CEH POTS 26-2-86","Threshold 1.583m applied",""
26/11/1979 00:00,1.610,56.38,"4b","CEH POTS 26-2-86","Threshold 1.583m applied",""
05/12/1979 00:00,2.270,115.52,"4b","CEH POTS 26-2-86","Threshold 1.583m applied",""
27/12/1979 00:00,2.020,90.92,"4b","CEH POTS 26-2-86","Threshold 1.583m applied",""
03/01/1980 00:00,1.690,62.54,"4b","CEH POTS 26-2-86","Threshold 1.583m applied",""
05/02/1980 00:00,2.130,101.42,"4b","CEH POTS 26-2-86","Threshold 1.583m applied",""
07/02/1980 00:00,1.610,56.38,"4b","CEH POTS 26-2-86","Threshold 1.583m applied",""
06/10/1980 00:00,1.990,88.14,"4b","CEH POTS 26-2-86","Threshold 1.583m applied",""
21/11/1980 00:00,1.750,67.35,"4b","CEH POTS 26-2-86","Threshold 1.583m applied",""
10/12/1980 00:00,1.630,57.89,"4b","CEH POTS 26-2-86","Threshold 1.583m applied",""
17/12/1980 00:00,1.670,60.97,"4b","CEH POTS 26-2-86","Threshold 1.583m applied",""
20/12/1980 00:00,1.600,55.63,"4b","CEH POTS 26-2-86","Threshold 1.583m applied",""
14/01/1981 15:00,2.000,89.07,"4b","Digital Archive","Threshold 1.583m applied",""
02/02/1981 00:00,1.900,80.05,"4b","CEH POTS 26-2-86","Threshold 1.583m applied",""
11/03/1981 19:00,2.075,96.11,"4b","Digital Archive","",""
21/03/1981 21:45,1.796,71.14,"4b","Digital Archive","",""
09/10/1981 22:00,2.263,114.80,"4b","Digital Archive","",""
11/10/1981 01:45,1.621,57.21,"4b","Digital Archive","",""
20/10/1981 05:00,1.889,79.09,"4b","Digital Archive","",""
18/11/1981 14:45,1.771,69.07,"4b","Digital Archive","",""
02/01/1982 19:45,1.695,62.93,"4b","Digital Archive","",""
15/03/1982 04:30,1.659,60.12,"4b","Digital Archive","",""
15/11/1982 00:00,1.590,54.88,"4b","CEH POTS 26-2-86","Threshold 1.583m applied",""
21/11/1982 00:00,1.810,72.31,"4b","CEH POTS 26-2-86","Threshold 1.583m applied",""
14/12/1982 00:00,1.750,67.35,"4b","CEH POTS 26-2-86","Threshold 1.583m applied",""
19/12/1982 00:00,1.900,80.05,"4b","CEH POTS 26-2-86","Threshold 1.583m applied",""
06/01/1983 00:00,1.650,59.42,"4b","CEH POTS 26-2-86","Threshold 1.583m applied",""
14/01/1983 00:00,1.950,84.51,"4b","CEH POTS 26-2-86","Threshold 1.583m applied",""
28/01/1983 00:00,1.650,59.42,"4b","CEH POTS 26-2-86","Threshold 1.583m applied",""
31/01/1983 00:00,2.100,98.51,"4b","CEH POTS 26-2-86","Threshold 1.583m applied",""
09/10/1983 00:00,1.700,63.33,"4b","CEH POTS 26-2-86","Threshold 1.583m applied",""
03/11/1983 00:00,1.760,68.16,"4b","CEH POTS 26-2-86","Threshold 1.583m applied",""
26/11/1983 00:00,1.590,54.88,"4b","CEH POTS 26-2-86","Threshold 1.583m applied",""
08/12/1983 00:00,1.670,60.97,"4b","CEH POTS 26-2-86","Threshold 1.583m applied",""
21/09/1984 15:00,1.088,23.40,"4b","Digital Archive","","AMAX ONLY"
23/11/1984 22:45,1.712,64.28,"4b","Digital Archive","",""
12/06/1985 03:15,1.779,69.73,"4b","Digital Archive","",""
13/12/1985 11:15,1.725,65.32,"4b","Digital Archive","",""
22/12/1985 02:00,1.838,74.68,"4b","Digital Archive","",""
10/01/1986 11:45,1.870,77.43,"4b","Digital Archive","",""
19/01/1986 00:00,1.832,74.17,"4b","Digital Archive","Non-independent peak removed B",""
21/01/1986 07:00,1.618,56.98,"4b","Digital Archive","",""
22/01/1986 15:45,1.608,56.23,"4b","Digital Archive","",""
04/03/1986 18:00,1.830,74.00,"4b","Digital Archive","",""
26/08/1986 00:30,1.613,56.60,"4b","Digital Archive","",""
25/10/1986 17:30,1.690,62.54,"4b","Digital Archive","",""
19/11/1986 03:30,2.621,154.43,"4b","Digital Archive","",""
23/11/1986 10:15,2.115,99.96,"4b","Digital Archive","",""
24/11/1986 15:00,1.626,57.59,"4b","Digital Archive","",""
26/11/1986 00:00,1.717,64.68,"4b","Digital Archive","",""
25/12/1986 08:45,1.585,54.51,"4b","Digital Archive","",""
30/12/1986 08:15,2.588,150.56,"4b","Digital Archive","",""
04/01/1987 17:45,1.929,82.62,"4b","Digital Archive","",""
27/03/1987 15:00,1.756,67.83,"4b","Digital Archive","",""
04/04/1987 20:00,1.565,53.04,"4b","Digital Archive","",""
16/10/1987 11:15,1.669,60.89,"4b","Digital Archive","",""
18/10/1987 22:00,2.536,144.55,"4b","Digital Archive","",""
21/10/1987 07:00,1.580,54.14,"4b","Digital Archive","",""
02/01/1988 12:15,2.082,96.77,"4b","Digital Archive","Non-independent peak removed B",""
24/01/1988 04:15,1.881,78.39,"4b","Digital Archive","",""
19/03/1988 20:30,1.580,54.14,"4b","Digital Archive","",""
02/09/1988 09:30,1.611,56.45,"4b","Digital Archive","",""
24/09/1988 22:30,1.564,52.97,"4b","Digital Archive","",""
26/09/1988 06:45,2.207,109.07,"4b","Digital Archive","",""
18/02/1989 08:45,1.883,78.56,"4b","Digital Archive","",""
01/03/1989 17:00,1.575,53.77,"4b","Digital Archive","",""
14/03/1989 20:30,1.730,65.73,"4b","Digital Archive","",""
24/03/1989 12:15,1.904,80.40,"4b","Digital Archive","",""
29/10/1989 08:00,3.040,207.37,"4b","Digital Archive","Hydrograph OK. Extrapolated flow, peak around bankfull.",""
16/12/1989 15:15,1.603,55.85,"4b","Digital Archive","",""
17/12/1989 15:15,1.644,58.96,"4b","Digital Archive","",""
21/12/1989 12:45,1.888,79.00,"4b","Digital Archive","",""
24/12/1989 19:00,1.904,80.40,"4b","Digital Archive","",""
23/01/1990 11:45,1.667,60.74,"4b","Digital Archive","",""
25/01/1990 17:15,1.705,63.73,"4b","Digital Archive","",""
29/01/1990 18:45,2.009,89.90,"4b","Digital Archive","",""
07/02/1990 21:45,1.985,87.69,"4b","Digital Archive","",""
13/02/1990 22:15,1.598,55.48,"4b","Digital Archive","",""
05/10/1990 15:45,1.911,81.02,"4b","Digital Archive","",""
20/11/1990 02:15,1.620,57.13,"4b","Digital Archive","",""
20/12/1990 21:15,1.906,80.58,"4b","Digital Archive","",""
01/01/1991 23:45,1.873,77.69,"4b","Digital Archive","",""
