"NAME:","Taff at Pontypridd"
"NUMBER:","57005"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
22/03/1968 00:00,2.320,249.39,"2b","CEH POTS 9-12-76","Threshold 1.802 applied",""
02/07/1968 00:00,1.900,178.38,"2b","CEH POTS 9-12-76","Threshold 1.802 applied",""
11/10/1968 00:00,1.890,176.68,"2b","CEH POTS 9-12-76","Threshold 1.802 applied",""
28/10/1968 00:00,2.190,227.54,"2b","CEH POTS 9-12-76","Threshold 1.802 applied",""
18/01/1969 00:00,1.880,174.97,"2b","CEH POTS 9-12-76","Threshold 1.802 applied",""
11/11/1969 00:00,1.890,176.68,"2b","CEH POTS 9-12-76","Threshold 1.802 applied",""
15/01/1970 00:00,2.350,254.42,"2b","CEH POTS 9-12-76","Threshold 1.802 applied",""
21/02/1970 00:00,1.840,168.13,"2b","CEH POTS 9-12-76","Threshold 1.802 applied",""
02/11/1970 00:00,2.380,259.45,"2b","CEH POTS 9-12-76","Threshold 1.802 applied",""
07/01/1971 00:00,2.410,264.47,"2b","CEH POTS 9-12-76","Threshold 1.802 applied",""
23/01/1971 00:00,1.840,168.13,"2b","CEH POTS 9-12-76","Threshold 1.802 applied",""
26/01/1971 00:00,1.820,164.71,"2b","CEH POTS 9-12-76","Threshold 1.802 applied",""
19/10/1971 00:00,2.430,267.81,"2b","CEH POTS 9-12-76","Threshold 1.802 applied",""
16/02/1972 00:00,2.350,254.42,"2b","CEH POTS 9-12-76","Threshold 1.802 applied",""
12/11/1972 00:00,2.130,217.41,"2b","CEH POTS 9-12-76","Threshold 1.802 applied",""
01/12/1972 00:00,2.260,239.32,"2b","CEH POTS 9-12-76","Threshold 1.802 applied",""
05/12/1972 00:00,2.710,314.42,"2b","CEH POTS 9-12-76","Non-independent peak removed Threshold 1.802 applied",""
12/12/1972 00:00,2.570,291.16,"2b","CEH POTS 9-12-76","Threshold 1.802 applied",""
12/02/1973 00:00,1.890,176.68,"2b","CEH POTS 9-12-76","Threshold 1.802 applied",""
05/08/1973 00:00,2.290,244.36,"2b","CEH POTS 9-12-76","Threshold 1.802 applied",""
10/01/1974 00:00,2.150,220.79,"2b","CEH POTS 19-11-86","Threshold 1.835 applied",""
15/01/1974 00:00,1.870,173.26,"2b","CEH POTS 19-11-86","Threshold 1.835 applied",""
26/01/1974 00:00,1.840,168.13,"2b","CEH POTS 19-11-86","Threshold 1.835 applied",""
30/01/1974 09:00,1.950,186.90,"2b","CEH POTS 19-11-86","Threshold 1.835 applied",""
10/02/1974 12:00,2.310,247.71,"2b","CEH POTS 19-11-86","Non-independent peak removed Threshold 1.835 applied",""
14/02/1974 00:00,2.090,210.65,"2b","CEH POTS 19-11-86","Threshold 1.835 applied",""
02/09/1974 00:00,1.890,176.68,"2b","CEH POTS 19-11-86","Threshold 1.835 applied",""
10/11/1974 00:00,2.030,200.49,"2b","CEH POTS 19-11-86","Threshold 1.835 applied",""
13/11/1974 00:00,2.540,286.17,"2b","CEH POTS 19-11-86","Threshold 1.835 applied",""
21/12/1974 00:00,2.250,237.64,"2b","CEH POTS 19-11-86","Threshold 1.835 applied",""
26/12/1974 00:00,1.860,171.55,"2b","CEH POTS 19-11-86","Threshold 1.835 applied",""
19/01/1975 00:00,2.360,256.10,"2b","CEH POTS 19-11-86","Threshold 1.835 applied",""
22/01/1975 00:00,2.640,302.80,"2b","CEH POTS 19-11-86","Threshold 1.835 applied",""
25/01/1975 00:00,2.500,279.50,"2b","CEH POTS 19-11-86","Threshold 1.835 applied",""
30/01/1975 00:00,2.130,217.41,"2b","CEH POTS 19-11-86","Threshold 1.835 applied",""
01/12/1975 00:00,2.700,312.76,"2b","CEH POTS 19-11-86","Threshold 1.835 applied",""
05/10/1976 00:00,1.970,190.30,"2b","CEH POTS 19-11-86","Threshold 1.835 applied",""
02/02/1977 00:00,2.030,200.49,"2b","CEH POTS 19-11-86","Threshold 1.835 applied",""
15/03/1977 00:00,2.110,214.04,"2b","CEH POTS 19-11-86","Threshold 1.835 applied",""
31/10/1977 00:00,2.420,266.14,"2b","CEH POTS 19-11-86","Threshold 1.835 applied",""
01/11/1977 00:00,3.030,367.27,"2b","CEH POTS 19-11-86","Threshold 1.835 applied",""
23/01/1978 00:00,2.060,205.58,"2b","CEH POTS 19-11-86","Threshold 1.835 applied",""
28/03/1978 00:00,2.070,207.27,"2b","CEH POTS 19-11-86","Threshold 1.835 applied",""
19/11/1978 00:00,2.220,232.59,"2b","CEH POTS 19-11-86","Threshold 1.835 applied",""
13/12/1978 00:00,2.090,210.65,"2b","CEH POTS 19-11-86","Threshold 1.835 applied",""
01/02/1979 00:00,2.000,195.40,"2b","CEH POTS 19-11-86","Threshold 1.835 applied",""
08/03/1979 00:00,2.050,203.88,"2b","CEH POTS 19-11-86","Threshold 1.835 applied",""
