"NAME:","Taff at Fiddlers Elbow"
"NUMBER:","57007"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
30/01/1974 00:00,1.470,72.17,"C1","CEH POTS 20-11-86","",""
09/02/1974 00:00,1.550,82.77,"C1","CEH POTS 20-11-86","",""
11/11/1974 00:00,1.470,72.17,"C1","CEH POTS 20-11-86","",""
13/11/1974 00:00,1.750,113.30,"C1","CEH POTS 20-11-86","",""
22/12/1974 00:00,1.560,84.16,"C1","CEH POTS 20-11-86","",""
19/01/1975 00:00,1.490,74.74,"C1","CEH POTS 20-11-86","",""
22/01/1975 00:00,1.640,95.78,"C1","CEH POTS 20-11-86","",""
25/01/1975 00:00,1.520,78.69,"C1","CEH POTS 20-11-86","",""
31/01/1975 00:00,1.520,78.69,"C1","CEH POTS 20-11-86","",""
01/12/1975 00:00,1.650,97.30,"C1","CEH POTS 20-11-86","",""
15/03/1977 00:00,1.430,67.20,"C1","CEH POTS 20-11-86","",""
30/10/1977 00:00,1.710,106.70,"C1","CEH POTS 20-11-86","",""
01/11/1977 00:00,1.590,88.41,"C1","CEH POTS 20-11-86","",""
28/03/1978 00:00,1.450,69.66,"C1","CEH POTS 20-11-86","",""
08/03/1979 00:00,1.440,68.42,"C1","CEH POTS 20-11-86","",""
25/03/1979 00:00,1.480,73.44,"C1","CEH POTS 20-11-86","",""
09/12/1979 00:00,1.460,70.91,"C1","CEH POTS 20-11-86","",""
27/12/1979 00:00,2.615,320.10,"C1","CEH POTS 20-11-86","Data from the CEH scanned files. Peak OK.",""
05/02/1980 00:00,1.460,70.91,"C1","CEH POTS 20-11-86","",""
07/02/1980 00:00,1.520,78.69,"C1","CEH POTS 20-11-86","",""
08/02/1980 00:00,1.440,68.42,"C1","CEH POTS 20-11-86","",""
21/11/1980 00:00,1.670,100.40,"C1","CEH POTS 20-11-86","",""
07/03/1981 00:00,1.440,68.42,"C1","CEH POTS 20-11-86","",""
08/03/1981 00:00,1.570,85.56,"C1","CEH POTS 20-11-86","",""
10/03/1981 00:00,2.030,166.30,"C1","CEH POTS 20-11-86","",""
21/03/1981 00:00,2.040,168.40,"C1","CEH POTS 20-11-86","",""
19/09/1981 00:00,1.630,94.28,"C1","CEH POTS 20-11-86","",""
18/11/1981 00:00,1.420,65.99,"C1","CEH POTS 20-11-86","",""
02/01/1982 21:45,1.478,73.19,"C1","Digital Archive","",""
03/03/1982 03:30,1.445,69.04,"C1","Digital Archive","",""
15/03/1982 09:00,1.574,86.13,"C1","Digital Archive","",""
12/11/1982 06:15,1.631,94.43,"C1","Digital Archive","",""
21/11/1982 15:00,1.604,90.44,"C1","Digital Archive","",""
10/12/1982 01:00,1.473,72.55,"C1","Digital Archive","",""
