"NAME:","Taff at Merthyr Tydfil"
"NUMBER:","57015"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
25/03/1979 00:00,1.450,61.46,"E3","CEH POTS 19-11-86","",""
08/12/1979 00:00,1.330,49.89,"E3","CEH POTS 19-11-86","",""
27/12/1979 00:00,2.670,286.50,"E3","CEH POTS 19-11-86","Flood rolled up gabion mattresses, so treat peak with caution. Peak level appears OK flow is extrapolated.",""
05/02/1980 00:00,1.360,52.64,"E3","CEH POTS 19-11-86","",""
07/02/1980 00:00,1.350,51.71,"E3","CEH POTS 19-11-86","",""
21/11/1980 00:00,1.480,64.60,"E3","CEH POTS 19-11-86","",""
10/03/1981 10:00,1.520,68.94,"E3","CEH POTS 19-11-86","",""
10/03/1981 11:00,1.650,84.35,"E3","CEH POTS 19-11-86","",""
21/03/1981 00:00,1.700,90.82,"E3","CEH POTS 19-11-86","",""
02/01/1982 20:30,1.367,53.29,"E3","Digital Archive","",""
03/03/1982 02:00,1.343,51.07,"E3","Digital Archive","",""
15/03/1982 07:45,1.415,57.92,"E3","Digital Archive","",""
12/11/1982 05:45,1.399,56.35,"E3","Digital Archive","",""
21/11/1982 15:00,1.427,59.12,"E3","Digital Archive","",""
19/12/1982 14:45,1.586,76.51,"E3","Digital Archive","",""
04/01/1983 06:00,1.524,69.38,"E3","Digital Archive","",""
31/01/1983 17:00,1.608,79.15,"E3","Digital Archive","",""
15/10/1983 13:30,1.787,102.80,"E3","Digital Archive","",""
24/12/1983 14:30,1.450,61.46,"E3","Digital Archive","",""
02/01/1984 21:15,1.727,94.45,"E3","Digital Archive","",""
13/01/1984 05:00,1.809,106.00,"E3","Digital Archive","",""
16/01/1984 15:45,1.415,57.92,"E3","Digital Archive","",""
06/02/1984 22:45,1.384,54.90,"E3","Digital Archive","",""
22/10/1984 16:30,1.328,49.71,"E3","Digital Archive","","AMAX ONLY"
22/12/1985 01:00,1.564,73.93,"E3","Digital Archive","",""
10/01/1986 10:00,1.698,90.56,"E3","Digital Archive","",""
19/11/1986 00:00,1.658,85.37,"E3","Digital Archive","",""
30/12/1986 13:00,1.545,71.75,"E3","Digital Archive","",""
27/03/1987 04:00,1.588,76.75,"E3","Digital Archive","",""
18/10/1987 18:15,1.469,63.43,"E3","Digital Archive","",""
02/01/1988 07:00,1.810,106.20,"E3","Digital Archive","",""
24/01/1988 01:00,1.360,52.64,"E3","Digital Archive","",""
18/02/1989 08:15,1.380,54.52,"E3","Digital Archive","",""
17/12/1989 09:15,1.383,54.81,"E3","Digital Archive","",""
24/12/1989 17:30,1.661,85.75,"E3","Digital Archive","",""
23/01/1990 10:30,1.409,57.33,"E3","Digital Archive","",""
28/01/1990 00:30,1.371,53.67,"E3","Digital Archive","",""
29/01/1990 17:30,1.381,54.62,"E3","Digital Archive","",""
07/02/1990 17:00,1.968,131.00,"E3","Digital Archive","Peak level appears OK flow is extrapolated.",""
01/01/1991 22:30,1.508,67.62,"E3","Digital Archive","",""
09/01/1991 22:15,1.681,88.33,"E3","Digital Archive","",""
23/02/1991 00:30,1.380,54.52,"E3","Digital Archive","",""
18/03/1991 22:45,1.389,55.38,"E3","Digital Archive","",""
09/01/1992 07:30,1.424,58.82,"E3","Digital Archive","",""
13/09/1992 08:15,1.407,57.13,"E3","Digital Archive","",""
02/11/1992 09:30,1.388,55.29,"E3","Digital Archive","",""
30/11/1992 11:00,1.772,100.70,"E3","Digital Archive","",""
02/12/1992 11:30,1.918,122.80,"E3","Digital Archive","Peak level appears OK flow is extrapolated.",""
18/12/1992 12:00,1.483,64.92,"E3","Digital Archive","",""
10/01/1993 13:15,1.633,82.22,"E3","Digital Archive","",""
13/01/1993 16:45,1.330,49.89,"E3","Digital Archive","",""
20/01/1993 15:15,1.444,60.84,"E3","Digital Archive","",""
08/12/1993 16:15,1.515,68.39,"E3","Digital Archive","",""
12/12/1993 16:30,1.339,50.71,"E3","Digital Archive","",""
19/12/1993 01:30,1.849,112.00,"E3","Digital Archive","",""
01/04/1994 00:15,1.346,51.35,"E3","Digital Archive","",""
09/11/1994 06:15,1.395,55.96,"E3","Digital Archive","",""
08/12/1994 08:00,1.520,68.94,"E3","Digital Archive","",""
27/12/1994 07:30,1.651,84.48,"E3","Digital Archive","",""
28/12/1994 18:15,1.786,102.70,"E3","Digital Archive","",""
21/01/1995 15:00,1.358,52.45,"E3","Digital Archive","",""
27/01/1995 20:00,1.413,57.72,"E3","Digital Archive","",""
11/02/1995 17:30,1.414,57.82,"E3","Digital Archive","",""
22/12/1995 08:30,1.276,45.19,"E3","Digital Archive","","AMAX ONLY"
27/10/1996 08:45,1.356,52.27,"E3","Digital Archive","",""
17/02/1997 19:15,1.420,58.42,"E3","Digital Archive","",""
18/11/1997 07:45,1.332,50.07,"E3","Digital Archive","",""
03/01/1998 07:45,1.457,62.18,"E3","Digital Archive","",""
08/01/1998 13:30,1.333,50.16,"E3","Digital Archive","",""
04/03/1998 02:30,1.620,80.61,"E3","Digital Archive","",""
07/03/1998 01:00,1.729,94.72,"E3","Digital Archive","",""
16/10/1998 20:00,1.568,74.40,"E3","Digital Archive","",""
23/10/1998 00:30,2.487,238.30,"E3","Digital Archive","Peak level appears OK; flow is extrapolated. EA supports the event. Atkins comment that calibrated routing model for this event produces flow of 206 m3/s, consistent with the range predicted by Atkins slope-area assessment.",""
24/10/1998 14:15,1.863,114.10,"E3","Digital Archive","",""
28/10/1998 02:30,1.776,101.30,"E3","Digital Archive","",""
09/11/1998 03:45,1.479,64.49,"E3","Digital Archive","",""
25/12/1998 15:15,1.395,55.96,"E3","Digital Archive","",""
26/12/1998 17:00,1.380,54.52,"E3","Digital Archive","",""
04/01/1999 06:00,1.359,52.55,"E3","Digital Archive","",""
16/01/1999 02:15,1.729,94.72,"E3","Digital Archive","",""
02/03/1999 17:30,1.594,77.46,"E3","Digital Archive","",""
02/10/1999 03:30,1.408,57.23,"E3","Digital Archive","",""
05/11/1999 13:15,1.392,55.67,"E3","Digital Archive","",""
