"NAME:","Ogmore at Bridgend"
"NUMBER:","58001"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
03/12/1960 00:00,3.020,175.90,"2b","CEH POT 1-11-72","Stage same as bankful (2.65m pre FV) and rating upper limit, flow should be more as rating underestimates flow above 1.8m",""
10/10/1961 00:00,1.960,75.59,"2b","CEH POT 1-11-72","",""
10/12/1961 00:00,1.900,71.08,"2b","CEH POT 1-11-72","",""
12/12/1961 00:00,2.070,84.20,"2b","CEH POT 1-11-72","",""
11/09/1962 00:00,2.410,113.50,"2b","CEH POT 1-11-72","",""
20/12/1962 00:00,1.630,52.36,"2b","CEH POT 1-11-72","","AMAX ONLY"
17/11/1963 09:00,2.380,110.70,"2b","CEH POT 1-11-72","",""
17/11/1963 10:00,2.070,84.20,"2b","CEH POT 1-11-72","",""
17/11/1963 11:00,2.550,126.70,"2b","CEH POT 1-11-72","Stage less than bankful (2.65m pre FV) and rating upper limit, but flow should be more as rating underestimates flow above 1.8m",""
18/11/1963 00:00,2.650,136.50,"2b","CEH POT 1-11-72","",""
12/12/1964 00:00,2.270,100.90,"2b","CEH POT 1-11-72","",""
29/12/1964 09:00,1.840,66.69,"2b","CEH POT 1-11-72","",""
09/12/1965 09:00,2.090,85.81,"2b","CEH POT 1-11-72","",""
09/12/1965 10:00,2.260,100.10,"2b","CEH POT 1-11-72","",""
16/12/1965 00:00,2.530,124.80,"2b","CEH POT 1-11-72","",""
17/12/1965 09:00,2.210,95.76,"2b","CEH POT 1-11-72","",""
17/12/1965 10:00,2.790,150.90,"2b","CEH POT 1-11-72","Stage greater than bankful (2.65m pre FV) and rating upper limit. Flow extrapolated, but rating possibly underestimates flow above 1.8m",""
22/12/1965 00:00,1.860,68.14,"2b","CEH POT 1-11-72","",""
29/12/1965 00:00,1.950,74.83,"2b","CEH POT 1-11-72","",""
19/10/1966 00:00,2.290,102.70,"2b","CEH POT 1-11-72","",""
30/12/1966 00:00,2.480,120.00,"2b","CEH POT 1-11-72","",""
20/02/1967 00:00,1.870,68.87,"2b","CEH POT 1-11-72","",""
27/02/1967 00:00,2.230,97.47,"2b","CEH POT 1-11-72","",""
29/07/1967 00:00,2.380,110.70,"2b","CEH POT 1-11-72","",""
01/10/1967 00:00,1.940,74.07,"2b","CEH POT 1-11-72","",""
10/10/1967 00:00,2.160,91.55,"2b","CEH POT 1-11-72","",""
16/10/1967 00:00,2.450,117.20,"2b","CEH POT 1-11-72","",""
30/10/1967 00:00,1.860,68.14,"2b","CEH POT 1-11-72","",""
18/12/1967 00:00,1.840,66.69,"2b","CEH POT 1-11-72","",""
22/12/1967 00:00,2.070,84.20,"2b","CEH POT 1-11-72","",""
26/06/1968 00:00,2.390,111.60,"2b","CEH POT 1-11-72","",""
28/10/1968 00:00,1.980,77.12,"2b","CEH POT 1-11-72","",""
21/01/1970 00:00,1.920,72.57,"2b","CEH POT 1-11-72","",""
02/02/1970 00:00,1.940,74.07,"2b","CEH POT 1-11-72","",""
21/02/1970 00:00,1.890,70.34,"2b","CEH POT 1-11-72","",""
22/02/1970 00:00,1.940,74.07,"2b","CEH POT 1-11-72","",""
11/10/1970 00:00,1.900,71.08,"2b","CEH POT 1-11-72","",""
31/10/1970 00:00,2.030,81.02,"2b","CEH POT 1-11-72","",""
01/11/1970 00:00,2.730,144.70,"2b","CEH POT 1-11-72","Stage greater than bankful (2.65m pre FV) and rating upper limit. Flow extrapolated, but rating possibly underestimates flow above 1.8m",""
06/11/1970 00:00,1.900,71.08,"2b","CEH POT 1-11-72","",""
07/01/1971 00:00,1.950,74.83,"2b","CEH POT 1-11-72","",""
23/01/1971 00:00,2.020,80.23,"2b","CEH POT 1-11-72","",""
18/06/1971 00:00,2.280,101.80,"2b","Digital Archive","",""
10/08/1971 00:00,2.080,85.00,"2b","Digital Archive","",""
20/11/1971 00:00,2.340,107.10,"2b","Digital Archive","",""
12/11/1972 00:00,2.470,119.10,"2b","Digital Archive","",""
05/12/1972 00:00,1.980,77.12,"2b","Digital Archive","",""
12/12/1972 00:00,1.860,68.14,"2b","Digital Archive","",""
02/09/1974 00:00,2.090,85.81,"2b","Digital Archive","",""
04/09/1974 00:00,1.850,67.41,"2b","Digital Archive","",""
24/09/1974 00:00,2.070,84.20,"2b","Digital Archive","",""
27/09/1974 00:00,1.840,66.69,"2b","Digital Archive","",""
18/10/1974 00:00,1.910,71.82,"2b","Digital Archive","",""
10/11/1974 00:00,2.080,85.00,"2b","Digital Archive","",""
13/11/1974 00:00,1.950,74.83,"2b","Digital Archive","",""
20/11/1974 00:00,1.890,70.34,"2b","Digital Archive","",""
25/12/1974 09:00,2.300,103.60,"2b","Digital Archive","",""
27/12/1974 00:00,2.020,80.23,"2b","Digital Archive","",""
19/01/1975 00:00,2.160,91.55,"2b","Digital Archive","",""
21/01/1975 00:00,2.250,99.20,"2b","Digital Archive","",""
22/01/1975 00:00,2.390,111.60,"2b","Digital Archive","",""
