"NAME:","Tawe at Ynystanglws"
"NUMBER:","59001"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
07/01/1957 00:00,2.719,180.21,"10","CEH Handwritten","Threshold 8.5ft applied",""
20/03/1957 00:00,2.652,169.40,"10","CEH Handwritten","Threshold 8.5ft applied",""
07/09/1957 00:00,3.085,245.27,"10","CEH Handwritten","Threshold 8.5ft applied",""
25/09/1957 00:00,2.890,209.28,"10","CEH Handwritten","Threshold 8.5ft applied",""
30/10/1957 00:00,2.957,221.32,"10","CEH Handwritten","Threshold 8.5ft applied",""
10/02/1958 00:00,2.871,206.06,"10","CEH Handwritten","Threshold 8.5ft applied",""
19/09/1958 00:00,2.615,163.65,"10","CEH Handwritten","Threshold 8.5ft applied",""
23/09/1958 00:00,3.511,334.31,"10","CEH Handwritten","Threshold 8.5ft applied",""
30/09/1958 00:00,2.728,181.71,"10","CEH Handwritten","Threshold 8.5ft applied",""
04/10/1958 00:00,2.774,158.51,"11","CEH Handwritten","Threshold 8.5ft applied",""
17/01/1959 00:00,2.902,176.92,"11","CEH Handwritten","Threshold 8.5ft applied",""
16/04/1959 00:00,2.652,141.94,"11","CEH Handwritten","Threshold 8.5ft applied",""
27/10/1959 00:00,2.926,180.55,"11","CEH Handwritten","Threshold 8.5ft applied",""
25/11/1959 00:00,3.139,213.89,"11","CEH Handwritten","Threshold 8.5ft applied",""
20/12/1959 00:00,2.743,154.28,"11","CEH Handwritten","Threshold 8.5ft applied",""
24/01/1960 00:00,2.591,134.01,"11","CEH Handwritten","Threshold 8.5ft applied",""
02/02/1960 00:00,2.682,145.99,"11","CEH Handwritten","Threshold 8.5ft applied",""
26/02/1960 00:00,2.728,152.19,"11","CEH Handwritten","Threshold 8.5ft applied",""
03/09/1960 00:00,2.865,171.55,"11","CEH Handwritten","Threshold 8.5ft applied",""
04/11/1960 00:00,2.621,137.95,"11","CEH Handwritten","Threshold 8.5ft applied",""
03/12/1960 00:00,3.475,272.19,"11","CEH Handwritten","Threshold 8.5ft applied.",""
25/12/1960 00:00,2.987,189.78,"11","CEH Handwritten","Threshold 8.5ft applied",""
27/01/1961 00:00,2.944,183.29,"11","CEH Handwritten","Threshold 8.5ft applied",""
29/01/1961 00:00,2.640,140.34,"11","CEH Handwritten","Threshold 8.5ft applied",""
12/04/1961 00:00,2.865,171.55,"11","CEH Handwritten","Threshold 8.5ft applied",""
09/10/1961 00:00,2.768,157.66,"11","CEH Handwritten","Threshold 8.5ft applied",""
10/12/1961 00:00,2.691,147.22,"11","CEH Handwritten","Threshold 8.5ft applied",""
16/01/1962 00:00,2.621,137.95,"11","CEH Handwritten","Threshold 8.5ft applied",""
11/09/1962 00:00,3.383,255.57,"11","CEH Handwritten","Threshold 8.5ft applied",""
29/09/1962 00:00,3.018,194.48,"11","CEH Handwritten","Threshold 8.5ft applied",""
09/03/1963 00:00,2.713,150.11,"11","CEH Handwritten","Threshold 8.5ft applied",""
