"NAME:","Cothi at Felin Mynachdy"
"NUMBER:","60002"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
12/09/1961 00:00,1.400,35.17,"11b","CEH MMAX 29-8-72","Monthly Max",""
10/10/1961 00:00,2.000,77.69,"11c","CEH MMAX 29-8-72","Monthly Max",""
01/11/1961 00:00,1.350,32.41,"11b","CEH MMAX 29-8-72","Monthly Max",""
13/12/1961 00:00,1.890,69.02,"11c","CEH MMAX 29-8-72","Monthly Max",""
15/01/1962 00:00,2.130,88.37,"11c","CEH MMAX 29-8-72","Monthly Max",""
12/02/1962 00:00,1.460,38.66,"11c","CEH MMAX 29-8-72","Monthly Max",""
29/03/1962 00:00,0.920,11.48,"11a","CEH MMAX 29-8-72","Monthly Max",""
02/04/1962 00:00,2.010,78.49,"11c","CEH MMAX 29-8-72","Monthly Max",""
10/05/1962 00:00,1.300,29.76,"11b","CEH MMAX 29-8-72","Monthly Max",""
21/06/1962 00:00,0.610,2.24,"11a","CEH MMAX 29-8-72","Monthly Max",""
11/07/1962 00:00,0.670,3.25,"11a","CEH MMAX 29-8-72","Monthly Max",""
26/08/1962 00:00,1.640,50.65,"11c","CEH MMAX 29-8-72","Monthly Max",""
11/09/1962 00:00,2.440,115.67,"11c","CEH MMAX 29-8-72","Monthly Max",""
01/10/1962 00:00,1.920,71.35,"11c","CEH MMAX 29-8-72","Monthly Max",""
17/11/1962 00:00,1.650,51.35,"11c","CEH MMAX 29-8-72","Monthly Max",""
20/12/1962 00:00,1.390,34.61,"11b","CEH MMAX 29-8-72","Monthly Max",""
07/01/1963 00:00,0.760,5.36,"11a","CEH MMAX 29-8-72","Monthly Max, Ice formation reading given",""
14/02/1963 00:00,1.320,30.81,"11b","CEH MMAX 29-8-72","Monthly Max",""
09/03/1963 00:00,2.220,96.04,"11c","CEH MMAX 29-8-72","Monthly Max",""
21/04/1963 00:00,1.430,36.87,"11b","CEH MMAX 29-8-72","Monthly Max",""
12/05/1963 00:00,1.340,31.87,"11b","CEH MMAX 29-8-72","Monthly Max",""
25/06/1963 00:00,1.160,22.86,"11b","CEH MMAX 29-8-72","Monthly Max",""
14/07/1963 00:00,1.220,25.72,"11b","CEH MMAX 29-8-72","Monthly Max",""
21/08/1963 00:00,1.160,22.86,"11b","CEH MMAX 29-8-72","Monthly Max",""
25/09/1963 00:00,1.240,26.70,"11b","CEH MMAX 29-8-72","Monthly Max",""
08/10/1963 00:00,1.130,21.49,"11b","CEH MMAX 29-8-72","Monthly Max",""
17/11/1963 00:00,1.900,69.79,"11c","CEH MMAX 29-8-72","Monthly Max",""
25/12/1963 00:00,1.230,26.21,"11b","CEH MMAX 29-8-72","Monthly Max",""
31/01/1964 00:00,0.910,10.99,"11a","CEH MMAX 29-8-72","Monthly Max",""
23/02/1964 00:00,0.860,8.77,"11a","CEH MMAX 29-8-72","Monthly Max",""
24/03/1964 00:00,1.480,39.94,"11c","CEH MMAX 29-8-72","Monthly Max",""
28/04/1964 00:00,1.010,16.40,"11b","CEH MMAX 29-8-72","Monthly Max",""
07/05/1964 00:00,1.250,27.20,"11b","CEH MMAX 29-8-72","Monthly Max",""
07/06/1964 00:00,1.040,17.61,"11b","CEH MMAX 29-8-72","Monthly Max",""
14/07/1964 00:00,1.170,23.33,"11b","CEH MMAX 29-8-72","Monthly Max",""
19/08/1964 00:00,1.130,21.49,"11b","CEH MMAX 29-8-72","Monthly Max",""
16/09/1964 00:00,1.090,19.73,"11b","CEH MMAX 29-8-72","Monthly Max",""
10/10/1964 00:00,1.400,35.17,"11b","CEH MMAX 29-8-72","Monthly Max",""
13/11/1964 00:00,1.730,57.04,"11c","CEH MMAX 29-8-72","Monthly Max",""
12/12/1964 00:00,3.570,234.14,"11c","CEH MMAX 29-8-72","Monthly Max",""
13/01/1965 00:00,2.530,124.05,"11c","CEH MMAX 29-8-72","Monthly Max",""
01/02/1965 00:00,0.790,6.26,"11a","CEH MMAX 29-8-72","Monthly Max",""
25/03/1965 00:00,1.590,47.21,"11c","CEH MMAX 29-8-72","Monthly Max",""
12/04/1965 00:00,1.120,21.05,"11b","CEH MMAX 29-8-72","Monthly Max",""
04/05/1965 00:00,1.140,21.95,"11b","CEH MMAX 29-8-72","Monthly Max",""
25/06/1965 00:00,1.570,45.86,"11c","CEH MMAX 29-8-72","Monthly Max",""
13/07/1965 00:00,1.310,30.28,"11b","CEH MMAX 29-8-72","Monthly Max",""
21/08/1965 00:00,1.010,16.40,"11b","CEH MMAX 29-8-72","Monthly Max",""
08/09/1965 00:00,1.830,64.43,"11c","CEH MMAX 29-8-72","Monthly Max",""
01/10/1965 00:00,1.400,35.17,"11b","CEH MMAX 29-8-72","Monthly Max",""
28/11/1965 00:00,1.970,75.29,"11c","CEH MMAX 29-8-72","Monthly Max",""
18/12/1965 00:00,3.040,175.11,"11c","CEH MMAX 29-8-72","Monthly Max",""
02/01/1966 00:00,1.580,46.53,"11c","CEH MMAX 29-8-72","Monthly Max",""
25/02/1966 00:00,2.480,119.37,"11c","CEH MMAX 29-8-72","Monthly Max",""
02/03/1966 00:00,1.770,59.96,"11c","CEH MMAX 29-8-72","Monthly Max",""
22/04/1966 00:00,1.710,55.60,"11c","CEH MMAX 29-8-72","Monthly Max",""
08/05/1966 00:00,1.750,58.49,"11c","CEH MMAX 29-8-72","Monthly Max",""
27/06/1966 00:00,1.150,22.40,"11b","CEH MMAX 29-8-72","Monthly Max",""
31/07/1966 00:00,1.100,20.16,"11b","CEH MMAX 29-8-72","Monthly Max",""
13/08/1966 00:00,1.590,47.21,"11c","CEH MMAX 29-8-72","Monthly Max",""
04/09/1966 00:00,1.580,46.53,"11c","CEH MMAX 29-8-72","Monthly Max",""
04/10/1966 00:00,1.870,67.48,"11c","CEH MMAX 29-8-72","Monthly Max",""
04/11/1966 00:00,1.650,51.35,"11c","CEH MMAX 29-8-72","Monthly Max",""
13/12/1966 00:00,2.800,150.34,"11c","CEH MMAX 29-8-72","Monthly Max",""
25/01/1967 00:00,1.620,49.26,"11c","CEH MMAX 29-8-72","Monthly Max",""
27/02/1967 00:00,3.170,189.05,"11c","CEH MMAX 29-8-72","Monthly Max",""
09/03/1967 00:00,1.550,44.52,"11c","CEH MMAX 29-8-72","Monthly Max",""
02/04/1967 00:00,1.280,28.72,"11b","CEH MMAX 29-8-72","Monthly Max",""
21/05/1967 00:00,1.860,66.71,"11c","CEH MMAX 29-8-72","Monthly Max",""
01/06/1967 00:00,0.870,9.19,"11a","CEH MMAX 29-8-72","Monthly Max",""
30/07/1967 00:00,1.750,58.49,"11c","CEH MMAX 29-8-72","Monthly Max",""
01/08/1967 00:00,1.300,29.76,"11b","CEH MMAX 29-8-72","Monthly Max",""
29/09/1967 00:00,2.580,128.79,"11c","CEH MMAX 29-8-72","Monthly Max",""
01/10/1967 09:00,3.200,192.32,"11c","CEH MMAX 29-8-72","Monthly Max",""
01/11/1967 00:00,1.950,73.70,"11c","CEH MMAX 29-8-72","Monthly Max",""
