"NAME:","Clwyd at Ruthin Weir"
"NUMBER:","66005"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
05/12/1972 00:00,0.782,13.52,"Nb","CEH POTS 1-9-87","Threshold 0.912 applied",""
07/12/1972 00:00,0.762,12.50,"Nb","CEH POTS 1-9-87","Threshold 0.912 applied",""
11/12/1972 00:00,0.772,13.00,"Nb","CEH POTS 1-9-87","Threshold 0.912 applied",""
05/07/1973 00:00,0.752,12.01,"Nb","CEH POTS 1-9-87","Threshold 0.912 applied",""
18/10/1973 00:00,0.802,14.58,"Nb","CEH POTS 1-9-87","Threshold 0.912 applied",""
08/01/1974 00:00,0.732,11.06,"Nb","CEH POTS 1-9-87","Threshold 0.912 applied",""
14/01/1974 00:00,0.672,8.48,"Nb","CEH POTS 1-9-87","Threshold 0.912 applied",""
16/01/1974 00:00,0.792,14.04,"Nb","CEH POTS 1-9-87","Threshold 0.912 applied",""
30/01/1974 00:00,0.682,8.88,"Nb","CEH POTS 1-9-87","Threshold 0.912 applied",""
02/02/1974 00:00,0.812,15.13,"Nb","CEH POTS 1-9-87","Threshold 0.912 applied",""
13/11/1974 00:00,0.762,12.50,"Nb","CEH POTS 1-9-87","Threshold 0.912 applied",""
22/11/1974 00:00,0.667,8.28,"Nb","CEH POTS 1-9-87","Threshold 0.912 applied",""
10/12/1974 00:00,0.672,8.48,"Nb","CEH POTS 1-9-87","Threshold 0.912 applied",""
22/01/1975 00:00,0.712,10.15,"Nb","CEH POTS 1-9-87","Threshold 0.912 applied",""
24/01/1975 00:00,0.717,10.38,"Nb","CEH POTS 1-9-87","Threshold 0.912 applied",""
02/01/1976 00:00,0.815,15.30,"Nb","CEH POTS 1-9-87","Threshold 0.912 applied",""
25/09/1976 00:00,0.870,18.55,"Nb","CEH POTS 1-9-87","Threshold 0.912 applied",""
01/10/1976 00:00,0.680,8.80,"Nb","CEH POTS 1-9-87","Threshold 0.912 applied",""
14/10/1976 00:00,0.820,15.58,"Nb","CEH POTS 1-9-87","Threshold 0.912 applied",""
06/12/1976 00:00,0.715,10.29,"Nb","CEH POTS 1-9-87","Threshold 0.912 applied",""
25/01/1977 17:15,0.658,7.93,"Nb","Digital Archive","",""
03/02/1977 09:30,0.662,8.09,"Nb","Digital Archive","",""
11/02/1977 15:15,0.816,15.35,"Nb","Digital Archive","",""
18/02/1977 20:45,0.680,8.80,"Nb","Digital Archive","",""
20/11/1977 02:00,0.681,8.84,"Nb","Digital Archive","",""
23/11/1977 20:45,0.661,8.05,"Nb","Digital Archive","",""
02/02/1978 05:45,0.862,18.06,"Nb","Digital Archive","",""
18/11/1978 19:15,0.651,7.67,"Nb","Digital Archive","",""
24/11/1978 09:45,0.838,16.61,"Nb","Digital Archive","",""
14/12/1978 13:30,0.675,8.60,"Nb","Digital Archive","",""
