"NAME:","Alyn at Rhydymwyn"
"NUMBER:","67009"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
15/09/1957 00:00,,4.81,"3a","CEH POTS 27-6-72","Threshold 1.412 applied",""
25/09/1957 00:00,,11.04,"3a","CEH POTS 27-6-72","Threshold 1.412 applied",""
10/02/1958 00:00,,4.96,"3a","CEH POTS 27-6-72","Threshold 1.412 applied",""
28/02/1958 00:00,,4.96,"3a","CEH POTS 27-6-72","Threshold 1.412 applied",""
19/01/1959 00:00,,6.65,"3a","CEH POTS 27-6-72","Threshold 1.412 applied",""
17/04/1959 00:00,,9.63,"3a","CEH POTS 27-6-72","Threshold 1.412 applied",""
27/12/1959 00:00,,4.53,"3a","CEH POTS 27-6-72","Threshold 1.412 applied",""
22/01/1960 00:00,,5.52,"3a","CEH POTS 27-6-72","Threshold 1.412 applied",""
25/01/1960 00:00,,5.95,"3a","CEH POTS 27-6-72","Threshold 1.412 applied",""
30/01/1960 00:00,,8.78,"3a","CEH POTS 27-6-72","Threshold 1.412 applied",""
23/09/1960 00:00,,4.67,"3a","CEH POTS 27-6-72","Threshold 1.412 applied",""
03/10/1960 00:00,,8.78,"3a","CEH POTS 27-6-72","Threshold 1.412 applied",""
27/10/1960 00:00,,4.81,"3a","CEH POTS 5-10-82","Threshold 1.412",""
04/12/1960 00:00,,5.38,"3a","CEH POTS 5-10-82","Threshold 1.412",""
03/12/1961 00:00,,3.40,"3a","CEH POTS 5-10-82","Threshold 1.412",""
06/03/1963 00:00,,7.93,"3a","CEH POTS 5-10-82","Threshold 1.412",""
25/03/1964 00:00,,9.06,"3a","CEH POTS 5-10-82","Threshold 1.412",""
12/12/1964 00:00,,7.93,"3a","CEH POTS 5-10-82","Threshold 1.412",""
09/01/1965 00:00,,5.24,"3a","CEH POTS 5-10-82","Threshold 1.412",""
17/01/1965 00:00,,4.39,"3a","CEH POTS 5-10-82","Threshold 1.412",""
23/02/1965 00:00,,4.25,"3a","CEH POTS 5-10-82","Threshold 1.412",""
08/09/1965 00:00,,4.81,"3a","CEH POTS 5-10-82","Threshold 1.412",""
01/10/1965 00:00,,5.95,"3a","CEH POTS 5-10-82","Threshold 1.412",""
03/12/1965 00:00,,5.66,"3a","CEH POTS 5-10-82","Threshold 1.412",""
10/12/1965 00:00,,9.20,"3a","CEH POTS 5-10-82","Threshold 1.412",""
18/12/1965 00:00,,5.24,"3a","CEH POTS 5-10-82","Threshold 1.412",""
04/11/1966 00:00,,7.50,"3a","CEH POTS 5-10-82","Threshold 1.412",""
01/12/1966 00:00,,13.73,"3a","CEH POTS 13-7-87","Threshold 1.412",""
10/12/1966 00:00,,7.50,"3a","CEH POTS 13-7-87","Threshold 1.412",""
23/02/1967 00:00,,5.10,"3a","CEH POTS 13-7-87","Threshold 1.412",""
15/05/1967 00:00,,5.66,"3a","CEH POTS 13-7-87","Threshold 1.412",""
24/12/1967 00:00,1.630,5.81,"3d","CEH POTS 27-6-72","Threshold 1.412 applied",""
05/01/1968 00:00,1.800,7.31,"3d","CEH POTS 27-6-72","Threshold 1.412 applied",""
13/01/1968 00:00,2.090,10.36,"3d","CEH POTS 27-6-72","Threshold 1.412 applied",""
02/02/1968 00:00,1.420,4.23,"3d","CEH POTS 27-6-72","Threshold 1.412 applied",""
06/05/1968 00:00,1.460,4.51,"3d","CEH POTS 27-6-72","Threshold 1.412 applied",""
02/11/1968 00:00,1.980,9.13,"3d","CEH POTS 27-6-72","Threshold 1.412 applied",""
11/02/1969 00:00,2.290,12.88,"3e","CEH POTS 27-6-72","Threshold 1.412 applied",""
23/02/1969 00:00,1.620,5.73,"3d","CEH POTS 27-6-72","Threshold 1.412 applied",""
15/03/1969 00:00,1.540,5.10,"3d","CEH POTS 27-6-72","Threshold 1.412 applied",""
07/05/1969 00:00,1.620,5.73,"3d","CEH POTS 27-6-72","Threshold 1.412 applied",""
27/05/1969 00:00,1.650,5.98,"3d","CEH POTS 27-6-72","Threshold 1.412 applied",""
18/11/1969 00:00,1.870,7.99,"3d","CEH POTS 5-10-82","Threshold 1.412",""
21/12/1969 00:00,1.510,4.87,"3d","CEH POTS 5-10-82","Threshold 1.412",""
19/02/1970 00:00,1.570,5.33,"3d","CEH POTS 5-10-82","Threshold 1.412",""
16/03/1970 00:00,1.560,5.25,"3d","CEH POTS 5-10-82","Threshold 1.412",""
20/11/1970 00:00,1.430,4.30,"3d","CEH POTS 5-10-82","Threshold 1.412",""
03/07/1971 00:00,2.160,11.18,"3d","CEH POTS 5-10-82","Threshold 1.412",""
14/08/1971 00:00,1.470,4.58,"3d","CEH POTS 5-10-82","Threshold 1.412",""
21/11/1971 00:00,1.630,5.81,"3d","CEH POTS 5-10-82","Threshold 1.412",""
23/11/1971 00:00,1.800,7.31,"3d","CEH POTS 5-10-82","Threshold 1.412",""
19/01/1972 00:00,1.560,5.25,"3d","CEH POTS 5-10-82","Threshold 1.412",""
