"NAME:","Bollin at Wilmslow"
"NUMBER:","69012"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
02/07/1968 15:00,1.320,22.83,"1b","Mfiche","",""
23/09/1968 18:00,0.830,9.31,"1b","Mfiche","",""
01/10/1968 20:00,0.950,12.11,"1b","Mfiche","",""
28/10/1968 20:00,0.900,10.90,"1b","Mfiche","",""
31/10/1968 14:00,0.850,9.75,"1b","Mfiche","",""
02/11/1968 12:00,1.150,17.52,"1b","Mfiche","",""
02/12/1968 12:00,1.150,17.52,"1b","Mfiche","",""
11/02/1969 22:30,0.900,10.90,"1b","Mfiche","",""
15/04/1969 13:00,0.850,9.75,"1b","Mfiche","",""
03/11/1969 00:00,1.290,21.85,"1b","CEH","",""
09/11/1969 17:00,0.820,9.09,"1b","Mfiche","",""
11/11/1969 10:30,0.950,12.11,"1b","Mfiche","",""
16/11/1969 22:00,0.830,9.31,"1b","Mfiche","",""
20/12/1969 06:00,0.890,10.66,"1b","Mfiche","",""
22/02/1970 12:00,0.940,11.86,"1b","Mfiche","",""
11/06/1970 19:00,0.900,10.90,"1b","Mfiche","",""
20/08/1970 17:45,0.960,12.35,"1b","Mfiche","",""
21/08/1970 19:00,0.870,10.20,"1b","Mfiche","",""
12/11/1970 01:00,0.850,9.75,"1b","Mfiche","",""
17/11/1970 04:00,0.930,11.61,"1b","Mfiche","",""
10/08/1971 10:00,0.820,9.09,"1b","Mfiche","",""
19/10/1971 18:00,1.050,14.70,"1b","Mfiche","",""
20/11/1971 05:00,0.900,10.90,"1b","Mfiche","",""
18/01/1972 07:00,0.800,8.66,"1b","Mfiche","",""
30/03/1972 14:00,0.850,9.75,"1b","Mfiche","",""
01/04/1972 09:30,1.070,15.24,"1b","Mfiche","",""
21/07/1972 07:00,0.870,10.20,"1b","Mfiche","",""
31/07/1972 21:30,0.820,9.09,"1b","Mfiche","",""
12/11/1972 21:00,0.800,8.66,"1b","Mfiche","",""
12/02/1973 16:00,0.820,9.09,"1b","Mfiche","",""
