"NAME:","Medlock at London Road"
"NUMBER:","69020"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
02/06/1969 03:00,0.930,18.25,"6a","Mfiche","",""
03/08/1969 18:00,0.670,10.61,"6a","Mfiche","",""
11/11/1969 12:00,0.762,13.12,"6a","Mfiche","",""
20/12/1969 06:00,0.740,12.50,"6a","Mfiche","",""
21/12/1969 06:00,0.740,12.50,"6a","Mfiche","",""
22/02/1970 19:00,0.701,11.43,"6a","Mfiche","",""
11/06/1970 18:00,0.970,19.57,"6a","Mfiche","",""
27/06/1970 14:00,0.700,11.40,"6a","Mfiche","",""
27/07/1970 14:00,0.700,11.40,"6a","Mfiche","",""
07/08/1970 03:00,0.690,11.14,"6a","Mfiche","",""
25/10/1970 18:00,0.732,12.27,"6a","Mfiche","",""
27/10/1970 01:00,0.775,13.50,"6a","Mfiche","",""
02/11/1970 05:00,0.762,13.12,"6a","Mfiche","",""
18/11/1970 03:00,0.945,18.74,"6a","Mfiche","",""
18/10/1971 05:45,1.550,42.53,"01a1","Mfiche","",""
21/11/1971 00:00,0.720,11.95,"01a1","Mfiche","",""
30/03/1972 15:00,0.670,10.61,"01a1","Mfiche","",""
01/04/1972 21:00,0.800,14.22,"01a1","Mfiche","",""
10/11/1972 00:00,0.710,11.68,"01a1","Mfiche","",""
12/11/1972 22:00,0.860,16.03,"01a1","Mfiche","",""
20/11/1972 11:00,0.732,12.27,"01a1","Mfiche","",""
03/12/1972 00:00,0.740,12.50,"01a1","Mfiche","",""
05/12/1972 03:15,0.840,15.42,"01a1","Mfiche","",""
26/01/1973 18:00,0.830,15.12,"01a1","Mfiche","",""
04/04/1973 12:00,0.880,16.65,"01a1","Mfiche","",""
16/07/1973 09:30,1.360,34.24,"01a1","Mfiche","",""
05/08/1973 05:00,1.460,38.52,"01a1","Mfiche","",""
10/11/1973 12:00,0.900,17.29,"01a1","Mfiche","",""
08/01/1974 18:00,0.750,12.78,"01a1","Mfiche","",""
16/01/1974 18:00,0.732,12.27,"01a1","Mfiche","",""
11/02/1974 13:00,0.750,12.78,"01a1","Mfiche","",""
18/03/1974 03:00,0.810,14.52,"01a1","Mfiche","",""
05/07/1974 05:00,0.660,10.35,"01a1","Mfiche","",""
