"NAME:","Mersey at Brinksway"
"NUMBER:","69028"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
21/01/1956 00:00,2.311,114.31,"12","Digital Archive","",""
26/01/1956 00:00,1.626,72.75,"11","Digital Archive","",""
29/01/1956 00:00,1.740,80.95,"12","Digital Archive","",""
01/08/1956 00:00,2.388,118.87,"12","Digital Archive","",""
16/08/1956 00:00,1.651,74.78,"11","Digital Archive","",""
18/08/1956 00:00,3.874,230.55,"13","Digital Archive","",""
18/08/1956 02:00,3.874,230.60,"13","Digital Archive","","AMAX ONLY"
24/08/1956 00:00,1.626,72.75,"11","Digital Archive","",""
17/03/1957 00:00,1.575,68.75,"11","Digital Archive","",""
13/09/1957 00:00,2.527,127.28,"12","Digital Archive","",""
13/09/1957 14:30,2.527,127.30,"12","Digital Archive","","AMAX ONLY"
16/09/1957 00:00,2.223,109.02,"12","Digital Archive","",""
29/10/1957 00:00,2.045,98.56,"12","Digital Archive","",""
04/11/1957 00:00,2.108,102.28,"12","Digital Archive","",""
01/01/1958 00:00,2.667,136.21,"13","Digital Archive","",""
01/01/1958 09:00,2.667,136.20,"13","Digital Archive","","AMAX ONLY"
10/02/1958 00:00,1.930,91.90,"12","Digital Archive","",""
15/02/1958 00:00,2.032,97.81,"12","Digital Archive","",""
01/07/1958 00:00,2.197,107.52,"12","Digital Archive","",""
01/01/1959 00:00,2.184,106.77,"12","Digital Archive","",""
22/01/1959 00:00,1.689,77.86,"11","Digital Archive","",""
22/10/1959 00:00,1.600,70.74,"11","Digital Archive","",""
24/01/1960 00:00,1.994,95.59,"12","Digital Archive","",""
30/01/1960 00:00,2.197,107.52,"12","Digital Archive","",""
29/08/1960 00:00,1.702,78.79,"12","Digital Archive","",""
22/09/1960 00:00,1.676,76.83,"11","Digital Archive","",""
26/11/1960 00:00,2.337,115.83,"12","Digital Archive","",""
04/12/1960 00:00,3.797,224.37,"13","Digital Archive","",""
04/12/1960 09:00,3.797,224.40,"13","Digital Archive","","AMAX ONLY"
21/01/1961 00:00,1.816,85.31,"12","Digital Archive","",""
17/10/1961 00:00,2.108,102.28,"12","Digital Archive","",""
30/11/1961 00:00,2.248,110.53,"12","Digital Archive","",""
30/11/1961 13:00,2.248,110.50,"12","Digital Archive","","AMAX ONLY"
10/12/1961 00:00,1.524,64.83,"11","Digital Archive","",""
04/02/1962 00:00,1.778,83.13,"12","Digital Archive","",""
12/02/1962 00:00,1.549,66.78,"11","Digital Archive","",""
07/04/1962 00:00,1.676,76.83,"11","Digital Archive","",""
23/08/1962 00:00,1.905,90.43,"12","Digital Archive","",""
11/12/1962 00:00,1.765,82.40,"12","Digital Archive","",""
15/12/1962 00:00,2.477,124.22,"12","Digital Archive","",""
20/12/1962 00:00,1.664,75.80,"11","Digital Archive","",""
28/06/1963 00:00,1.778,83.13,"12","Digital Archive","",""
26/09/1963 00:00,2.502,125.75,"12","Digital Archive","",""
26/09/1963 10:00,2.502,125.70,"12","Digital Archive","","AMAX ONLY"
14/11/1963 00:00,1.702,78.79,"12","Digital Archive","",""
21/11/1963 00:00,2.540,128.05,"12","Digital Archive","",""
21/11/1963 22:00,2.540,128.10,"12","Digital Archive","","AMAX ONLY"
24/03/1964 00:00,1.524,64.83,"11","Digital Archive","",""
12/12/1964 00:00,3.708,217.20,"13","Digital Archive","",""
