"NAME:","Tame at Broomstairs"
"NUMBER:","69041"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
01/07/1968 00:00,1.160,37.32,"6a","FSR","",""
02/07/1968 00:00,1.400,51.37,"6a","FSR","",""
21/09/1968 00:00,1.220,40.66,"6a","FSR","",""
23/09/1968 00:00,1.610,65.09,"6a","FSR","Same event is AMAX at Portwood.",""
01/10/1968 00:00,1.400,51.37,"6a","FSR","",""
17/10/1968 00:00,1.000,28.97,"6a","FSR","",""
02/11/1968 00:00,1.530,59.71,"6a","FSR","",""
21/01/1969 00:00,1.140,36.23,"6a","FSR","",""
01/04/1969 00:00,1.350,48.30,"6a","FSR","",""
11/04/1969 00:00,0.980,27.98,"6a","FSR","",""
03/06/1969 00:00,1.130,35.69,"6a","FSR","",""
21/02/1970 00:00,1.400,51.37,"6a","FSR","",""
13/04/1970 00:00,1.500,57.74,"6a","FSR","",""
18/11/1970 00:00,1.120,35.15,"6a","FSR","",""
19/10/1971 00:00,1.430,53.25,"6a","FSR","",""
12/11/1972 00:00,0.950,26.53,"6a","FSR","",""
05/12/1972 00:00,0.950,26.53,"6a","FSR","",""
06/12/1972 00:00,1.080,33.04,"6a","FSR","",""
16/07/1973 00:00,1.280,44.12,"6a","FSR","",""
06/08/1973 00:00,1.520,59.05,"6a","FSR","",""
11/02/1974 00:00,0.960,27.01,"6a","FSR","",""
03/09/1974 06:00,,35.69,"6a","Digital Archive","",""
22/01/1975 18:00,,45.60,"6a","Digital Archive","",""
01/05/1975 12:00,,36.94,"6a","Digital Archive","",""
25/09/1975 12:00,,22.73,"6a","Digital Archive","",""
02/12/1975 00:00,,24.18,"6a","Digital Archive","",""
02/01/1976 00:00,,30.72,"6a","Digital Archive","",""
02/01/1976 21:00,,31.54,"6a","Digital Archive","",""
11/02/1977 03:45,,23.36,"6a","Digital Archive","",""
23/11/1977 21:00,,40.83,"6a","Digital Archive","",""
01/02/1978 21:00,,21.53,"6a","Digital Archive","",""
01/06/1978 18:00,,24.93,"6a","Digital Archive","",""
18/11/1978 18:15,,21.26,"6a","Digital Archive","",""
09/12/1978 00:00,,22.64,"6a","Digital Archive","",""
28/12/1978 15:00,,53.76,"6a","Digital Archive","",""
07/01/1979 16:45,,24.55,"6a","Digital Archive","",""
03/03/1979 14:45,,20.87,"6a","Digital Archive","",""
09/03/1979 03:45,,33.67,"6a","Digital Archive","",""
11/03/1979 14:45,,28.18,"6a","Digital Archive","",""
25/03/1979 20:00,,24.79,"6a","Digital Archive","",""
11/11/1979 21:30,,23.04,"6a","Digital Archive","",""
26/11/1979 12:00,,37.65,"6a","Digital Archive","",""
05/12/1979 06:45,,44.36,"6a","Digital Archive","",""
09/12/1979 12:00,,21.22,"6a","Digital Archive","",""
05/02/1980 09:00,,20.91,"6a","Digital Archive","",""
08/02/1980 09:00,,30.02,"6a","Digital Archive","",""
18/03/1980 16:30,,24.28,"6a","Digital Archive","",""
06/10/1980 19:15,,40.55,"6a","Digital Archive","",""
23/10/1980 06:30,,25.91,"6a","Digital Archive","",""
24/10/1980 19:30,,24.51,"6a","Digital Archive","",""
27/10/1980 19:30,,59.38,"6a","Digital Archive","",""
