"NAME:","Irwell at Bury Ground"
"NUMBER:","69044"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
12/01/1973 00:00,1.255,78.13,"","Digital Archive","",""
09/11/1973 00:00,1.388,101.79,"","Digital Archive","",""
07/12/1973 00:00,1.297,85.29,"","Digital Archive","",""
15/12/1973 00:00,1.310,87.66,"","Digital Archive","",""
19/12/1973 00:00,1.324,90.03,"","Digital Archive","",""
08/01/1974 00:00,1.350,94.75,"","Digital Archive","",""
14/01/1974 00:00,1.297,85.29,"","Digital Archive","",""
02/02/1974 00:00,1.324,90.03,"","Digital Archive","",""
08/02/1974 00:00,1.376,99.45,"","Digital Archive","",""
11/02/1974 00:00,1.473,118.02,"","Digital Archive","",""
07/09/1974 00:00,1.330,91.21,"","Digital Archive","",""
24/11/1974 00:00,1.086,52.79,"","Digital Archive","",""
21/01/1975 00:00,1.450,113.41,"","Digital Archive","",""
01/12/1975 00:00,1.401,104.12,"","Digital Archive","",""
02/01/1976 17:45,1.468,116.89,"2b","Estimated stage data from Bury Bridge (69035)","",""
30/09/1977 20:00,1.258,78.64,"2b","Estimated stage data from Bury Bridge (69035)","",""
04/10/1977 08:00,1.095,53.81,"2a","Estimated stage data from Bury Bridge (69035)","",""
23/11/1977 21:00,1.138,59.26,"2b","Estimated stage data from Bury Bridge (69035)","",""
23/12/1977 07:15,1.009,44.66,"2a","Estimated stage data from Bury Bridge (69035)","",""
23/01/1978 14:30,1.108,55.29,"2a","Estimated stage data from Bury Bridge (69035)","",""
01/02/1978 14:00,1.056,49.53,"2a","Estimated stage data from Bury Bridge (69035)","",""
15/03/1978 02:30,1.108,55.29,"2a","Estimated stage data from Bury Bridge (69035)","",""
30/09/1978 06:00,1.011,44.89,"2a","Estimated stage data from Bury Bridge (69035)","",""
18/11/1978 20:00,1.050,48.87,"2a","Estimated stage data from Bury Bridge (69035)","",""
08/12/1978 01:45,1.003,44.07,"2a","Estimated stage data from Bury Bridge (69035)","",""
28/12/1978 17:30,1.086,52.85,"2a","Estimated stage data from Bury Bridge (69035)","",""
07/01/1979 16:00,1.075,51.67,"2a","Estimated stage data from Bury Bridge (69035)","",""
09/03/1979 01:45,1.231,74.01,"2b","Estimated stage data from Bury Bridge (69035)","",""
11/03/1979 15:00,1.036,47.39,"2a","Estimated stage data from Bury Bridge (69035)","",""
05/12/1979 06:00,1.167,63.75,"2b","Estimated stage data from Bury Bridge (69035)","",""
09/12/1979 11:45,1.034,47.25,"2a","Estimated stage data from Bury Bridge (69035)","",""
27/12/1979 15:15,1.156,62.13,"2b","Estimated stage data from Bury Bridge (69035)","",""
08/02/1980 08:00,1.031,46.88,"2a","Estimated stage data from Bury Bridge (69035)","",""
06/10/1980 19:45,1.449,113.25,"2b","Estimated stage data from Bury Bridge (69035)","",""
08/10/1980 05:00,1.084,52.56,"2a","Estimated stage data from Bury Bridge (69035)","",""
23/10/1980 14:30,1.515,126.36,"2b","Estimated stage data from Bury Bridge (69035)","",""
27/10/1980 18:00,1.655,155.63,"2b","Estimated stage data from Bury Bridge (69035)","",""
14/11/1980 16:00,1.320,89.32,"2b","Estimated stage data from Bury Bridge (69035)","",""
17/11/1980 11:15,1.099,54.33,"2a","Estimated stage data from Bury Bridge (69035)","",""
22/11/1980 04:30,1.363,97.11,"2b","Estimated stage data from Bury Bridge (69035)","",""
11/12/1980 04:45,1.403,104.58,"2b","Estimated stage data from Bury Bridge (69035)","",""
17/12/1980 11:45,1.045,48.35,"2a","Estimated stage data from Bury Bridge (69035)","",""
02/01/1981 20:00,1.377,99.70,"2b","Estimated stage data from Bury Bridge (69035)","",""
14/01/1981 13:00,1.116,56.25,"2a","Estimated stage data from Bury Bridge (69035)","",""
17/01/1981 14:30,1.140,59.55,"2b","Estimated stage data from Bury Bridge (69035)","",""
03/02/1981 01:15,1.418,107.42,"2b","Estimated stage data from Bury Bridge (69035)","",""
07/03/1981 11:45,1.000,43.71,"2a","Estimated stage data from Bury Bridge (69035)","",""
21/03/1981 18:45,1.490,121.23,"2b","Estimated stage data from Bury Bridge (69035)","",""
23/03/1981 20:45,1.248,76.85,"2b","Estimated stage data from Bury Bridge (69035)","",""
25/03/1981 03:45,1.009,44.59,"2a","Estimated stage data from Bury Bridge (69035)","",""
26/09/1981 16:45,1.138,59.26,"2b","Estimated stage data from Bury Bridge (69035)","",""
08/10/1981 18:15,1.065,50.49,"2a","Estimated stage data from Bury Bridge (69035)","",""
10/10/1981 01:30,1.255,78.07,"2b","Estimated stage data from Bury Bridge (69035)","",""
18/11/1981 05:30,1.047,48.58,"2a","Estimated stage data from Bury Bridge (69035)","",""
23/11/1981 14:45,1.011,44.89,"2a","Estimated stage data from Bury Bridge (69035)","",""
27/11/1981 03:00,1.439,111.43,"2b","Estimated stage data from Bury Bridge (69035)","",""
03/01/1982 21:15,1.146,60.51,"2b","Estimated stage data from Bury Bridge (69035)","",""
03/03/1982 00:00,1.009,44.59,"2a","Estimated stage data from Bury Bridge (69035)","",""
10/03/1982 00:45,1.178,65.56,"2b","Estimated stage data from Bury Bridge (69035)","",""
15/03/1982 02:15,1.441,111.80,"2b","Estimated stage data from Bury Bridge (69035)","",""
05/06/1982 22:00,1.237,75.05,"2b","Estimated stage data from Bury Bridge (69035)","",""
18/08/1982 01:45,1.104,54.85,"2a","Estimated stage data from Bury Bridge (69035)","",""
21/11/1982 12:00,1.055,49.46,"2a","Estimated stage data from Bury Bridge (69035)","",""
07/12/1982 22:15,1.305,86.70,"2b","Estimated stage data from Bury Bridge (69035)","",""
19/12/1982 15:00,1.469,117.25,"2b","Estimated stage data from Bury Bridge (69035)","",""
