"NAME:","Douglas at Wanes Blades Bridge"
"NUMBER:","70002"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
26/08/1996 10:45,1.315,21.14,"","Digital Archive","",""
29/09/1996 13:15,1.468,24.37,"","Digital Archive","",""
15/10/1996 03:30,1.460,24.20,"","Digital Archive","",""
20/10/1996 23:30,1.442,23.79,"","Digital Archive","",""
07/11/1996 15:15,2.042,37.13,"","Digital Archive","Non-independent peak removed B",""
25/11/1996 07:00,1.684,29.04,"","Digital Archive","",""
19/12/1996 06:30,1.330,21.45,"","Digital Archive","",""
17/02/1997 22:45,1.754,30.62,"","Digital Archive","",""
18/05/1997 13:30,1.432,24.40,"","Digital Archive","",""
10/12/1997 13:00,1.580,26.00,"","Digital Archive","",""
26/12/1997 09:45,1.725,31.10,"","Digital Archive","",""
31/12/1997 06:45,1.261,22.30,"","Digital Archive","",""
03/01/1998 13:15,1.263,22.30,"","Digital Archive","",""
08/01/1998 22:45,2.042,36.70,"","Digital Archive","Non-independent peak removed B",""
04/03/1998 06:30,1.815,32.70,"","Digital Archive","",""
06/03/1998 20:15,2.246,43.20,"","Digital Archive","",""
23/10/1998 08:30,2.131,28.60,"","Digital Archive","",""
24/10/1998 20:30,2.299,32.40,"","Digital Archive","",""
26/10/1998 15:15,1.817,25.40,"","Digital Archive","",""
30/10/1998 01:45,1.610,21.20,"","Digital Archive","",""
26/11/1998 14:15,1.373,21.30,"","Digital Archive","",""
14/12/1998 00:30,1.250,20.00,"","Digital Archive","",""
07/01/1999 19:00,1.222,20.00,"","Digital Archive","",""
16/01/1999 04:30,1.746,29.90,"","Digital Archive","",""
28/01/1999 09:45,1.213,20.80,"","Digital Archive","",""
01/03/1999 15:30,1.218,21.10,"","Digital Archive","",""
03/03/1999 05:00,1.396,24.70,"","Digital Archive","",""
30/09/1999 01:45,2.242,28.10,"","Digital Archive","",""
02/10/1999 07:15,,42.90,"","700306.F3.HiUKPOT","",""
12/12/1999 04:30,,35.80,"","700306.F3.HiUKPOT","",""
04/06/2000 04:15,,44.80,"","700306.F3.HiUKPOT","",""
10/10/2000 13:30,,44.70,"","700306.F3.HiUKPOT","",""
30/10/2000 19:15,,55.60,"","700306.F3.HiUKPOT","",""
02/11/2000 17:30,,37.00,"","700306.F3.HiUKPOT","",""
06/11/2000 02:15,,34.80,"","700306.F3.HiUKPOT","",""
12/02/2001 05:45,,37.80,"","700306.F3.HiUKPOT","",""
07/04/2001 18:00,,45.90,"","700306.F3.HiUKPOT","",""
26/02/2002 10:15,,40.90,"","700306.F3.HiUKPOT","",""
09/09/2002 21:45,,36.90,"","700306.F3.HiUKPOT","",""
08/11/2002 19:45,,48.30,"","700306.F3.HiUKPOT","",""
30/12/2002 03:15,,46.60,"","700306.F3.HiUKPOT","",""
04/02/2004 18:15,,51.80,"","700306.F3.HiUKPOT","",""
10/08/2004 13:45,,47.40,"","700306.F3.HiUKPOT","",""
20/08/2004 15:00,,50.80,"","700306.F3.HiUKPOT","",""
25/08/2004 14:30,,43.30,"","700306.F3.HiUKPOT","",""
23/10/2004 05:15,,44.40,"","700306.F3.HiUKPOT","",""
08/11/2005 19:45,,36.40,"","700306.F3.HiUKPOT","",""
18/01/2007 09:00,,46.40,"","700306.F3.HiUKPOT","",""
21/01/2007 21:15,,36.70,"","700306.F3.HiUKPOT","",""
07/12/2007 06:15,,33.80,"","700306.F3.HiUKPOT","",""
10/01/2008 07:30,,49.00,"","700306.F3.HiUKPOT","",""
16/01/2008 10:00,,47.90,"","700306.F3.HiUKPOT","",""
20/01/2008 02:15,,34.00,"","700306.F3.HiUKPOT","",""
21/01/2008 12:00,,53.20,"","700306.F3.HiUKPOT","",""
06/09/2008 07:00,,41.20,"","700306.F3.HiUKPOT","",""
05/10/2008 06:45,,33.70,"","700306.F3.HiUKPOT","",""
26/10/2008 08:45,,51.00,"","700306.F3.HiUKPOT","",""
05/12/2008 04:15,,34.40,"","700306.F3.HiUKPOT","",""
20/07/2010 16:45,,43.70,"","700306.F3.HiUKPOT","",""
14/09/2010 13:45,,38.20,"","700306.F3.HiUKPOT","",""
19/09/2010 17:00,,36.10,"","700306.F3.HiUKPOT","",""
08/11/2010 19:15,,35.40,"","700306.F3.HiUKPOT","",""
06/02/2011 06:15,,55.40,"","700306.F3.HiUKPOT","",""
22/06/2012 19:00,,53.60,"","700306.F3.HiUKPOT","",""
06/07/2012 15:00,,34.90,"","700306.F3.HiUKPOT","",""
25/09/2012 23:30,,56.80,"","700306.F3.HiUKPOT","",""
26/11/2012 06:45,,37.60,"","Digital Archive","",""
06/12/2012 23:00,,35.70,"","Digital Archive","",""
17/12/2012 21:30,,40.70,"","Digital Archive","",""
21/12/2012 02:30,,39.10,"","Digital Archive","",""
23/12/2012 01:30,,48.10,"","Digital Archive","",""
27/01/2013 11:00,,43.80,"","Digital Archive","",""
14/02/2013 06:15,,40.80,"","Digital Archive","",""
15/02/2014 15:30,,32.00,"","Digital Archive","","AMAX ONLY"
31/03/2015 04:00,,29.65,"","Digital Archive","","AMAX ONLY"
12/12/2015 21:00,,36.00,"","Digital Archive","",""
26/12/2015 12:30,,84.79,"","Digital Archive","",""
03/01/2016 18:15,,42.80,"","Digital Archive","",""
10/01/2016 08:15,,41.76,"","Digital Archive","",""
16/06/2016 18:30,,53.85,"","Digital Archive","",""
