"NAME:","Yarrow at Croston Mill"
"NUMBER:","70004"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
02/01/1976 19:15,1.212,25.00,"03top4","Digital Archive","",""
25/02/1977 14:15,0.908,15.37,"03top4","Digital Archive","","AMAX ONLY"
04/10/1977 08:30,1.314,27.71,"03top5","Digital Archive","",""
23/01/1978 16:45,1.053,19.77,"03top4","Digital Archive","",""
28/12/1978 14:30,1.227,25.52,"03top4","Digital Archive","",""
07/01/1979 18:45,1.052,19.74,"03top4","Digital Archive","",""
05/12/1979 10:00,1.135,22.42,"03top4","Digital Archive","",""
15/12/1979 03:00,1.019,18.71,"03top4","Digital Archive","",""
22/01/1980 15:15,1.099,21.24,"03top4","Digital Archive","",""
06/10/1980 21:00,1.049,19.65,"03top4","Digital Archive","",""
23/10/1980 12:45,1.438,30.30,"03top5","Digital Archive","",""
27/10/1980 19:15,1.984,42.60,"03top5","Digital Archive","",""
14/11/1980 18:30,1.219,25.24,"03top4","Digital Archive","",""
19/11/1980 16:45,1.101,21.31,"03top4","Digital Archive","",""
22/11/1980 06:00,1.218,25.21,"03top4","Digital Archive","",""
19/12/1980 23:15,1.107,21.50,"03top4","Digital Archive","",""
02/01/1981 21:30,1.150,22.91,"03top4","Digital Archive","",""
11/03/1981 21:00,1.017,18.65,"03top4","Digital Archive","",""
19/03/1981 15:00,1.015,18.58,"03top4","Digital Archive","",""
22/03/1981 00:00,2.026,43.60,"03top5","Digital Archive","",""
23/03/1981 20:45,1.035,19.21,"03top4","Digital Archive","",""
26/09/1981 19:45,1.122,21.99,"03top4","Digital Archive","",""
18/11/1981 11:00,1.038,19.30,"03top4","Digital Archive","",""
27/11/1981 05:45,1.165,23.41,"03top4","Digital Archive","",""
15/03/1982 08:30,1.237,25.86,"03top4","Digital Archive","",""
26/06/1982 00:30,1.152,22.98,"03top4","Digital Archive","",""
07/12/1982 23:45,1.045,19.52,"03top4","Digital Archive","",""
04/01/1983 09:00,1.045,19.52,"03top4","Digital Archive","",""
31/01/1983 20:45,1.016,18.61,"03top4","Digital Archive","",""
21/04/1983 02:30,1.104,21.41,"03top4","Digital Archive","",""
08/05/1983 01:30,1.107,21.50,"03top4","Digital Archive","",""
10/10/1983 03:15,1.352,28.50,"03top5","Digital Archive","",""
09/12/1983 12:45,2.181,47.38,"03top5","Digital Archive","",""
22/12/1983 02:30,1.129,22.22,"03top4","Digital Archive","",""
03/11/1984 13:15,1.226,25.48,"03top4","Digital Archive","",""
22/11/1984 18:00,1.029,19.02,"03top4","Digital Archive","",""
29/01/1985 19:45,1.008,18.37,"03top4","Digital Archive","",""
11/04/1985 13:15,1.171,23.62,"03top4","Digital Archive","",""
13/12/1985 08:30,1.159,23.21,"03top4","Digital Archive","",""
22/12/1985 00:30,1.098,21.21,"03top4","Digital Archive","",""
26/08/1986 12:30,1.061,20.03,"03top4","Digital Archive","",""
19/11/1986 03:15,1.212,25.00,"03top4","Digital Archive","",""
18/12/1986 20:45,1.136,22.45,"03top4","Digital Archive","",""
30/12/1986 09:30,1.828,38.94,"03top5","Digital Archive","",""
18/07/1987 22:45,1.109,21.57,"03top4","Digital Archive","",""
22/08/1987 16:45,2.939,75.56,"03top7","Digital Archive","",""
16/10/1987 08:00,1.161,23.28,"03top4","Digital Archive","",""
19/10/1987 00:30,1.127,22.16,"03top4","Digital Archive","",""
13/11/1987 04:45,1.187,24.15,"03top4","Digital Archive","",""
02/01/1988 11:30,1.025,18.89,"03top4","Digital Archive","",""
21/07/1988 05:45,1.082,20.70,"03top4","Digital Archive","",""
20/08/1988 04:00,1.041,19.39,"03top4","Digital Archive","",""
02/09/1988 14:15,1.253,26.42,"03top4","Digital Archive","",""
26/12/1988 23:45,1.367,28.81,"03top5","Digital Archive","",""
05/11/1989 04:45,1.093,21.05,"03top4","Digital Archive","",""
28/01/1990 02:30,1.122,21.99,"03top4","Digital Archive","",""
26/12/1990 15:45,1.070,20.31,"03top4","Digital Archive","",""
28/12/1990 17:45,0.999,18.09,"03top4","Digital Archive","",""
21/12/1991 10:30,1.094,21.08,"03top4","Digital Archive","",""
03/01/1992 23:00,1.045,19.52,"03top4","Digital Archive","",""
05/01/1992 15:30,1.255,26.49,"03top4","Digital Archive","",""
02/12/1992 18:30,1.558,32.88,"03top5","Digital Archive","",""
11/12/1992 20:00,1.066,20.18,"03top4","Digital Archive","",""
18/12/1992 14:30,0.999,18.09,"03top4","Digital Archive","",""
02/01/1994 04:15,1.089,20.92,"03top4","Digital Archive","",""
03/01/1994 19:00,1.161,23.28,"03top4","Digital Archive","",""
26/01/1995 00:00,1.260,26.61,"03top5","Digital Archive","",""
01/02/1995 01:30,1.439,30.32,"03top5","Digital Archive","",""
22/02/1995 18:45,1.000,18.12,"03top4","Digital Archive","",""
25/08/1996 07:30,0.868,14.22,"03top4","Digital Archive","","AMAX ONLY"
17/02/1997 21:00,1.084,20.76,"03top4","Digital Archive","",""
18/05/1997 08:15,1.728,36.65,"03top5","Digital Archive","",""
08/01/1998 22:30,1.159,23.21,"03top4","Digital Archive","",""
03/03/1998 14:00,1.079,20.60,"03top4","Digital Archive","",""
06/03/1998 19:45,1.306,27.55,"03top5","Digital Archive","",""
24/10/1998 16:45,1.193,24.36,"03top4","Digital Archive","",""
02/03/1999 18:15,1.294,27.30,"03top5","Digital Archive","",""
01/08/1999 20:45,1.017,18.65,"03top4","Digital Archive","",""
30/09/1999 01:30,1.080,20.63,"03top4","Digital Archive","",""
02/10/1999 00:30,1.450,30.55,"03top5","Digital Archive","",""
11/12/1999 19:30,1.003,18.21,"03top4","Digital Archive","",""
18/02/2000 03:00,1.034,19.17,"03top4","Digital Archive","",""
27/02/2000 20:00,1.033,19.14,"03top4","Digital Archive","",""
04/06/2000 05:15,1.743,36.99,"03top5","Digital Archive","",""
07/10/2000 12:30,1.060,19.99,"03top4","Digital Archive","",""
09/10/2000 22:00,1.409,29.69,"03top5","Digital Archive","",""
30/10/2000 13:00,2.318,50.80,"03top5","Digital Archive","",""
02/11/2000 18:15,1.084,20.76,"03top4","Digital Archive","",""
06/11/2000 01:00,1.172,23.65,"03top4","Digital Archive","",""
12/02/2001 02:45,1.235,25.79,"03top4","Digital Archive","",""
07/04/2001 09:45,1.520,32.05,"03top5","Digital Archive","",""
08/10/2001 06:30,1.221,25.31,"03top4","Digital Archive","",""
19/02/2002 23:30,1.217,25.17,"03top4","Digital Archive","",""
25/02/2002 17:15,1.218,25.21,"03top4","Digital Archive","",""
14/06/2002 21:15,1.146,22.78,"03top4","Digital Archive","",""
02/08/2002 10:00,1.064,20.12,"03top4","Digital Archive","",""
10/08/2002 07:30,1.027,18.96,"03top4","Digital Archive","",""
08/11/2002 18:45,1.587,33.51,"03top5","Digital Archive","",""
30/12/2002 00:45,1.298,27.39,"03top5","Digital Archive","",""
08/03/2003 21:30,1.087,20.86,"03top4","Digital Archive","",""
22/05/2003 14:30,1.055,19.84,"03top4","Digital Archive","",""
26/12/2003 00:00,1.066,20.18,"03top4","Digital Archive","",""
04/02/2004 18:30,1.421,29.94,"03top5","Digital Archive","",""
10/08/2004 15:00,1.333,28.11,"03top5","Digital Archive","",""
20/08/2004 14:15,1.417,29.86,"03top5","Digital Archive","",""
22/10/2004 21:30,1.458,30.72,"03top5","Digital Archive","",""
08/11/2005 20:00,1.053,19.77,"03top4","Digital Archive","",""
25/11/2006 03:45,1.087,20.86,"03top4","Digital Archive","",""
11/12/2006 10:30,1.012,18.49,"03top4","Digital Archive","",""
18/01/2007 09:30,1.733,36.76,"03top5","Digital Archive","",""
03/07/2007 11:45,1.188,24.19,"03top4","Digital Archive","",""
06/07/2007 07:15,1.166,23.45,"03top4","Digital Archive","",""
08/07/2007 17:30,1.023,18.83,"03top4","Digital Archive","",""
07/12/2007 03:15,1.064,20.12,"03top4","Digital Archive","",""
28/12/2007 23:00,1.198,24.53,"03top4","Digital Archive","",""
10/01/2008 08:15,1.203,24.70,"03top4","Digital Archive","",""
21/01/2008 13:45,2.205,47.97,"03top5","Digital Archive","",""
10/07/2008 01:45,1.459,30.75,"03top5","Digital Archive","",""
05/09/2008 20:30,1.171,23.62,"03top4","Digital Archive","",""
05/10/2008 04:00,1.187,24.15,"03top4","Digital Archive","",""
26/10/2008 07:45,1.862,39.72,"03top5","Digital Archive","",""
05/12/2008 04:45,1.274,26.90,"03top5","Digital Archive","",""
03/09/2009 09:45,1.098,18.03,"05top2","Digital Archive","",""
06/10/2009 20:00,1.195,20.98,"05top2","Digital Archive","",""
18/11/2009 12:15,1.146,19.47,"05top2","Digital Archive","",""
20/07/2010 19:00,1.874,38.96,"05top3","Digital Archive","",""
19/09/2010 12:00,1.524,30.81,"05top3","Digital Archive","",""
23/09/2010 04:45,1.157,19.80,"05top2","Digital Archive","",""
08/11/2010 13:45,1.371,26.78,"05top2","Digital Archive","",""
06/02/2011 00:00,1.854,38.48,"05top3","Digital Archive","",""
11/08/2011 09:30,1.115,18.53,"05top2","Digital Archive","",""
22/06/2012 22:15,2.574,59.31,"05top4","Digital Archive","",""
06/07/2012 14:45,1.204,21.26,"05top2","Digital Archive","",""
25/08/2012 21:15,1.162,19.95,"05top2","Digital Archive","",""
16/09/2012 19:30,1.111,18.41,"05top2","Digital Archive","",""
26/09/2012 03:00,2.194,46.89,"05top3","Digital Archive","",""
26/11/2012 07:00,1.155,19.74,"05top2","Digital Archive","",""
06/12/2012 23:15,1.281,23.74,"05top2","Digital Archive","",""
17/12/2012 21:00,1.269,23.35,"05top2","Digital Archive","",""
23/12/2012 02:00,1.238,22.34,"05top2","Digital Archive","",""
29/12/2012 12:00,1.115,18.53,"05top2","Digital Archive","",""
27/01/2013 07:15,1.567,31.78,"05top3","Digital Archive","",""
14/02/2013 05:15,1.372,26.81,"05top2","Digital Archive","",""
15/02/2014 10:15,1.142,19.34,"05top2","Digital Archive","",""
12/12/2014 06:45,1.264,23.18,"05top2","Digital Archive","",""
31/03/2015 02:15,1.719,35.28,"05top3","Digital Archive","",""
02/06/2015 02:00,1.160,19.89,"05top2","Digital Archive","",""
07/10/2015 08:00,1.170,20.20,"05top2","Digital Archive","",""
09/11/2015 17:30,1.195,20.98,"05top2","Digital Archive","",""
12/12/2015 18:00,1.378,27.02,"05top2","Digital Archive","",""
26/12/2015 15:00,2.994,78.50,"05top5","Digital Archive","",""
03/01/2016 18:45,1.357,26.29,"05top2","Digital Archive","",""
09/01/2016 23:15,1.374,26.88,"05top2","Digital Archive","",""
01/03/2016 11:45,1.275,23.54,"05top2","Digital Archive","",""
04/03/2016 10:45,1.100,18.09,"05top2","Digital Archive","",""
22/08/2016 08:00,1.580,32.07,"05top3","Digital Archive","",""
