"NAME:","Divie at Dunphail"
"NUMBER:","7005"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
27/11/1982 09:15,1.274,36.95,"QHigh19821","Digital Archive","",""
07/05/1983 21:45,1.268,36.64,"QHigh19821","Digital Archive","",""
11/09/1983 06:15,1.588,56.19,"QHigh19821","Digital Archive","",""
01/01/1984 01:00,1.241,35.18,"QHigh19821","Digital Archive","",""
23/09/1984 22:00,2.196,104.30,"QHigh19821","Digital Archive","",""
25/10/1984 21:00,1.791,70.67,"QHigh19821","Digital Archive","",""
20/11/1984 10:30,1.158,30.86,"QHigh19821","Digital Archive","",""
12/06/1985 16:30,1.190,32.49,"QHigh19821","Digital Archive","",""
27/07/1985 20:00,1.198,32.91,"QHigh19821","Digital Archive","",""
01/09/1985 10:30,1.663,61.35,"QHigh19821","Digital Archive","",""
09/11/1985 17:00,1.371,42.50,"QHigh19821","Digital Archive","",""
15/11/1985 06:45,1.106,28.29,"QHigh19821","Digital Archive","",""
01/12/1985 09:00,1.885,77.91,"QHigh19821","Digital Archive","",""
10/06/1986 20:15,1.640,59.75,"QHigh19821","Digital Archive","",""
08/08/1986 01:45,1.486,49.52,"QHigh19821","Digital Archive","",""
02/03/1987 04:15,1.197,32.85,"QHigh19821","Digital Archive","",""
28/03/1987 04:30,1.570,54.99,"QHigh19821","Digital Archive","",""
08/06/1987 00:15,1.363,42.03,"QHigh19821","Digital Archive","",""
11/07/1987 16:30,1.131,29.51,"QHigh19821","Digital Archive","",""
26/01/1988 08:45,1.192,32.60,"QHigh19821","Digital Archive","",""
02/05/1988 19:15,1.650,60.44,"QHigh19821","Digital Archive","",""
18/08/1988 21:00,1.278,37.19,"QHigh19821","Digital Archive","",""
21/08/1988 02:30,1.331,40.17,"QHigh19821","Digital Archive","",""
09/10/1988 15:15,1.337,40.52,"QHigh19821","Digital Archive","",""
28/10/1988 11:00,1.094,27.71,"QHigh19821","Digital Archive","",""
01/03/1989 09:00,1.205,33.27,"QHigh19821","Digital Archive","",""
12/05/1989 17:30,1.463,48.08,"QHigh19821","Digital Archive","",""
19/02/1990 13:30,1.278,37.19,"QHigh19821","Digital Archive","",""
10/03/1990 15:45,1.098,27.90,"QHigh19821","Digital Archive","",""
02/07/1990 01:15,1.126,29.26,"QHigh19821","Digital Archive","",""
16/08/1990 20:00,1.320,39.55,"QHigh19821","Digital Archive","",""
06/10/1990 20:45,1.596,56.73,"QHigh19821","Digital Archive","",""
28/10/1990 23:00,1.878,77.36,"QHigh19821","Digital Archive","",""
20/11/1990 23:15,1.408,44.70,"QHigh19821","Digital Archive","",""
04/11/1991 12:30,1.197,32.85,"QHigh19821","Digital Archive","",""
17/01/1993 03:00,1.371,42.50,"QHigh19821","Digital Archive","",""
15/05/1993 12:30,1.419,45.37,"QHigh19821","Digital Archive","",""
06/10/1993 20:30,1.804,71.65,"QHigh19821","Digital Archive","",""
08/10/1993 03:30,1.295,38.14,"QHigh19821","Digital Archive","",""
10/10/1993 15:00,1.214,33.74,"QHigh19821","Digital Archive","",""
18/12/1993 23:00,1.100,28.00,"QHigh19821","Digital Archive","",""
30/01/1994 01:30,1.127,29.31,"QHigh19821","Digital Archive","",""
05/03/1994 02:30,1.334,40.35,"QHigh19821","Digital Archive","",""
11/04/1994 19:00,1.261,36.26,"QHigh19821","Digital Archive","",""
02/09/1995 23:30,1.142,30.06,"QHigh19821","Digital Archive","",""
08/09/1995 08:00,1.619,58.30,"QHigh19821","Digital Archive","",""
10/09/1995 05:30,1.911,79.97,"QHigh19821","Digital Archive","",""
12/09/1995 09:00,1.645,60.09,"QHigh19821","Digital Archive","",""
23/07/1996 03:30,1.255,35.94,"QHigh19821","Digital Archive","",""
04/12/1996 14:00,1.520,51.70,"QHigh19821","Digital Archive","",""
19/05/1997 08:00,1.141,30.01,"QHigh19821","Digital Archive","",""
01/07/1997 14:30,2.577,141.66,"QHigh19821","Digital Archive","",""
13/07/1998 18:00,1.237,34.97,"QHigh19821","Digital Archive","",""
16/10/1998 19:00,1.454,47.52,"QHigh19821","Digital Archive","",""
14/11/1998 12:00,1.399,44.16,"QHigh19821","Digital Archive","",""
15/04/1999 04:30,1.230,34.59,"QHigh19821","Digital Archive","",""
06/06/1999 12:30,1.550,53.66,"QHigh19821","Digital Archive","",""
28/11/1999 23:30,1.639,59.68,"QHigh19821","Digital Archive","",""
01/12/1999 05:00,1.194,32.70,"QHigh19821","Digital Archive","",""
13/04/2000 06:30,1.139,29.91,"QHigh19821","Digital Archive","",""
27/04/2000 01:00,1.843,74.63,"QHigh19821","Digital Archive","",""
12/10/2000 09:00,1.463,48.08,"QHigh19821","Digital Archive","",""
07/11/2000 12:00,1.442,46.77,"QHigh19821","Digital Archive","",""
08/11/2000 14:30,2.331,116.90,"QHigh19821","Digital Archive","",""
20/11/2000 07:30,1.220,34.06,"QHigh19821","Digital Archive","",""
11/07/2001 20:00,1.532,52.48,"QHigh19821","Digital Archive","",""
20/08/2001 02:00,1.219,34.01,"QHigh19821","Digital Archive","",""
09/10/2001 06:15,1.178,31.87,"QHigh19821","Digital Archive","",""
31/10/2001 03:00,1.283,37.47,"QHigh19821","Digital Archive","",""
20/07/2002 12:15,1.128,29.36,"QHigh19821","Digital Archive","",""
31/07/2002 02:15,1.387,43.44,"QHigh19821","Digital Archive","",""
23/10/2002 04:00,1.659,61.07,"QHigh19821","Digital Archive","",""
15/11/2002 15:45,2.233,107.68,"QHigh19821","Digital Archive","",""
22/01/2003 15:45,1.204,33.22,"QHigh19821","Digital Archive","",""
01/11/2003 01:45,1.475,48.83,"QHigh19821","Digital Archive","",""
19/01/2004 17:45,1.221,34.11,"QHigh19821","Digital Archive","",""
03/02/2004 06:30,1.204,33.22,"QHigh19821","Digital Archive","",""
24/06/2004 10:45,1.758,68.20,"QHigh19821","Digital Archive","",""
19/08/2004 06:45,2.026,89.41,"QHigh19821","Digital Archive","",""
17/10/2004 14:00,1.696,63.69,"QHigh19821","Digital Archive","",""
13/06/2005 11:15,1.640,59.75,"QHigh19821","Digital Archive","",""
12/10/2005 10:00,1.274,36.97,"QHigh19821","Digital Archive","",""
