"NAME:","Calder at Whalley Weir"
"NUMBER:","71004"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
30/11/1961 00:00,3.366,150.94,"3a","CEH","",""
04/12/1961 00:00,2.786,110.44,"3a","CEH","",""
13/01/1962 00:00,2.546,94.90,"3a","CEH","",""
10/03/1962 00:00,0.866,11.54,"3a","CEH","",""
07/04/1962 00:00,2.556,95.53,"3a","CEH","",""
18/05/1962 00:00,1.576,40.53,"3a","CEH","",""
25/06/1962 00:00,0.606,4.22,"3a","CEH","",""
10/07/1962 00:00,1.426,33.51,"3a","CEH","",""
26/08/1962 00:00,3.076,130.19,"3a","CEH","",""
11/09/1962 00:00,2.346,82.54,"3a","CEH","",""
29/10/1962 00:00,1.706,46.94,"3a","CEH","",""
01/11/1962 00:00,2.016,63.39,"3a","CEH","",""
15/12/1962 00:00,2.686,103.87,"3a","CEH","",""
21/01/1963 00:00,0.566,3.32,"3a","CEH","",""
14/02/1963 00:00,0.736,7.59,"3a","CEH","",""
06/03/1963 00:00,1.986,61.73,"3a","CEH","",""
14/04/1963 00:00,1.586,41.01,"3a","CEH","",""
10/05/1963 00:00,0.996,15.97,"3a","CEH","",""
29/06/1963 00:00,1.626,42.96,"3a","CEH","",""
01/07/1963 00:00,1.726,47.95,"3a","CEH","",""
25/08/1963 00:00,1.166,22.41,"3a","CEH","",""
25/09/1963 00:00,3.356,150.20,"3a","CEH","",""
03/10/1963 00:00,2.936,120.52,"3a","CEH","",""
21/11/1963 00:00,3.266,143.67,"3a","CEH","",""
30/12/1963 00:00,2.036,64.51,"3a","CEH","",""
31/01/1964 00:00,1.476,35.80,"3a","CEH","",""
24/02/1964 00:00,1.006,16.33,"3a","CEH","",""
24/03/1964 00:00,1.966,60.63,"3a","CEH","",""
23/04/1964 00:00,1.446,34.42,"3a","CEH","",""
11/05/1964 00:00,1.636,43.45,"3a","CEH","",""
02/06/1964 00:00,1.206,24.02,"3a","CEH","",""
18/07/1964 00:00,4.196,215.43,"3a","CEH","",""
18/08/1964 00:00,1.236,25.26,"3a","CEH","",""
16/09/1964 00:00,1.056,18.16,"3a","CEH","",""
09/10/1964 00:00,1.676,45.43,"3a","CEH","",""
24/11/1964 00:00,1.476,35.80,"3a","CEH","",""
08/12/1964 00:00,3.786,182.66,"3a","CEH","",""
16/01/1965 00:00,2.626,100.00,"3a","CEH","",""
12/02/1965 00:00,0.646,5.19,"3a","CEH","",""
25/03/1965 00:00,1.166,22.41,"3a","CEH","",""
17/04/1965 00:00,1.746,48.97,"3a","CEH","",""
08/05/1965 00:00,2.296,79.54,"3a","CEH","",""
22/06/1965 00:00,1.086,19.29,"3a","CEH","",""
29/07/1965 00:00,1.706,46.94,"3a","CEH","",""
04/08/1965 00:00,1.226,24.84,"3a","CEH","",""
10/09/1965 00:00,3.136,134.40,"3a","CEH","",""
31/10/1965 00:00,2.406,86.19,"3a","CEH","",""
25/11/1965 00:00,3.006,125.33,"3a","CEH","",""
