"NAME:","Ribble at Henthorn"
"NUMBER:","71006"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
28/10/1968 00:00,2.095,145.69,"5c","CEH","",""
31/10/1968 00:00,2.225,163.30,"5c","CEH","",""
20/01/1969 00:00,2.250,166.77,"5c","CEH","",""
31/03/1969 00:00,2.375,184.58,"5c","CEH","",""
11/11/1969 00:00,2.030,137.18,"5c","CEH","",""
21/12/1969 00:00,2.040,138.47,"5c","CEH","",""
21/02/1970 00:00,2.510,204.59,"5c","CEH","",""
22/04/1970 00:00,2.485,200.82,"5c","CEH","",""
10/09/1970 00:00,2.030,137.18,"5c","CEH","",""
25/10/1970 00:00,2.095,145.69,"5c","CEH","",""
30/10/1970 00:00,2.570,213.74,"5c","CEH","",""
17/11/1970 00:00,2.330,178.09,"5c","CEH","",""
12/02/1971 00:00,2.150,153.04,"5c","CEH","",""
13/02/1971 00:00,2.300,173.81,"5c","CEH","",""
18/10/1971 00:00,2.610,219.93,"5c","CEH","",""
21/11/1971 00:00,2.065,141.73,"5c","CEH","",""
30/03/1972 00:00,2.255,167.47,"5c","CEH","",""
09/11/1972 00:00,2.550,210.67,"5c","CEH","",""
12/11/1972 00:00,2.000,133.32,"5c","CEH","",""
01/12/1972 00:00,2.180,157.11,"5c","CEH","",""
04/04/1973 00:00,2.225,163.30,"5c","CEH","",""
09/11/1973 00:00,2.370,183.85,"5c","CEH","",""
07/01/1974 00:00,2.150,153.04,"5c","CEH","",""
14/01/1974 00:00,2.195,159.16,"5c","CEH","",""
07/09/1974 00:00,2.355,181.68,"5c","CEH","",""
10/11/1974 00:00,2.340,179.52,"5c","CEH","",""
24/11/1974 00:00,2.270,169.57,"5c","CEH","",""
22/01/1975 00:00,3.050,292.43,"5c","CEH","",""
22/07/1975 00:00,2.075,143.05,"5c","CEH","",""
01/11/1975 00:00,2.300,173.81,"5c","CEH","",""
02/11/1975 00:00,2.335,178.80,"5c","CEH","",""
02/01/1976 18:00,2.660,227.76,"5c","Digital Archive","Non-independent peak removed B",""
20/01/1976 10:30,1.958,127.99,"5c","Digital Archive","",""
22/04/1977 04:15,2.049,139.64,"5c","Digital Archive","",""
04/10/1977 08:30,2.282,171.26,"5c","Digital Archive","",""
20/11/1977 03:45,1.748,102.63,"5c","Digital Archive","",""
23/11/1977 19:45,2.325,177.37,"5c","Digital Archive","",""
23/12/1977 18:00,1.914,122.49,"5c","Digital Archive","",""
03/01/1978 09:30,2.323,177.08,"5c","Digital Archive","",""
28/01/1978 09:30,1.927,124.11,"5c","Digital Archive","",""
15/03/1978 06:00,2.177,156.70,"5c","Digital Archive","",""
23/03/1978 05:30,1.759,103.90,"5c","Digital Archive","",""
11/09/1978 01:00,2.599,218.22,"5c","Digital Archive","",""
29/09/1978 07:30,2.023,136.27,"5c","Digital Archive","",""
15/11/1978 09:30,2.249,166.63,"5c","Digital Archive","Non-independent peak removed BNon-independent peak removed A",""
17/11/1978 12:00,2.151,153.18,"5c","Digital Archive","",""
19/11/1978 08:15,1.983,131.15,"5c","Digital Archive","",""
24/11/1978 15:15,1.925,123.86,"5c","Digital Archive","",""
28/12/1978 17:45,2.096,145.82,"5c","Digital Archive","",""
07/01/1979 14:30,2.569,213.59,"5c","Digital Archive","",""
03/03/1979 11:45,2.361,182.55,"5c","Digital Archive","",""
09/03/1979 04:15,2.724,237.93,"5c","Digital Archive","",""
11/03/1979 14:15,1.980,130.77,"5c","Digital Archive","",""
23/08/1979 23:30,1.856,115.40,"5c","Digital Archive","",""
03/11/1979 13:15,1.799,108.59,"5c","Digital Archive","Non-independent peak removed A",""
23/11/1979 13:15,1.725,99.99,"5c","Digital Archive","",""
26/11/1979 07:15,2.663,228.23,"5c","Digital Archive","Non-independent peak removed B",""
05/12/1979 05:45,2.367,183.42,"5c","Digital Archive","",""
10/12/1979 12:30,1.929,124.36,"5c","Digital Archive","",""
15/12/1979 03:00,1.863,116.24,"5c","Digital Archive","",""
27/12/1979 11:15,2.367,183.42,"5c","Digital Archive","",""
04/01/1980 03:15,2.405,188.95,"5c","Digital Archive","",""
23/01/1980 04:00,1.919,123.11,"5c","Digital Archive","",""
09/02/1980 07:00,1.820,111.08,"5c","Digital Archive","",""
22/02/1980 10:00,1.730,100.56,"5c","Digital Archive","",""
12/03/1980 07:45,1.738,101.48,"5c","Digital Archive","",""
18/03/1980 10:45,1.746,102.40,"5c","Digital Archive","",""
14/09/1980 06:45,1.942,125.98,"5c","Digital Archive","",""
06/10/1980 19:30,2.247,166.35,"5c","Digital Archive","",""
23/10/1980 14:00,2.703,234.58,"5c","Digital Archive","",""
27/10/1980 17:00,3.561,390.59,"5d","Digital Archive","Peak examined by eye and appears reasonable.",""
14/11/1980 17:30,2.474,199.17,"5c","Digital Archive","",""
17/11/1980 11:00,2.404,188.81,"5c","Digital Archive","",""
19/11/1980 16:30,1.978,130.51,"5c","Digital Archive","",""
22/11/1980 05:30,2.589,216.67,"5c","Digital Archive","",""
11/12/1980 05:00,2.677,230.44,"5c","Digital Archive","",""
17/12/1980 13:15,2.009,134.47,"5c","Digital Archive","",""
02/01/1981 20:15,2.141,151.83,"5c","Digital Archive","",""
14/01/1981 14:15,1.935,125.10,"5c","Digital Archive","",""
17/01/1981 11:15,2.036,137.95,"5c","Digital Archive","",""
03/02/1981 03:00,2.799,250.08,"5c","Digital Archive","",""
07/03/1981 13:00,2.234,164.54,"5c","Digital Archive","",""
10/03/1981 21:15,2.198,159.57,"5c","Digital Archive","",""
20/03/1981 04:15,2.378,185.01,"5c","Digital Archive","Non-independent peak removed B",""
21/03/1981 21:00,2.678,230.60,"5c","Digital Archive","",""
23/03/1981 22:30,2.447,195.15,"5c","Digital Archive","",""
26/09/1981 19:00,2.249,166.63,"5c","Digital Archive","Non-independent peak removed A",""
02/10/1981 00:00,2.805,251.06,"5c","Digital Archive","",""
