"NAME:","Crake at Low Nibthwaite"
"NUMBER:","73002"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
23/08/1962 23:00,0.516,4.39,"1b","Mfiche","",""
27/08/1962 14:30,0.592,5.91,"1b","Mfiche","",""
20/09/1962 09:00,0.501,4.11,"1b","Mfiche","",""
02/10/1962 14:00,0.409,2.48,"1a","Mfiche","",""
03/11/1962 10:00,0.836,11.95,"1b","Mfiche","",""
10/12/1962 00:00,0.501,4.11,"1b","Mfiche","",""
16/12/1962 01:00,0.729,9.10,"1b","Mfiche","",""
20/12/1962 12:00,0.806,11.11,"1b","Mfiche","",""
14/03/1963 18:00,0.851,12.39,"1b","Mfiche","",""
22/05/1963 12:00,0.592,5.91,"1b","Mfiche","",""
26/06/1963 09:30,0.501,4.11,"1b","Mfiche","",""
31/07/1963 13:00,0.623,6.57,"1b","Mfiche","",""
14/08/1963 18:00,0.653,7.26,"1b","Mfiche","",""
16/08/1963 11:30,0.638,6.91,"1b","Mfiche","",""
23/09/1963 09:00,0.531,4.68,"1b","Mfiche","",""
03/10/1963 13:00,0.699,8.34,"1b","Mfiche","",""
13/11/1963 11:00,0.623,6.57,"1b","Mfiche","",""
21/11/1963 16:00,0.806,11.11,"1b","Mfiche","",""
01/02/1964 03:00,0.516,4.39,"1b","Mfiche","",""
11/05/1964 19:30,0.699,8.34,"1b","Mfiche","",""
22/09/1964 09:00,0.501,4.11,"1b","Mfiche","",""
08/10/1964 12:00,0.729,9.10,"1b","Mfiche","",""
08/12/1964 00:00,1.059,18.90,"1b","CEH file","",""
12/12/1964 00:00,1.188,23.50,"1b","CEH file","",""
10/01/1965 00:00,0.859,12.61,"1b","CEH file","",""
13/01/1965 00:00,0.799,10.92,"1b","CEH file","",""
16/01/1965 13:30,0.790,10.69,"1b","Mfiche","",""
22/01/1965 23:00,0.547,4.98,"1b","Mfiche","",""
27/03/1965 08:00,0.516,4.39,"1b","Mfiche","",""
09/04/1965 02:00,0.409,2.48,"1a","Mfiche","",""
18/04/1965 06:00,0.547,4.98,"1b","Mfiche","",""
09/05/1965 04:00,0.409,2.48,"1a","Mfiche","",""
26/06/1965 14:00,0.531,4.68,"1b","Mfiche","",""
04/08/1965 21:00,0.531,4.68,"1b","Mfiche","",""
24/08/1965 19:00,0.394,2.25,"1a","Mfiche","",""
06/09/1965 07:00,0.531,4.68,"1b","Mfiche","",""
18/09/1965 01:00,0.531,4.68,"1b","Mfiche","",""
26/09/1965 09:00,0.653,7.26,"1b","Mfiche","",""
03/12/1965 11:00,0.470,3.55,"1a","Mfiche","",""
10/12/1965 00:30,0.821,11.53,"1b","Mfiche","",""
18/12/1965 02:00,0.821,11.53,"1b","Mfiche","",""
06/01/1966 12:00,0.547,4.98,"1b","Mfiche","",""
05/02/1966 11:30,0.806,11.11,"1b","Mfiche","",""
20/02/1966 12:00,0.470,3.55,"1a","Mfiche","",""
25/02/1966 11:00,0.821,11.53,"1b","Mfiche","",""
02/03/1966 12:00,0.699,8.34,"1b","Mfiche","",""
15/05/1966 10:30,0.409,2.48,"1a","Mfiche","",""
25/05/1966 13:00,0.714,8.72,"1b","Mfiche","",""
27/06/1966 18:00,0.531,4.68,"1b","Mfiche","",""
14/08/1966 01:30,0.623,6.57,"1b","Mfiche","",""
04/09/1966 13:30,0.653,7.26,"1b","Mfiche","",""
15/09/1966 10:30,0.714,8.72,"1b","Mfiche","",""
14/11/1966 13:30,0.394,2.25,"1a","Mfiche","",""
16/11/1966 02:00,0.547,4.98,"1b","Mfiche","",""
01/12/1966 13:00,0.714,8.72,"1b","Mfiche","",""
10/12/1966 22:00,0.669,7.61,"1b","Mfiche","",""
19/12/1966 12:00,0.958,15.60,"1b","Mfiche","",""
31/07/1967 12:30,0.592,5.91,"1b","Mfiche","",""
18/08/1967 22:30,0.638,6.91,"1b","Mfiche","",""
07/09/1967 09:00,0.684,7.98,"1b","Mfiche","",""
01/10/1967 22:00,0.714,8.72,"1b","Mfiche","",""
09/10/1967 13:00,1.230,25.08,"1b","CEH file","Microfiche stage of 1.004 m replaced (12.11.03) with CEH file stage to match FEH data.",""
28/10/1967 11:30,0.531,4.68,"1b","Mfiche","",""
11/11/1967 01:00,0.699,8.34,"1b","Mfiche","",""
14/01/1968 13:00,0.653,7.26,"1b","Mfiche","",""
26/01/1968 02:00,0.851,12.39,"1b","Mfiche","",""
25/03/1968 03:00,0.653,7.26,"1b","Mfiche","",""
02/04/1968 02:00,0.617,6.44,"1b","Mfiche","",""
29/09/1968 12:00,0.775,10.28,"1b","Mfiche","",""
02/10/1968 15:00,1.110,20.69,"1b","Mfiche","",""
22/01/1969 03:00,1.219,24.67,"1b","Mfiche","",""
31/03/1969 18:00,0.975,16.14,"1b","Mfiche","",""
10/11/1969 00:00,1.036,18.14,"1b","Mfiche","",""
14/12/1969 12:00,0.945,15.18,"1b","Mfiche","",""
22/12/1969 15:00,1.143,21.85,"1b","Mfiche","",""
21/01/1970 11:30,1.219,27.92,"5b","Mfiche","",""
12/02/1970 15:00,1.143,24.83,"5b","Mfiche","",""
23/04/1970 03:00,1.189,26.67,"5b","Mfiche","",""
24/11/1970 01:30,0.900,16.00,"5b","Mfiche","",""
14/11/1972 12:00,0.810,13.16,"5b","Mfiche","",""
25/11/1972 01:00,0.840,14.08,"5b","Mfiche","",""
03/12/1972 06:00,0.880,15.35,"5b","Mfiche","",""
10/12/1972 02:00,0.950,17.68,"5b","Mfiche","",""
13/04/1973 07:00,0.690,9.75,"5b","Mfiche","",""
16/01/1974 15:00,0.820,13.47,"5b","Mfiche","",""
24/12/1974 23:00,0.880,15.35,"5b","Mfiche","",""
23/01/1975 14:00,1.000,19.44,"5b","Mfiche","",""
21/04/1975 12:00,0.815,13.31,"5b","Mfiche","",""
06/09/1975 15:00,0.850,14.40,"5b","Mfiche","",""
11/01/1976 22:00,0.813,13.25,"5b","Digital Archive","",""
23/01/1976 06:45,0.708,10.23,"5b","Digital Archive","",""
13/02/1976 03:00,0.537,6.05,"5b","Digital Archive","",""
26/03/1976 06:00,0.612,7.77,"5b","Digital Archive","",""
