"NAME:","Sprint at Sprint Mill"
"NUMBER:","73009"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
22/04/1970 22:00,1.020,30.80,"062","Mfiche","",""
17/09/1970 07:00,1.425,57.46,"063","Mfiche","",""
30/10/1970 15:00,0.945,26.17,"062","Mfiche","",""
31/10/1970 21:00,0.942,25.99,"062","Mfiche","",""
23/11/1970 22:00,1.125,37.42,"063","Mfiche","",""
07/01/1971 09:00,1.003,29.72,"062","Mfiche","",""
05/07/1972 01:00,0.980,28.29,"062","Mfiche","",""
09/11/1972 21:00,1.175,40.61,"063","Mfiche","",""
30/11/1972 01:00,0.975,27.98,"062","Mfiche","",""
01/12/1972 12:00,1.000,29.53,"062","Mfiche","",""
12/12/1972 01:00,0.920,24.71,"062","Mfiche","",""
13/12/1972 06:00,0.980,28.29,"062","Mfiche","",""
04/04/1973 16:00,0.925,25.00,"062","Mfiche","",""
06/08/1973 12:00,0.910,24.13,"062","Mfiche","",""
08/09/1974 03:00,0.885,22.72,"062","Mfiche","",""
11/11/1974 04:00,0.985,28.60,"062","Mfiche","",""
21/12/1974 13:00,0.930,25.29,"062","Mfiche","",""
22/12/1974 02:00,1.225,43.85,"063","Mfiche","",""
26/12/1974 17:00,0.950,26.47,"062","Mfiche","",""
29/12/1974 05:00,1.010,30.16,"062","Mfiche","",""
22/01/1975 12:00,1.200,42.22,"063","Mfiche","",""
25/01/1975 11:00,0.970,27.68,"062","Mfiche","",""
23/07/1975 01:00,0.955,26.77,"062","Mfiche","",""
25/09/1975 02:00,0.980,28.29,"062","Mfiche","",""
02/01/1976 19:00,1.098,35.74,"063","Digital Archive","",""
25/01/1977 20:45,0.875,22.16,"062","Digital Archive","",""
03/02/1977 09:45,0.986,28.66,"062","Digital Archive","",""
23/12/1977 21:30,0.905,23.84,"062","Digital Archive","Non-independent peak removed B",""
14/11/1978 18:30,0.915,24.42,"062","Digital Archive","",""
15/11/1978 16:15,1.167,40.09,"063","Digital Archive","",""
18/11/1978 01:45,1.126,37.49,"063","Digital Archive","",""
07/01/1979 13:00,0.917,24.53,"062","Digital Archive","",""
03/03/1979 04:15,0.909,24.07,"062","Digital Archive","",""
09/03/1979 01:45,0.957,26.89,"062","Digital Archive","",""
18/11/1979 17:15,1.264,46.43,"063","Digital Archive","",""
19/11/1979 09:30,1.178,40.80,"063","Digital Archive","",""
26/11/1979 09:00,1.097,35.67,"063","Digital Archive","",""
04/01/1980 02:45,0.862,21.45,"062","Digital Archive","",""
12/09/1980 02:45,0.876,22.22,"062","Digital Archive","",""
14/09/1980 03:00,0.888,22.89,"062","Digital Archive","",""
06/10/1980 16:15,1.115,36.80,"063","Digital Archive","",""
27/10/1980 12:00,0.926,25.05,"062","Digital Archive","",""
14/11/1980 12:15,1.179,40.86,"063","Digital Archive","",""
20/11/1980 19:15,0.892,23.11,"062","Digital Archive","",""
22/11/1980 00:00,1.249,45.43,"063","Digital Archive","",""
13/12/1980 05:30,1.040,32.09,"062","Digital Archive","Non-independent peak removed B",""
14/12/1980 11:00,0.898,23.45,"062","Digital Archive","",""
03/02/1981 02:15,1.090,35.24,"063","Digital Archive","",""
07/03/1981 09:00,0.959,27.01,"062","Digital Archive","",""
08/03/1981 08:45,1.004,29.78,"062","Digital Archive","",""
10/03/1981 18:30,1.149,38.94,"063","Digital Archive","",""
25/03/1981 06:15,0.865,21.62,"062","Digital Archive","",""
19/09/1981 10:30,0.893,23.17,"062","Digital Archive","",""
20/09/1981 02:45,0.889,22.94,"062","Digital Archive","",""
24/09/1981 02:30,1.082,34.74,"063","Digital Archive","",""
02/10/1981 00:00,0.906,23.90,"062","Digital Archive","",""
09/10/1981 05:30,1.121,37.17,"063","Digital Archive","",""
02/11/1981 02:30,0.871,21.94,"062","Digital Archive","",""
23/11/1981 14:45,0.937,25.70,"062","Digital Archive","",""
27/11/1981 03:15,0.973,27.86,"062","Digital Archive","",""
03/01/1982 07:30,1.465,60.29,"063","Digital Archive","Peak examined by eye and appears reasonable.",""
04/01/1982 04:15,1.151,39.07,"063","Digital Archive","",""
03/03/1982 00:45,0.877,22.27,"062","Digital Archive","",""
10/03/1982 00:00,0.862,21.45,"062","Digital Archive","",""
