"NAME:","Leven at Newby Bridge"
"NUMBER:","73010"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
07/01/1939 00:00,0.976,83.16,"11a","FSR","",""
10/02/1939 00:00,0.776,60.51,"11a","FSR","",""
03/03/1939 00:00,0.606,42.94,"11a","FSR","",""
17/04/1939 00:00,0.316,17.41,"11a","FSR","",""
16/05/1939 00:00,0.186,8.35,"11a","FSR","",""
19/06/1939 00:00,0.226,10.93,"11a","FSR","",""
31/07/1939 00:00,0.546,37.16,"11a","FSR","",""
01/08/1939 00:00,0.546,37.16,"11a","FSR","",""
11/09/1939 00:00,0.306,16.65,"11a","FSR","",""
13/10/1939 00:00,0.256,13.00,"11a","FSR","",""
30/11/1939 00:00,0.716,54.12,"11a","FSR","",""
02/12/1939 00:00,0.946,79.64,"11a","FSR","",""
31/01/1940 00:00,0.116,4.34,"11a","FSR","",""
28/02/1940 00:00,0.516,34.36,"11a","FSR","",""
21/03/1940 00:00,0.616,43.93,"11a","FSR","",""
02/04/1940 00:00,0.456,28.95,"11a","FSR","",""
01/05/1940 00:00,0.116,4.34,"11a","FSR","",""
01/06/1940 00:00,0.086,2.86,"11a","FSR","",""
12/07/1940 00:00,0.326,18.17,"11a","FSR","",""
12/08/1940 00:00,0.196,8.97,"11a","FSR","",""
20/09/1940 00:00,0.516,34.36,"11a","FSR","",""
10/10/1940 00:00,0.786,61.59,"11a","FSR","",""
12/11/1940 00:00,0.666,48.95,"11a","FSR","",""
17/12/1940 00:00,0.576,40.02,"11a","FSR","",""
01/01/1941 00:00,0.276,14.43,"11a","FSR","",""
09/02/1941 00:00,0.676,49.97,"11a","FSR","",""
02/03/1941 00:00,0.576,40.02,"11a","FSR","",""
19/04/1941 00:00,0.296,15.90,"11a","FSR","",""
28/05/1941 00:00,0.406,24.64,"11a","FSR","",""
01/06/1941 00:00,0.306,16.65,"11a","FSR","",""
01/07/1941 00:00,0.066,1.98,"11a","FSR","",""
30/08/1941 00:00,0.436,27.20,"11a","FSR","",""
01/09/1941 00:00,0.366,21.34,"11a","FSR","",""
10/10/1941 00:00,0.686,51.00,"11a","FSR","",""
25/11/1941 00:00,0.416,25.48,"11a","FSR","",""
15/12/1941 00:00,0.486,31.62,"11a","FSR","",""
26/01/1942 00:00,0.506,33.44,"11a","FSR","",""
01/02/1942 00:00,0.396,23.80,"11a","FSR","",""
17/03/1942 00:00,0.576,40.02,"11a","FSR","",""
09/04/1942 00:00,0.546,37.16,"11a","FSR","",""
29/05/1942 00:00,0.426,26.34,"11a","FSR","",""
01/06/1942 00:00,0.346,19.74,"11a","FSR","",""
25/07/1942 00:00,0.406,24.64,"11a","FSR","",""
12/08/1942 00:00,0.506,33.44,"11a","FSR","",""
06/09/1942 00:00,0.676,49.97,"11a","FSR","",""
10/10/1942 00:00,0.646,46.92,"11a","FSR","",""
01/11/1942 00:00,0.316,17.41,"11a","FSR","",""
11/12/1942 00:00,0.626,44.92,"11a","FSR","",""
29/01/1943 00:00,0.886,72.72,"11a","FSR","",""
01/02/1943 00:00,0.796,62.68,"11a","FSR","",""
01/03/1943 00:00,0.216,10.27,"11a","FSR","",""
27/04/1943 00:00,0.396,23.80,"11a","FSR","",""
14/05/1943 00:00,0.576,40.02,"11a","FSR","",""
21/06/1943 00:00,0.426,26.34,"11a","FSR","",""
16/07/1943 00:00,0.476,30.72,"11a","FSR","",""
30/08/1943 00:00,0.676,49.97,"11a","FSR","",""
01/09/1943 00:00,0.616,43.93,"11a","FSR","",""
06/10/1943 00:00,0.786,61.59,"11a","FSR","",""
25/11/1943 00:00,0.406,24.64,"11a","FSR","",""
02/12/1943 00:00,0.406,24.64,"11a","FSR","",""
25/01/1944 00:00,0.656,47.93,"11a","FSR","",""
04/02/1944 00:00,0.506,33.44,"11a","FSR","",""
01/03/1944 00:00,0.166,7.13,"11a","FSR","",""
21/04/1944 00:00,0.396,23.80,"11a","FSR","",""
05/05/1944 00:00,0.246,12.30,"11a","FSR","",""
05/06/1944 00:00,0.546,37.16,"11a","FSR","",""
05/07/1944 00:00,0.266,13.71,"11a","FSR","",""
31/08/1944 00:00,0.326,18.17,"11a","FSR","",""
06/09/1944 00:00,0.596,41.96,"11a","FSR","",""
21/10/1944 00:00,0.596,41.96,"11a","FSR","",""
30/11/1944 00:00,0.626,44.92,"11a","FSR","",""
02/12/1944 00:00,0.786,61.59,"11a","FSR","",""
19/01/1945 00:00,0.446,28.07,"11a","FSR","",""
05/02/1945 00:00,0.836,67.09,"11a","FSR","",""
01/03/1945 00:00,0.626,44.92,"11a","FSR","",""
02/04/1945 00:00,0.596,41.96,"11a","FSR","",""
18/05/1945 00:00,0.376,22.15,"11a","FSR","",""
10/06/1945 00:00,0.346,19.74,"11a","FSR","",""
11/07/1945 00:00,0.196,8.97,"11a","FSR","",""
01/08/1945 00:00,0.176,7.73,"11a","FSR","",""
24/09/1945 00:00,0.456,28.95,"11a","FSR","",""
26/10/1945 00:00,0.816,64.87,"11a","FSR","",""
01/11/1945 00:00,0.526,35.29,"11a","FSR","",""
20/12/1945 00:00,0.356,20.53,"11a","FSR","",""
26/01/1946 00:00,0.656,47.93,"11a","FSR","",""
01/02/1946 00:00,0.666,48.95,"11a","FSR","",""
21/03/1946 00:00,0.596,41.96,"11a","FSR","",""
01/04/1946 00:00,0.196,8.97,"11a","FSR","",""
01/05/1946 00:00,0.106,3.83,"11a","FSR","",""
06/06/1946 00:00,0.356,20.53,"11a","FSR","",""
01/07/1946 00:00,0.346,19.74,"11a","FSR","",""
01/08/1946 00:00,0.336,18.95,"11a","FSR","",""
23/09/1946 00:00,0.706,53.07,"11a","FSR","",""
01/10/1946 00:00,0.346,19.74,"11a","FSR","",""
25/11/1946 00:00,0.856,69.33,"11a","FSR","",""
26/12/1946 00:00,0.586,40.99,"11a","FSR","",""
16/01/1947 00:00,0.816,64.87,"11a","FSR","",""
01/02/1947 00:00,0.166,7.13,"11a","FSR","",""
24/03/1947 00:00,0.876,71.58,"11a","FSR","",""
25/04/1947 00:00,0.556,38.11,"11a","FSR","",""
01/05/1947 00:00,0.776,60.51,"11a","FSR","",""
21/06/1947 00:00,0.216,10.27,"11a","FSR","",""
09/07/1947 00:00,0.246,12.30,"11a","FSR","",""
01/08/1947 00:00,0.176,7.73,"11a","FSR","",""
23/09/1947 00:00,0.286,15.16,"11a","FSR","",""
01/10/1947 00:00,0.166,7.13,"11a","FSR","",""
23/11/1947 00:00,0.986,84.35,"11a","FSR","",""
01/12/1947 00:00,0.346,19.74,"11a","FSR","",""
05/01/1948 00:00,0.856,69.33,"11a","FSR","",""
09/02/1948 00:00,0.706,53.07,"11a","FSR","",""
20/03/1948 00:00,0.366,21.34,"11a","FSR","",""
03/04/1948 00:00,0.386,22.97,"11a","FSR","",""
07/05/1948 00:00,0.246,12.30,"11a","FSR","",""
08/06/1948 00:00,0.506,33.44,"11a","FSR","",""
05/07/1948 00:00,0.366,21.34,"11a","FSR","",""
31/08/1948 00:00,0.416,25.48,"11a","FSR","",""
03/09/1948 00:00,0.716,54.12,"11a","FSR","",""
18/10/1948 00:00,0.346,19.74,"11a","FSR","",""
18/11/1948 00:00,0.626,44.92,"11a","FSR","",""
15/12/1948 00:00,0.546,37.16,"11a","FSR","",""
08/01/1949 00:00,0.616,43.93,"11a","FSR","",""
23/02/1949 00:00,0.556,38.11,"11a","FSR","",""
01/03/1949 00:00,0.406,24.64,"11a","FSR","",""
12/04/1949 00:00,0.676,49.97,"11a","FSR","",""
01/05/1949 00:00,0.236,11.61,"11a","FSR","",""
