"NAME:","Kent at Victoria Bridge"
"NUMBER:","73012"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
07/09/1974 15:00,2.270,84.86,"6c","Mfiche","",""
10/11/1974 11:30,2.450,110.32,"6c","Mfiche","",""
12/11/1974 00:00,2.200,75.72,"6c","Mfiche","",""
22/12/1974 07:30,2.750,158.71,"6c","Mfiche","",""
25/12/1974 17:00,2.300,88.91,"6c","Mfiche","",""
29/12/1974 04:00,2.450,110.32,"6c","Mfiche","",""
22/01/1975 13:00,2.800,167.47,"6c","Mfiche","",""
25/01/1975 12:30,2.450,110.32,"6c","Mfiche","",""
31/01/1975 12:00,2.200,75.72,"6c","Mfiche","",""
23/07/1975 00:30,2.250,82.21,"6c","Mfiche","",""
24/09/1975 03:30,2.650,141.77,"6c","Mfiche","",""
27/09/1975 17:00,2.300,88.91,"6c","Mfiche","",""
01/10/1975 12:00,2.450,110.32,"6c","Mfiche","",""
04/10/1975 16:30,2.300,88.91,"6c","Mfiche","",""
26/12/1975 19:30,2.450,110.32,"6c","Mfiche","Peak missing from chart. 2.45m is an estimate a) by correlation with Sedgwick, b) chart resumes at 2.15m shortly after peak",""
03/02/1977 12:00,2.500,117.87,"6c","Mfiche","",""
01/09/1977 23:00,2.200,75.72,"6c","Mfiche","",""
23/12/1977 20:00,2.300,88.91,"6c","Mfiche","",""
19/11/1978 02:00,2.200,75.72,"6c","Mfiche","",""
07/01/1979 14:30,2.350,95.84,"6c","Mfiche","",""
26/11/1979 09:00,2.650,141.77,"6c","Mfiche","",""
27/12/1979 12:00,2.500,117.87,"6c","Mfiche","",""
04/01/1980 03:30,2.355,96.54,"6c","Mfiche","",""
09/02/1980 18:30,2.200,75.72,"6c","Mfiche","",""
12/09/1980 03:30,2.290,87.56,"6c","Mfiche","",""
06/10/1980 19:00,2.550,125.64,"6c","Mfiche","",""
27/10/1980 12:00,2.400,102.97,"6c","Mfiche","",""
14/11/1980 15:00,2.750,158.71,"6c","Mfiche","",""
20/11/1980 18:00,2.250,82.21,"6c","Mfiche","",""
22/11/1980 03:00,2.850,176.43,"6c","Mfiche","",""
24/11/1980 12:30,2.200,75.72,"6c","Mfiche","",""
11/12/1980 04:00,2.200,75.72,"6c","Mfiche","",""
13/12/1980 09:00,2.500,117.87,"6c","Mfiche","",""
14/12/1980 15:00,2.350,95.84,"6c","Mfiche","",""
03/02/1981 01:00,2.500,117.87,"6c","Mfiche","",""
06/03/1981 09:00,2.450,110.32,"6c","Mfiche","",""
10/03/1981 18:00,2.700,150.14,"6c","Mfiche","",""
22/03/1981 05:30,2.350,95.84,"6c","Mfiche","",""
25/03/1981 05:30,2.250,82.21,"6c","Mfiche","",""
19/09/1981 11:00,2.250,82.21,"6c","Mfiche","",""
20/09/1981 03:00,2.400,102.97,"6c","Mfiche","",""
24/09/1981 05:00,2.400,102.97,"6c","Mfiche","",""
02/10/1981 00:00,2.350,95.84,"6c","Mfiche","",""
09/10/1981 08:00,2.550,125.64,"6c","Mfiche","",""
23/11/1981 13:00,2.500,117.87,"6c","Mfiche","",""
27/11/1981 03:00,2.450,110.32,"6c","Mfiche","",""
03/01/1982 09:00,2.950,194.92,"6c","Mfiche","",""
03/03/1982 01:00,2.250,82.21,"6c","Mfiche","",""
10/03/1982 01:00,2.250,82.21,"6c","Mfiche","",""
12/03/1982 07:30,2.250,82.21,"6c","Mfiche","",""
21/11/1982 10:00,2.400,102.97,"6c","Mfiche","",""
28/11/1982 05:30,2.350,95.84,"6c","Mfiche","",""
19/12/1982 17:00,2.580,130.39,"6c","Mfiche","",""
03/01/1983 06:00,2.350,95.84,"6c","Mfiche","",""
12/10/1983 13:00,2.400,102.97,"6c","Mfiche","",""
16/10/1983 19:00,2.450,110.32,"6c","Mfiche","",""
13/01/1984 08:00,2.500,117.87,"6c","Mfiche","",""
24/10/1984 10:00,2.250,82.21,"6c","Mfiche","",""
17/07/1985 23:00,2.350,95.84,"6c","Mfiche","",""
15/08/1985 23:00,2.350,95.84,"6c","Mfiche","",""
21/09/1985 18:00,2.350,95.84,"6c","Mfiche","",""
13/12/1985 03:00,2.250,82.21,"6c","Mfiche","",""
21/12/1985 11:00,3.150,234.17,"6c","Mfiche","",""
10/01/1986 09:30,2.400,102.97,"6c","Mfiche","",""
22/01/1986 15:00,2.200,75.72,"6c","Mfiche","",""
23/03/1986 00:30,2.355,96.54,"6c","Mfiche","",""
30/10/1986 09:00,2.255,82.87,"6c","Mfiche","",""
25/11/1986 16:00,2.250,82.21,"6c","Mfiche","",""
03/12/1986 20:30,2.250,82.21,"6c","Mfiche","",""
05/12/1986 07:30,2.255,82.87,"6c","Mfiche","",""
27/03/1987 15:00,2.500,117.87,"6c","Mfiche","",""
21/10/1987 20:00,2.350,95.84,"6c","Mfiche","",""
26/12/1987 11:00,2.255,82.87,"6c","Mfiche","",""
27/12/1987 16:00,2.650,141.77,"6c","Mfiche","",""
29/12/1987 03:30,2.650,141.77,"6c","Mfiche","",""
02/01/1988 10:00,2.250,82.21,"6c","Mfiche","",""
09/01/1988 17:00,2.300,88.91,"6c","Mfiche","",""
01/02/1988 18:00,2.250,82.21,"6c","Mfiche","",""
26/07/1988 21:00,2.250,82.21,"6c","Mfiche","",""
08/10/1988 21:00,2.300,88.91,"6c","Mfiche","",""
09/03/1989 23:30,2.790,165.70,"6c","Mfiche","",""
10/11/1989 23:30,2.700,150.14,"6c","Mfiche","",""
25/01/1990 14:30,2.450,110.32,"6c","Mfiche","",""
04/02/1990 18:30,2.450,110.32,"6c","Mfiche","",""
19/02/1990 20:00,2.700,150.14,"6c","Mfiche","",""
24/02/1990 13:00,2.425,106.62,"6c","Mfiche","",""
06/10/1990 14:30,2.220,78.29,"6c","Mfiche","",""
22/12/1990 13:30,2.250,82.21,"6c","Mfiche","",""
26/12/1990 14:00,2.525,121.73,"6c","Mfiche","",""
01/01/1991 22:30,2.700,150.14,"6c","Mfiche","",""
19/02/1991 00:30,2.425,106.62,"6c","Mfiche","",""
23/02/1991 01:30,2.400,102.97,"6c","Mfiche","",""
24/02/1991 04:30,2.500,117.87,"6c","Mfiche","",""
10/11/1991 22:30,2.500,117.87,"6c","Mfiche","",""
19/12/1991 09:00,2.500,117.87,"6c","Mfiche","",""
21/12/1991 14:30,2.550,125.64,"6c","Mfiche","",""
23/12/1991 11:30,2.380,100.09,"6c","Mfiche","",""
22/02/1992 17:00,2.220,78.29,"6c","Mfiche","",""
09/09/1992 06:00,2.350,95.84,"6c","Mfiche","",""
13/09/1992 03:00,2.450,110.32,"6c","Mfiche","",""
14/09/1992 08:30,2.500,117.87,"6c","Mfiche","",""
02/10/1992 23:00,2.250,82.21,"6c","Mfiche","",""
02/12/1992 12:30,2.450,110.32,"6c","Mfiche","",""
10/01/1993 15:30,2.550,125.64,"6c","Mfiche","",""
16/05/1993 23:15,1.950,46.70,"6c","Digital Archive","","AMAX ONLY"
04/12/1993 04:15,2.352,96.12,"6c","Digital Archive","",""
08/12/1993 20:45,2.183,73.57,"6c","Digital Archive","",""
14/12/1993 22:45,2.201,75.85,"6c","Digital Archive","",""
19/12/1993 03:45,2.710,151.80,"6c","Digital Archive","Peak examined by eye and appears reasonable.",""
05/03/1994 05:45,2.171,72.06,"6c","Digital Archive","",""
08/03/1994 15:30,2.459,111.70,"6c","Digital Archive","",""
13/11/1994 17:15,2.612,135.50,"6c","Digital Archive","Peak examined by eye and appears reasonable.",""
10/12/1994 11:15,2.173,72.31,"6c","Digital Archive","",""
11/12/1994 22:30,2.252,82.47,"6c","Digital Archive","",""
28/12/1994 20:30,2.453,110.80,"6c","Digital Archive","Non-independent peak removed B",""
05/01/1995 13:30,2.247,81.81,"6c","Digital Archive","",""
31/01/1995 18:45,3.001,204.60,"6c","Digital Archive","Peak examined by eye and appears reasonable.",""
11/02/1995 19:45,2.360,97.25,"6c","Digital Archive","",""
19/02/1995 01:00,2.369,98.52,"6c","Digital Archive","",""
22/02/1995 14:15,2.375,99.38,"6c","Digital Archive","",""
03/10/1995 20:00,2.343,94.85,"6c","Digital Archive","",""
29/09/1996 04:45,2.451,110.50,"6c","Digital Archive","",""
06/11/1996 02:45,2.569,128.60,"6c","Digital Archive","Peak examined by eye and appears reasonable.",""
04/02/1997 10:45,2.258,83.27,"6c","Digital Archive","",""
10/02/1997 10:45,2.419,105.70,"6c","Digital Archive","",""
17/02/1997 20:30,2.915,188.40,"6c","Digital Archive","Peak examined by eye and appears reasonable.",""
19/02/1997 19:30,2.485,115.60,"6c","Digital Archive","",""
28/02/1997 07:45,2.238,80.63,"6c","Digital Archive","",""
10/12/1997 07:45,2.349,95.69,"6c","Digital Archive","",""
03/01/1998 10:15,2.214,77.52,"6c","Digital Archive","",""
09/01/1998 01:30,2.317,91.24,"6c","Digital Archive","",""
11/02/1998 19:00,2.467,112.90,"6c","Digital Archive","",""
03/08/1998 13:15,2.235,80.24,"6c","Digital Archive","",""
17/08/1998 06:45,2.161,70.82,"6c","Digital Archive","",""
16/10/1998 21:15,2.299,88.78,"6c","Digital Archive","",""
21/10/1998 05:45,2.394,102.10,"6c","Digital Archive","",""
24/10/1998 20:30,2.625,137.70,"6c","Digital Archive","Peak examined by eye and appears reasonable.",""
27/10/1998 06:15,2.517,120.50,"6c","Digital Archive","",""
13/12/1998 23:45,2.345,95.13,"6c","Digital Archive","",""
06/01/1999 03:00,3.101,224.30,"6c","Digital Archive","Peak examined by eye and appears reasonable.",""
15/01/1999 15:00,2.415,105.20,"6c","Digital Archive","",""
25/01/1999 03:00,2.207,76.62,"6c","Digital Archive","",""
03/12/1999 09:00,2.578,130.10,"6c","Digital Archive","Peak examined by eye and appears reasonable.",""
06/12/1999 13:30,2.442,109.10,"6c","Digital Archive","",""
08/12/1999 14:15,2.224,78.81,"6c","Digital Archive","",""
17/12/1999 07:00,2.182,73.44,"6c","Digital Archive","",""
12/01/2000 01:45,2.756,159.70,"6c","Digital Archive","",""
29/01/2000 07:00,2.146,68.97,"6c","Digital Archive","",""
31/01/2000 22:30,2.258,83.27,"6c","Digital Archive","",""
10/02/2000 08:30,2.282,86.47,"6c","Digital Archive","",""
27/02/2000 14:30,2.484,115.40,"6c","Digital Archive","",""
02/03/2000 23:15,2.352,96.12,"6c","Digital Archive","",""
18/09/2000 05:15,2.187,74.07,"6c","Digital Archive","",""
25/10/2000 04:15,2.469,113.20,"6c","Digital Archive","",""
30/10/2000 10:00,2.147,69.09,"6c","Digital Archive","",""
02/11/2000 20:30,2.413,104.90,"6c","Digital Archive","",""
28/11/2000 15:15,2.707,151.30,"6c","Digital Archive","",""
04/12/2000 12:15,2.202,75.98,"6c","Digital Archive","",""
08/12/2000 16:30,2.192,74.71,"6c","Digital Archive","",""
11/12/2000 05:00,2.171,72.06,"6c","Digital Archive","",""
12/12/2000 12:45,2.396,102.40,"6c","Digital Archive","",""
10/02/2001 19:15,2.306,89.73,"6c","Digital Archive","",""
01/10/2001 03:15,2.180,73.19,"6c","Digital Archive","",""
29/11/2001 09:30,2.186,73.95,"6c","Digital Archive","",""
05/12/2001 13:45,2.355,96.54,"6c","Digital Archive","",""
17/01/2002 09:15,2.246,81.68,"6c","Digital Archive","",""
25/01/2002 22:00,2.221,78.42,"6c","Digital Archive","Non-independent peak removed A",""
31/01/2002 18:45,2.188,74.20,"6c","Digital Archive","",""
01/02/2002 14:45,2.514,120.00,"6c","Digital Archive","",""
04/02/2002 22:00,2.297,88.50,"6c","Digital Archive","",""
07/02/2002 15:15,2.182,73.44,"6c","Digital Archive","",""
08/02/2002 18:00,2.196,75.21,"6c","Digital Archive","",""
11/02/2002 02:15,2.406,103.80,"6c","Digital Archive","",""
