"NAME:","Kent at Bowston"
"NUMBER:","73017"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
03/12/1999 08:45,1.466,60.68,"013","Digital Archive","Series used : 730120SG",""
06/12/1999 13:15,1.229,45.65,"013","Digital Archive","Series used : 730120SG",""
08/12/1999 13:15,1.084,37.17,"013","Digital Archive","Series used : 730120SG",""
12/01/2000 00:30,1.561,67.09,"013","Digital Archive","Series used : 730120SG",""
10/02/2000 07:45,1.076,36.71,"013","Digital Archive","Series used : 730120SG",""
27/02/2000 13:30,1.290,49.38,"013","Digital Archive","Series used : 730120SG",""
02/03/2000 22:45,1.168,42.01,"013","Digital Archive","Series used : 730120SG",""
25/10/2000 05:30,1.313,50.81,"013","Digital Archive","Series used : 730120SG",""
02/11/2000 20:30,1.111,38.70,"013","Digital Archive","Series used : 730120SG",""
28/11/2000 14:15,1.584,68.67,"013","Digital Archive","Series used : 730120SG",""
04/12/2000 11:30,1.142,40.49,"013","Digital Archive","Series used : 730120SG",""
12/12/2000 11:15,1.261,47.59,"013","Digital Archive","Series used : 730120SG",""
10/02/2001 18:45,1.157,41.36,"013","Digital Archive","Series used : 730120SG",""
01/10/2001 02:30,1.022,33.72,"013","Digital Archive","Series used : 730120SG",""
05/12/2001 13:15,1.151,41.01,"013","Digital Archive","Series used : 730120SG",""
25/01/2002 21:00,1.059,35.76,"013","Digital Archive","Series used : 730120SG",""
01/02/2002 13:45,1.282,48.88,"013","Digital Archive","Series used : 730120SG",""
04/02/2002 21:30,1.128,39.68,"013","Digital Archive","Series used : 730120SG",""
07/02/2002 14:45,1.028,34.05,"013","Digital Archive","Series used : 730120SG",""
11/02/2002 01:30,1.177,42.54,"013","Digital Archive","Series used : 730120SG",""
22/02/2002 06:15,1.060,35.82,"013","Digital Archive","Series used : 730120SG",""
25/02/2002 14:45,1.250,46.92,"013","Digital Archive","Series used : 730120SG",""
24/12/2002 18:45,1.137,36.88,"024","Digital Archive","Series used : 730120SG",""
04/05/2003 05:15,1.189,39.60,"024","Digital Archive","Series used : 730120SG",""
26/12/2003 17:00,1.482,57.76,"024","Digital Archive","Series used : 730120SG",""
31/01/2004 19:15,1.253,43.13,"024","Digital Archive","Series used : 730120SG",""
03/02/2004 10:45,2.042,109.00,"024","Digital Archive","Series used : 730120SG",""
13/09/2004 02:45,1.261,43.59,"024","Digital Archive","Series used : 730120SG",""
04/10/2004 08:15,1.172,38.69,"024","Digital Archive","Series used : 730120SG",""
27/12/2004 23:15,1.180,39.12,"024","Digital Archive","Series used : 730120SG",""
08/01/2005 01:30,2.155,122.50,"024","Digital Archive","Series used : 730120SG",""
10/01/2005 00:15,1.357,49.38,"024","Digital Archive","Series used : 730120SG",""
24/10/2005 14:45,1.427,53.95,"024","Digital Archive","Series used : 730120SG",""
04/11/2005 09:30,1.115,35.78,"024","Digital Archive","Series used : 730120SG",""
06/11/2005 10:45,1.175,38.85,"024","Digital Archive","Series used : 730120SG",""
11/01/2006 03:45,1.458,56.07,"024","Digital Archive","Series used : 730120SG",""
02/09/2006 15:30,1.282,44.81,"024","Digital Archive","Series used : 730120SG",""
20/11/2006 04:15,1.118,35.93,"024","Digital Archive","",""
08/12/2006 00:45,1.111,35.58,"024","Digital Archive","",""
11/12/2006 05:45,1.486,58.04,"024","Digital Archive","",""
14/12/2006 06:45,1.374,50.46,"024","Digital Archive","",""
09/01/2007 01:00,1.090,34.56,"024","Digital Archive","",""
11/01/2007 07:15,1.256,43.30,"024","Digital Archive","",""
24/04/2007 00:00,1.096,34.85,"024","Digital Archive","",""
28/12/2007 05:45,1.546,62.43,"024","Digital Archive","",""
10/01/2008 12:15,1.326,47.45,"024","Digital Archive","",""
18/01/2008 19:15,1.139,36.99,"024","Digital Archive","",""
06/09/2008 10:45,1.122,36.13,"024","Digital Archive","",""
04/10/2008 19:15,1.333,47.88,"024","Digital Archive","",""
10/10/2008 21:00,1.439,54.76,"024","Digital Archive","",""
20/10/2008 04:15,1.086,34.36,"024","Digital Archive","",""
23/10/2008 21:45,1.826,86.32,"024","Digital Archive","",""
25/10/2008 20:00,1.864,90.02,"024","Digital Archive","",""
19/12/2008 21:30,1.337,48.13,"024","Digital Archive","",""
12/01/2009 02:15,1.924,96.11,"024","Digital Archive","",""
22/01/2009 07:30,1.221,41.34,"024","Digital Archive","",""
