"NAME:","Duddon at Duddon Hall"
"NUMBER:","74001"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
13/01/1968 00:00,1.610,91.40,"5b","FSR","",""
18/01/1968 00:00,1.510,79.10,"5b","FSR","",""
03/07/1968 10:00,1.570,86.33,"5b","Mfiche","",""
02/09/1968 17:30,1.585,88.23,"5b","Mfiche","",""
01/10/1968 09:00,1.920,135.58,"5b","FSR","",""
02/10/1968 00:00,1.560,85.13,"5b","FSR","",""
21/01/1969 02:00,1.783,114.93,"5b","Mfiche","",""
02/11/1969 00:00,1.390,65.58,"5b","FSR","",""
14/12/1969 10:30,1.676,100.09,"5b","Mfiche","",""
22/12/1969 00:00,1.646,96.05,"5b","Mfiche","",""
21/01/1970 00:00,1.370,63.46,"5b","FSR","",""
02/02/1970 00:00,1.615,92.09,"5b","Mfiche","",""
19/02/1970 21:30,1.402,66.88,"5b","Mfiche","",""
30/10/1970 19:30,1.527,81.13,"5b","Mfiche","",""
23/11/1970 20:30,1.585,88.23,"5b","Mfiche","",""
21/11/1971 06:30,1.463,73.65,"5b","Mfiche","",""
19/01/1972 03:30,2.012,150.43,"5b","Mfiche","",""
04/07/1972 20:00,1.494,77.16,"5b","Mfiche","",""
01/12/1972 10:00,1.509,78.95,"5b","Mfiche","",""
11/12/1972 23:00,1.585,88.23,"5b","Mfiche","",""
13/12/1972 03:30,1.615,92.09,"5b","Mfiche","",""
04/04/1973 06:30,1.494,77.16,"5b","Mfiche","",""
15/12/1973 23:30,1.585,88.23,"5b","Mfiche","",""
07/09/1974 12:30,1.463,73.65,"5b","Mfiche","",""
20/01/1975 00:00,1.524,80.77,"5b","Mfiche","",""
22/01/1975 09:00,1.585,88.23,"5b","Mfiche","",""
25/01/1975 07:30,1.707,104.22,"5b","Mfiche","",""
31/01/1975 06:00,1.615,92.09,"5b","Mfiche","",""
21/07/1975 22:00,1.554,84.45,"5b","Mfiche","",""
27/10/1975 20:00,1.433,70.22,"5b","Mfiche","",""
09/01/1976 16:00,1.524,80.77,"5b","Mfiche","",""
21/09/1976 22:30,1.208,47.63,"5b","Digital Archive","","AMAX ONLY"
28/11/1976 04:30,1.258,52.26,"5b","Digital Archive","","AMAX ONLY"
03/02/1977 08:30,1.488,76.52,"5b","Digital Archive","",""
31/03/1977 15:30,1.435,70.49,"5b","Digital Archive","",""
04/09/1977 15:30,1.286,54.95,"5b","Digital Archive","",""
