"NAME:","Greta at Low Briery"
"NUMBER:","75009"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
14/08/1971 15:00,1.498,57.76,"5b","Mfiche","",""
05/11/1971 09:00,1.500,57.98,"5b","Mfiche","",""
12/01/1972 19:30,1.500,57.98,"5b","Mfiche","",""
19/01/1972 04:00,1.495,57.43,"5b","Mfiche","",""
09/11/1972 20:30,1.680,79.85,"5b","Mfiche","",""
21/11/1972 15:30,1.590,68.37,"5b","Mfiche","",""
30/11/1972 01:30,1.550,63.62,"5b","Mfiche","",""
01/12/1972 11:00,1.650,75.90,"5b","Mfiche","",""
11/12/1972 22:30,1.700,82.55,"5b","Mfiche","",""
05/01/1974 03:30,1.502,58.20,"5b","Mfiche","",""
30/01/1974 07:00,1.505,58.53,"5b","Mfiche","",""
02/02/1974 23:00,1.505,58.53,"5b","Mfiche","",""
10/11/1974 00:00,1.700,82.55,"5b","NRFA","",""
11/11/1974 02:00,1.520,60.20,"5b","Mfiche","",""
25/11/1974 02:00,1.650,75.90,"5b","Mfiche","",""
29/12/1974 05:00,1.500,57.98,"5b","Mfiche","",""
14/01/1975 14:00,1.645,75.25,"5b","Mfiche","",""
22/01/1975 13:00,1.650,75.90,"5b","Mfiche","",""
25/01/1975 12:00,1.600,69.59,"5b","Mfiche","",""
26/01/1975 20:00,1.550,63.62,"5b","Mfiche","",""
31/01/1975 08:00,1.575,66.56,"5b","Mfiche","",""
02/01/1976 20:45,1.537,62.12,"5b","Digital Archive","Non-independent peak removed",""
25/01/1977 19:00,1.360,43.88,"5b","Digital Archive","",""
03/02/1977 06:00,1.547,63.27,"5b","Digital Archive","",""
31/10/1977 08:00,1.876,108.82,"5b","Digital Archive","",""
07/11/1977 09:45,1.394,47.08,"5b","Digital Archive","",""
23/11/1977 16:45,1.340,42.06,"5b","Digital Archive","",""
24/12/1977 04:00,1.534,61.78,"5b","Digital Archive","",""
15/03/1978 06:00,1.710,83.93,"5b","Digital Archive","",""
13/09/1978 22:45,1.534,61.78,"5b","Digital Archive","",""
14/11/1978 18:00,1.603,69.96,"5b","Digital Archive","Peak examined by eye and appears reasonable.",""
15/11/1978 16:15,2.006,131.20,"5b","Digital Archive","Peak examined by eye and appears reasonable.",""
18/11/1978 02:30,1.355,43.42,"5b","Digital Archive","",""
27/12/1978 21:30,1.348,42.78,"5b","Digital Archive","",""
07/01/1979 04:45,1.452,52.87,"5b","Digital Archive","",""
03/03/1979 05:15,1.353,43.24,"5b","Digital Archive","",""
08/03/1979 23:30,1.546,63.16,"5b","Digital Archive","",""
26/11/1979 07:30,1.942,119.86,"5b","Digital Archive","Peak examined by eye and appears reasonable.",""
02/12/1979 18:30,1.404,48.05,"5b","Digital Archive","",""
04/12/1979 23:30,1.521,60.31,"5b","Digital Archive","",""
10/12/1979 08:15,1.462,53.91,"5b","Digital Archive","",""
27/12/1979 09:30,1.758,90.71,"5b","Digital Archive","Non-independent peak removed B",""
06/10/1980 17:45,1.572,66.21,"5b","Digital Archive","",""
23/10/1980 20:30,1.620,72.07,"5b","Digital Archive","",""
27/10/1980 11:00,1.399,47.56,"5b","Digital Archive","",""
17/11/1980 07:00,1.404,48.05,"5b","Digital Archive","",""
20/11/1980 18:15,1.603,69.96,"5b","Digital Archive","",""
11/12/1980 04:00,1.669,78.39,"5b","Digital Archive","",""
13/12/1980 12:45,1.715,84.62,"5b","Digital Archive","",""
14/12/1980 13:30,1.567,65.61,"5b","Digital Archive","",""
02/01/1981 17:00,1.669,78.39,"5b","Digital Archive","",""
14/01/1981 10:00,1.381,45.84,"5b","Digital Archive","",""
24/03/1981 00:00,1.473,55.07,"5b","Digital Archive","",""
20/09/1981 02:15,1.513,59.42,"5b","Digital Archive","",""
02/10/1981 01:00,1.527,60.99,"5b","Digital Archive","",""
09/10/1981 03:30,1.508,58.86,"5b","Digital Archive","",""
02/11/1981 01:00,1.396,47.27,"5b","Digital Archive","",""
23/11/1981 13:30,1.993,128.85,"5b","Digital Archive","Peak examined by eye and appears reasonable.",""
27/11/1981 03:30,1.639,74.48,"5b","Digital Archive","",""
03/01/1982 07:00,1.797,96.47,"5b","Digital Archive","",""
04/01/1982 07:45,1.751,89.70,"5b","Digital Archive","",""
10/02/1982 03:00,1.491,57.00,"5b","Digital Archive","",""
13/02/1982 00:15,1.371,44.90,"5b","Digital Archive","",""
03/03/1982 00:30,1.393,46.98,"5b","Digital Archive","",""
09/03/1982 23:45,1.764,91.58,"5b","Digital Archive","",""
12/03/1982 07:30,1.600,69.59,"5b","Digital Archive","",""
24/09/1982 19:30,1.442,51.84,"5b","Digital Archive","",""
06/10/1982 09:00,1.485,56.35,"5b","Digital Archive","",""
20/10/1982 12:45,1.383,46.03,"5b","Digital Archive","",""
12/11/1982 05:45,1.435,51.13,"5b","Digital Archive","",""
21/11/1982 08:15,1.376,45.37,"5b","Digital Archive","",""
23/11/1982 07:30,1.458,53.49,"5b","Digital Archive","Non-independent peak removed A",""
15/12/1982 17:30,1.620,72.07,"5b","Digital Archive","",""
19/12/1982 13:45,2.167,162.63,"5b","Digital Archive","Peak examined by eye and appears reasonable.",""
20/12/1982 20:45,1.398,47.47,"5b","Digital Archive","Peak examined by eye and appears reasonable.",""
03/01/1983 03:30,1.529,61.21,"5b","Digital Archive","",""
06/01/1983 08:30,1.519,60.09,"5b","Digital Archive","",""
10/05/1983 17:45,1.500,57.98,"5b","Digital Archive","",""
12/10/1983 12:30,1.375,45.27,"5b","Digital Archive","",""
15/10/1983 13:45,1.546,63.16,"5b","Digital Archive","",""
