"NAME:","Eden at Warwick Bridge"
"NUMBER:","76002"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
27/12/1959 11:45,3.103,297.02,"79a","Hydrolog","",""
22/01/1960 01:15,3.744,406.52,"79b","Hydrolog","",""
02/11/1960 21:45,3.387,339.24,"79a","Hydrolog","",""
26/12/1960 13:00,3.573,373.54,"79b","Hydrolog","",""
11/12/1961 17:30,3.227,315.27,"79a","Hydrolog","",""
11/01/1962 13:00,3.365,335.92,"79a","Hydrolog","",""
16/01/1962 11:45,4.146,499.51,"79c","Hydrolog","",""
02/04/1962 08:30,3.425,345.00,"79a","Hydrolog","",""
26/08/1962 23:15,3.075,292.94,"79a","Hydrolog","",""
06/03/1963 19:00,3.454,347.22,"79b","Hydrolog","",""
12/11/1963 01:30,3.342,332.45,"79a","Hydrolog","",""
18/11/1963 19:00,3.297,325.70,"79a","Hydrolog","",""
21/11/1963 01:00,3.783,413.42,"79b","Hydrolog","",""
30/12/1963 03:00,3.065,291.49,"79a","Hydrolog","",""
09/12/1964 11:45,4.883,719.13,"79c","Hydrolog","",""
12/12/1964 17:00,3.819,419.62,"79b","Hydrolog","",""
11/01/1965 10:00,4.173,507.04,"79c","Hydrolog","",""
09/12/1965 20:45,3.354,334.26,"79a","Hydrolog","",""
05/02/1966 22:30,3.068,291.93,"79a","Hydrolog","",""
25/02/1966 22:15,3.243,317.65,"79a","Hydrolog","",""
04/09/1966 00:00,3.320,329.14,"79a","Not Specified","",""
04/10/1966 09:30,2.792,252.59,"79a","Digital Archive","",""
02/12/1966 06:45,3.496,356.90,"79b","Digital Archive","",""
18/12/1966 14:45,2.355,193.61,"79a","Digital Archive","",""
28/02/1967 00:00,4.340,554.51,"79c","Not Specified","",""
31/07/1967 07:15,2.292,185.47,"79a","Digital Archive","",""
17/10/1967 00:00,4.570,622.36,"79c","Not Specified","",""
23/12/1967 13:15,3.082,293.96,"79a","Digital Archive","",""
23/03/1968 16:00,5.930,1103.92,"79d","CEH file","",""
12/09/1968 00:00,3.420,344.24,"79a","Not Specified","",""
13/10/1968 11:45,2.020,151.43,"79a","Digital Archive","Non-independent peak removed B",""
01/11/1968 08:45,3.801,416.54,"79b","Digital Archive","",""
20/12/1968 23:15,2.573,222.51,"79a","Digital Archive","",""
23/12/1968 03:30,2.311,187.91,"79a","Digital Archive","",""
21/01/1969 10:45,2.358,194.00,"79a","Digital Archive","",""
03/06/1969 12:15,2.198,173.49,"79a","Digital Archive","",""
04/11/1969 11:45,2.029,152.52,"79a","Digital Archive","",""
12/11/1969 08:30,3.138,302.14,"79a","Digital Archive","",""
14/12/1969 18:30,3.017,284.54,"79a","Digital Archive","",""
22/01/1970 05:45,2.088,159.76,"79a","Digital Archive","",""
02/02/1970 10:15,2.355,193.61,"79a","Digital Archive","",""
20/02/1970 06:30,3.085,294.40,"79a","Digital Archive","",""
22/02/1970 07:15,2.553,219.81,"79a","Digital Archive","",""
23/04/1970 15:15,2.687,238.04,"79a","Digital Archive","",""
10/09/1970 20:30,2.489,211.24,"79a","Digital Archive","",""
01/11/1970 05:15,2.608,227.24,"79a","Digital Archive","Non-independent peak removed B",""
03/11/1970 22:15,2.197,173.37,"79a","Digital Archive","",""
24/11/1970 08:30,3.540,366.57,"79b","Digital Archive","",""
07/01/1971 18:15,2.855,261.43,"79a","Digital Archive","",""
13/02/1971 07:30,2.721,242.73,"79a","Digital Archive","",""
15/02/1971 10:45,2.121,163.85,"79a","Digital Archive","",""
14/08/1971 14:45,3.009,283.39,"79a","Digital Archive","",""
19/10/1971 19:30,2.344,192.18,"79a","Digital Archive","",""
13/01/1972 02:15,2.015,150.82,"79a","Digital Archive","",""
19/01/1972 12:30,2.872,263.83,"79a","Digital Archive","",""
27/01/1972 04:30,2.362,194.52,"79a","Digital Archive","",""
18/06/1972 14:45,1.998,148.76,"79a","Digital Archive","",""
05/07/1972 07:30,2.125,164.35,"79a","Digital Archive","",""
10/11/1972 05:00,3.186,309.20,"79a","Digital Archive","",""
21/11/1972 18:45,2.055,155.70,"79a","Digital Archive","",""
01/12/1972 20:15,3.108,297.75,"79a","Digital Archive","",""
05/12/1972 20:45,2.763,248.55,"79a","Digital Archive","",""
12/12/1972 10:45,3.954,447.14,"79c","Digital Archive","Non-independent peak removed A",""
06/08/1973 17:00,2.673,236.12,"79a","Digital Archive","",""
05/01/1974 11:15,2.000,149.00,"79a","Digital Archive","",""
11/01/1974 01:15,2.394,198.70,"79a","Digital Archive","",""
15/01/1974 14:00,2.617,228.47,"79a","Digital Archive","",""
28/01/1974 18:30,2.526,216.19,"79a","Digital Archive","",""
