"NAME:","Lowther at Eamont Bridge"
"NUMBER:","76004"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
26/08/1962 00:00,2.150,109.08,"15c","CEH file","",""
29/09/1962 00:00,1.920,81.63,"15c","CEH file","",""
29/10/1962 00:00,1.280,30.65,"15a","CEH file","",""
01/11/1962 00:00,1.750,65.12,"15c","CEH file","",""
08/12/1962 00:00,1.830,72.52,"15c","CEH file","",""
16/01/1963 00:00,0.470,2.34,"15a","CEH file","",""
18/02/1963 00:00,0.440,1.95,"15a","CEH file","",""
05/03/1963 00:00,2.100,102.57,"15c","CEH file","",""
14/04/1963 00:00,1.600,52.38,"15a","CEH file","",""
12/05/1963 00:00,1.280,30.65,"15a","CEH file","",""
25/06/1963 00:00,0.910,13.25,"15a","CEH file","",""
14/07/1963 00:00,0.750,8.13,"15a","CEH file","",""
26/08/1963 00:00,0.980,15.94,"15a","CEH file","",""
26/09/1963 00:00,1.570,50.07,"15a","CEH file","",""
08/10/1963 00:00,1.340,34.24,"15a","CEH file","",""
12/11/1963 19:30,1.798,69.51,"15c","Mfiche","",""
18/11/1963 13:30,1.981,88.32,"15c","Mfiche","",""
21/11/1963 17:00,2.240,121.67,"15c","Mfiche","",""
30/12/1963 20:00,1.996,90.06,"15c","Mfiche","",""
07/10/1964 09:00,2.164,110.97,"15c","Mfiche","",""
07/12/1964 21:00,2.560,175.93,"15c","Mfiche","",""
09/12/1964 03:00,2.652,194.51,"15c","Mfiche","",""
12/12/1964 09:30,2.164,110.97,"15c","Mfiche","",""
11/01/1965 01:00,2.530,170.06,"15c","Mfiche","",""
13/01/1965 23:00,1.951,84.93,"15c","Mfiche","",""
06/02/1965 00:00,0.530,3.26,"15a","FSR","",""
26/03/1965 00:00,1.070,19.80,"15a","FSR","",""
11/04/1965 00:00,1.160,24.13,"15a","FSR","",""
07/05/1965 00:00,0.550,3.61,"15a","FSR","",""
24/06/1965 00:00,1.510,45.62,"15a","FSR","",""
26/07/1965 00:00,0.730,7.59,"15a","FSR","",""
13/08/1965 00:00,1.130,22.63,"15a","FSR","",""
15/09/1965 00:00,1.370,36.11,"15a","FSR","",""
03/10/1965 00:00,1.620,53.95,"15a","FSR","",""
01/11/1965 00:00,1.460,42.08,"15a","FSR","",""
09/12/1965 00:00,1.810,70.61,"15c","FSR","",""
06/01/1966 00:00,1.400,38.05,"15a","FSR","",""
05/02/1966 00:00,2.040,95.16,"15c","FSR","",""
02/03/1966 00:00,1.680,61.19,"15b","FSR","",""
22/04/1966 00:00,1.130,22.63,"15a","FSR","",""
22/05/1966 00:00,1.280,30.65,"15a","FSR","",""
04/06/1966 00:00,0.670,6.08,"15a","FSR","",""
01/07/1966 00:00,0.410,1.59,"15a","FSR","",""
20/08/1966 00:00,1.690,62.13,"15b","FSR","",""
04/09/1966 00:00,2.100,102.57,"15c","FSR","",""
03/10/1966 00:00,1.740,64.24,"15c","FSR","",""
29/11/1966 00:00,1.620,53.95,"15a","FSR","",""
01/12/1966 00:00,1.870,76.46,"15c","FSR","",""
29/01/1967 00:00,1.170,24.64,"15a","FSR","",""
27/02/1967 00:00,2.680,200.55,"15c","FSR","",""
10/03/1967 00:00,1.300,31.82,"15a","FSR","",""
02/04/1967 00:00,0.820,10.20,"15a","FSR","",""
21/05/1967 00:00,1.360,35.48,"15a","FSR","",""
22/06/1967 00:00,0.960,15.14,"15a","FSR","",""
30/07/1967 00:00,1.340,34.24,"15a","FSR","",""
18/08/1967 00:00,1.130,22.63,"15a","FSR","",""
05/09/1967 00:00,2.000,90.46,"15c","FSR","",""
14/10/1967 00:00,2.290,129.09,"15c","FSR","",""
01/11/1967 00:00,0.960,15.14,"15a","FSR","",""
22/12/1967 00:00,1.710,61.65,"15b","FSR","",""
14/01/1968 00:00,1.190,25.68,"15a","FSR","",""
23/02/1968 00:00,0.430,1.82,"15a","FSR","",""
23/03/1968 00:00,2.800,229.84,"15d","FSR","",""
01/04/1968 00:00,1.680,61.19,"15b","FSR","",""
10/05/1968 00:00,0.700,6.81,"15a","FSR","",""
27/06/1968 00:00,0.470,2.34,"15a","FSR","",""
02/07/1968 00:00,1.370,36.11,"15a","FSR","",""
21/08/1968 00:00,0.350,1.00,"15a","FSR","",""
28/09/1968 00:00,1.510,45.62,"15a","FSR","",""
31/10/1968 00:00,1.950,84.86,"15c","FSR","",""
01/11/1968 00:00,1.780,67.82,"15c","FSR","",""
20/12/1968 00:00,1.470,42.78,"15a","FSR","",""
20/01/1969 00:00,1.170,24.64,"15a","FSR","",""
01/02/1969 00:00,0.800,9.58,"15a","FSR","",""
31/03/1969 00:00,0.610,4.75,"15a","FSR","",""
13/04/1969 00:00,0.720,7.32,"15a","FSR","",""
08/05/1969 00:00,0.750,8.13,"15a","FSR","",""
02/06/1969 00:00,0.750,8.13,"15a","FSR","",""
18/07/1969 00:00,0.450,2.07,"15a","FSR","",""
04/08/1969 00:00,0.400,1.48,"15a","FSR","",""
11/09/1969 00:00,1.050,18.90,"15a","FSR","",""
14/12/1969 00:00,1.780,67.82,"15c","FSR","",""
