"NAME:","Petteril at Harraby Green"
"NUMBER:","76010"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
28/10/1970 21:00,0.850,18.91,"16b","Mfiche","",""
26/11/1970 06:00,0.850,18.91,"16b","Mfiche","",""
13/02/1971 09:00,0.830,18.05,"16b","Mfiche","",""
15/08/1971 00:00,1.050,28.46,"16b","Mfiche","",""
27/01/1972 02:30,0.840,18.48,"16b","Mfiche","",""
02/11/1972 00:00,0.860,19.35,"16b","Mfiche","",""
12/12/1972 11:00,1.100,31.10,"16b","Mfiche","",""
11/01/1974 05:00,0.820,17.62,"16b","Mfiche","",""
28/01/1974 18:30,0.840,18.48,"16b","Mfiche","",""
03/02/1974 02:00,0.980,24.93,"16b","Mfiche","",""
11/02/1974 20:30,0.830,18.05,"16b","Mfiche","",""
11/11/1974 14:30,0.860,19.35,"16b","Mfiche","",""
25/11/1974 13:30,1.020,26.93,"16b","Mfiche","",""
22/12/1974 15:30,1.030,27.43,"16b","Mfiche","",""
29/12/1974 17:30,1.010,26.42,"16b","Mfiche","",""
16/01/1975 04:00,0.810,17.20,"16b","Mfiche","",""
23/01/1975 01:00,1.100,31.10,"16b","Mfiche","",""
25/01/1975 17:00,0.930,22.54,"16b","Mfiche","",""
27/01/1975 15:00,1.120,32.18,"16b","Mfiche","",""
31/01/1975 19:00,0.870,19.79,"16b","Mfiche","",""
31/12/1975 18:30,0.252,2.24,"16a","Digital Archive","","AMAX ONLY"
03/01/1976 08:00,0.939,22.96,"16b","Digital Archive","",""
14/04/1976 14:45,0.788,16.29,"16b","Digital Archive","",""
08/12/1976 04:15,0.716,13.56,"16a","Digital Archive","",""
26/01/1977 07:45,0.898,21.06,"16b","Digital Archive","",""
03/02/1977 17:00,0.760,15.16,"16b","Digital Archive","",""
31/10/1977 19:15,0.790,16.37,"16b","Digital Archive","",""
12/11/1977 09:45,0.745,14.57,"16b","Digital Archive","",""
12/12/1977 06:45,0.818,17.54,"16b","Digital Archive","",""
24/12/1977 06:15,0.815,17.41,"16b","Digital Archive","",""
03/01/1978 15:30,0.739,14.34,"16b","Digital Archive","",""
28/01/1978 14:00,0.870,19.79,"16b","Digital Archive","",""
15/03/1978 15:15,0.782,16.05,"16b","Digital Archive","",""
16/11/1978 04:45,1.060,28.98,"16b","Digital Archive","",""
08/12/1978 12:00,0.791,16.42,"16b","Digital Archive","",""
09/03/1979 11:45,0.911,21.65,"16b","Digital Archive","",""
26/11/1979 17:30,1.396,48.67,"16b","Digital Archive","Peak examined by eye and appears reasonable.",""
05/12/1979 08:00,0.808,17.12,"16b","Digital Archive","",""
11/12/1979 10:30,0.749,14.73,"16b","Digital Archive","",""
27/12/1979 11:00,1.041,28.00,"16b","Digital Archive","",""
04/01/1980 06:15,0.746,14.61,"16b","Digital Archive","",""
23/01/1980 13:15,0.894,20.87,"16b","Digital Archive","",""
09/02/1980 23:00,0.836,18.31,"16b","Digital Archive","",""
30/07/1980 17:45,0.963,24.11,"16b","Digital Archive","",""
07/10/1980 05:45,0.711,13.40,"16a","Digital Archive","",""
24/10/1980 08:30,0.959,23.92,"16b","Digital Archive","",""
27/10/1980 17:30,0.813,17.33,"16b","Digital Archive","",""
11/12/1980 14:15,0.805,16.99,"16b","Digital Archive","",""
13/12/1980 14:30,0.788,16.29,"16b","Digital Archive","",""
17/01/1981 16:00,0.843,18.61,"16b","Digital Archive","",""
03/02/1981 12:30,1.126,32.51,"16b","Digital Archive","",""
23/03/1981 20:30,0.759,15.12,"16b","Digital Archive","Non-independent peak removed B",""
25/03/1981 21:45,0.737,14.26,"16b","Digital Archive","",""
02/10/1981 11:00,1.146,33.61,"16b","Digital Archive","",""
09/10/1981 20:45,1.039,27.89,"16b","Digital Archive","",""
23/11/1981 23:30,1.248,39.48,"16b","Digital Archive","",""
27/11/1981 14:15,0.833,18.18,"16b","Digital Archive","",""
04/01/1982 15:00,1.327,44.29,"16b","Digital Archive","Peak examined by eye and appears reasonable.",""
10/02/1982 10:30,0.804,16.95,"16b","Digital Archive","",""
10/03/1982 09:45,0.742,14.45,"16b","Digital Archive","",""
12/03/1982 18:30,0.916,21.88,"16b","Digital Archive","",""
21/11/1982 18:45,0.799,16.75,"16b","Digital Archive","",""
23/11/1982 21:00,0.901,21.19,"16b","Digital Archive","",""
08/12/1982 16:30,0.837,18.35,"16b","Digital Archive","",""
16/12/1982 03:30,0.800,16.79,"16b","Digital Archive","",""
20/12/1982 03:30,1.011,26.47,"16b","Digital Archive","",""
03/01/1983 15:00,0.746,14.61,"16b","Digital Archive","",""
06/01/1983 14:15,0.977,24.79,"16b","Digital Archive","",""
22/03/1983 15:00,0.869,19.75,"16b","Digital Archive","",""
11/05/1983 02:45,0.787,16.25,"16b","Digital Archive","",""
13/05/1983 20:30,0.880,20.24,"16b","Digital Archive","",""
17/10/1983 02:45,0.740,14.38,"16b","Digital Archive","",""
24/12/1983 16:30,0.787,16.25,"16b","Digital Archive","",""
03/01/1984 05:30,0.734,14.14,"16b","Digital Archive","",""
11/01/1984 21:00,0.742,14.45,"16b","Digital Archive","",""
13/01/1984 14:15,0.913,21.74,"16b","Digital Archive","",""
17/01/1984 04:30,0.883,20.38,"16b","Digital Archive","",""
04/11/1984 00:30,1.537,59.46,"16c","Digital Archive","Peak examined by eye and appears reasonable.",""
10/11/1984 07:45,0.857,19.22,"16b","Digital Archive","",""
12/11/1984 18:15,0.778,15.88,"16b","Digital Archive","",""
28/11/1984 11:15,0.848,18.83,"16b","Digital Archive","",""
02/12/1984 05:30,0.797,16.66,"16b","Digital Archive","",""
12/04/1985 01:00,0.720,13.69,"16a","Digital Archive","",""
16/08/1985 07:00,0.722,13.75,"16a","Digital Archive","",""
08/09/1985 03:45,1.003,26.07,"16b","Digital Archive","",""
22/09/1985 04:00,1.440,51.56,"16b","Digital Archive","Peak examined by eye and appears reasonable.",""
09/11/1985 14:15,0.771,15.60,"16b","Digital Archive","",""
21/12/1985 18:30,1.495,55.60,"16c","Digital Archive","Peak examined by eye and appears reasonable.",""
10/01/1986 15:45,0.740,14.38,"16b","Digital Archive","",""
22/01/1986 23:15,1.075,29.77,"16b","Digital Archive","",""
23/03/1986 08:15,0.794,16.54,"16b","Digital Archive","",""
25/10/1986 17:15,0.691,12.78,"16a","Digital Archive","",""
23/11/1986 15:30,0.703,13.15,"16a","Digital Archive","",""
26/11/1986 02:15,0.788,16.29,"16b","Digital Archive","",""
05/12/1986 18:00,0.947,23.34,"16b","Digital Archive","",""
09/12/1986 00:15,0.816,17.46,"16b","Digital Archive","",""
30/12/1986 21:45,0.851,18.96,"16b","Digital Archive","",""
01/01/1987 23:30,0.751,14.81,"16b","Digital Archive","",""
04/01/1987 21:45,0.699,13.03,"16a","Digital Archive","",""
10/02/1987 09:15,0.890,20.69,"16b","Digital Archive","",""
28/03/1987 05:45,1.541,59.84,"16c","Digital Archive","Peak examined by eye and appears reasonable.",""
01/04/1987 17:45,0.787,16.25,"16b","Digital Archive","",""
18/07/1987 22:15,0.777,15.84,"16b","Digital Archive","",""
16/10/1987 12:30,0.847,18.78,"16b","Digital Archive","",""
19/10/1987 02:30,1.169,34.90,"16b","Digital Archive","",""
13/11/1987 06:00,0.734,14.14,"16b","Digital Archive","",""
28/12/1987 00:15,0.769,15.52,"16b","Digital Archive","Non-independent peak removed A",""
03/01/1988 09:00,0.995,25.67,"16b","Digital Archive","",""
06/01/1988 22:30,1.358,46.24,"16b","Digital Archive","Peak examined by eye and appears reasonable.",""
24/01/1988 14:30,0.832,18.14,"16b","Digital Archive","",""
02/02/1988 00:00,1.371,47.06,"16b","Digital Archive","Peak examined by eye and appears reasonable.",""
10/02/1988 03:00,0.975,24.69,"16b","Digital Archive","",""
16/03/1988 04:45,0.726,13.88,"16a","Digital Archive","",""
29/07/1988 04:15,0.986,25.23,"16b","Digital Archive","",""
23/12/1988 10:00,0.896,20.96,"16b","Digital Archive","",""
14/01/1989 07:45,0.709,13.34,"16a","Digital Archive","",""
05/02/1989 04:30,1.006,26.22,"16b","Digital Archive","",""
10/03/1989 10:30,0.697,12.97,"16a","Digital Archive","",""
24/03/1989 10:00,0.790,16.37,"16b","Digital Archive","",""
12/04/1989 07:15,0.698,13.00,"16a","Digital Archive","",""
25/12/1989 06:30,0.871,19.84,"16b","Digital Archive","",""
23/01/1990 19:00,1.003,26.07,"16b","Digital Archive","",""
25/01/1990 21:30,0.894,20.87,"16b","Digital Archive","",""
31/01/1990 10:45,0.800,16.79,"16b","Digital Archive","",""
05/02/1990 02:45,1.039,27.89,"16b","Digital Archive","",""
08/02/1990 09:15,1.031,27.49,"16b","Digital Archive","",""
12/02/1990 07:30,0.723,13.78,"16a","Digital Archive","",""
14/02/1990 01:00,0.763,15.28,"16b","Digital Archive","",""
20/02/1990 00:15,0.991,25.48,"16b","Digital Archive","",""
26/02/1990 15:00,0.875,20.02,"16b","Digital Archive","Non-independent peak removed",""
27/12/1990 02:00,0.885,20.47,"16b","Digital Archive","Non-independent peak removed B",""
29/12/1990 04:30,1.088,30.46,"16b","Digital Archive","",""
02/01/1991 06:00,1.256,39.95,"16b","Digital Archive","",""
