"NAME:","Coal Burn at Coalburn"
"NUMBER:","76011"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
21/01/1967 00:00,,0.57,"1a","FSR","",""
27/02/1967 00:00,,2.19,"1a","FSR","",""
09/03/1967 00:00,,0.38,"1a","FSR","",""
02/04/1967 00:00,,0.25,"1a","FSR","",""
10/05/1967 00:00,,0.50,"1a","FSR","",""
22/06/1967 00:00,,0.70,"1a","FSR","",""
14/07/1967 00:00,,0.71,"1a","FSR","",""
11/08/1967 00:00,,1.05,"1a","FSR","",""
02/09/1967 00:00,,0.70,"1a","FSR","",""
08/10/1967 00:00,,2.70,"1a","FSR","",""
16/10/1967 00:00,,1.79,"1a","FSR","",""
01/11/1967 00:00,,1.36,"1a","FSR","",""
22/12/1967 00:00,,0.83,"1a","FSR","",""
29/01/1968 00:00,,0.73,"1a","FSR","",""
12/02/1968 00:00,,0.09,"1a","FSR","",""
23/03/1968 00:00,,2.17,"1a","FSR","",""
01/04/1968 00:00,,1.21,"1a","FSR","",""
03/05/1968 00:00,,0.32,"1a","FSR","",""
23/06/1968 00:00,,0.19,"1a","FSR","",""
04/07/1968 00:00,,0.39,"1a","FSR","",""
13/08/1968 00:00,,0.84,"1a","FSR","",""
13/09/1968 00:00,,1.37,"1a","FSR","",""
31/10/1968 00:00,,0.80,"1a","FSR","",""
01/11/1968 00:00,,0.32,"1a","FSR","",""
20/12/1968 00:00,,1.09,"1a","FSR","",""
20/01/1969 00:00,,0.56,"1a","FSR","",""
23/02/1969 00:00,,0.20,"1a","FSR","",""
29/03/1969 00:00,,0.28,"1a","FSR","",""
11/04/1969 00:00,,0.52,"1a","FSR","",""
31/05/1969 00:00,,0.78,"1a","FSR","",""
02/06/1969 00:00,,0.67,"1a","FSR","",""
18/07/1969 00:00,,0.07,"1a","FSR","",""
20/08/1969 00:00,,2.04,"1a","CEH","Punch tape peak",""
11/09/1969 00:00,,0.54,"1a","FSR","",""
02/10/1969 00:00,,0.15,"1a","FSR","",""
18/11/1969 00:00,,1.24,"1a","FSR","",""
21/01/1970 00:00,,0.48,"1a","FSR","",""
24/02/1970 00:00,,1.61,"1a","FSR","",""
30/03/1970 00:00,,0.75,"1a","FSR","",""
22/04/1970 00:00,,0.74,"1a","FSR","",""
10/05/1970 00:00,,0.04,"1a","FSR","",""
30/06/1970 00:00,,0.01,"1a","FSR","",""
20/08/1970 00:00,,0.60,"1a","FSR","",""
16/09/1970 00:00,,0.98,"1a","FSR","",""
31/10/1970 00:00,,2.13,"1a","FSR","",""
03/11/1970 00:00,,0.75,"1a","FSR","",""
02/12/1970 00:00,,0.56,"1a","FSR","",""
12/02/1971 00:00,,0.88,"1a","FSR","",""
18/03/1971 00:00,,0.50,"1a","FSR","",""
23/04/1971 00:00,,0.12,"1a","FSR","",""
24/05/1971 00:00,,0.07,"1a","FSR","",""
21/06/1971 00:00,,0.13,"1a","FSR","",""
13/08/1971 00:00,,1.36,"1a","WISKI","",""
08/02/1974 01:00,,0.96,"1a","CEH file","",""
26/08/1974 01:00,,1.13,"1a","CEH file","",""
07/09/1974 01:00,,1.08,"1a","CEH file","",""
09/11/1974 01:00,,1.06,"1a","CEH file","",""
11/11/1974 01:00,,1.91,"1a","Chart","",""
24/11/1974 01:00,,1.13,"1a","Chart","",""
21/12/1974 01:00,,1.06,"1a","Chart","",""
22/01/1975 01:00,,1.59,"1a","Chart","",""
25/01/1975 01:00,,1.42,"1a","Chart","",""
30/08/1975 01:00,,6.00,"1a","Chart","Event checked in CEH file. Rainfall of 74mm noted against peak value.",""
24/09/1975 01:00,,1.25,"1a","Chart","",""
27/09/1975 01:00,,1.20,"1a","Chart","",""
02/01/1976 01:00,,2.30,"1a","Chart","",""
20/01/1976 01:00,,1.25,"1a","Chart","",""
23/02/1976 01:00,,1.36,"1a","Chart","",""
24/03/1976 01:00,,0.92,"1a","Chart","",""
15/10/1976 01:00,,1.84,"1a","Chart","",""
25/01/1977 01:00,,1.45,"1a","Chart","",""
06/09/1977 01:00,,1.74,"1a","Chart","",""
12/11/1977 01:00,,1.13,"1a","Chart","",""
24/12/1977 01:00,,1.48,"1a","Chart","",""
11/09/1978 01:00,,1.29,"1a","Chart","",""
13/09/1978 01:00,,1.10,"1a","Chart","",""
23/09/1978 01:00,,1.09,"1a","Chart","",""
28/09/1978 00:00,,1.09,"1a","FSR","",""
15/11/1978 01:00,,1.66,"1a","Chart","",""
07/01/1979 01:00,,1.22,"1a","Chart","",""
27/02/1979 01:00,,1.18,"1a","Chart","",""
02/03/1979 01:00,,0.96,"1a","Chart","",""
08/03/1979 01:00,,1.59,"1a","Chart","",""
23/08/1979 01:00,,1.66,"1a","Chart","",""
25/11/1979 01:00,,1.20,"1a","Chart","",""
26/11/1979 01:00,,2.63,"1a","Chart","",""
02/12/1979 01:00,,1.31,"1a","Chart","",""
26/12/1979 01:00,,1.00,"1a","Chart","",""
27/12/1979 01:00,,1.05,"1a","Chart","",""
09/02/1980 01:00,,1.05,"1a","Chart","",""
07/03/1980 01:00,,1.60,"1a","Chart","",""
08/06/1980 01:00,,1.08,"1a","Chart","",""
12/09/1980 01:00,,1.18,"1a","Chart","",""
14/09/1980 01:00,,1.89,"1a","Chart","",""
06/10/1980 01:00,,1.45,"1a","Chart","",""
14/11/1980 01:00,,0.91,"1a","Chart","",""
17/11/1980 01:00,,1.13,"1a","Chart","",""
21/11/1980 01:00,,1.31,"1a","Chart","",""
24/11/1980 01:00,,1.13,"1a","Chart","",""
12/12/1980 01:00,,0.92,"1a","Chart","",""
07/03/1981 01:00,,1.60,"1a","Chart","",""
11/06/1981 01:00,,1.28,"1a","Chart","",""
13/06/1981 01:00,,1.62,"1a","Chart","",""
20/09/1981 01:00,,0.94,"1a","Chart","",""
24/09/1981 01:00,,1.11,"1a","Chart","",""
27/09/1981 01:00,,1.44,"1a","Chart","",""
23/11/1981 01:00,,1.72,"1a","Chart","",""
26/11/1981 01:00,,1.59,"1a","Chart","",""
12/01/1982 01:00,,1.36,"1a","Chart","",""
10/02/1982 01:00,,1.33,"1a","Chart","",""
02/03/1982 01:00,,1.21,"1a","Chart","",""
07/12/1982 00:00,,0.98,"1a","FSR","",""
08/12/1982 01:00,,1.01,"1a","Chart","",""
15/12/1982 01:00,,1.84,"1a","Chart","",""
19/12/1982 01:00,,1.73,"1a","Chart","",""
12/01/1983 01:00,,1.45,"1a","Chart","",""
08/07/1983 01:00,,1.01,"1a","Chart","",""
06/10/1983 00:00,,0.95,"1a","FSR","",""
08/10/1983 01:00,,1.33,"1a","Chart","",""
09/10/1983 01:00,,0.95,"1a","Chart","",""
16/10/1983 01:00,,0.91,"1a","Chart","",""
09/12/1983 01:00,,0.95,"1a","Chart","",""
24/12/1983 01:00,,1.60,"1a","Chart","",""
16/07/1991 07:00,0.588,2.00,"1b","Digital Archive","","AMAX ONLY"
07/11/1991 20:00,0.783,1.26,"3b","Digital Archive","",""
10/11/1991 20:30,0.856,1.77,"3b","Digital Archive","Peak examined by eye and appears reasonable.",""
18/11/1991 23:45,0.661,0.58,"3b","Digital Archive","",""
19/12/1991 05:15,0.748,1.05,"3b","Digital Archive","",""
21/12/1991 18:45,0.740,1.00,"3b","Digital Archive","",""
22/12/1991 07:30,0.805,1.41,"3b","Digital Archive","",""
23/12/1991 08:00,0.818,1.50,"3b","Digital Archive","",""
31/03/1992 09:45,0.714,0.85,"3b","Digital Archive","",""
01/04/1992 09:45,0.731,0.95,"3b","Digital Archive","",""
12/05/1992 03:45,0.669,0.62,"3b","Digital Archive","",""
13/08/1992 03:15,0.707,0.81,"3b","Digital Archive","",""
01/11/1992 07:00,0.685,0.70,"3b","Digital Archive","",""
02/11/1992 07:00,0.680,0.67,"3b","Digital Archive","",""
22/11/1992 21:15,0.689,0.72,"3b","Digital Archive","",""
01/12/1992 14:15,0.674,0.64,"3b","Digital Archive","",""
02/12/1992 03:45,0.717,0.87,"3b","Digital Archive","",""
09/01/1993 08:30,0.689,0.72,"3b","Digital Archive","",""
13/01/1993 11:45,0.790,1.31,"3b","Digital Archive","",""
23/01/1993 18:15,0.737,0.98,"3b","Digital Archive","",""
31/05/1993 07:45,0.675,0.64,"3b","Digital Archive","",""
05/08/1993 10:30,0.688,0.71,"3b","Digital Archive","",""
04/12/1993 03:30,0.703,0.79,"3b","Digital Archive","",""
07/12/1993 00:00,0.656,0.55,"3b","Digital Archive","",""
08/12/1993 18:15,0.852,1.74,"3b","Digital Archive","Peak examined by eye and appears reasonable.",""
13/12/1993 10:00,0.662,0.58,"3b","Digital Archive","",""
14/12/1993 22:45,0.699,0.77,"3b","Digital Archive","",""
15/12/1993 21:45,0.702,0.78,"3b","Digital Archive","",""
18/12/1993 16:00,0.662,0.58,"3b","Digital Archive","",""
19/12/1993 03:15,0.805,1.41,"3b","Digital Archive","",""
03/03/1994 07:45,0.702,0.78,"3b","Digital Archive","",""
08/03/1994 12:30,0.777,1.23,"3b","Digital Archive","",""
23/03/1994 14:15,0.794,1.34,"3b","Digital Archive","",""
25/08/1994 02:45,0.699,0.77,"3b","Digital Archive","",""
30/10/1994 22:45,0.691,0.73,"3b","Digital Archive","",""
13/11/1994 19:15,0.823,1.53,"3b","Digital Archive","Peak examined by eye and appears reasonable.",""
19/11/1994 05:30,0.681,0.67,"3b","Digital Archive","",""
11/12/1994 09:00,0.786,1.28,"3b","Digital Archive","",""
28/12/1994 10:45,0.732,0.95,"3b","Digital Archive","",""
28/12/1994 19:30,0.774,1.21,"3b","Digital Archive","",""
22/01/1995 00:15,0.703,0.79,"3b","Digital Archive","",""
31/01/1995 09:30,0.986,2.82,"3b","Digital Archive","Peak examined by eye and appears reasonable.",""
11/02/1995 16:45,0.762,1.13,"3b","Digital Archive","",""
12/02/1995 17:00,0.731,0.95,"3b","Digital Archive","",""
19/02/1995 00:30,0.763,1.14,"3b","Digital Archive","",""
22/02/1995 12:45,0.774,1.21,"3b","Digital Archive","",""
15/11/1995 22:15,0.786,1.28,"3b","Digital Archive","",""
12/02/1996 16:30,0.656,0.55,"3b","Digital Archive","",""
18/02/1996 02:30,0.653,0.54,"3b","Digital Archive","",""
01/05/1996 08:00,0.791,1.32,"3b","Digital Archive","",""
06/11/1996 01:45,0.713,0.84,"3b","Digital Archive","",""
19/12/1996 07:45,0.745,1.03,"3b","Digital Archive","",""
04/02/1997 00:45,0.730,0.94,"3b","Digital Archive","",""
10/02/1997 11:30,0.691,0.73,"3b","Digital Archive","",""
12/02/1997 19:15,0.667,0.61,"3b","Digital Archive","",""
17/02/1997 20:30,0.907,2.16,"3b","Digital Archive","Peak examined by eye and appears reasonable.",""
19/02/1997 18:45,0.783,1.26,"3b","Digital Archive","",""
28/02/1997 06:00,0.767,1.16,"3b","Digital Archive","",""
02/03/1997 03:00,0.848,1.71,"3b","Digital Archive","Peak examined by eye and appears reasonable.",""
05/05/1997 02:30,0.839,1.65,"3b","Digital Archive","Peak examined by eye and appears reasonable.",""
01/07/1997 11:30,0.708,0.82,"3b","Digital Archive","",""
10/12/1997 09:00,0.703,0.79,"3b","Digital Archive","",""
11/12/1997 11:00,0.691,0.73,"3b","Digital Archive","",""
09/01/1998 03:30,0.787,1.29,"3b","Digital Archive","",""
11/02/1998 14:30,0.667,0.61,"3b","Digital Archive","",""
03/03/1998 01:00,0.685,0.70,"3b","Digital Archive","",""
07/03/1998 05:30,0.774,1.21,"3b","Digital Archive","",""
03/04/1998 06:00,0.754,1.08,"3b","Digital Archive","",""
29/05/1998 01:30,0.721,0.89,"3b","Digital Archive","",""
29/05/1998 12:15,0.768,1.17,"3b","Digital Archive","",""
06/06/1998 23:45,0.695,0.75,"3b","Digital Archive","",""
21/08/1998 00:15,0.654,0.54,"3b","Digital Archive","",""
10/09/1998 15:45,0.713,0.84,"3b","Digital Archive","",""
16/10/1998 17:45,0.735,0.97,"3b","Digital Archive","",""
27/10/1998 06:00,0.699,0.77,"3b","Digital Archive","",""
03/11/1998 04:00,0.750,1.06,"3b","Digital Archive","",""
14/12/1998 00:30,0.662,0.58,"3b","Digital Archive","",""
05/01/1999 18:30,0.906,2.15,"3b","Digital Archive","",""
15/01/1999 12:45,0.813,1.46,"3b","Digital Archive","",""
25/01/1999 01:15,0.883,1.97,"3b","Digital Archive","Peak examined by eye and appears reasonable.",""
11/04/1999 23:45,0.677,0.65,"3b","Digital Archive","",""
27/06/1999 07:30,0.705,0.80,"3b","Digital Archive","",""
18/08/1999 13:45,0.694,0.74,"3b","Digital Archive","",""
03/12/1999 06:15,0.768,1.17,"3b","Digital Archive","",""
06/12/1999 09:15,0.726,0.92,"3b","Digital Archive","",""
09/12/1999 07:30,0.782,1.26,"3b","Digital Archive","",""
17/12/1999 04:45,0.707,0.81,"3b","Digital Archive","",""
