"NAME:","Avon at Delnashaugh"
"NUMBER:","8004"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
06/11/1952 22:45,2.025,159.83,"QHigh19521","Digital Archive","",""
12/01/1953 21:00,1.685,111.02,"QHigh19521","Digital Archive","",""
15/01/1953 10:00,1.808,127.31,"QHigh19521","Digital Archive","",""
14/02/1953 06:45,1.765,121.45,"QHigh19521","Digital Archive","",""
02/06/1953 05:00,1.793,125.24,"QHigh19521","Digital Archive","",""
14/07/1953 08:45,2.441,236.96,"QHigh19521","Digital Archive","",""
22/09/1953 11:00,1.926,144.38,"QHigh19521","Digital Archive","",""
03/12/1953 21:30,1.792,125.11,"QHigh19521","Digital Archive","",""
03/10/1954 06:00,1.927,144.53,"QHigh19521","Digital Archive","",""
19/10/1954 10:00,2.100,172.25,"QHigh19521","Digital Archive","",""
22/11/1954 22:15,1.783,123.88,"QHigh19521","Digital Archive","",""
25/11/1954 11:00,2.010,157.42,"QHigh19521","Digital Archive","",""
27/11/1954 09:15,1.723,115.90,"QHigh19521","Digital Archive","",""
30/11/1954 17:30,1.854,133.79,"QHigh19521","Digital Archive","",""
16/12/1954 23:00,1.687,111.28,"QHigh19521","Digital Archive","",""
29/12/1954 02:15,1.700,112.93,"QHigh19521","Digital Archive","",""
24/01/1955 18:45,1.760,120.78,"QHigh19521","Digital Archive","",""
26/10/1955 01:15,1.659,107.77,"QHigh19521","Digital Archive","",""
15/12/1955 00:15,2.162,183.00,"QHigh19521","Digital Archive","",""
05/02/1956 22:30,1.746,118.91,"QHigh19521","Digital Archive","",""
29/02/1956 05:30,1.715,114.86,"QHigh19521","Digital Archive","",""
01/03/1956 23:30,2.125,176.53,"QHigh19521","Digital Archive","",""
30/07/1956 14:15,2.840,331.34,"QHigh19521","Digital Archive","",""
14/08/1956 08:45,2.802,321.42,"QHigh19521","Digital Archive","",""
04/09/1956 07:30,2.252,199.39,"QHigh19521","Digital Archive","",""
31/12/1956 08:30,1.781,123.61,"QHigh19521","Digital Archive","",""
13/07/1957 18:45,1.886,138.43,"QHigh19521","Digital Archive","",""
20/07/1957 14:00,1.991,154.40,"QHigh19521","Digital Archive","",""
15/08/1957 12:45,2.793,319.10,"QHigh19521","Digital Archive","",""
10/11/1957 19:30,1.747,119.05,"QHigh19521","Digital Archive","",""
12/12/1957 05:00,1.706,113.70,"QHigh19521","Digital Archive","",""
20/12/1957 03:30,1.681,110.52,"QHigh19521","Digital Archive","",""
27/01/1958 17:00,2.264,201.65,"QHigh19521","Digital Archive","",""
11/02/1958 18:15,1.658,107.70,"QHigh19521","Digital Archive","",""
20/02/1958 18:45,1.914,142.65,"QHigh19521","Digital Archive","",""
27/02/1958 22:15,1.836,131.21,"QHigh19521","Digital Archive","",""
19/04/1958 01:00,1.661,108.02,"QHigh19521","Digital Archive","",""
26/06/1958 18:00,2.112,174.35,"QHigh19521","Digital Archive","",""
28/07/1958 23:30,2.750,308.10,"QHigh19521","Digital Archive","",""
16/02/1959 14:00,1.725,116.16,"QHigh19521","Digital Archive","",""
20/11/1959 01:00,2.406,229.67,"QHigh19521","Digital Archive","",""
22/01/1960 22:30,1.825,129.61,"QHigh19521","Digital Archive","",""
03/02/1960 15:00,1.763,121.12,"QHigh19521","Digital Archive","",""
29/02/1960 18:30,1.781,123.56,"QHigh19521","Digital Archive","",""
26/08/1960 02:15,3.229,444.95,"QHigh19521","Digital Archive","",""
03/10/1960 11:15,1.804,126.76,"QHigh19521","Digital Archive","",""
13/10/1960 22:00,2.054,164.56,"QHigh19521","Digital Archive","",""
24/10/1960 00:30,1.672,109.40,"QHigh19521","Digital Archive","",""
01/11/1960 21:45,1.973,151.53,"QHigh19521","Digital Archive","",""
02/08/1961 04:45,1.849,133.03,"QHigh19521","Digital Archive","",""
20/10/1961 11:15,2.221,193.67,"QHigh19521","Digital Archive","",""
23/10/1961 04:45,2.158,182.27,"QHigh19521","Digital Archive","",""
12/02/1962 06:00,2.345,217.33,"QHigh19521","Digital Archive","",""
15/02/1962 22:00,1.691,111.78,"QHigh19521","Digital Archive","",""
16/08/1962 20:15,2.323,212.99,"QHigh19521","Digital Archive","",""
30/09/1962 09:30,1.920,143.47,"QHigh19521","Digital Archive","",""
14/12/1962 21:15,2.251,199.20,"QHigh19521","Digital Archive","",""
27/06/1963 12:00,2.245,198.08,"QHigh19521","Digital Archive","",""
05/08/1963 19:30,1.688,111.40,"QHigh19521","Digital Archive","",""
20/08/1963 23:15,1.860,134.65,"QHigh19521","Digital Archive","",""
01/09/1963 13:30,2.177,185.66,"QHigh19521","Digital Archive","",""
04/09/1963 20:30,1.724,116.03,"QHigh19521","Digital Archive","",""
18/08/1964 21:30,1.679,110.27,"QHigh19521","Digital Archive","",""
28/08/1964 13:30,1.799,126.07,"QHigh19521","Digital Archive","",""
09/12/1964 02:15,1.840,131.80,"QHigh19521","Digital Archive","",""
04/09/1965 06:30,1.895,139.75,"QHigh19521","Digital Archive","",""
08/09/1965 13:00,1.901,140.64,"QHigh19521","Digital Archive","",""
10/09/1965 21:00,1.663,108.27,"QHigh19521","Digital Archive","",""
18/09/1965 11:15,2.357,219.72,"QHigh19521","Digital Archive","",""
15/12/1965 19:30,1.897,140.05,"QHigh19521","Digital Archive","",""
23/05/1966 08:30,2.091,170.73,"QHigh19521","Digital Archive","",""
24/06/1966 08:30,2.169,184.24,"QHigh19521","Digital Archive","",""
27/06/1966 19:30,2.794,319.36,"QHigh19521","Digital Archive","",""
04/08/1966 22:30,1.950,148.03,"QHigh19521","Digital Archive","",""
02/10/1966 01:45,1.717,115.12,"QHigh19521","Digital Archive","",""
06/10/1966 08:00,1.833,130.81,"QHigh19521","Digital Archive","",""
18/11/1966 00:45,1.720,115.51,"QHigh19521","Digital Archive","",""
17/12/1966 23:30,2.306,209.68,"QHigh19521","Digital Archive","",""
06/05/1967 06:30,1.942,146.80,"QHigh19521","Digital Archive","",""
15/08/1967 20:15,1.748,119.18,"QHigh19521","Digital Archive","",""
04/10/1967 10:00,2.068,166.87,"QHigh19521","Digital Archive","",""
15/01/1968 11:00,1.672,109.39,"QHigh19521","Digital Archive","",""
19/04/1968 12:30,1.687,111.28,"QHigh19521","Digital Archive","",""
05/05/1968 16:00,1.741,118.25,"QHigh19521","Digital Archive","",""
31/10/1968 06:30,1.861,134.80,"QHigh19521","Digital Archive","",""
15/01/1970 02:15,1.844,132.36,"QHigh19521","Digital Archive","",""
17/03/1970 06:00,2.270,202.78,"QHigh19521","Digital Archive","",""
16/04/1970 02:15,1.941,146.65,"QHigh19521","Digital Archive","",""
05/05/1970 23:00,1.714,114.73,"QHigh19521","Digital Archive","",""
25/07/1970 12:30,1.813,128.00,"QHigh19521","Digital Archive","",""
